date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.8735,0.5573,1w
2021-01-13,high_volatility,down,down,1,-5.2505,0.4093,1w
2021-01-25,high_volatility,down,down,1,-5.5242,0.2253,1w
2021-02-03,crisis,down,down,1,-4.9016,0.2747,1w
2021-02-12,high_volatility,down,down,1,-7.0117,0.2747,1w
2021-02-24,high_volatility,down,up,0,6.4921,0.1587,1w
2021-03-05,crisis,down,neutral,0,0.0598,0.3173,1w
2021-03-16,crisis,down,down,1,-3.6024,0.1973,1w
2021-03-25,high_volatility,down,down,1,-10.9226,0.256,1w
2021-04-06,high_volatility,down,down,1,-9.2056,0.2573,1w
2021-04-15,high_volatility,down,down,1,-9.4785,0.2347,1w
2021-04-26,high_volatility,down,up,0,3.7299,0.2973,1w
2021-05-05,high_volatility,down,up,0,2.2169,0.2587,1w
2021-05-14,crisis,down,down,1,-2.5968,0.2747,1w
2021-05-25,high_volatility,neutral,down,0,-4.6701,0.4693,1w
2021-06-04,crisis,down,down,1,-6.0055,0.424,1w
2021-06-15,high_volatility,down,neutral,0,0.0649,0.344,1w
2021-06-24,high_volatility,down,up,0,2.6302,0.3027,1w
2021-07-06,chop,down,up,0,11.0414,0.3453,1w
2021-07-15,chop,down,up,0,12.3874,0.3507,1w
2021-07-26,chop,neutral,up,0,5.9679,0.5013,1w
2021-08-04,chop,neutral,down,0,-3.6182,0.5467,1w
2021-08-13,chop,up,neutral,0,-0.2689,0.6107,1w
2021-08-24,chop,neutral,down,0,-6.9425,0.548,1w
2021-09-02,chop,neutral,down,0,-1.1025,0.4707,1w
2021-09-14,chop,up,down,0,-5.5103,0.656,1w
2021-09-23,chop,neutral,up,0,5.3651,0.5013,1w
2021-10-04,chop,neutral,up,0,7.2141,0.524,1w
2021-10-13,chop,neutral,up,0,14.3863,0.5453,1w
2021-10-22,chop,neutral,up,0,9.7052,0.52,1w
2021-11-02,chop,neutral,up,0,15.4136,0.544,1w
2021-11-11,chop,up,up,1,4.7333,0.584,1w
2021-11-22,chop,up,down,0,-4.316,0.584,1w
2021-12-02,trending_bull,up,down,0,-3.4729,0.712,1w
2021-12-13,trending_bull,up,down,0,-0.5941,0.6667,1w
2021-12-22,chop,up,up,1,4.6388,0.7173,1w
2022-01-03,chop,up,up,1,2.5253,0.6467,1w
2022-01-12,high_volatility,up,down,0,-1.4785,0.7253,1w
2022-01-24,chop,up,down,0,-8.0637,0.692,1w
2022-02-02,chop,up,down,0,-7.3245,0.6667,1w
2022-02-11,chop,neutral,down,0,-12.4216,0.536,1w
2022-02-23,chop,down,down,1,-6.5439,0.296,1w
2022-03-04,chop,down,down,1,-1.3503,0.312,1w
2022-03-15,trending_bear,down,up,0,1.9052,0.208,1w
2022-03-24,trending_bear,down,down,1,-1.8694,0.2627,1w
2022-04-04,trending_bear,down,down,1,-3.0488,0.3027,1w
2022-04-13,chop,down,down,1,-8.7025,0.2413,1w
2022-04-25,chop,down,down,1,-9.1121,0.1907,1w
2022-05-04,chop,down,down,1,-11.2153,0.228,1w
2022-05-13,trending_bear,down,down,1,-5.4557,0.1933,1w
2022-05-24,trending_bear,down,down,1,-0.9373,0.2307,1w
2022-06-03,trending_bear,down,up,0,1.0355,0.2133,1w
2022-06-14,trending_bear,down,down,1,-2.2719,0.2413,1w
2022-06-24,trending_bear,down,up,0,9.9755,0.2667,1w
2022-07-06,chop,down,up,0,7.9487,0.2173,1w
2022-07-15,chop,down,up,0,5.0937,0.1907,1w
2022-07-26,chop,down,down,1,-5.6608,0.388,1w
2022-08-04,chop,down,down,1,-6.1497,0.3733,1w
2022-08-15,chop,down,down,1,-5.3395,0.4493,1w
2022-08-24,chop,neutral,down,0,-6.4673,0.4627,1w
2022-09-02,chop,neutral,down,0,-5.1254,0.4853,1w
2022-09-14,trending_bear,down,down,1,-4.4666,0.3507,1w
2022-09-23,chop,down,down,1,-4.4044,0.3733,1w
2022-10-04,chop,down,down,1,-5.3285,0.3707,1w
