date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-3.6282,0.6173,1w
2021-01-13,crisis,up,up,1,15.0129,0.6653,1w
2021-01-25,crisis,up,up,1,27.6974,0.5867,1w
2021-02-03,crisis,up,up,1,39.9933,0.656,1w
2021-02-12,crisis,up,neutral,0,0.0832,0.736,1w
2021-02-24,crisis,up,up,1,25.2311,0.7867,1w
2021-03-05,crisis,up,neutral,0,0.0663,0.912,1w
2021-03-16,crisis,up,up,1,12.9562,0.768,1w
2021-03-25,crisis,up,down,0,-29.129,0.776,1w
2021-04-06,crisis,up,down,0,-28.8669,0.752,1w
2021-04-15,high_volatility,up,down,0,-37.5658,0.6933,1w
2021-04-26,crisis,up,down,0,-6.1178,0.58,1w
2021-05-05,high_volatility,neutral,down,0,-5.9158,0.5387,1w
2021-05-14,high_volatility,down,down,1,-14.4084,0.296,1w
2021-05-25,trending_bear,down,down,1,-23.985,0.3733,1w
2021-06-04,chop,down,down,1,-31.9262,0.2667,1w
2021-06-15,chop,down,down,1,-16.5781,0.248,1w
2021-06-24,trending_bear,down,down,1,-5.1864,0.1173,1w
2021-07-06,trending_bear,down,up,0,13.7462,0.1027,1w
2021-07-15,trending_bear,down,up,0,22.7746,0.1133,1w
2021-07-26,chop,down,up,0,13.2101,0.2333,1w
2021-08-04,chop,down,up,0,0.684,0.248,1w
2021-08-13,chop,down,down,1,-2.7273,0.392,1w
2021-08-24,chop,down,down,1,-31.0674,0.3653,1w
2021-09-02,chop,down,down,1,-24.0812,0.2893,1w
2021-09-14,chop,neutral,down,0,-11.0467,0.5013,1w
2021-09-23,chop,down,up,0,15.6294,0.2773,1w
2021-10-04,trending_bear,down,up,0,1.8737,0.3813,1w
2021-10-13,chop,down,up,0,7.4884,0.4147,1w
2021-10-22,chop,down,up,0,19.3474,0.3813,1w
2021-11-02,chop,down,up,0,29.9973,0.376,1w
2021-11-11,chop,down,down,1,-3.8817,0.3787,1w
2021-11-22,chop,down,down,1,-9.0965,0.3813,1w
2021-12-02,chop,neutral,down,0,-11.5301,0.4773,1w
