date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-10.24,0.2973,1w
2021-01-13,chop,down,up,0,1.1351,0.436,1w
2021-01-25,chop,down,up,0,6.2157,0.3253,1w
2021-02-03,chop,down,down,1,-7.3703,0.3267,1w
2021-02-12,chop,down,down,1,-19.0801,0.3587,1w
2021-02-24,chop,down,down,1,-2.5841,0.376,1w
2021-03-05,chop,down,up,0,25.0171,0.376,1w
2021-03-16,trending_bear,down,up,0,10.0193,0.3267,1w
2021-03-25,chop,down,up,0,20.6938,0.38,1w
2021-04-06,chop,neutral,up,0,4.9369,0.456,1w
2021-04-15,chop,down,down,1,-18.2586,0.412,1w
2021-04-26,chop,up,down,0,-16.1662,0.6187,1w
2021-05-05,chop,up,down,0,-11.0092,0.5693,1w
2021-05-14,high_volatility,down,down,1,-19.6622,0.3813,1w
2021-05-25,high_volatility,neutral,down,0,-16.2581,0.4827,1w
2021-06-04,chop,up,down,0,-14.4266,0.5907,1w
2021-06-15,chop,down,up,0,10.0386,0.3693,1w
2021-06-24,trending_bear,down,down,1,-1.0791,0.2973,1w
2021-07-06,trending_bear,down,up,0,5.3276,0.296,1w
2021-07-15,chop,down,up,0,5.3905,0.2933,1w
2021-07-26,chop,down,up,0,2.9039,0.24,1w
2021-08-04,chop,down,down,1,-12.9879,0.288,1w
2021-08-13,chop,down,down,1,-10.7632,0.412,1w
2021-08-24,chop,down,down,1,-9.1494,0.3867,1w
2021-09-02,chop,down,down,1,-8.2371,0.2947,1w
2021-09-14,chop,neutral,down,0,-9.4797,0.52,1w
2021-09-23,chop,down,up,0,12.285,0.388,1w
2021-10-04,chop,down,up,0,8.9575,0.3347,1w
2021-10-13,chop,down,up,0,14.4061,0.3507,1w
2021-10-22,chop,neutral,down,0,-1.773,0.4933,1w
2021-11-02,chop,down,up,0,2.9455,0.412,1w
2021-11-11,chop,down,down,1,-4.5699,0.4453,1w
2021-11-22,chop,neutral,down,0,-6.7954,0.4653,1w
2021-12-02,chop,neutral,down,0,-8.8046,0.5467,1w
2021-12-13,chop,neutral,up,0,25.0371,0.4867,1w
2021-12-22,chop,neutral,up,0,27.5478,0.544,1w
2022-01-03,chop,down,up,0,25.5335,0.448,1w
2022-01-12,chop,up,down,0,-2.9965,0.724,1w
2022-01-24,trending_bull,up,down,0,-2.3985,0.5987,1w
2022-02-02,trending_bull,up,down,0,-5.2879,0.6987,1w
2022-02-11,trending_bull,up,down,0,-17.4509,0.584,1w
2022-02-23,trending_bull,up,down,0,-11.8252,0.6027,1w
2022-03-04,chop,up,down,0,-13.4474,0.6213,1w
2022-03-15,chop,neutral,down,0,-9.4193,0.5013,1w
2022-03-24,trending_bear,up,down,0,-7.891,0.5773,1w
2022-04-04,trending_bear,neutral,down,0,-2.7358,0.5187,1w
2022-04-13,trending_bear,down,up,0,9.0076,0.1653,1w
2022-04-25,trending_bear,down,up,0,8.3203,0.2133,1w
2022-05-04,chop,down,up,0,6.7772,0.2187,1w
2022-05-13,chop,down,up,0,16.831,0.2853,1w
2022-05-24,chop,down,up,0,14.3255,0.3347,1w
2022-06-03,chop,down,up,0,19.7589,0.3613,1w
2022-06-14,trending_bull,up,up,1,9.1892,0.6627,1w
