date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,up,1,2.2165,0.924,1w
2021-01-13,trending_bull,up,up,1,5.0265,0.9373,1w
2021-01-25,trending_bull,up,up,1,10.1393,0.872,1w
2021-02-03,crisis,up,up,1,8.5053,0.864,1w
2021-02-12,high_volatility,up,up,1,7.1051,0.9253,1w
2021-02-24,crisis,up,up,1,7.945,0.9453,1w
2021-03-05,crisis,up,up,1,8.0499,0.9573,1w
2021-03-16,high_volatility,up,up,1,7.3326,0.904,1w
2021-03-25,high_volatility,up,down,0,-2.4786,0.9107,1w
2021-04-06,trending_bull,up,down,0,-6.8062,0.9107,1w
2021-04-15,crisis,up,down,0,-2.9318,0.872,1w
2021-04-26,crisis,up,down,0,-5.2911,0.768,1w
2021-05-05,crisis,up,down,0,-3.1928,0.6107,1w
2021-05-14,high_volatility,up,down,0,-9.1726,0.6173,1w
2021-05-25,high_volatility,neutral,neutral,0,0.228,0.492,1w
2021-06-04,trending_bear,down,up,0,4.5933,0.4227,1w
2021-06-15,trending_bear,down,up,0,10.338,0.28,1w
2021-06-24,trending_bear,down,neutral,0,-0.4693,0.3653,1w
2021-07-06,chop,down,down,1,-6.5622,0.388,1w
2021-07-15,chop,down,down,1,-7.1735,0.3733,1w
2021-07-26,chop,down,down,1,-7.8545,0.3933,1w
2021-08-04,chop,down,neutral,0,-0.3383,0.3253,1w
2021-08-13,chop,down,down,1,-2.6425,0.32,1w
2021-08-24,chop,down,up,0,3.6981,0.324,1w
2021-09-02,chop,down,up,0,1.4969,0.3507,1w
2021-09-14,chop,neutral,neutral,0,0.3081,0.4907,1w
2021-09-23,chop,down,up,0,3.842,0.328,1w
2021-10-04,chop,down,up,0,4.5179,0.296,1w
2021-10-13,chop,down,up,0,4.7579,0.296,1w
2021-10-22,chop,down,up,0,4.1222,0.4253,1w
2021-11-02,chop,up,up,1,11.8392,0.58,1w
2021-11-11,chop,up,up,1,10.0959,0.5733,1w
2021-11-22,chop,up,up,1,1.5145,0.6947,1w
2021-12-02,chop,up,down,0,-0.7821,0.752,1w
2021-12-13,trending_bull,up,down,0,-6.7498,0.752,1w
2021-12-22,trending_bull,up,down,0,-8.6826,0.6987,1w
2022-01-03,trending_bull,up,down,0,-10.6746,0.756,1w
2022-01-12,chop,up,neutral,0,0.0846,0.616,1w
2022-01-24,trending_bear,down,up,0,2.896,0.4147,1w
2022-02-02,trending_bear,neutral,up,0,6.9422,0.4787,1w
2022-02-11,trending_bear,neutral,up,0,0.9633,0.5373,1w
2022-02-23,chop,down,up,0,3.4772,0.3467,1w
2022-03-04,chop,down,up,0,4.4792,0.3347,1w
2022-03-15,chop,down,up,0,5.0074,0.3013,1w
2022-03-24,chop,down,up,0,5.6347,0.3893,1w
2022-04-04,chop,down,down,1,-7.5152,0.4093,1w
2022-04-13,trending_bull,up,down,0,-9.052,0.608,1w
2022-04-25,trending_bull,up,down,0,-12.7627,0.756,1w
2022-05-04,trending_bear,neutral,down,0,-7.5458,0.5013,1w
2022-05-13,trending_bear,down,down,1,-4.9271,0.3893,1w
2022-05-24,trending_bear,down,down,1,-2.6475,0.32,1w
2022-06-03,trending_bear,down,up,0,1.3439,0.2747,1w
2022-06-14,trending_bear,down,neutral,0,0.3199,0.2347,1w
2022-06-24,trending_bear,down,up,0,8.2,0.208,1w
2022-07-06,chop,down,up,0,10.2345,0.208,1w
2022-07-15,chop,down,up,0,11.3779,0.18,1w
2022-07-26,chop,down,down,1,-1.4914,0.252,1w
2022-08-04,trending_bull,neutral,down,0,-2.8138,0.4707,1w
2022-08-15,trending_bull,up,up,1,1.3791,0.6093,1w
2022-08-24,trending_bull,up,up,1,5.4264,0.604,1w
2022-09-02,chop,up,up,1,1.4285,0.6667,1w
2022-09-14,chop,up,down,0,-1.7611,0.752,1w
2022-09-23,chop,up,down,0,-3.9864,0.8187,1w
2022-10-04,chop,up,down,0,-1.8691,0.6933,1w
2022-10-13,chop,up,down,0,-5.8344,0.6787,1w
2022-10-24,trending_bear,down,down,1,-4.6744,0.4093,1w
2022-11-02,trending_bear,down,up,0,1.9304,0.344,1w
2022-11-11,trending_bear,down,up,0,11.763,0.2493,1w
2022-11-22,trending_bear,down,up,0,11.7329,0.32,1w
2022-12-02,trending_bull,down,up,0,11.6829,0.4467,1w
2022-12-13,trending_bull,neutral,up,0,5.2575,0.5107,1w
2022-12-22,trending_bull,neutral,up,0,7.8177,0.492,1w
2023-01-04,trending_bull,up,up,1,6.634,0.6987,1w
2023-01-13,trending_bull,up,up,1,7.6401,0.6987,1w
2023-01-25,trending_bull,up,up,1,8.7652,0.768,1w
2023-02-03,high_volatility,up,up,1,4.4838,0.932,1w
