date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,trending_bull,up,down,0,-11.3776,0.768,1w
2021-01-08,trending_bull,up,down,0,-2.9587,0.7947,1w
2021-01-15,trending_bear,up,down,0,-4.8616,0.768,1w
2021-01-22,trending_bear,up,down,0,-5.3822,0.7,1w
2021-01-29,chop,up,down,0,-11.1282,0.7,1w
2021-02-05,chop,neutral,down,0,-10.375,0.4907,1w
2021-02-12,chop,down,down,1,-3.188,0.3893,1w
2021-02-19,chop,down,down,1,-11.125,0.2253,1w
2021-02-26,chop,down,down,1,-16.8593,0.2227,1w
2021-03-05,chop,down,down,1,-16.1504,0.3787,1w
2021-03-12,chop,down,down,1,-30.7998,0.2747,1w
2021-03-19,chop,down,down,1,-18.8355,0.216,1w
2021-03-26,trending_bear,down,down,1,-5.2593,0.256,1w
2021-04-02,trending_bear,down,up,0,12.2743,0.1453,1w
2021-04-09,trending_bear,down,up,0,4.9095,0.1587,1w
2021-04-16,trending_bear,down,down,1,-11.4342,0.256,1w
2021-04-23,chop,down,down,1,-3.9806,0.252,1w
2021-04-30,chop,down,down,1,-13.8677,0.228,1w
2021-05-07,chop,down,down,1,-18.1639,0.2133,1w
2021-05-14,chop,down,up,0,2.6036,0.2747,1w
2021-05-21,chop,down,down,1,-2.9232,0.292,1w
2021-05-28,chop,down,down,1,-24.8497,0.2747,1w
2021-06-04,chop,down,down,1,-16.4473,0.448,1w
2021-06-11,chop,down,down,1,-19.1349,0.376,1w
2021-06-18,chop,down,down,1,-6.8197,0.216,1w
2021-06-25,chop,down,up,0,34.064,0.2693,1w
2021-07-02,chop,down,up,0,44.5152,0.256,1w
2021-07-09,chop,down,up,0,27.9414,0.2267,1w
2021-07-16,chop,neutral,down,0,-15.0722,0.4827,1w
2021-07-23,trending_bull,neutral,down,0,-21.8762,0.5373,1w
2021-07-30,trending_bull,down,down,1,-17.7698,0.4467,1w
2021-08-06,trending_bear,down,down,1,-17.1323,0.3787,1w
2021-08-13,trending_bear,down,down,1,-47.7767,0.412,1w
2021-08-20,trending_bear,down,down,1,-33.7525,0.4253,1w
2021-08-27,trending_bear,down,down,1,-38.6127,0.4293,1w
2021-09-03,trending_bear,down,up,0,11.1402,0.236,1w
2021-09-10,trending_bear,down,up,0,22.2073,0.2747,1w
2021-09-17,trending_bear,down,up,0,4.2842,0.1533,1w
2021-09-24,trending_bear,down,down,1,-14.1812,0.22,1w
2021-10-01,trending_bear,down,down,1,-20.0912,0.2827,1w
2021-10-08,chop,down,down,1,-1.9656,0.224,1w
2021-10-15,chop,down,down,1,-11.6579,0.24,1w
2021-10-22,chop,down,up,0,11.6068,0.268,1w
2021-10-29,chop,down,up,0,9.8472,0.2747,1w
2021-11-05,chop,down,up,0,12.9305,0.3853,1w
2021-11-12,chop,neutral,up,0,9.7763,0.4587,1w
2021-11-19,chop,neutral,down,0,-2.045,0.5453,1w
2021-11-26,chop,down,down,1,-10.1456,0.4013,1w
2021-12-03,chop,down,down,1,-15.3993,0.4213,1w
2021-12-10,chop,neutral,up,0,6.2739,0.516,1w
2021-12-17,chop,down,up,0,8.0724,0.412,1w
2021-12-24,chop,neutral,up,0,0.9695,0.492,1w
2021-12-31,chop,neutral,down,0,-12.8748,0.4947,1w
2022-01-07,chop,neutral,down,0,-9.5837,0.512,1w
2022-01-14,chop,down,down,1,-18.2285,0.428,1w
2022-01-21,chop,down,down,1,-21.6752,0.3333,1w
2022-01-28,chop,down,down,1,-8.3953,0.32,1w
2022-02-04,chop,down,up,0,6.1521,0.208,1w
2022-02-11,trending_bear,down,up,0,5.7008,0.224,1w
2022-02-18,trending_bear,down,down,1,-19.6901,0.3787,1w
2022-02-25,chop,down,down,1,-24.9255,0.3387,1w
2022-03-04,chop,down,down,1,-11.3298,0.2747,1w
2022-03-11,trending_bear,down,down,1,-3.4878,0.2307,1w
2022-03-18,trending_bear,down,down,1,-4.6948,0.2253,1w
2022-03-25,trending_bear,down,down,1,-19.6877,0.26,1w
2022-04-01,trending_bear,down,down,1,-21.6689,0.2747,1w
2022-04-08,trending_bear,down,up,0,1.9056,0.336,1w
2022-04-15,trending_bear,down,up,0,27.1091,0.2773,1w
2022-04-22,trending_bear,down,up,0,38.0938,0.168,1w
2022-04-29,trending_bear,down,up,0,36.392,0.184,1w
2022-05-06,trending_bull,down,up,0,14.9787,0.3947,1w
2022-05-13,trending_bull,neutral,down,0,-0.5637,0.508,1w
2022-05-20,trending_bull,up,neutral,0,-0.2769,0.6413,1w
2022-05-27,trending_bull,up,down,0,-5.2711,0.6627,1w
2022-06-03,trending_bull,up,down,0,-2.3503,0.5907,1w
2022-06-10,trending_bull,up,down,0,-23.3362,0.7627,1w
2022-06-17,chop,up,down,0,-11.0536,0.7653,1w
2022-06-24,chop,up,up,1,8.5512,0.7427,1w
2022-07-01,trending_bear,up,up,1,19.3812,0.5653,1w
2022-07-08,trending_bear,down,up,0,9.3249,0.4173,1w
2022-07-15,chop,neutral,up,0,18.2391,0.492,1w
2022-07-22,chop,down,neutral,0,0.4532,0.448,1w
2022-07-29,trending_bull,down,up,0,6.8293,0.4253,1w
2022-08-05,trending_bull,up,down,0,-11.6081,0.608,1w
2022-08-12,trending_bull,neutral,down,0,-5.9801,0.4667,1w
2022-08-19,chop,up,down,0,-8.1135,0.576,1w
2022-08-26,chop,up,down,0,-9.1891,0.5827,1w
2022-09-02,chop,up,down,0,-1.5491,0.5867,1w
2022-09-09,chop,neutral,down,0,-12.2369,0.5293,1w
2022-09-16,chop,neutral,down,0,-27.8125,0.4653,1w
2022-09-23,chop,down,down,1,-23.2593,0.3547,1w
2022-09-30,chop,down,down,1,-6.7153,0.292,1w
2022-10-07,trending_bear,down,up,0,6.2751,0.0827,1w
2022-10-14,trending_bear,down,up,0,20.634,0.216,1w
2022-10-21,trending_bear,down,up,0,10.1538,0.1533,1w
2022-10-28,chop,down,up,0,8.0836,0.1787,1w
2022-11-04,chop,down,down,1,-11.0173,0.448,1w
2022-11-11,trending_bull,down,down,1,-5.478,0.3733,1w
2022-11-18,trending_bull,down,down,1,-17.4864,0.368,1w
2022-11-25,trending_bear,down,down,1,-9.3746,0.2973,1w
2022-12-02,chop,neutral,down,0,-12.9756,0.4773,1w
2022-12-09,chop,neutral,down,0,-2.3388,0.4547,1w
2022-12-16,trending_bear,down,down,1,-3.7916,0.388,1w
2022-12-23,trending_bear,down,down,1,-3.8129,0.3787,1w
2022-12-30,chop,down,down,1,-2.0639,0.3893,1w
2023-01-06,chop,down,up,0,3.7927,0.152,1w
2023-01-13,chop,down,neutral,0,0.4083,0.1533,1w
2023-01-20,chop,down,down,1,-1.0471,0.168,1w
2023-01-27,chop,down,up,0,8.4645,0.2827,1w
2023-02-03,chop,down,up,0,31.2806,0.2187,1w
2023-02-10,chop,down,up,0,46.6664,0.344,1w
2023-02-17,trending_bull,up,up,1,28.4308,0.6173,1w
2023-02-24,trending_bull,up,up,1,17.5229,0.7827,1w
2023-03-03,trending_bull,up,down,0,-2.6708,0.8827,1w
2023-03-10,crisis,up,up,1,24.501,0.864,1w
2023-03-17,crisis,up,up,1,66.6122,0.8813,1w
2023-03-24,trending_bull,up,up,1,65.6938,0.8453,1w
2023-03-31,high_volatility,up,up,1,13.0973,0.924,1w
2023-04-07,crisis,up,down,0,-5.1281,0.9507,1w
2023-04-14,crisis,up,down,0,-6.7344,0.9373,1w
2023-04-21,crisis,up,down,0,-17.5219,0.876,1w
2023-04-28,crisis,up,down,0,-13.8132,0.7747,1w
2023-05-05,crisis,up,down,0,-7.3648,0.704,1w
2023-05-12,high_volatility,up,up,1,5.1909,0.6573,1w
2023-05-19,chop,up,up,1,25.3597,0.5867,1w
2023-05-26,chop,up,up,1,13.998,0.6307,1w
2023-06-02,chop,neutral,up,0,21.2381,0.456,1w
2023-06-09,chop,neutral,up,0,24.3575,0.488,1w
2023-06-16,chop,down,up,0,28.6728,0.4213,1w
2023-06-23,chop,neutral,down,0,-12.1284,0.5387,1w
2023-06-30,crisis,up,down,0,-10.2172,0.7,1w
2023-07-07,crisis,up,down,0,-19.7519,0.7253,1w
2023-07-14,crisis,up,down,0,-4.4144,0.628,1w
2023-07-21,chop,up,down,0,-31.0443,0.676,1w
2023-07-28,chop,up,down,0,-18.0598,0.5693,1w
2023-08-04,chop,neutral,down,0,-8.9943,0.536,1w
2023-08-11,trending_bear,down,down,1,-1.127,0.312,1w
2023-08-18,trending_bear,down,down,1,-0.6557,0.3507,1w
2023-08-25,trending_bear,down,neutral,0,-0.4735,0.22,1w
2023-09-01,trending_bear,down,neutral,0,-0.3723,0.2093,1w
2023-09-08,trending_bear,down,down,1,-4.9581,0.1933,1w
2023-09-15,chop,down,down,1,-8.3372,0.2733,1w
2023-09-22,chop,down,down,1,-14.1279,0.1973,1w
2023-09-29,chop,down,down,1,-13.1086,0.2947,1w
2023-10-06,chop,down,down,1,-11.8596,0.3027,1w
2023-10-13,chop,down,up,0,5.2559,0.2667,1w
2023-10-20,trending_bear,down,up,0,9.9838,0.2747,1w
2023-10-27,chop,down,up,0,12.8002,0.2253,1w
2023-11-03,trending_bear,down,down,1,-5.7183,0.3653,1w
2023-11-10,chop,down,down,1,-19.8663,0.364,1w
2023-11-17,chop,down,down,1,-22.1172,0.336,1w
2023-11-24,chop,down,up,0,3.4946,0.3627,1w
2023-12-01,trending_bear,down,up,0,2.437,0.296,1w
2023-12-08,trending_bear,down,down,1,-1.637,0.2973,1w
2023-12-15,trending_bear,neutral,down,0,-9.0012,0.4747,1w
2023-12-22,trending_bear,down,up,0,1.092,0.4133,1w
2023-12-29,trending_bear,down,up,0,27.6959,0.412,1w
2024-01-05,trending_bull,down,down,1,-4.34,0.3467,1w
2024-01-12,chop,down,down,1,-3.7556,0.2907,1w
2024-01-19,chop,down,down,1,-14.7382,0.436,1w
2024-01-26,chop,down,down,1,-1.4479,0.424,1w
2024-02-02,chop,down,down,1,-2.6596,0.44,1w
2024-02-09,chop,neutral,up,0,15.4837,0.5067,1w
2024-02-16,chop,down,up,0,78.8208,0.3467,1w
2024-02-23,chop,neutral,up,0,129.7667,0.456,1w
2024-03-01,chop,up,up,1,132.8691,0.692,1w
2024-03-08,trending_bull,up,up,1,75.7577,0.7573,1w
2024-03-15,crisis,up,up,1,11.3411,0.8867,1w
2024-03-22,crisis,up,down,0,-17.7699,0.8733,1w
2024-03-29,crisis,up,down,0,-30.1616,0.9453,1w
2024-04-05,crisis,up,down,0,-14.1351,0.9213,1w
2024-04-12,high_volatility,up,down,0,-4.734,0.8373,1w
2024-04-19,high_volatility,up,up,1,24.6158,0.852,1w
2024-04-26,trending_bear,up,down,0,-9.4355,0.8533,1w
2024-05-03,chop,up,up,1,3.1736,0.764,1w
2024-05-10,high_volatility,up,down,0,-37.8867,0.7067,1w
2024-05-17,high_volatility,neutral,down,0,-16.5469,0.4653,1w
2024-05-24,chop,down,down,1,-14.6201,0.4093,1w
2024-05-31,high_volatility,down,down,1,-8.6987,0.2,1w
2024-06-07,trending_bear,down,up,0,13.3721,0.292,1w
2024-06-14,trending_bear,down,down,1,-7.76,0.3733,1w
2024-06-21,trending_bear,down,up,0,13.3427,0.296,1w
2024-06-28,crisis,down,down,1,-9.6876,0.416,1w
2024-07-05,high_volatility,down,down,1,-11.9538,0.3893,1w
2024-07-12,chop,down,down,1,-13.5763,0.3387,1w
2024-07-19,chop,down,down,1,-12.6491,0.3893,1w
2024-07-26,chop,down,up,0,9.2934,0.368,1w
2024-08-02,chop,down,up,0,13.0201,0.4253,1w
2024-08-09,chop,down,up,0,22.1787,0.396,1w
2024-08-16,chop,neutral,up,0,6.5956,0.4653,1w
2024-08-23,chop,neutral,up,0,15.7721,0.5173,1w
2024-08-30,chop,down,down,1,-7.1195,0.4253,1w
2024-09-06,trending_bull,neutral,down,0,-17.3449,0.4987,1w
2024-09-13,chop,up,down,0,-11.0588,0.58,1w
2024-09-20,chop,neutral,down,0,-12.6503,0.4947,1w
2024-09-27,chop,down,down,1,-15.5978,0.4333,1w
2024-10-04,chop,neutral,down,0,-6.7039,0.524,1w
2024-10-11,chop,down,up,0,17.2164,0.4333,1w
2024-10-18,trending_bear,down,up,0,47.4299,0.2747,1w
2024-10-25,trending_bear,down,up,0,40.6163,0.3573,1w
2024-11-01,chop,down,up,0,4.1566,0.3653,1w
2024-11-08,trending_bull,neutral,down,0,-3.6112,0.5453,1w
2024-11-15,trending_bull,neutral,up,0,13.3945,0.5427,1w
2024-11-22,trending_bull,neutral,up,0,18.913,0.536,1w
2024-11-29,chop,up,up,1,8.4139,0.6133,1w
2024-12-06,trending_bull,up,down,0,-14.192,0.7333,1w
2024-12-13,trending_bull,up,down,0,-3.8404,0.7347,1w
2024-12-20,trending_bull,up,up,1,11.8746,0.752,1w
2024-12-27,chop,up,down,0,-8.2159,0.7213,1w
2025-01-03,chop,up,down,0,-5.0995,0.6467,1w
2025-01-10,chop,up,down,0,-8.4506,0.5787,1w
2025-01-17,chop,down,down,1,-18.5875,0.416,1w
2025-01-24,chop,up,down,0,-25.7955,0.6173,1w
2025-01-31,chop,neutral,down,0,-5.3104,0.5013,1w
2025-02-07,trending_bear,down,down,1,-15.0215,0.2613,1w
2025-02-14,trending_bear,down,down,1,-19.0239,0.256,1w
2025-02-21,trending_bear,down,down,1,-29.0178,0.2787,1w
2025-02-28,trending_bear,down,down,1,-24.7089,0.2253,1w
2025-03-07,trending_bear,down,down,1,-11.8306,0.1867,1w
2025-03-14,trending_bear,down,up,0,3.9587,0.1413,1w
2025-03-21,trending_bear,down,down,1,-16.3734,0.1693,1w
2025-03-28,trending_bear,down,down,1,-17.5499,0.156,1w
