date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,neutral,down,0,-5.0304,0.4907,1w
2021-01-13,trending_bear,down,down,1,-7.0158,0.3587,1w
2021-01-25,trending_bear,down,down,1,-15.6371,0.2253,1w
2021-02-03,trending_bear,down,down,1,-13.8832,0.296,1w
2021-02-12,trending_bear,down,down,1,-13.1802,0.2293,1w
2021-02-24,trending_bear,down,down,1,-1.5252,0.1427,1w
2021-03-05,trending_bear,down,up,0,1.3403,0.168,1w
2021-03-16,trending_bear,down,up,0,1.2119,0.12,1w
2021-03-25,trending_bear,down,down,1,-5.4311,0.216,1w
2021-04-06,chop,down,down,1,-13.0607,0.2747,1w
2021-04-15,chop,down,down,1,-10.003,0.2627,1w
2021-04-26,chop,down,down,1,-1.7369,0.2413,1w
2021-05-05,chop,down,up,0,4.2353,0.2253,1w
2021-05-14,chop,down,down,1,-8.3364,0.2853,1w
2021-05-25,chop,down,down,1,-5.4642,0.412,1w
2021-06-04,chop,down,down,1,-12.3953,0.4467,1w
2021-06-15,chop,down,up,0,0.5771,0.356,1w
2021-06-24,trending_bear,down,up,0,1.0936,0.3307,1w
2021-07-06,trending_bear,down,up,0,10.8952,0.252,1w
2021-07-15,chop,down,up,0,17.3248,0.3147,1w
2021-07-26,chop,down,up,0,8.2134,0.4093,1w
2021-08-04,chop,neutral,down,0,-13.9483,0.4707,1w
2021-08-13,chop,up,down,0,-18.3207,0.5827,1w
2021-08-24,chop,neutral,down,0,-29.2346,0.5013,1w
2021-09-02,trending_bear,down,down,1,-22.5186,0.2933,1w
2021-09-14,chop,neutral,down,0,-22.9786,0.4587,1w
2021-09-23,trending_bear,down,up,0,7.6645,0.224,1w
2021-10-04,trending_bear,down,up,0,7.1363,0.2253,1w
2021-10-13,trending_bear,down,up,0,11.9461,0.2307,1w
2021-10-22,trending_bear,down,up,0,1.6666,0.2827,1w
2021-11-02,trending_bear,down,up,0,14.2388,0.216,1w
2021-11-11,chop,down,down,1,-0.8735,0.2267,1w
2021-11-22,chop,down,up,0,3.1734,0.2893,1w
2021-12-02,chop,down,down,1,-1.3498,0.412,1w
2021-12-13,chop,down,up,0,0.6074,0.3893,1w
2021-12-22,chop,up,up,1,7.3696,0.6693,1w
2022-01-03,chop,up,up,1,14.8853,0.6173,1w
2022-01-12,chop,up,up,1,8.8913,0.6467,1w
2022-01-24,chop,up,down,0,-3.1131,0.6173,1w
2022-02-02,chop,up,down,0,-8.5176,0.752,1w
2022-02-11,trending_bull,up,down,0,-11.72,0.5987,1w
2022-02-23,chop,neutral,up,0,16.9776,0.5387,1w
2022-03-04,chop,neutral,up,0,11.7024,0.4907,1w
2022-03-15,chop,down,up,0,7.3849,0.424,1w
2022-03-24,chop,up,down,0,-0.954,0.6027,1w
2022-04-04,trending_bull,up,down,0,-12.091,0.6173,1w
2022-04-13,chop,up,down,0,-8.5336,0.5907,1w
2022-04-25,chop,neutral,up,0,0.7437,0.508,1w
2022-05-04,chop,down,up,0,24.6211,0.3027,1w
2022-05-13,trending_bear,down,up,0,38.9499,0.352,1w
2022-05-24,chop,up,up,1,22.3053,0.656,1w
2022-06-03,trending_bull,up,up,1,11.1807,0.7427,1w
2022-06-14,trending_bull,up,up,1,6.3331,0.7987,1w
2022-06-24,high_volatility,up,up,1,5.1669,0.7613,1w
2022-07-06,trending_bull,up,up,1,8.5746,0.7427,1w
2022-07-15,trending_bull,up,down,0,-2.5421,0.824,1w
2022-07-26,trending_bull,up,neutral,0,-0.2996,0.8493,1w
2022-08-04,trending_bull,up,up,1,6.6355,0.924,1w
2022-08-15,trending_bull,up,up,1,7.3218,0.9227,1w
2022-08-24,chop,up,down,0,-2.5635,0.808,1w
2022-09-02,trending_bull,up,down,0,-7.7446,0.8253,1w
2022-09-14,trending_bull,up,up,1,3.7569,0.668,1w
2022-09-23,chop,neutral,up,0,6.5692,0.5413,1w
2022-10-04,chop,up,up,1,8.1849,0.5747,1w
2022-10-13,high_volatility,neutral,up,0,7.1903,0.5107,1w
2022-10-24,high_volatility,neutral,up,0,18.9162,0.5453,1w
2022-11-02,high_volatility,neutral,up,0,7.2562,0.5467,1w
2022-11-11,high_volatility,up,up,1,3.2979,0.668,1w
2022-11-22,high_volatility,up,down,0,-3.3386,0.72,1w
2022-12-02,trending_bull,up,down,0,-5.8401,0.5827,1w
2022-12-13,trending_bull,up,up,1,2.2304,0.7293,1w
2022-12-22,high_volatility,up,up,1,4.0651,0.724,1w
2023-01-04,chop,up,up,1,11.672,0.6107,1w
2023-01-13,chop,up,up,1,1.436,0.5907,1w
2023-01-25,chop,up,down,0,-8.7062,0.7387,1w
2023-02-03,chop,up,down,0,-10.5495,0.656,1w
2023-02-14,high_volatility,neutral,down,0,-16.5944,0.4653,1w
2023-02-24,crisis,down,down,1,-8.125,0.3173,1w
2023-03-07,high_volatility,down,down,1,-12.7545,0.3187,1w
2023-03-16,crisis,down,down,1,-7.3249,0.288,1w
2023-03-27,high_volatility,down,down,1,-6.138,0.296,1w
2023-04-05,trending_bear,down,up,0,1.9224,0.304,1w
2023-04-17,trending_bear,down,up,0,2.2974,0.2373,1w
2023-04-26,trending_bear,down,neutral,0,-0.446,0.216,1w
2023-05-05,trending_bear,down,down,1,-7.4085,0.2507,1w
2023-05-16,chop,down,up,0,8.7869,0.2587,1w
2023-05-25,chop,down,up,0,10.4989,0.2893,1w
2023-06-06,chop,down,up,0,25.5975,0.2413,1w
2023-06-15,chop,neutral,up,0,8.5496,0.4973,1w
2023-06-27,trending_bull,neutral,down,0,-0.7901,0.5293,1w
2023-07-07,trending_bull,up,down,0,-9.1552,0.6787,1w
2023-07-18,trending_bull,up,neutral,0,-0.4831,0.6787,1w
2023-07-27,trending_bull,up,up,1,4.2545,0.62,1w
2023-08-07,chop,neutral,up,0,10.574,0.5227,1w
2023-08-16,chop,up,down,0,-5.7746,0.628,1w
2023-08-25,chop,up,down,0,-8.7915,0.656,1w
2023-09-06,trending_bull,up,down,0,-9.9732,0.7293,1w
2023-09-15,trending_bear,neutral,down,0,-1.3591,0.4707,1w
2023-09-26,trending_bear,down,down,1,-6.308,0.376,1w
2023-10-05,trending_bear,down,down,1,-1.221,0.2947,1w
2023-10-16,trending_bear,down,up,0,5.9617,0.3347,1w
2023-10-25,trending_bear,down,up,0,5.8774,0.3027,1w
2023-11-03,trending_bear,down,up,0,10.2936,0.3653,1w
2023-11-14,trending_bull,down,down,1,-12.1124,0.4013,1w
2023-11-24,chop,down,down,1,-13.6468,0.3147,1w
2023-12-05,chop,down,down,1,-19.8878,0.392,1w
