date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-6.6497,0.588,1w
2021-01-13,chop,up,down,0,-6.9525,0.5733,1w
2021-01-25,high_volatility,down,neutral,0,-0.3469,0.2747,1w
2021-02-03,crisis,down,down,1,-5.2411,0.3467,1w
2021-02-12,high_volatility,down,down,1,-4.9118,0.284,1w
2021-02-24,crisis,down,up,0,2.1897,0.2933,1w
2021-03-05,high_volatility,down,up,0,5.4256,0.312,1w
2021-03-16,crisis,down,up,0,3.0347,0.2413,1w
2021-03-25,high_volatility,down,down,1,-5.8863,0.38,1w
2021-04-06,chop,down,down,1,-3.4225,0.392,1w
2021-04-15,chop,down,down,1,-3.3076,0.3507,1w
2021-04-26,chop,down,up,0,1.6549,0.424,1w
2021-05-05,chop,down,up,0,3.1911,0.4067,1w
2021-05-14,high_volatility,neutral,down,0,-6.4773,0.4667,1w
2021-05-25,high_volatility,neutral,down,0,-9.6586,0.5133,1w
2021-06-04,high_volatility,up,down,0,-13.4169,0.5707,1w
2021-06-15,high_volatility,down,up,0,4.172,0.4467,1w
2021-06-24,chop,down,up,0,8.9184,0.312,1w
2021-07-06,chop,down,up,0,21.8798,0.296,1w
2021-07-15,chop,down,up,0,13.4772,0.4253,1w
2021-07-26,chop,neutral,up,0,1.6257,0.5053,1w
2021-08-04,trending_bull,up,down,0,-14.4353,0.5707,1w
2021-08-13,trending_bull,up,down,0,-17.1919,0.6387,1w
2021-08-24,trending_bull,neutral,down,0,-10.7611,0.4947,1w
2021-09-02,trending_bear,down,down,1,-2.3548,0.3507,1w
2021-09-14,trending_bear,neutral,down,0,-7.7604,0.4853,1w
2021-09-23,trending_bear,down,up,0,3.2906,0.4213,1w
2021-10-04,trending_bear,neutral,down,0,-4.0769,0.476,1w
2021-10-13,trending_bear,down,up,0,12.3433,0.2947,1w
2021-10-22,chop,down,up,0,10.1778,0.3467,1w
2021-11-02,chop,down,up,0,21.4104,0.224,1w
2021-11-11,high_volatility,down,up,0,5.4656,0.344,1w
2021-11-22,trending_bull,down,neutral,0,-0.1631,0.436,1w
2021-12-02,trending_bull,up,down,0,-3.6648,0.6307,1w
2021-12-13,trending_bull,up,down,0,-3.8863,0.632,1w
2021-12-22,trending_bull,up,up,1,3.1206,0.668,1w
2022-01-03,chop,up,up,1,8.0707,0.5707,1w
2022-01-12,chop,up,up,1,6.7878,0.6733,1w
2022-01-24,chop,up,up,1,10.2107,0.668,1w
2022-02-02,chop,up,up,1,4.2296,0.7573,1w
2022-02-11,trending_bull,up,up,1,0.6801,0.6173,1w
2022-02-23,trending_bull,up,up,1,2.5965,0.616,1w
2022-03-04,trending_bull,up,up,1,5.5045,0.6173,1w
2022-03-15,chop,neutral,up,0,1.0073,0.544,1w
2022-03-24,chop,up,down,0,-1.9646,0.6973,1w
2022-04-04,chop,up,down,0,-4.7487,0.7253,1w
2022-04-13,chop,up,down,0,-2.7431,0.6573,1w
2022-04-25,chop,up,down,0,-4.1293,0.5907,1w
2022-05-04,chop,neutral,down,0,-4.1288,0.4947,1w
2022-05-13,chop,neutral,up,0,5.4812,0.4907,1w
2022-05-24,chop,down,up,0,8.6098,0.3733,1w
2022-06-03,high_volatility,down,up,0,4.6187,0.3787,1w
2022-06-14,chop,neutral,up,0,3.5326,0.516,1w
2022-06-24,chop,neutral,neutral,0,-0.447,0.488,1w
2022-07-06,chop,down,up,0,1.6405,0.4253,1w
2022-07-15,chop,neutral,down,0,-7.7252,0.5253,1w
2022-07-26,chop,up,down,0,-11.1333,0.5627,1w
2022-08-04,chop,neutral,down,0,-4.049,0.5107,1w
2022-08-15,chop,neutral,up,0,1.8931,0.4587,1w
2022-08-24,trending_bear,neutral,down,0,-1.0643,0.484,1w
2022-09-02,trending_bear,neutral,down,0,-4.6053,0.5027,1w
2022-09-14,trending_bear,down,down,1,-3.9688,0.3733,1w
2022-09-23,chop,down,down,1,-4.2996,0.296,1w
2022-10-04,chop,down,down,1,-4.509,0.3467,1w
2022-10-13,chop,down,down,1,-1.2098,0.2013,1w
2022-10-24,trending_bear,down,up,0,14.3188,0.1467,1w
2022-11-02,trending_bear,down,up,0,9.6495,0.1867,1w
2022-11-11,chop,down,up,0,8.7825,0.3813,1w
2022-11-22,trending_bull,neutral,up,0,8.1828,0.5173,1w
2022-12-02,trending_bull,neutral,up,0,3.0117,0.4787,1w
2022-12-13,trending_bull,up,down,0,-6.1847,0.6173,1w
2022-12-22,trending_bull,up,down,0,-0.7895,0.708,1w
2023-01-04,trending_bull,up,up,1,3.2217,0.6067,1w
2023-01-13,trending_bull,up,neutral,0,0.4799,0.6173,1w
2023-01-25,chop,up,down,0,-2.537,0.8013,1w
2023-02-03,chop,up,up,1,1.5251,0.7253,1w
2023-02-14,chop,up,up,1,4.5749,0.5627,1w
2023-02-24,chop,neutral,neutral,0,0.4128,0.5293,1w
2023-03-07,chop,up,down,0,-1.7555,0.58,1w
2023-03-16,chop,down,neutral,0,0.0052,0.412,1w
2023-03-27,chop,down,up,0,2.3845,0.372,1w
2023-04-05,chop,up,up,1,3.3708,0.5533,1w
2023-04-17,high_volatility,neutral,up,0,13.8943,0.5227,1w
2023-04-26,high_volatility,neutral,up,0,15.1211,0.5027,1w
2023-05-05,high_volatility,up,up,1,16.234,0.584,1w
2023-05-16,chop,up,up,1,8.4016,0.7,1w
2023-05-25,crisis,up,down,0,-2.0107,0.7333,1w
2023-06-06,high_volatility,up,down,0,-1.7143,0.7,1w
2023-06-15,trending_bull,up,up,1,1.3856,0.7253,1w
2023-06-27,trending_bull,up,neutral,0,-0.1103,0.6947,1w
2023-07-07,trending_bull,up,down,0,-11.6935,0.704,1w
2023-07-18,trending_bull,up,down,0,-6.4103,0.7573,1w
2023-07-27,crisis,up,down,0,-0.7872,0.6187,1w
2023-08-07,crisis,neutral,up,0,9.2452,0.4827,1w
2023-08-16,high_volatility,neutral,neutral,0,0.4338,0.524,1w
2023-08-25,high_volatility,down,down,1,-1.8584,0.4213,1w
2023-09-06,high_volatility,down,up,0,6.8292,0.376,1w
2023-09-15,chop,down,neutral,0,0.2308,0.4213,1w
2023-09-26,chop,neutral,down,0,-1.1959,0.4707,1w
2023-10-05,chop,neutral,down,0,-1.0242,0.456,1w
2023-10-16,chop,down,down,1,-6.4398,0.408,1w
2023-10-25,chop,neutral,down,0,-6.7689,0.4893,1w
2023-11-03,chop,up,neutral,0,0.3217,0.6133,1w
2023-11-14,chop,down,up,0,2.4911,0.4013,1w
2023-11-24,chop,down,down,1,-2.0425,0.3653,1w
2023-12-05,chop,neutral,up,0,2.0383,0.4987,1w
2023-12-14,chop,down,down,1,-0.5964,0.404,1w
