date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,neutral,0,-0.2934,0.668,1w
2021-01-13,trending_bull,up,down,0,-2.3676,0.6787,1w
2021-01-25,trending_bull,up,down,0,-2.6705,0.6173,1w
2021-02-03,high_volatility,up,up,1,5.4737,0.58,1w
2021-02-12,chop,up,up,1,8.089,0.6267,1w
2021-02-24,trending_bear,neutral,up,0,13.4333,0.528,1w
2021-03-05,crisis,up,up,1,5.3773,0.7947,1w
2021-03-16,crisis,up,up,1,6.451,0.7267,1w
2021-03-25,trending_bull,up,up,1,3.9507,0.7253,1w
2021-04-06,trending_bull,up,down,0,-2.0566,0.7693,1w
2021-04-15,high_volatility,up,down,0,-2.8779,0.744,1w
2021-04-26,trending_bull,up,up,1,0.5582,0.7293,1w
2021-05-05,crisis,up,up,1,2.32,0.6693,1w
2021-05-14,crisis,up,down,0,-6.7008,0.7213,1w
2021-05-25,high_volatility,up,down,0,-9.5969,0.7947,1w
2021-06-04,high_volatility,up,down,0,-8.2099,0.616,1w
2021-06-15,crisis,down,up,0,4.2349,0.3973,1w
2021-06-24,crisis,down,up,0,2.3504,0.384,1w
2021-07-06,crisis,down,up,0,5.0527,0.344,1w
2021-07-15,chop,down,up,0,9.8458,0.3147,1w
2021-07-26,chop,down,up,0,7.3498,0.3787,1w
2021-08-04,chop,down,up,0,3.2358,0.4467,1w
2021-08-13,chop,up,down,0,-2.2571,0.5573,1w
2021-08-24,trending_bull,neutral,down,0,-3.6821,0.484,1w
2021-09-02,chop,neutral,down,0,-12.7213,0.4827,1w
2021-09-14,chop,up,down,0,-20.8866,0.7267,1w
2021-09-23,chop,up,down,0,-12.39,0.588,1w
2021-10-04,crisis,down,down,1,-2.3495,0.3333,1w
2021-10-13,crisis,down,up,0,9.2967,0.2267,1w
2021-10-22,crisis,down,up,0,9.3307,0.2933,1w
2021-11-02,high_volatility,down,up,0,10.402,0.292,1w
2021-11-11,high_volatility,down,up,0,9.5243,0.2853,1w
2021-11-22,chop,down,up,0,1.7394,0.3387,1w
2021-12-02,trending_bull,down,neutral,0,-0.2628,0.4067,1w
2021-12-13,trending_bull,down,down,1,-2.2409,0.4067,1w
2021-12-22,trending_bull,down,down,1,-1.8736,0.4333,1w
2022-01-03,chop,up,down,0,-1.0155,0.5587,1w
2022-01-12,chop,up,down,0,-3.0638,0.724,1w
2022-01-24,chop,up,down,0,-0.8654,0.62,1w
