date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-5.4945,0.4907,1w
2021-01-13,chop,down,down,1,-5.4758,0.336,1w
2021-01-25,chop,down,up,0,9.3001,0.2973,1w
2021-02-03,chop,down,up,0,17.5595,0.2947,1w
2021-02-12,chop,down,up,0,15.0134,0.236,1w
2021-02-24,chop,down,up,0,19.8452,0.3867,1w
2021-03-05,chop,neutral,up,0,11.193,0.5387,1w
2021-03-16,trending_bull,up,up,1,2.9161,0.6227,1w
2021-03-25,trending_bull,up,down,0,-15.9483,0.6333,1w
2021-04-06,chop,up,down,0,-23.3038,0.656,1w
2021-04-15,chop,up,down,0,-47.8596,0.6413,1w
2021-04-26,chop,up,down,0,-25.8093,0.58,1w
2021-05-05,trending_bear,neutral,down,0,-14.5055,0.5013,1w
2021-05-14,trending_bear,down,down,1,-2.7444,0.184,1w
2021-05-25,trending_bear,down,down,1,-8.0097,0.2333,1w
2021-06-04,trending_bear,down,down,1,-22.4859,0.2733,1w
2021-06-15,trending_bear,down,down,1,-10.6355,0.168,1w
2021-06-24,trending_bear,down,down,1,-18.3521,0.1413,1w
2021-07-06,trending_bear,down,up,0,7.5912,0.128,1w
2021-07-15,trending_bear,down,up,0,21.4804,0.1093,1w
2021-07-26,chop,down,up,0,15.2023,0.168,1w
2021-08-04,chop,down,down,1,-12.9811,0.2413,1w
2021-08-13,chop,neutral,down,0,-2.583,0.4947,1w
2021-08-24,chop,down,down,1,-8.1352,0.4213,1w
2021-09-02,chop,down,up,0,14.6175,0.296,1w
2021-09-14,chop,neutral,up,0,6.6919,0.4987,1w
2021-09-23,chop,down,up,0,25.5572,0.4013,1w
2021-10-04,chop,up,neutral,0,-0.3441,0.6173,1w
2021-10-13,chop,up,up,1,16.7277,0.6173,1w
2021-10-22,chop,up,up,1,9.6879,0.6267,1w
2021-11-02,chop,neutral,up,0,18.2148,0.532,1w
2021-11-11,chop,up,down,0,-6.4783,0.584,1w
2021-11-22,chop,up,down,0,-8.1395,0.5693,1w
2021-12-02,chop,up,down,0,-11.8449,0.6413,1w
2021-12-13,chop,up,down,0,-1.8847,0.5573,1w
2021-12-22,chop,up,down,0,-7.7892,0.6507,1w
2022-01-03,chop,down,down,1,-9.6738,0.4467,1w
2022-01-12,chop,neutral,down,0,-17.2178,0.5413,1w
2022-01-24,chop,down,down,1,-18.6603,0.4427,1w
2022-02-02,chop,neutral,down,0,-16.276,0.4707,1w
2022-02-11,chop,down,down,1,-4.7341,0.216,1w
2022-02-23,chop,down,up,0,9.6241,0.156,1w
2022-03-04,trending_bear,down,up,0,23.6813,0.1467,1w
2022-03-15,trending_bear,down,up,0,6.5029,0.24,1w
2022-03-24,trending_bear,down,up,0,5.2239,0.296,1w
2022-04-04,chop,down,down,1,-6.6934,0.3787,1w
2022-04-13,chop,down,down,1,-11.6758,0.3733,1w
2022-04-25,chop,down,down,1,-15.0398,0.3733,1w
2022-05-04,chop,down,down,1,-13.8063,0.4107,1w
2022-05-13,chop,down,down,1,-10.937,0.3973,1w
2022-05-24,chop,neutral,down,0,-4.5139,0.4707,1w
2022-06-03,trending_bear,down,down,1,-6.1433,0.4467,1w
2022-06-14,chop,down,up,0,18.7836,0.3213,1w
2022-06-24,chop,down,up,0,24.8619,0.216,1w
2022-07-06,chop,down,up,0,8.5868,0.108,1w
2022-07-15,trending_bull,down,down,1,-14.8151,0.3467,1w
2022-07-26,trending_bull,down,down,1,-4.5402,0.4213,1w
2022-08-04,trending_bull,down,down,1,-3.1092,0.3467,1w
2022-08-15,chop,down,down,1,-3.4542,0.4067,1w
2022-08-24,chop,neutral,down,0,-14.8398,0.5147,1w
2022-09-02,chop,neutral,down,0,-11.7958,0.456,1w
2022-09-14,chop,neutral,down,0,-7.069,0.4707,1w
2022-09-23,chop,down,up,0,13.6082,0.392,1w
2022-10-04,chop,down,down,1,-11.8812,0.368,1w
2022-10-13,chop,down,down,1,-15.5555,0.2347,1w
2022-10-24,chop,down,up,0,1.4147,0.34,1w
2022-11-02,chop,down,up,0,25.7049,0.2307,1w
2022-11-11,chop,down,up,0,21.2723,0.2747,1w
2022-11-22,chop,down,up,0,10.7965,0.4067,1w
2022-12-02,chop,neutral,down,0,-5.8626,0.5293,1w
2022-12-13,chop,neutral,down,0,-19.7452,0.5133,1w
2022-12-22,chop,up,down,0,-23.5479,0.6573,1w
2023-01-04,chop,up,down,0,-17.4147,0.5573,1w
2023-01-13,chop,down,down,1,-8.9172,0.424,1w
2023-01-25,chop,down,down,1,-5.3498,0.408,1w
2023-02-03,chop,down,up,0,7.8224,0.4253,1w
2023-02-14,chop,down,up,0,24.8946,0.3507,1w
2023-02-24,chop,down,up,0,14.4853,0.312,1w
2023-03-07,chop,down,up,0,46.8406,0.3547,1w
2023-03-16,trending_bull,down,up,0,22.8007,0.3813,1w
2023-03-27,trending_bull,down,up,0,24.3728,0.3147,1w
2023-04-05,high_volatility,up,down,0,-10.3405,0.704,1w
2023-04-17,crisis,up,up,1,9.0643,0.7307,1w
2023-04-26,high_volatility,up,up,1,1.9012,0.7253,1w
2023-05-05,high_volatility,up,down,0,-7.3986,0.7547,1w
2023-05-16,trending_bull,up,down,0,-17.7658,0.8147,1w
2023-05-25,trending_bull,up,down,0,-21.9448,0.7693,1w
2023-06-06,chop,up,down,0,-4.5255,0.6467,1w
2023-06-15,chop,neutral,up,0,7.947,0.5453,1w
2023-06-27,chop,neutral,down,0,-1.8487,0.524,1w
2023-07-07,chop,down,down,1,-21.0443,0.2973,1w
2023-07-18,chop,down,down,1,-10.7143,0.424,1w
2023-07-27,chop,down,down,1,-2.4281,0.3,1w
2023-08-07,chop,down,up,0,1.1293,0.2133,1w
2023-08-16,trending_bear,down,up,0,11.3513,0.2493,1w
2023-08-25,chop,down,up,0,10.5354,0.2573,1w
2023-09-06,chop,down,up,0,37.581,0.22,1w
2023-09-15,chop,neutral,up,0,8.046,0.4947,1w
2023-09-26,chop,neutral,up,0,19.5719,0.5293,1w
2023-10-05,chop,neutral,up,0,12.9032,0.4853,1w
2023-10-16,chop,neutral,down,0,-4.9231,0.524,1w
2023-10-25,trending_bull,up,down,0,-17.6676,0.656,1w
2023-11-03,trending_bull,up,down,0,-9.0599,0.7347,1w
2023-11-14,chop,up,down,0,-6.4391,0.5573,1w
2023-11-24,chop,neutral,down,0,-8.2237,0.544,1w
2023-12-05,chop,up,down,0,-6.7742,0.6987,1w
2023-12-14,chop,neutral,down,0,-6.0811,0.4667,1w
2023-12-26,chop,down,down,1,-5.9859,0.3467,1w
2024-01-05,chop,down,down,1,-1.855,0.412,1w
2024-01-17,chop,down,down,1,-7.7055,0.3547,1w
2024-01-26,chop,down,down,1,-3.4296,0.1867,1w
2024-02-06,chop,down,down,1,-1.3103,0.34,1w
2024-02-15,chop,down,up,0,35.1609,0.3253,1w
2024-02-27,chop,down,up,0,25.8846,0.376,1w
2024-03-07,chop,down,down,1,-14.5188,0.388,1w
2024-03-18,chop,up,down,0,-7.6487,0.6173,1w
2024-03-27,chop,up,down,0,-6.577,0.6,1w
2024-04-08,high_volatility,down,down,1,-7.0826,0.3893,1w
2024-04-17,high_volatility,up,down,0,-11.9966,0.5507,1w
2024-04-26,chop,up,down,0,-1.9901,0.5587,1w
2024-05-07,chop,neutral,up,0,41.3113,0.4653,1w
2024-05-16,chop,neutral,up,0,41.0473,0.5147,1w
2024-05-28,chop,up,up,1,34.0357,0.5693,1w
2024-06-06,high_volatility,up,up,1,3.2258,0.6653,1w
2024-06-17,trending_bull,up,up,1,7.2839,0.5853,1w
2024-06-27,trending_bull,up,down,0,-3.2297,0.6093,1w
2024-07-09,high_volatility,up,down,0,-7.1198,0.7293,1w
2024-07-18,high_volatility,up,down,0,-5.5367,0.6773,1w
2024-07-29,chop,up,up,1,12.7044,0.6573,1w
2024-08-07,chop,up,up,1,4.5767,0.7547,1w
2024-08-16,crisis,up,up,1,16.5299,0.7347,1w
2024-08-27,high_volatility,up,up,1,35.7768,0.7533,1w
2024-09-06,high_volatility,up,up,1,49.8409,0.5653,1w
2024-09-17,crisis,up,up,1,32.1092,0.6613,1w
2024-09-26,crisis,up,up,1,3.7429,0.7573,1w
2024-10-07,crisis,up,down,0,-20.6696,0.7693,1w
2024-10-16,crisis,up,down,0,-19.5682,0.7707,1w
2024-10-25,high_volatility,up,up,1,6.8829,0.768,1w
2024-11-05,high_volatility,up,up,1,25.9422,0.6173,1w
2024-11-14,high_volatility,up,up,1,40.0,0.668,1w
2024-11-25,high_volatility,up,up,1,9.652,0.704,1w
