date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.3584,0.28,1w
2021-01-13,chop,down,down,1,-2.7196,0.1947,1w
2021-01-25,trending_bear,down,down,1,-1.9551,0.2253,1w
2021-02-03,trending_bear,down,down,1,-1.5212,0.1573,1w
2021-02-12,crisis,down,down,1,-2.3462,0.0787,1w
2021-02-24,high_volatility,down,down,1,-1.7512,0.1347,1w
2021-03-05,crisis,down,down,1,-3.0737,0.1413,1w
2021-03-16,crisis,down,down,1,-2.6333,0.072,1w
2021-03-25,crisis,down,down,1,-3.6054,0.0773,1w
2021-04-06,crisis,down,down,1,-4.0243,0.1093,1w
2021-04-15,crisis,down,down,1,-1.6109,0.076,1w
2021-04-26,crisis,down,down,1,-0.6067,0.06,1w
2021-05-05,crisis,down,neutral,0,0.1509,0.0653,1w
2021-05-14,crisis,down,down,1,-2.6638,0.1227,1w
2021-05-25,high_volatility,down,down,1,-2.1405,0.144,1w
2021-06-04,high_volatility,down,neutral,0,-0.0993,0.108,1w
2021-06-15,crisis,down,up,0,3.0569,0.096,1w
2021-06-24,crisis,down,up,0,2.0967,0.172,1w
2021-07-06,high_volatility,down,up,0,1.9438,0.2253,1w
2021-07-15,high_volatility,down,up,0,1.0451,0.2813,1w
2021-07-26,high_volatility,down,down,1,-1.2185,0.3947,1w
2021-08-04,high_volatility,neutral,down,0,-3.4629,0.4667,1w
2021-08-13,high_volatility,neutral,down,0,-3.8536,0.4693,1w
2021-08-24,chop,down,down,1,-3.4987,0.324,1w
2021-09-02,chop,down,down,1,-3.2257,0.2947,1w
2021-09-14,chop,down,down,1,-3.5387,0.428,1w
2021-09-23,trending_bear,down,down,1,-3.3171,0.2267,1w
2021-10-04,crisis,down,down,1,-2.1546,0.2013,1w
2021-10-13,high_volatility,down,up,0,1.7024,0.1453,1w
2021-10-22,crisis,down,up,0,3.7603,0.0733,1w
2021-11-02,high_volatility,down,up,0,4.6546,0.076,1w
2021-11-11,crisis,down,up,0,2.6191,0.1587,1w
2021-11-22,trending_bull,down,up,0,1.3861,0.2347,1w
2021-12-02,trending_bull,down,down,1,-1.5191,0.376,1w
2021-12-13,trending_bull,down,up,0,1.0534,0.4227,1w
2021-12-22,trending_bull,neutral,up,0,2.0039,0.5173,1w
2022-01-03,trending_bull,neutral,up,0,2.9939,0.4653,1w
2022-01-12,chop,up,down,0,-0.9588,0.7107,1w
2022-01-24,trending_bull,up,down,0,-2.4608,0.768,1w
2022-02-02,trending_bull,up,down,0,-2.7515,0.752,1w
2022-02-11,chop,up,up,1,1.1582,0.58,1w
2022-02-23,chop,neutral,up,0,3.3681,0.456,1w
2022-03-04,chop,down,up,0,3.861,0.296,1w
2022-03-15,high_volatility,down,up,0,0.7808,0.424,1w
2022-03-24,high_volatility,neutral,up,0,1.3666,0.5413,1w
2022-04-04,chop,up,neutral,0,-0.3087,0.5693,1w
2022-04-13,chop,down,neutral,0,0.493,0.4093,1w
2022-04-25,chop,down,down,1,-1.7189,0.424,1w
2022-05-04,chop,down,down,1,-1.3172,0.4493,1w
2022-05-13,chop,neutral,down,0,-0.8932,0.4907,1w
2022-05-24,chop,neutral,up,0,1.1778,0.4907,1w
2022-06-03,chop,neutral,down,0,-1.4645,0.5293,1w
2022-06-14,chop,down,neutral,0,-0.1463,0.3693,1w
