date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,1.9592,0.412,1w
2021-01-13,chop,down,up,0,0.6464,0.2853,1w
2021-01-25,chop,down,up,0,10.1018,0.376,1w
2021-02-03,chop,down,neutral,0,-0.3797,0.4213,1w
2021-02-12,chop,down,down,1,-17.609,0.396,1w
2021-02-24,chop,down,down,1,-15.1292,0.4253,1w
2021-03-05,chop,down,down,1,-7.0894,0.404,1w
2021-03-16,chop,down,down,1,-12.769,0.296,1w
2021-03-25,chop,down,down,1,-23.0935,0.424,1w
2021-04-06,chop,down,down,1,-13.7427,0.3733,1w
2021-04-15,chop,down,down,1,-7.5654,0.256,1w
2021-04-26,chop,down,down,1,-9.3333,0.2787,1w
2021-05-05,trending_bear,down,down,1,-5.0283,0.2733,1w
2021-05-14,trending_bear,down,up,0,3.248,0.1933,1w
2021-05-25,trending_bear,down,down,1,-1.5922,0.1533,1w
2021-06-04,trending_bear,down,down,1,-8.9595,0.248,1w
2021-06-15,trending_bear,down,down,1,-10.0625,0.3067,1w
2021-06-24,chop,down,down,1,-9.6564,0.2253,1w
2021-07-06,chop,down,up,0,2.2364,0.288,1w
2021-07-15,chop,down,up,0,8.0908,0.3253,1w
2021-07-26,chop,down,up,0,11.7532,0.352,1w
2021-08-04,chop,down,up,0,15.6962,0.4013,1w
2021-08-13,chop,down,up,0,3.1517,0.4253,1w
2021-08-24,chop,neutral,up,0,37.1787,0.5173,1w
2021-09-02,chop,neutral,up,0,8.6111,0.5173,1w
2021-09-14,chop,neutral,up,0,30.3268,0.4587,1w
2021-09-23,trending_bull,up,down,0,-7.2,0.6933,1w
2021-10-04,chop,up,up,1,7.5879,0.6133,1w
2021-10-13,chop,up,up,1,4.9628,0.6893,1w
2021-10-22,trending_bull,up,up,1,9.6172,0.6613,1w
2021-11-02,trending_bull,up,up,1,10.7143,0.66,1w
2021-11-11,trending_bull,up,up,1,25.9024,0.6733,1w
2021-11-22,trending_bull,up,down,0,-3.0763,0.668,1w
2021-12-02,trending_bull,up,up,1,1.603,0.6453,1w
2021-12-13,trending_bull,up,up,1,8.4064,0.784,1w
2021-12-22,trending_bull,neutral,up,0,5.1304,0.4933,1w
2022-01-03,trending_bull,up,down,0,-4.7177,0.684,1w
2022-01-12,trending_bull,up,down,0,-9.8393,0.736,1w
2022-01-24,trending_bull,up,down,0,-1.5716,0.6093,1w
2022-02-02,trending_bear,up,down,0,-9.2873,0.58,1w
2022-02-11,chop,up,down,0,-7.2848,0.5867,1w
2022-02-23,chop,neutral,down,0,-3.3993,0.4707,1w
2022-03-04,chop,down,up,0,9.7619,0.32,1w
2022-03-15,chop,down,up,0,17.3333,0.3027,1w
2022-03-24,trending_bear,down,up,0,5.9457,0.4467,1w
2022-04-04,chop,down,up,0,6.9426,0.412,1w
2022-04-13,chop,down,up,0,6.4503,0.4427,1w
2022-04-25,chop,neutral,up,0,10.4107,0.4907,1w
2022-05-04,chop,neutral,up,0,11.6129,0.5293,1w
2022-05-13,chop,up,down,0,-4.4562,0.5933,1w
2022-05-24,chop,up,down,0,-3.2176,0.5907,1w
2022-06-03,chop,up,down,0,-5.0352,0.684,1w
2022-06-14,chop,up,down,0,-6.7629,0.6267,1w
2022-06-24,chop,up,down,0,-12.4618,0.584,1w
2022-07-06,crisis,up,down,0,-10.6571,0.58,1w
2022-07-15,high_volatility,neutral,down,0,-8.3503,0.456,1w
