date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.8464,0.5747,1w
2021-01-13,high_volatility,up,down,0,-2.0865,0.5573,1w
2021-01-25,high_volatility,down,down,1,-9.4706,0.376,1w
2021-02-03,high_volatility,down,down,1,-15.8743,0.304,1w
2021-02-12,high_volatility,down,down,1,-23.6476,0.3067,1w
2021-02-24,crisis,down,up,0,14.6379,0.2133,1w
2021-03-05,crisis,down,up,0,25.8644,0.2373,1w
2021-03-16,high_volatility,down,up,0,12.9125,0.2347,1w
2021-03-25,chop,down,down,1,-6.3087,0.4133,1w
2021-04-06,chop,down,down,1,-12.7942,0.4347,1w
2021-04-15,chop,down,neutral,0,0.4471,0.3653,1w
2021-04-26,chop,down,up,0,22.4126,0.428,1w
2021-05-05,chop,down,up,0,16.6241,0.3893,1w
2021-05-14,crisis,down,down,1,-2.7329,0.4213,1w
2021-05-25,high_volatility,up,down,0,-12.0077,0.708,1w
2021-06-04,crisis,up,down,0,-19.9463,0.7253,1w
2021-06-15,high_volatility,up,down,0,-11.942,0.6267,1w
2021-06-24,high_volatility,neutral,up,0,1.2367,0.4707,1w
2021-07-06,chop,down,up,0,20.7968,0.384,1w
2021-07-15,trending_bear,down,up,0,40.294,0.412,1w
2021-07-26,chop,up,up,1,24.8467,0.5827,1w
2021-08-04,chop,up,up,1,9.3959,0.5653,1w
2021-08-13,trending_bull,up,up,1,4.9317,0.656,1w
2021-08-24,trending_bull,up,down,0,-5.3423,0.6,1w
2021-09-02,trending_bull,neutral,up,0,5.4651,0.5013,1w
2021-09-14,trending_bull,up,down,0,-18.0023,0.7453,1w
2021-09-23,high_volatility,up,neutral,0,0.2078,0.668,1w
2021-10-04,chop,up,down,0,-1.6844,0.768,1w
2021-10-13,high_volatility,up,up,1,25.3008,0.68,1w
2021-10-22,high_volatility,up,up,1,4.5497,0.632,1w
2021-11-02,chop,up,up,1,3.2906,0.6267,1w
2021-11-11,high_volatility,up,down,0,-20.2901,0.584,1w
2021-11-22,high_volatility,neutral,down,0,-17.6936,0.46,1w
2021-12-02,chop,neutral,down,0,-24.4258,0.524,1w
2021-12-13,chop,down,down,1,-6.9917,0.332,1w
2021-12-22,chop,down,up,0,17.059,0.3467,1w
2022-01-03,trending_bear,down,up,0,29.7804,0.2347,1w
2022-01-12,trending_bear,down,up,0,11.4354,0.4213,1w
2022-01-24,chop,down,down,1,-6.3215,0.448,1w
2022-02-02,trending_bull,up,down,0,-10.563,0.5587,1w
2022-02-11,chop,down,down,1,-20.798,0.2813,1w
2022-02-23,chop,down,down,1,-12.5533,0.3733,1w
2022-03-04,chop,down,down,1,-15.6441,0.376,1w
2022-03-15,chop,down,down,1,-4.9439,0.2947,1w
2022-03-24,chop,down,down,1,-19.2891,0.4293,1w
2022-04-04,chop,down,down,1,-10.7061,0.4093,1w
2022-04-13,chop,down,down,1,-1.0442,0.3067,1w
2022-04-25,chop,down,up,0,17.1247,0.156,1w
2022-05-04,trending_bear,down,up,0,14.7301,0.1373,1w
2022-05-13,chop,down,up,0,10.2737,0.2427,1w
2022-05-24,chop,down,up,0,10.0736,0.3213,1w
2022-06-03,chop,down,up,0,6.9739,0.3,1w
2022-06-14,chop,neutral,up,0,2.9232,0.5253,1w
2022-06-24,trending_bull,neutral,down,0,-7.5087,0.5013,1w
2022-07-06,chop,up,down,0,-15.7587,0.616,1w
2022-07-15,trending_bull,up,down,0,-22.3558,0.6107,1w
2022-07-26,chop,up,down,0,-7.3853,0.6387,1w
2022-08-04,chop,up,up,1,2.0585,0.5933,1w
2022-08-15,chop,down,up,0,2.1163,0.3293,1w
2022-08-24,chop,down,down,1,-11.8518,0.3733,1w
2022-09-02,chop,down,down,1,-16.3757,0.376,1w
2022-09-14,chop,down,down,1,-11.1293,0.1733,1w
2022-09-23,chop,down,down,1,-14.916,0.108,1w
2022-10-04,trending_bear,down,down,1,-19.6156,0.0533,1w
2022-10-13,chop,down,down,1,-31.9203,0.0933,1w
2022-10-24,chop,down,down,1,-6.4514,0.1347,1w
2022-11-02,trending_bear,down,down,1,-6.251,0.096,1w
2022-11-11,trending_bear,down,up,0,11.7619,0.1173,1w
2022-11-22,trending_bear,down,up,0,16.7998,0.168,1w
2022-12-02,chop,down,up,0,20.3596,0.1507,1w
2022-12-13,chop,down,down,1,-13.6678,0.2747,1w
2022-12-22,chop,down,down,1,-22.2718,0.4093,1w
2023-01-04,chop,down,down,1,-19.9514,0.376,1w
2023-01-13,chop,down,down,1,-5.2278,0.26,1w
2023-01-25,chop,down,up,0,1.4019,0.368,1w
2023-02-03,trending_bear,down,up,0,5.8131,0.3467,1w
2023-02-14,trending_bear,down,up,0,4.2805,0.3893,1w
2023-02-24,chop,down,down,1,-7.1548,0.4213,1w
2023-03-07,chop,neutral,up,0,0.9651,0.516,1w
2023-03-16,chop,down,down,1,-8.4042,0.356,1w
2023-03-27,chop,down,down,1,-10.7298,0.3027,1w
2023-04-05,chop,down,down,1,-0.691,0.4093,1w
2023-04-17,chop,down,up,0,11.522,0.436,1w
2023-04-26,chop,down,up,0,9.1632,0.448,1w
2023-05-05,chop,up,down,0,-9.8062,0.58,1w
2023-05-16,chop,neutral,down,0,-19.5805,0.536,1w
2023-05-25,chop,neutral,down,0,-21.2179,0.4707,1w
2023-06-06,chop,down,down,1,-15.7913,0.4427,1w
2023-06-15,chop,down,down,1,-5.5152,0.296,1w
2023-06-27,trending_bear,down,down,1,-3.6044,0.2493,1w
2023-07-07,chop,down,down,1,-12.0924,0.2173,1w
2023-07-18,chop,down,down,1,-15.638,0.2987,1w
2023-07-27,trending_bear,down,down,1,-2.9781,0.2693,1w
2023-08-07,chop,down,up,0,4.4776,0.1,1w
2023-08-16,trending_bear,down,up,0,13.0916,0.1347,1w
2023-08-25,chop,down,down,1,-2.2499,0.1973,1w
2023-09-06,chop,down,up,0,33.3671,0.2133,1w
2023-09-15,chop,down,up,0,6.5909,0.388,1w
2023-09-26,chop,down,neutral,0,-0.021,0.392,1w
2023-10-05,chop,up,down,0,-3.7331,0.5747,1w
2023-10-16,chop,neutral,up,0,10.117,0.4947,1w
2023-10-25,chop,neutral,up,0,15.902,0.5053,1w
2023-11-03,chop,up,up,1,2.8363,0.6587,1w
2023-11-14,chop,up,down,0,-2.2809,0.7013,1w
2023-11-24,chop,up,down,0,-17.854,0.62,1w
2023-12-05,chop,up,down,0,-10.4402,0.6987,1w
2023-12-14,chop,up,down,0,-5.2441,0.5667,1w
2023-12-26,chop,down,down,1,-3.6456,0.4213,1w
2024-01-05,chop,down,down,1,-12.2027,0.344,1w
2024-01-17,chop,down,down,1,-14.2681,0.428,1w
2024-01-26,chop,down,down,1,-8.4724,0.3947,1w
2024-02-06,chop,down,down,1,-1.2666,0.2693,1w
2024-02-15,chop,down,down,1,-4.4614,0.2667,1w
2024-02-27,chop,down,down,1,-5.7561,0.1627,1w
2024-03-07,chop,down,down,1,-29.7571,0.216,1w
2024-03-18,chop,down,down,1,-31.3125,0.256,1w
2024-03-27,chop,down,down,1,-17.4396,0.2613,1w
2024-04-08,trending_bear,down,down,1,-5.0107,0.124,1w
2024-04-17,trending_bear,down,up,0,11.7314,0.152,1w
2024-04-26,trending_bear,down,down,1,-1.8104,0.252,1w
2024-05-07,chop,down,up,0,7.5436,0.2947,1w
2024-05-16,chop,down,up,0,0.7882,0.268,1w
2024-05-28,chop,down,up,0,13.1257,0.296,1w
2024-06-06,chop,down,up,0,16.4401,0.376,1w
2024-06-17,chop,down,up,0,36.1631,0.304,1w
2024-06-27,chop,down,up,0,9.523,0.388,1w
2024-07-09,chop,up,up,1,6.3398,0.6613,1w
2024-07-18,trending_bull,up,down,0,-3.2316,0.7893,1w
2024-07-29,trending_bull,up,up,1,25.1584,0.6053,1w
2024-08-07,chop,up,down,0,-10.1288,0.676,1w
2024-08-16,trending_bull,up,up,1,4.1591,0.7,1w
