date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-21.203,0.6933,1w
2021-01-13,chop,up,down,0,-9.9907,0.58,1w
2021-01-25,chop,down,neutral,0,-0.2554,0.2333,1w
2021-02-03,trending_bear,down,down,1,-5.9029,0.376,1w
2021-02-12,chop,down,down,1,-8.8994,0.348,1w
2021-02-24,chop,down,up,0,6.03,0.3347,1w
2021-03-05,high_volatility,down,up,0,8.5549,0.3187,1w
2021-03-16,trending_bear,down,down,1,-8.3365,0.22,1w
2021-03-25,chop,down,down,1,-17.9059,0.304,1w
2021-04-06,chop,down,down,1,-8.5288,0.252,1w
2021-04-15,chop,down,down,1,-7.8463,0.224,1w
2021-04-26,chop,down,down,1,-1.4257,0.3507,1w
2021-05-05,chop,down,down,1,-2.4649,0.3707,1w
2021-05-14,chop,down,down,1,-9.1871,0.2787,1w
2021-05-25,chop,down,down,1,-12.5579,0.376,1w
2021-06-04,chop,neutral,down,0,-21.7305,0.4653,1w
2021-06-15,chop,down,down,1,-4.9724,0.2893,1w
2021-06-24,trending_bear,down,up,0,4.2464,0.1693,1w
2021-07-06,trending_bear,down,up,0,34.2333,0.16,1w
2021-07-15,trending_bear,down,up,0,25.2836,0.296,1w
2021-07-26,trending_bear,down,up,0,11.1611,0.376,1w
2021-08-04,trending_bull,neutral,down,0,-17.4953,0.4707,1w
2021-08-13,trending_bull,up,down,0,-13.0287,0.5867,1w
2021-08-24,trending_bull,neutral,down,0,-11.9744,0.512,1w
2021-09-02,chop,down,up,0,2.5455,0.3467,1w
2021-09-14,trending_bear,neutral,down,0,-8.7413,0.536,1w
2021-09-23,chop,neutral,up,0,1.2963,0.5013,1w
2021-10-04,chop,up,up,1,11.5136,0.6173,1w
2021-10-13,chop,neutral,up,0,32.1715,0.456,1w
2021-10-22,chop,neutral,up,0,32.4324,0.456,1w
2021-11-02,chop,down,up,0,23.3663,0.4253,1w
2021-11-11,trending_bull,neutral,up,0,13.9853,0.536,1w
2021-11-22,trending_bull,up,up,1,0.5611,0.64,1w
2021-12-02,trending_bull,up,down,0,-6.9206,0.7947,1w
2021-12-13,trending_bull,up,up,1,1.6056,0.7947,1w
2021-12-22,trending_bull,up,up,1,11.6131,0.784,1w
2022-01-03,chop,up,up,1,37.9658,0.7213,1w
2022-01-12,chop,up,up,1,29.4606,0.8933,1w
2022-01-24,chop,up,up,1,31.541,0.8493,1w
2022-02-02,high_volatility,up,up,1,9.1193,0.872,1w
2022-02-11,high_volatility,up,neutral,0,-0.3585,0.8427,1w
2022-02-23,crisis,up,up,1,7.1941,0.7933,1w
2022-03-04,crisis,up,up,1,2.1878,0.8,1w
2022-03-15,crisis,up,down,0,-2.1508,0.7533,1w
2022-03-24,crisis,up,down,0,-15.8933,0.864,1w
2022-04-04,crisis,up,down,0,-19.8202,0.86,1w
2022-04-13,high_volatility,up,down,0,-12.5231,0.7547,1w
2022-04-25,high_volatility,up,down,0,-4.9168,0.6267,1w
2022-05-04,high_volatility,down,up,0,2.803,0.3147,1w
2022-05-13,high_volatility,down,up,0,6.5548,0.2747,1w
2022-05-24,high_volatility,down,up,0,9.0136,0.2747,1w
2022-06-03,high_volatility,down,up,0,10.8856,0.292,1w
2022-06-14,chop,down,up,0,29.0787,0.3213,1w
2022-06-24,chop,down,up,0,14.2522,0.3307,1w
2022-07-06,chop,down,down,1,-3.3424,0.412,1w
2022-07-15,crisis,up,down,0,-26.195,0.6573,1w
2022-07-26,crisis,up,down,0,-23.6105,0.7107,1w
2022-08-04,crisis,up,down,0,-9.9429,0.588,1w
2022-08-15,trending_bear,neutral,down,0,-11.2132,0.492,1w
2022-08-24,trending_bear,neutral,down,0,-14.3047,0.4707,1w
2022-09-02,trending_bear,down,down,1,-14.0873,0.4253,1w
2022-09-14,trending_bear,down,down,1,-9.9726,0.3027,1w
2022-09-23,trending_bear,down,down,1,-8.6059,0.2213,1w
2022-10-04,trending_bear,down,down,1,-15.0148,0.1773,1w
2022-10-13,trending_bear,down,down,1,-14.1478,0.0493,1w
2022-10-24,trending_bear,down,up,0,1.9877,0.0533,1w
2022-11-02,trending_bear,down,up,0,4.7528,0.0347,1w
2022-11-11,trending_bear,down,up,0,6.0101,0.0733,1w
2022-11-22,trending_bear,down,up,0,11.0313,0.1547,1w
2022-12-02,chop,down,up,0,2.1241,0.1533,1w
2022-12-13,chop,down,down,1,-15.8185,0.3267,1w
2022-12-22,chop,down,down,1,-11.6667,0.4453,1w
2023-01-04,chop,down,up,0,10.2406,0.336,1w
2023-01-13,trending_bear,down,up,0,22.1831,0.2947,1w
2023-01-25,chop,neutral,up,0,18.5351,0.4653,1w
2023-02-03,chop,up,up,1,3.3829,0.5907,1w
2023-02-14,chop,up,down,0,-12.0,0.5907,1w
2023-02-24,chop,up,down,0,-15.1261,0.6053,1w
2023-03-07,chop,up,down,0,-15.7558,0.6027,1w
2023-03-16,chop,down,down,1,-2.8078,0.3587,1w
2023-03-27,chop,down,up,0,8.694,0.2973,1w
2023-04-05,chop,neutral,up,0,12.9081,0.4547,1w
2023-04-17,chop,neutral,up,0,10.0074,0.524,1w
2023-04-26,chop,up,up,1,1.6944,0.5573,1w
2023-05-05,chop,neutral,down,0,-2.5421,0.4907,1w
2023-05-16,chop,down,down,1,-5.8151,0.4213,1w
2023-05-25,chop,neutral,down,0,-7.5674,0.4653,1w
2023-06-06,chop,down,up,0,6.6214,0.4067,1w
