date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-21.5246,0.5013,1w
2021-01-13,chop,down,down,1,-1.318,0.3893,1w
2021-01-25,high_volatility,down,up,0,4.1481,0.2267,1w
2021-02-03,crisis,down,down,1,-5.5714,0.216,1w
2021-02-12,crisis,down,down,1,-25.7336,0.2293,1w
2021-02-24,high_volatility,down,down,1,-9.4476,0.212,1w
2021-03-05,chop,down,down,1,-3.8904,0.2307,1w
2021-03-16,crisis,down,up,0,3.9669,0.128,1w
2021-03-25,high_volatility,down,down,1,-17.3497,0.1867,1w
2021-04-06,chop,down,down,1,-32.4143,0.2093,1w
2021-04-15,chop,down,down,1,-37.7492,0.2427,1w
2021-04-26,chop,down,down,1,-24.4402,0.26,1w
2021-05-05,trending_bear,down,down,1,-8.3695,0.1667,1w
2021-05-14,trending_bear,down,down,1,-11.4366,0.1173,1w
2021-05-25,trending_bear,down,down,1,-7.0546,0.1573,1w
2021-06-04,trending_bear,down,down,1,-7.1235,0.1867,1w
2021-06-15,trending_bear,down,up,0,3.8222,0.18,1w
2021-06-24,trending_bear,down,down,1,-2.5816,0.1507,1w
2021-07-06,trending_bear,down,up,0,14.695,0.1493,1w
2021-07-15,trending_bear,down,up,0,13.3867,0.1653,1w
2021-07-26,chop,down,neutral,0,0.1469,0.2253,1w
2021-08-04,chop,down,down,1,-16.3381,0.4053,1w
2021-08-13,chop,neutral,down,0,-13.6727,0.516,1w
2021-08-24,chop,down,down,1,-16.7176,0.4093,1w
2021-09-02,chop,down,down,1,-11.8073,0.3787,1w
2021-09-14,chop,neutral,down,0,-15.6805,0.504,1w
2021-09-23,chop,down,down,1,-6.6358,0.3293,1w
2021-10-04,chop,down,down,1,-16.028,0.3493,1w
2021-10-13,chop,down,down,1,-7.4561,0.2973,1w
2021-10-22,chop,down,down,1,-9.3476,0.3027,1w
2021-11-02,chop,down,up,0,12.6703,0.2093,1w
2021-11-11,chop,down,down,1,-10.9462,0.236,1w
2021-11-22,chop,down,up,0,6.7349,0.2827,1w
2021-12-02,chop,down,up,0,6.9906,0.352,1w
2021-12-13,chop,down,up,0,18.6323,0.32,1w
2021-12-22,chop,down,up,0,24.1486,0.412,1w
2022-01-03,chop,down,up,0,60.2101,0.4147,1w
2022-01-12,trending_bull,neutral,up,0,35.6607,0.548,1w
2022-01-24,trending_bull,up,up,1,21.1758,0.5933,1w
2022-02-02,trending_bull,up,down,0,-2.1277,0.868,1w
2022-02-11,trending_bull,up,down,0,-4.0269,0.7427,1w
2022-02-23,trending_bull,up,neutral,0,0.1371,0.7747,1w
2022-03-04,trending_bull,up,down,0,-2.3687,0.8027,1w
2022-03-15,trending_bull,up,up,1,4.8621,0.78,1w
2022-03-24,chop,up,up,1,14.8946,0.752,1w
2022-04-04,chop,up,down,0,-4.0723,0.7293,1w
2022-04-13,chop,up,down,0,-14.4985,0.724,1w
2022-04-25,trending_bull,up,down,0,-20.6797,0.708,1w
2022-05-04,trending_bear,down,down,1,-2.7069,0.3467,1w
2022-05-13,trending_bear,down,up,0,10.3182,0.356,1w
2022-05-24,trending_bear,down,up,0,18.3448,0.3787,1w
2022-06-03,chop,down,up,0,8.6123,0.3733,1w
2022-06-14,chop,neutral,up,0,11.1558,0.4573,1w
2022-06-24,trending_bull,up,neutral,0,-0.2466,0.5613,1w
2022-07-06,trending_bull,neutral,up,0,9.6802,0.52,1w
2022-07-15,trending_bull,neutral,neutral,0,0.1192,0.5453,1w
2022-07-26,chop,down,down,1,-8.9798,0.4173,1w
2022-08-04,trending_bull,up,up,1,2.0429,0.6173,1w
2022-08-15,chop,up,down,0,-7.168,0.6973,1w
2022-08-24,chop,up,down,0,-16.3687,0.7173,1w
2022-09-02,chop,up,down,0,-21.0982,0.68,1w
2022-09-14,chop,neutral,down,0,-19.9042,0.4693,1w
2022-09-23,trending_bear,down,down,1,-11.2204,0.3347,1w
2022-10-04,trending_bear,down,down,1,-31.3584,0.3467,1w
2022-10-13,trending_bear,down,down,1,-29.7914,0.18,1w
2022-10-24,trending_bear,down,down,1,-14.3482,0.0747,1w
2022-11-02,trending_bear,down,up,0,11.2237,0.1347,1w
2022-11-11,trending_bear,down,up,0,14.1279,0.1373,1w
2022-11-22,trending_bear,down,up,0,23.8701,0.18,1w
2022-12-02,chop,down,up,0,21.3652,0.1707,1w
2022-12-13,chop,down,up,0,4.0619,0.2387,1w
2022-12-22,trending_bull,down,down,1,-4.4057,0.4093,1w
2023-01-04,trending_bull,down,up,0,4.1182,0.4253,1w
2023-01-13,trending_bull,neutral,up,0,16.6397,0.4653,1w
2023-01-25,chop,neutral,up,0,17.6177,0.5013,1w
2023-02-03,chop,up,up,1,5.3217,0.7947,1w
2023-02-14,trending_bull,up,up,1,1.4785,0.8587,1w
2023-02-24,trending_bull,up,up,1,2.1977,0.804,1w
2023-03-07,trending_bull,up,up,1,2.1815,0.7947,1w
2023-03-16,trending_bull,up,down,0,-3.4921,0.7253,1w
2023-03-27,trending_bull,up,down,0,-5.3065,0.6707,1w
2023-04-05,trending_bull,up,down,0,-10.2137,0.7133,1w
2023-04-17,chop,up,down,0,-6.6036,0.684,1w
2023-04-26,chop,up,down,0,-17.2804,0.692,1w
2023-05-05,chop,neutral,down,0,-10.6485,0.4653,1w
2023-05-16,chop,down,down,1,-6.4154,0.332,1w
2023-05-25,trending_bear,down,down,1,-4.0036,0.2147,1w
2023-06-06,trending_bear,down,down,1,-3.3092,0.216,1w
2023-06-15,trending_bear,down,up,0,2.0609,0.216,1w
2023-06-27,trending_bear,down,down,1,-9.2798,0.148,1w
2023-07-07,trending_bear,down,down,1,-16.6155,0.1773,1w
2023-07-18,chop,down,down,1,-6.1159,0.248,1w
2023-07-27,chop,down,up,0,3.4336,0.1453,1w
2023-08-07,chop,down,up,0,11.0229,0.152,1w
2023-08-16,chop,down,up,0,3.8319,0.2987,1w
2023-08-25,chop,down,up,0,2.6113,0.3733,1w
2023-09-06,chop,down,up,0,9.1341,0.336,1w
2023-09-15,chop,neutral,down,0,-13.4342,0.4907,1w
2023-09-26,chop,neutral,down,0,-13.2446,0.4667,1w
2023-10-05,chop,down,down,1,-10.2491,0.4413,1w
2023-10-16,chop,down,neutral,0,-0.4721,0.3227,1w
2023-10-25,chop,down,up,0,3.005,0.424,1w
2023-11-03,chop,neutral,up,0,10.9074,0.5053,1w
2023-11-14,chop,down,up,0,6.2038,0.3227,1w
2023-11-24,chop,down,down,1,-11.234,0.408,1w
2023-12-05,chop,neutral,down,0,-3.9199,0.5467,1w
2023-12-14,chop,down,down,1,-4.859,0.3747,1w
2023-12-26,chop,down,up,0,4.9513,0.2853,1w
2024-01-05,chop,down,neutral,0,0.3769,0.38,1w
2024-01-17,chop,neutral,down,0,-9.8069,0.488,1w
2024-01-26,chop,neutral,down,0,-17.2332,0.5053,1w
2024-02-06,chop,neutral,down,0,-22.3985,0.5027,1w
2024-02-15,chop,down,down,1,-17.6669,0.3467,1w
2024-02-27,chop,down,down,1,-14.8746,0.1573,1w
2024-03-07,trending_bear,down,down,1,-12.6075,0.136,1w
2024-03-18,trending_bear,down,up,0,1.5402,0.144,1w
2024-03-27,trending_bear,down,up,0,11.891,0.144,1w
2024-04-08,trending_bear,down,up,0,9.6346,0.0787,1w
2024-04-17,chop,down,up,0,7.3278,0.2253,1w
2024-04-26,chop,down,up,0,5.6261,0.256,1w
2024-05-07,chop,down,down,1,-0.5223,0.3307,1w
2024-05-16,trending_bull,down,down,1,-1.4076,0.388,1w
2024-05-28,chop,down,up,0,4.6369,0.4493,1w
2024-06-06,chop,up,up,1,8.7255,0.5693,1w
2024-06-17,chop,neutral,up,0,3.9771,0.54,1w
2024-06-27,chop,up,up,1,4.7818,0.6413,1w
2024-07-09,chop,up,down,0,-30.8483,0.7427,1w
2024-07-18,chop,up,down,0,-25.9147,0.5907,1w
2024-07-29,chop,up,up,1,9.3946,0.68,1w
2024-08-07,trending_bear,down,up,0,0.8233,0.3587,1w
2024-08-16,trending_bear,down,down,1,-7.6682,0.3733,1w
2024-08-27,trending_bear,down,down,1,-10.982,0.368,1w
2024-09-06,trending_bear,down,neutral,0,0.1128,0.332,1w
2024-09-17,trending_bear,down,down,1,-0.7154,0.3347,1w
2024-09-26,trending_bear,down,up,0,6.3249,0.2827,1w
2024-10-07,trending_bear,down,up,0,1.4105,0.2907,1w
2024-10-16,trending_bear,down,down,1,-1.7194,0.296,1w
2024-10-25,chop,neutral,up,0,11.614,0.5053,1w
2024-11-05,chop,neutral,up,0,16.9386,0.456,1w
2024-11-14,chop,down,up,0,21.394,0.3653,1w
2024-11-25,trending_bull,neutral,up,0,7.2355,0.516,1w
