date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-12.651,0.684,1w
2021-01-13,crisis,down,down,1,-6.5076,0.436,1w
2021-01-25,high_volatility,down,down,1,-8.0636,0.2093,1w
2021-02-03,crisis,down,down,1,-6.7766,0.2693,1w
2021-02-12,trending_bear,down,down,1,-0.8316,0.2827,1w
2021-02-24,trending_bear,down,up,0,2.8798,0.2733,1w
2021-03-05,trending_bear,down,up,0,7.8353,0.268,1w
2021-03-16,trending_bear,down,up,0,9.4597,0.22,1w
2021-03-25,trending_bear,down,up,0,11.8094,0.1947,1w
2021-04-06,chop,down,down,1,-6.024,0.2933,1w
2021-04-15,trending_bull,neutral,down,0,-12.3114,0.4547,1w
2021-04-26,trending_bull,up,down,0,-3.8918,0.568,1w
2021-05-05,chop,down,up,0,6.8067,0.384,1w
2021-05-14,high_volatility,down,up,0,3.1677,0.3867,1w
2021-05-25,high_volatility,up,up,1,0.5142,0.6107,1w
2021-06-04,crisis,up,down,0,-3.4735,0.6093,1w
2021-06-15,crisis,neutral,up,0,10.0425,0.4973,1w
2021-06-24,crisis,up,down,0,-1.6472,0.5987,1w
2021-07-06,high_volatility,neutral,up,0,4.1049,0.4707,1w
2021-07-15,chop,neutral,up,0,7.9782,0.4707,1w
2021-07-26,chop,neutral,up,0,2.4133,0.4653,1w
2021-08-04,chop,up,down,0,-5.0245,0.5907,1w
2021-08-13,chop,up,down,0,-9.5517,0.7253,1w
2021-08-24,chop,neutral,down,0,-11.9858,0.5133,1w
2021-09-02,chop,down,down,1,-13.4263,0.4093,1w
2021-09-14,chop,up,down,0,-26.4832,0.6067,1w
2021-09-23,trending_bear,down,down,1,-17.4303,0.26,1w
2021-10-04,trending_bear,down,down,1,-4.8547,0.1947,1w
2021-10-13,trending_bear,down,up,0,16.355,0.0893,1w
2021-10-22,trending_bear,down,up,0,18.6138,0.1093,1w
2021-11-02,trending_bear,down,up,0,7.8513,0.1573,1w
2021-11-11,trending_bull,down,down,1,-3.3101,0.216,1w
2021-11-22,chop,down,down,1,-3.4521,0.2693,1w
2021-12-02,chop,down,down,1,-1.4186,0.332,1w
2021-12-13,chop,down,up,0,4.7172,0.2947,1w
2021-12-22,chop,down,up,0,2.9258,0.376,1w
2022-01-03,chop,neutral,up,0,3.8311,0.456,1w
2022-01-12,chop,up,down,0,-6.6793,0.728,1w
2022-01-24,chop,up,down,0,-7.6374,0.6747,1w
2022-02-02,chop,up,down,0,-10.5782,0.6173,1w
2022-02-11,chop,down,down,1,-5.9633,0.4173,1w
2022-02-23,chop,down,up,0,1.9874,0.336,1w
2022-03-04,trending_bear,down,up,0,5.7597,0.2973,1w
2022-03-15,trending_bear,down,up,0,1.6479,0.3027,1w
2022-03-24,chop,down,up,0,5.2243,0.3867,1w
2022-04-04,chop,down,down,1,-4.3206,0.3507,1w
2022-04-13,chop,down,down,1,-6.4023,0.2827,1w
2022-04-25,chop,down,down,1,-8.4606,0.3373,1w
2022-05-04,chop,down,down,1,-4.122,0.256,1w
