date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-21.0016,0.2253,1w
2021-01-13,trending_bear,down,down,1,-11.1814,0.144,1w
2021-01-25,trending_bear,down,down,1,-8.1818,0.0733,1w
2021-02-03,trending_bear,down,down,1,-15.4362,0.12,1w
2021-02-12,trending_bear,down,down,1,-27.6596,0.132,1w
2021-02-24,trending_bear,down,up,0,1.5504,0.1733,1w
2021-03-05,trending_bear,down,up,0,18.2065,0.184,1w
2021-03-16,trending_bear,down,up,0,14.8936,0.1373,1w
2021-03-25,trending_bear,down,down,1,-9.4851,0.22,1w
2021-04-06,chop,down,down,1,-26.009,0.28,1w
2021-04-15,chop,down,down,1,-27.4809,0.3467,1w
2021-04-26,chop,down,down,1,-10.3933,0.3133,1w
2021-05-05,chop,down,up,0,11.8841,0.296,1w
2021-05-14,trending_bear,down,up,0,23.676,0.2613,1w
2021-05-25,chop,down,up,0,68.0645,0.3733,1w
2021-06-04,chop,neutral,up,0,16.0,0.5013,1w
2021-06-15,trending_bull,up,up,1,9.2545,0.584,1w
2021-06-24,trending_bull,up,down,0,-8.1633,0.656,1w
2021-07-06,trending_bull,neutral,down,0,-1.7204,0.5013,1w
2021-07-15,trending_bull,neutral,up,0,13.4361,0.52,1w
2021-07-26,trending_bull,up,neutral,0,-0.2299,0.5987,1w
2021-08-04,chop,up,down,0,-6.681,0.6173,1w
2021-08-13,trending_bull,up,down,0,-23.9623,0.728,1w
2021-08-24,chop,up,down,0,-16.0271,0.66,1w
2021-09-02,chop,neutral,down,0,-11.7241,0.524,1w
2021-09-14,chop,neutral,down,0,-13.9024,0.5013,1w
2021-09-23,chop,down,up,0,1.6949,0.2933,1w
2021-10-04,trending_bear,down,neutral,0,0.2488,0.3467,1w
2021-10-13,chop,down,up,0,10.0559,0.304,1w
2021-10-22,chop,down,up,0,2.7855,0.3507,1w
2021-11-02,chop,down,down,1,-2.0779,0.376,1w
2021-11-11,chop,down,down,1,-21.8225,0.2693,1w
2021-11-22,chop,down,down,1,-13.4048,0.3453,1w
2021-12-02,chop,down,down,1,-26.3708,0.3733,1w
2021-12-13,chop,down,up,0,14.2857,0.3013,1w
2021-12-22,chop,down,up,0,14.5963,0.4067,1w
2022-01-03,chop,down,up,0,25.0755,0.2267,1w
2022-01-12,chop,neutral,down,0,-5.3571,0.524,1w
2022-01-24,trending_bull,neutral,down,0,-19.171,0.4947,1w
2022-02-02,trending_bull,neutral,down,0,-33.995,0.5267,1w
2022-02-11,chop,down,down,1,-33.871,0.3893,1w
2022-02-23,chop,down,down,1,-25.7426,0.368,1w
2022-03-04,trending_bear,down,down,1,-10.3846,0.2493,1w
2022-03-15,trending_bear,down,down,1,-17.2,0.2773,1w
2022-03-24,trending_bear,down,down,1,-11.9658,0.2547,1w
2022-04-04,trending_bear,down,down,1,-9.9548,0.2253,1w
2022-04-13,trending_bear,down,down,1,-2.8846,0.1013,1w
2022-04-25,trending_bear,down,up,0,10.0,0.1027,1w
2022-05-04,trending_bear,down,up,0,20.7729,0.076,1w
2022-05-13,chop,down,up,0,7.3733,0.1227,1w
2022-05-24,chop,down,down,1,-5.0228,0.2347,1w
2022-06-03,trending_bull,down,down,1,-23.3716,0.44,1w
2022-06-14,trending_bull,down,down,1,-5.9829,0.4133,1w
2022-06-24,chop,down,up,0,12.8571,0.3787,1w
2022-07-06,chop,down,up,0,3.5354,0.3867,1w
2022-07-15,chop,neutral,down,0,-37.7778,0.52,1w
2022-07-26,chop,up,down,0,-47.0085,0.6067,1w
2022-08-04,chop,neutral,down,0,-24.2424,0.4653,1w
2022-08-15,trending_bear,down,neutral,0,0.0,0.1733,1w
2022-08-24,trending_bear,down,down,1,-14.2857,0.1227,1w
2022-09-02,trending_bear,down,down,1,-22.8571,0.1387,1w
2022-09-14,chop,down,down,1,-25.8993,0.144,1w
2022-09-23,chop,down,down,1,-9.322,0.128,1w
2022-10-04,trending_bear,down,up,0,17.5439,0.1373,1w
2022-10-13,trending_bear,down,up,0,19.2308,0.0853,1w
