date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-11.2738,0.5453,1w
2021-01-13,chop,neutral,down,0,-3.755,0.4707,1w
2021-01-25,high_volatility,down,up,0,3.9113,0.2253,1w
2021-02-03,crisis,down,down,1,-1.802,0.3253,1w
2021-02-12,high_volatility,down,down,1,-7.4631,0.376,1w
2021-02-24,chop,down,up,0,12.8298,0.2827,1w
2021-03-05,chop,down,up,0,12.3035,0.312,1w
2021-03-16,high_volatility,down,up,0,2.3214,0.296,1w
2021-03-25,chop,down,down,1,-11.7932,0.4213,1w
2021-04-06,chop,down,down,1,-26.1918,0.4253,1w
2021-04-15,chop,down,down,1,-31.2525,0.3827,1w
2021-04-26,chop,neutral,down,0,-26.3681,0.4707,1w
2021-05-05,high_volatility,down,neutral,0,-0.3315,0.32,1w
2021-05-14,crisis,down,down,1,-8.3013,0.1867,1w
2021-05-25,high_volatility,down,up,0,8.0115,0.2347,1w
2021-06-04,trending_bear,down,down,1,-7.2333,0.3547,1w
2021-06-15,trending_bear,down,up,0,8.1321,0.2173,1w
2021-06-24,chop,down,up,0,4.0185,0.2093,1w
2021-07-06,chop,down,up,0,22.0327,0.2013,1w
2021-07-15,chop,down,up,0,26.4201,0.2253,1w
2021-07-26,chop,down,up,0,16.3836,0.3347,1w
2021-08-04,chop,up,down,0,-10.3458,0.56,1w
2021-08-13,trending_bull,up,down,0,-11.4262,0.6773,1w
2021-08-24,trending_bull,up,down,0,-12.3244,0.6987,1w
2021-09-02,chop,neutral,down,0,-9.1209,0.5147,1w
2021-09-14,chop,up,down,0,-12.1743,0.6747,1w
2021-09-23,chop,neutral,up,0,4.869,0.48,1w
2021-10-04,chop,neutral,down,0,-20.0677,0.488,1w
2021-10-13,chop,neutral,down,0,-14.1296,0.4653,1w
2021-10-22,chop,neutral,down,0,-22.8343,0.5107,1w
2021-11-02,trending_bear,down,up,0,3.6691,0.1413,1w
2021-11-11,trending_bear,down,down,1,-10.1597,0.1667,1w
2021-11-22,trending_bear,down,down,1,-6.8991,0.1787,1w
2021-12-02,chop,down,down,1,-8.8282,0.2253,1w
2021-12-13,chop,down,up,0,3.0057,0.1787,1w
2021-12-22,chop,down,up,0,14.9541,0.2307,1w
2022-01-03,chop,down,up,0,32.6169,0.18,1w
2022-01-12,chop,down,up,0,1.4472,0.32,1w
2022-01-24,chop,down,down,1,-1.3995,0.2693,1w
2022-02-02,trending_bull,up,down,0,-9.3239,0.6733,1w
2022-02-11,chop,neutral,down,0,-3.5105,0.456,1w
2022-02-23,chop,neutral,up,0,4.9519,0.5013,1w
2022-03-04,chop,neutral,up,0,11.117,0.4653,1w
2022-03-15,chop,neutral,up,0,2.469,0.516,1w
2022-03-24,chop,up,up,1,4.6206,0.656,1w
2022-04-04,chop,up,up,1,2.8684,0.6987,1w
2022-04-13,chop,neutral,up,0,8.2344,0.524,1w
2022-04-25,chop,neutral,up,0,11.2117,0.5387,1w
2022-05-04,chop,neutral,up,0,18.5879,0.4707,1w
2022-05-13,trending_bull,up,up,1,11.4815,0.6173,1w
2022-05-24,trending_bull,up,up,1,10.7217,0.7613,1w
2022-06-03,trending_bull,up,up,1,1.3822,0.8267,1w
2022-06-14,trending_bull,up,up,1,5.0743,0.768,1w
2022-06-24,trending_bull,up,down,0,-0.7973,0.788,1w
2022-07-06,trending_bull,up,up,1,7.5435,0.7693,1w
2022-07-15,trending_bull,up,up,1,3.6438,0.804,1w
2022-07-26,chop,up,up,1,2.7992,0.7467,1w
2022-08-04,chop,up,down,0,-3.4805,0.812,1w
2022-08-15,chop,up,up,1,7.1444,0.7293,1w
2022-08-24,chop,up,down,0,-1.4933,0.6613,1w
2022-09-02,chop,up,down,0,-6.1761,0.5867,1w
2022-09-14,chop,up,down,0,-7.5504,0.6613,1w
2022-09-23,chop,neutral,up,0,2.0479,0.4907,1w
2022-10-04,chop,down,up,0,9.6142,0.4253,1w
2022-10-13,chop,down,up,0,7.5745,0.4253,1w
2022-10-24,chop,neutral,up,0,20.8584,0.4693,1w
2022-11-02,chop,down,up,0,4.5022,0.4213,1w
2022-11-11,chop,neutral,up,0,2.085,0.5453,1w
2022-11-22,chop,up,up,1,4.5523,0.5907,1w
2022-12-02,chop,up,down,0,-1.5727,0.564,1w
2022-12-13,chop,up,up,1,3.8936,0.5533,1w
2022-12-22,chop,up,up,1,2.829,0.7507,1w
2023-01-04,chop,up,up,1,17.2611,0.676,1w
2023-01-13,chop,up,up,1,12.7019,0.692,1w
2023-01-25,chop,up,up,1,9.8102,0.8693,1w
2023-02-03,chop,up,up,1,2.5776,0.7867,1w
2023-02-14,trending_bull,up,up,1,2.7208,0.7293,1w
2023-02-24,trending_bull,up,up,1,2.7429,0.7467,1w
2023-03-07,trending_bull,up,up,1,4.6658,0.7333,1w
2023-03-16,trending_bull,up,up,1,5.0665,0.7293,1w
2023-03-27,trending_bull,up,down,0,-3.4255,0.7173,1w
2023-04-05,trending_bull,up,up,1,1.8953,0.8293,1w
2023-04-17,trending_bull,up,up,1,2.5982,0.7667,1w
2023-04-26,crisis,up,up,1,0.6291,0.6067,1w
2023-05-05,crisis,up,down,0,-3.9627,0.6653,1w
2023-05-16,chop,up,neutral,0,0.0163,0.6333,1w
2023-05-25,chop,neutral,up,0,6.2915,0.5453,1w
2023-06-06,chop,neutral,up,0,7.7243,0.5053,1w
2023-06-15,chop,up,up,1,2.1026,0.5733,1w
2023-06-27,chop,up,down,0,-7.7584,0.6027,1w
2023-07-07,trending_bull,up,down,0,-18.7669,0.5987,1w
2023-07-18,trending_bull,neutral,down,0,-3.3524,0.528,1w
2023-07-27,high_volatility,neutral,down,0,-4.2031,0.4907,1w
2023-08-07,crisis,down,up,0,9.2892,0.2347,1w
2023-08-16,trending_bear,down,up,0,4.4222,0.4093,1w
2023-08-25,chop,down,up,0,11.2119,0.4093,1w
2023-09-06,chop,down,up,0,8.822,0.4093,1w
2023-09-15,chop,neutral,neutral,0,0.4334,0.4707,1w
2023-09-26,chop,down,down,1,-2.5005,0.4227,1w
2023-10-05,chop,down,up,0,8.2854,0.3747,1w
2023-10-16,chop,neutral,up,0,14.5594,0.496,1w
2023-10-25,chop,neutral,up,0,4.946,0.4907,1w
2023-11-03,chop,up,up,1,9.3534,0.7427,1w
2023-11-14,chop,up,up,1,7.5563,0.752,1w
2023-11-24,chop,up,up,1,13.7007,0.6627,1w
2023-12-05,chop,up,up,1,3.2011,0.8,1w
2023-12-14,trending_bull,up,down,0,-5.2677,0.7573,1w
2023-12-26,trending_bull,up,up,1,4.8888,0.728,1w
2024-01-05,chop,up,up,1,7.5278,0.784,1w
2024-01-17,chop,up,neutral,0,0.3142,0.712,1w
2024-01-26,chop,up,down,0,-11.9501,0.784,1w
2024-02-06,chop,up,down,0,-15.1036,0.7427,1w
2024-02-15,chop,up,down,0,-13.7184,0.5827,1w
2024-02-27,trending_bear,neutral,down,0,-9.2142,0.524,1w
2024-03-07,crisis,down,down,1,-13.1899,0.2667,1w
2024-03-18,high_volatility,down,down,1,-11.4593,0.2013,1w
2024-03-27,high_volatility,down,down,1,-1.5085,0.22,1w
2024-04-08,crisis,down,up,0,0.5128,0.1693,1w
2024-04-17,high_volatility,down,up,0,23.213,0.216,1w
2024-04-26,chop,down,up,0,11.5389,0.2413,1w
2024-05-07,chop,down,up,0,12.3899,0.296,1w
2024-05-16,chop,down,up,0,4.1407,0.3787,1w
2024-05-28,chop,down,up,0,7.0143,0.436,1w
2024-06-06,chop,up,up,1,2.1368,0.576,1w
