date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-27.0653,0.3893,1w
2021-01-13,chop,down,down,1,-4.8536,0.2187,1w
2021-01-25,chop,down,up,0,6.5086,0.116,1w
2021-02-03,trending_bear,down,up,0,1.3467,0.1453,1w
2021-02-12,chop,down,down,1,-35.864,0.2733,1w
2021-02-24,chop,down,down,1,-1.004,0.3173,1w
2021-03-05,chop,down,up,0,9.111,0.3947,1w
2021-03-16,trending_bear,down,up,0,18.938,0.2267,1w
2021-03-25,chop,down,down,1,-25.2347,0.2947,1w
2021-04-06,chop,down,down,1,-29.1046,0.308,1w
2021-04-15,chop,down,down,1,-39.4883,0.324,1w
2021-04-26,chop,down,down,1,-24.9926,0.3653,1w
2021-05-05,chop,down,down,1,-37.2026,0.3347,1w
2021-05-14,trending_bear,down,down,1,-43.41,0.1707,1w
2021-05-25,trending_bear,down,down,1,-25.1016,0.2413,1w
2021-06-04,trending_bear,down,down,1,-8.3977,0.2347,1w
2021-06-15,trending_bear,down,up,0,6.8315,0.2013,1w
2021-06-24,trending_bear,down,up,0,10.842,0.1413,1w
2021-07-06,trending_bear,down,up,0,25.631,0.1533,1w
2021-07-15,trending_bear,down,up,0,39.9055,0.1533,1w
2021-07-26,chop,down,up,0,13.6854,0.2493,1w
2021-08-04,chop,down,down,1,-23.4557,0.296,1w
2021-08-13,chop,down,down,1,-26.0106,0.4093,1w
2021-08-24,chop,neutral,down,0,-27.6303,0.456,1w
2021-09-02,chop,down,down,1,-15.6997,0.3853,1w
2021-09-14,chop,up,down,0,-26.2604,0.58,1w
2021-09-23,chop,down,down,1,-5.835,0.4013,1w
2021-10-04,trending_bear,down,down,1,-7.4608,0.368,1w
2021-10-13,trending_bear,down,up,0,25.4888,0.3387,1w
2021-10-22,trending_bear,down,up,0,13.6842,0.3093,1w
2021-11-02,chop,down,up,0,40.8852,0.2253,1w
2021-11-11,trending_bull,down,down,1,-15.4768,0.3507,1w
2021-11-22,trending_bull,down,down,1,-10.8207,0.3813,1w
2021-12-02,chop,neutral,down,0,-20.1382,0.504,1w
2021-12-13,chop,down,down,1,-2.0673,0.436,1w
2021-12-22,chop,neutral,up,0,12.4058,0.4707,1w
2022-01-03,chop,neutral,up,0,16.4669,0.4587,1w
2022-01-12,chop,up,down,0,-24.9258,0.5507,1w
2022-01-24,chop,neutral,down,0,-30.0793,0.5387,1w
2022-02-02,chop,up,down,0,-37.8472,0.6,1w
2022-02-11,chop,down,down,1,-16.8646,0.2747,1w
2022-02-23,chop,down,up,0,3.3914,0.2947,1w
2022-03-04,trending_bear,down,up,0,18.1208,0.208,1w
2022-03-15,trending_bear,down,up,0,18.2081,0.2253,1w
2022-03-24,trending_bear,down,up,0,3.8095,0.344,1w
2022-04-04,chop,down,down,1,-3.3585,0.344,1w
2022-04-13,chop,down,up,0,1.2831,0.2973,1w
2022-04-25,chop,down,up,0,20.6522,0.296,1w
2022-05-04,chop,down,down,1,-24.8311,0.2333,1w
2022-05-13,chop,neutral,down,0,-26.9726,0.4707,1w
2022-05-24,trending_bull,up,down,0,-0.9721,0.732,1w
2022-06-03,trending_bear,down,neutral,0,0.0,0.416,1w
2022-06-14,trending_bear,down,up,0,20.4819,0.424,1w
2022-06-24,trending_bear,down,up,0,22.1584,0.3507,1w
2022-07-06,trending_bear,down,up,0,11.3856,0.3813,1w
2022-07-15,trending_bull,down,down,1,-17.4908,0.4253,1w
2022-07-26,trending_bull,down,down,1,-15.1751,0.428,1w
2022-08-04,chop,down,down,1,-19.4073,0.4253,1w
2022-08-15,chop,down,down,1,-24.1685,0.3693,1w
2022-08-24,trending_bear,neutral,down,0,-29.2237,0.524,1w
2022-09-02,trending_bear,down,down,1,-31.3253,0.3867,1w
2022-09-14,trending_bear,down,down,1,-22.3512,0.2253,1w
2022-09-23,trending_bear,down,down,1,-14.1653,0.176,1w
2022-10-04,trending_bear,down,down,1,-11.5385,0.0787,1w
2022-10-13,trending_bear,down,down,1,-14.7006,0.012,1w
2022-10-24,trending_bear,down,up,0,6.0797,0.0347,1w
2022-11-02,trending_bear,down,up,0,9.6958,0.0373,1w
2022-11-11,trending_bear,down,up,0,31.3346,0.0707,1w
2022-11-22,trending_bear,down,up,0,36.3273,0.132,1w
2022-12-02,trending_bull,down,up,0,10.7639,0.2347,1w
2022-12-13,trending_bull,neutral,down,0,-19.8238,0.4653,1w
2022-12-22,trending_bull,up,down,0,-16.9297,0.5787,1w
2023-01-04,trending_bull,up,down,0,-18.4713,0.5827,1w
2023-01-13,chop,neutral,down,0,-31.5488,0.4707,1w
2023-01-25,chop,up,down,0,-45.8042,0.6053,1w
2023-02-03,chop,neutral,down,0,-42.2349,0.456,1w
2023-02-14,trending_bear,down,down,1,-16.1473,0.2853,1w
2023-02-24,trending_bear,down,down,1,-26.4881,0.2347,1w
2023-03-07,trending_bear,down,down,1,-29.316,0.1693,1w
2023-03-16,trending_bear,down,down,1,-36.5248,0.1107,1w
2023-03-27,trending_bear,down,down,1,-30.2682,0.064,1w
2023-04-05,trending_bear,down,down,1,-2.7907,0.0573,1w
2023-04-17,trending_bear,down,up,0,37.6344,0.056,1w
2023-04-26,trending_bear,down,up,0,17.5824,0.0453,1w
2023-05-05,trending_bear,down,down,1,-21.2963,0.0827,1w
2023-05-16,trending_bull,down,down,1,-43.2432,0.2573,1w
2023-05-25,trending_bear,down,down,1,-36.6071,0.1787,1w
2023-06-06,chop,down,up,0,6.0606,0.168,1w
2023-06-15,chop,down,up,0,57.2369,0.152,1w
2023-06-27,chop,down,up,0,59.0604,0.16,1w
2023-07-07,chop,down,neutral,0,0.0,0.36,1w
2023-07-18,trending_bull,up,up,1,53.1532,0.5987,1w
2023-07-27,trending_bull,up,up,1,56.5401,0.6027,1w
2023-08-07,trending_bear,down,up,0,65.1685,0.388,1w
2023-08-16,trending_bull,up,down,0,-20.0,0.576,1w
2023-08-25,high_volatility,up,down,0,-26.5753,0.6333,1w
2023-09-06,trending_bull,up,down,0,-2.4648,0.6653,1w
2023-09-15,chop,up,up,1,21.2544,0.6893,1w
2023-09-26,chop,up,up,1,2.3333,0.668,1w
2023-10-05,chop,up,up,1,1.9672,0.6173,1w
2023-10-16,chop,up,down,0,-56.9364,0.6267,1w
2023-10-25,chop,up,down,0,-50.6494,0.5733,1w
2023-11-03,chop,up,down,0,-54.4615,0.6653,1w
2023-11-14,trending_bear,down,up,0,2.1429,0.2267,1w
2023-11-24,trending_bear,down,up,0,19.4631,0.2333,1w
2023-12-05,trending_bear,down,up,0,42.9577,0.2933,1w
2023-12-14,chop,down,up,0,35.8621,0.2747,1w
2023-12-26,chop,down,up,0,24.8756,0.3307,1w
2024-01-05,chop,down,up,0,145.8128,0.368,1w
2024-01-17,chop,down,up,0,157.5,0.3187,1w
2024-01-26,trending_bull,down,up,0,46.1224,0.416,1w
2024-02-06,high_volatility,up,down,0,-42.6531,0.5813,1w
2024-02-15,crisis,up,down,0,-31.4229,0.792,1w
2024-02-27,high_volatility,up,down,0,-17.2012,0.7133,1w
2024-03-07,high_volatility,up,down,0,-23.6111,0.6613,1w
2024-03-18,chop,up,down,0,-9.5652,0.7,1w
2024-03-27,chop,up,up,1,16.5441,0.58,1w
2024-04-08,chop,neutral,up,0,46.9751,0.5013,1w
2024-04-17,chop,up,up,1,58.9041,0.5907,1w
2024-04-26,chop,neutral,up,0,61.0,0.548,1w
2024-05-07,chop,down,up,0,22.8365,0.412,1w
2024-05-16,trending_bull,down,up,0,45.5723,0.4453,1w
2024-05-28,trending_bull,up,up,1,25.0,0.616,1w
2024-06-06,high_volatility,up,up,1,2.8571,0.704,1w
2024-06-17,crisis,up,down,0,-3.6458,0.6933,1w
2024-06-27,crisis,up,down,0,-14.2367,0.7187,1w
2024-07-09,high_volatility,up,down,0,-14.3701,0.6987,1w
2024-07-18,chop,up,down,0,-26.3451,0.6987,1w
2024-07-29,chop,up,down,0,-21.8349,0.6587,1w
2024-08-07,chop,neutral,up,0,6.5268,0.4987,1w
2024-08-16,chop,down,up,0,37.2751,0.4213,1w
2024-08-27,chop,down,up,0,41.4286,0.4427,1w
2024-09-06,chop,down,up,0,54.1761,0.424,1w
2024-09-17,trending_bull,down,up,0,16.8478,0.424,1w
2024-09-26,trending_bull,neutral,neutral,0,0.4687,0.4907,1w
2024-10-07,trending_bull,up,down,0,-7.5332,0.6627,1w
2024-10-16,trending_bull,up,down,0,-24.8013,0.5853,1w
2024-10-25,trending_bull,up,down,0,-25.0799,0.58,1w
2024-11-05,high_volatility,up,down,0,-15.6928,0.676,1w
2024-11-14,chop,up,up,1,7.3684,0.5827,1w
2024-11-25,chop,neutral,up,0,7.7244,0.5413,1w
