date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,13.3108,0.34,1w
2021-01-13,chop,neutral,down,0,-6.0212,0.472,1w
2021-01-25,chop,down,up,0,15.6729,0.332,1w
2021-02-03,high_volatility,down,up,0,9.4477,0.4333,1w
2021-02-12,high_volatility,neutral,up,0,25.6944,0.4707,1w
2021-02-24,crisis,up,up,1,30.0636,0.5773,1w
2021-03-05,high_volatility,up,up,1,22.2266,0.7613,1w
2021-03-16,crisis,up,up,1,32.2324,0.7773,1w
2021-03-25,high_volatility,up,up,1,13.2323,0.7973,1w
2021-04-06,crisis,up,up,1,19.8198,0.868,1w
2021-04-15,crisis,up,down,0,-7.0479,0.8253,1w
2021-04-26,crisis,up,up,1,21.2131,0.924,1w
2021-05-05,crisis,up,up,1,16.6322,0.8773,1w
2021-05-14,crisis,up,up,1,31.9393,0.8093,1w
2021-05-25,crisis,up,down,0,-23.2459,0.868,1w
2021-06-04,crisis,up,down,0,-34.9867,0.86,1w
2021-06-15,crisis,up,down,0,-16.3512,0.8253,1w
2021-06-24,crisis,neutral,up,0,21.3821,0.516,1w
2021-07-06,crisis,down,up,0,31.4603,0.428,1w
2021-07-15,high_volatility,down,up,0,23.1569,0.4213,1w
2021-07-26,high_volatility,up,up,1,7.3462,0.588,1w
2021-08-04,chop,neutral,up,0,8.7273,0.4653,1w
2021-08-13,chop,up,up,1,2.4152,0.616,1w
2021-08-24,high_volatility,neutral,down,0,-22.0469,0.5133,1w
2021-09-02,chop,down,down,1,-21.331,0.376,1w
2021-09-14,chop,neutral,down,0,-18.032,0.508,1w
2021-09-23,chop,neutral,up,0,8.9164,0.504,1w
2021-10-04,trending_bear,neutral,up,0,8.6524,0.536,1w
2021-10-13,chop,neutral,up,0,5.2293,0.5147,1w
2021-10-22,chop,down,up,0,3.8078,0.3507,1w
2021-11-02,chop,neutral,neutral,0,-0.254,0.4827,1w
2021-11-11,chop,down,down,1,-11.1171,0.4467,1w
2021-11-22,chop,down,down,1,-5.3537,0.2973,1w
2021-12-02,chop,down,down,1,-17.4317,0.3867,1w
2021-12-13,chop,down,down,1,-11.834,0.296,1w
2021-12-22,chop,up,down,0,-7.7112,0.58,1w
2022-01-03,chop,down,down,1,-4.0886,0.3627,1w
2022-01-12,chop,down,down,1,-5.7835,0.3467,1w
2022-01-24,chop,down,down,1,-12.987,0.396,1w
2022-02-02,chop,down,down,1,-4.7671,0.296,1w
2022-02-11,chop,down,down,1,-22.5545,0.2427,1w
2022-02-23,chop,down,down,1,-21.0469,0.2013,1w
2022-03-04,chop,down,down,1,-7.9353,0.2667,1w
