date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-20.5279,0.336,1w
2021-01-13,trending_bear,down,down,1,-12.772,0.22,1w
2021-01-25,trending_bear,down,down,1,-13.802,0.0907,1w
2021-02-03,trending_bear,down,down,1,-13.5083,0.1413,1w
2021-02-12,trending_bear,down,down,1,-27.274,0.152,1w
2021-02-24,trending_bear,down,up,0,7.8679,0.1387,1w
2021-03-05,trending_bear,down,up,0,12.1368,0.18,1w
2021-03-16,trending_bear,down,up,0,10.0202,0.1373,1w
2021-03-25,trending_bear,down,down,1,-20.994,0.2253,1w
2021-04-06,chop,down,down,1,-29.2624,0.2413,1w
2021-04-15,chop,down,down,1,-36.8378,0.256,1w
2021-04-26,chop,down,down,1,-22.4655,0.2613,1w
2021-05-05,trending_bear,down,down,1,-12.9697,0.2293,1w
2021-05-14,trending_bear,down,down,1,-16.1009,0.1573,1w
2021-05-25,trending_bear,down,up,0,12.2928,0.2693,1w
2021-06-04,trending_bear,down,up,0,4.1937,0.3187,1w
2021-06-15,trending_bear,down,up,0,16.518,0.2627,1w
2021-06-24,chop,down,neutral,0,-0.3928,0.256,1w
2021-07-06,chop,down,up,0,13.1938,0.236,1w
2021-07-15,chop,down,up,0,17.9098,0.2853,1w
2021-07-26,chop,down,neutral,0,-0.23,0.3787,1w
2021-08-04,chop,down,down,1,-16.8427,0.4467,1w
2021-08-13,chop,up,down,0,-18.4135,0.588,1w
2021-08-24,chop,neutral,down,0,-13.236,0.5453,1w
2021-09-02,chop,down,down,1,-6.6272,0.4493,1w
2021-09-14,chop,up,down,0,-17.44,0.58,1w
2021-09-23,chop,down,down,1,-5.1546,0.3467,1w
2021-10-04,chop,down,down,1,-6.129,0.3547,1w
2021-10-13,chop,down,up,0,3.4961,0.3147,1w
2021-10-22,chop,down,down,1,-0.6492,0.32,1w
2021-11-02,chop,down,up,0,4.0066,0.26,1w
2021-11-11,chop,down,down,1,-12.599,0.2333,1w
2021-11-22,chop,down,down,1,-7.3634,0.3013,1w
2021-12-02,chop,down,down,1,-20.1782,0.4213,1w
2021-12-13,chop,down,up,0,0.5667,0.3147,1w
2021-12-22,chop,down,up,0,18.6076,0.3693,1w
2022-01-03,chop,down,up,0,39.742,0.256,1w
2022-01-12,chop,neutral,up,0,10.6418,0.4653,1w
2022-01-24,chop,neutral,up,0,5.7318,0.52,1w
2022-02-02,trending_bull,up,down,0,-7.5379,0.6173,1w
2022-02-11,trending_bull,neutral,down,0,-6.7369,0.4587,1w
2022-02-23,trending_bull,up,down,0,-1.847,0.58,1w
2022-03-04,chop,neutral,up,0,1.0524,0.5053,1w
2022-03-15,chop,neutral,down,0,-1.1468,0.5453,1w
2022-03-24,chop,up,down,0,-4.8994,0.6293,1w
2022-04-04,chop,up,down,0,-5.8731,0.668,1w
2022-04-13,chop,neutral,down,0,-1.0264,0.5467,1w
2022-04-25,chop,down,up,0,12.0386,0.424,1w
2022-05-04,chop,down,up,0,12.49,0.2747,1w
2022-05-13,chop,down,up,0,17.1451,0.404,1w
2022-05-24,chop,neutral,up,0,9.1714,0.5013,1w
2022-06-03,chop,up,up,1,1.3121,0.5667,1w
2022-06-14,trending_bull,up,up,1,11.5402,0.6133,1w
2022-06-24,trending_bull,up,up,1,11.4497,0.6067,1w
2022-07-06,trending_bull,up,up,1,3.7732,0.6547,1w
2022-07-15,trending_bull,up,down,0,-15.4232,0.7653,1w
2022-07-26,trending_bull,up,down,0,-13.6548,0.8347,1w
2022-08-04,trending_bull,up,down,0,-2.5249,0.7,1w
2022-08-15,trending_bear,up,up,1,6.6288,0.608,1w
2022-08-24,trending_bear,neutral,down,0,-4.5068,0.54,1w
2022-09-02,chop,neutral,down,0,-12.0414,0.5053,1w
2022-09-14,chop,down,down,1,-12.2852,0.448,1w
2022-09-23,chop,down,down,1,-3.2787,0.344,1w
2022-10-04,trending_bear,down,down,1,-0.6746,0.3147,1w
2022-10-13,trending_bear,down,up,0,3.5816,0.1533,1w
2022-10-24,trending_bear,down,up,0,25.8376,0.1867,1w
2022-11-02,trending_bear,down,up,0,20.4006,0.2693,1w
2022-11-11,chop,down,up,0,19.5947,0.428,1w
2022-11-22,trending_bull,up,up,1,18.115,0.5787,1w
2022-12-02,trending_bull,up,up,1,1.3469,0.5893,1w
2022-12-13,trending_bull,up,down,0,-10.1115,0.64,1w
2022-12-22,trending_bull,up,down,0,-14.8169,0.784,1w
2023-01-04,trending_bull,up,down,0,-7.5665,0.7227,1w
2023-01-13,trending_bear,up,up,1,9.9739,0.6733,1w
2023-01-25,chop,up,up,1,9.0592,0.752,1w
2023-02-03,chop,up,up,1,6.3812,0.6027,1w
2023-02-14,high_volatility,up,down,0,-5.7707,0.6787,1w
2023-02-24,high_volatility,up,down,0,-2.9298,0.5907,1w
