date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-21.252,0.5293,1w
2021-01-13,chop,down,down,1,-8.5881,0.4333,1w
2021-01-25,trending_bear,down,down,1,-18.3179,0.296,1w
2021-02-03,trending_bear,down,down,1,-17.1195,0.26,1w
2021-02-12,trending_bear,down,down,1,-21.7769,0.2413,1w
2021-02-24,trending_bear,down,up,0,9.752,0.168,1w
2021-03-05,trending_bear,down,up,0,14.6319,0.1693,1w
2021-03-16,trending_bear,down,up,0,15.0295,0.1253,1w
2021-03-25,chop,down,down,1,-9.446,0.1907,1w
2021-04-06,chop,down,down,1,-15.7281,0.2347,1w
2021-04-15,chop,down,down,1,-38.4444,0.312,1w
2021-04-26,chop,down,down,1,-17.9003,0.3213,1w
2021-05-05,chop,down,down,1,-21.5066,0.3213,1w
2021-05-14,trending_bear,down,down,1,-10.6195,0.1947,1w
2021-05-25,trending_bear,down,up,0,1.3609,0.3893,1w
2021-06-04,trending_bear,down,up,0,12.3351,0.3387,1w
2021-06-15,trending_bear,down,up,0,49.3725,0.2747,1w
2021-06-24,trending_bear,down,up,0,20.9808,0.296,1w
2021-07-06,chop,down,up,0,10.9277,0.3347,1w
2021-07-15,trending_bull,down,up,0,10.4907,0.3787,1w
2021-07-26,trending_bull,down,down,1,-1.4818,0.4467,1w
2021-08-04,trending_bull,neutral,down,0,-10.4921,0.4973,1w
2021-08-13,trending_bull,up,down,0,-25.6883,0.7467,1w
2021-08-24,trending_bull,up,down,0,-26.3158,0.62,1w
2021-09-02,chop,up,down,0,-14.4089,0.5987,1w
2021-09-14,trending_bear,up,down,0,-9.2713,0.6613,1w
2021-09-23,trending_bear,down,up,0,7.9534,0.3973,1w
2021-10-04,trending_bear,down,up,0,1.7474,0.3387,1w
2021-10-13,trending_bear,down,up,0,7.4567,0.2453,1w
2021-10-22,trending_bear,down,down,1,-4.7254,0.2973,1w
2021-11-02,chop,down,down,1,-7.4834,0.2787,1w
2021-11-11,chop,down,down,1,-7.6544,0.2573,1w
2021-11-22,chop,down,up,0,25.5499,0.2387,1w
2021-12-02,chop,down,up,0,13.4984,0.3387,1w
2021-12-13,chop,down,up,0,10.0457,0.4053,1w
2021-12-22,chop,up,down,0,-11.2274,0.588,1w
2022-01-03,chop,neutral,down,0,-2.8099,0.5453,1w
2022-01-12,chop,neutral,down,0,-6.0293,0.544,1w
2022-01-24,chop,neutral,down,0,-0.6673,0.524,1w
2022-02-02,chop,neutral,down,0,-16.1949,0.5173,1w
2022-02-11,chop,neutral,down,0,-24.7995,0.48,1w
2022-02-23,chop,neutral,down,0,-25.5593,0.544,1w
2022-03-04,chop,down,down,1,-17.5082,0.412,1w
2022-03-15,trending_bear,down,up,0,24.6317,0.312,1w
2022-03-24,trending_bear,down,up,0,37.454,0.2,1w
2022-04-04,trending_bear,down,up,0,58.4883,0.216,1w
2022-04-13,trending_bull,down,up,0,27.2814,0.3027,1w
2022-04-25,trending_bull,neutral,neutral,0,0.1408,0.4907,1w
2022-05-04,trending_bull,neutral,down,0,-15.4181,0.5453,1w
2022-05-13,trending_bull,up,down,0,-6.1105,0.6067,1w
2022-05-24,trending_bull,neutral,up,0,4.796,0.5467,1w
2022-06-03,chop,up,down,0,-4.3743,0.584,1w
2022-06-14,chop,up,down,0,-2.9099,0.7547,1w
2022-06-24,chop,up,down,0,-2.7162,0.7573,1w
2022-07-06,chop,up,down,0,-5.012,0.7267,1w
2022-07-15,chop,up,down,0,-16.1189,0.5747,1w
2022-07-26,chop,neutral,down,0,-21.7416,0.456,1w
2022-08-04,chop,down,down,1,-9.023,0.152,1w
2022-08-15,trending_bear,down,up,0,5.4922,0.2133,1w
2022-08-24,trending_bear,down,down,1,-4.4429,0.2627,1w
2022-09-02,trending_bear,down,down,1,-18.6516,0.1787,1w
2022-09-14,trending_bear,down,down,1,-8.0221,0.2853,1w
2022-09-23,trending_bear,down,down,1,-4.4656,0.1707,1w
2022-10-04,trending_bear,down,up,0,2.3875,0.156,1w
2022-10-13,trending_bear,down,down,1,-2.037,0.22,1w
2022-10-24,chop,down,up,0,20.7673,0.164,1w
2022-11-02,chop,down,down,1,-11.4387,0.3187,1w
2022-11-11,chop,down,down,1,-1.8248,0.3667,1w
2022-11-22,chop,neutral,up,0,4.2239,0.5053,1w
2022-12-02,chop,down,up,0,47.3752,0.388,1w
