date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-8.886,0.6,1w
2021-01-13,chop,neutral,down,0,-9.1249,0.492,1w
2021-01-25,chop,down,down,1,-12.7826,0.3787,1w
2021-02-03,high_volatility,down,up,0,0.6312,0.3147,1w
2021-02-12,chop,down,up,0,17.2156,0.2413,1w
2021-02-24,crisis,down,up,0,49.7005,0.256,1w
2021-03-05,crisis,down,up,0,19.6825,0.4213,1w
2021-03-16,crisis,up,up,1,1.5986,0.5907,1w
2021-03-25,crisis,up,down,0,-10.4489,0.5987,1w
2021-04-06,high_volatility,up,down,0,-10.6448,0.5507,1w
2021-04-15,chop,up,down,0,-13.3097,0.5547,1w
2021-04-26,high_volatility,up,down,0,-4.6795,0.58,1w
2021-05-05,chop,neutral,down,0,-1.7693,0.548,1w
2021-05-14,high_volatility,neutral,down,0,-15.9442,0.5107,1w
2021-05-25,high_volatility,up,down,0,-28.0046,0.6933,1w
2021-06-04,chop,up,down,0,-30.0043,0.5733,1w
2021-06-15,chop,down,down,1,-18.2702,0.26,1w
2021-06-24,trending_bear,down,up,0,6.3055,0.0853,1w
2021-07-06,trending_bear,down,up,0,20.8974,0.1387,1w
2021-07-15,trending_bear,down,up,0,19.6236,0.1533,1w
2021-07-26,trending_bear,down,up,0,6.8126,0.2747,1w
2021-08-04,chop,down,down,1,-6.5845,0.2853,1w
2021-08-13,chop,down,down,1,-9.9664,0.3507,1w
2021-08-24,chop,down,down,1,-14.2968,0.3733,1w
2021-09-02,chop,down,down,1,-4.7822,0.2693,1w
2021-09-14,chop,down,down,1,-8.944,0.3507,1w
2021-09-23,chop,down,up,0,7.0131,0.4093,1w
2021-10-04,chop,neutral,up,0,4.5752,0.5293,1w
2021-10-13,chop,down,up,0,17.5008,0.4067,1w
2021-10-22,chop,down,up,0,16.489,0.4093,1w
2021-11-02,chop,down,up,0,14.5495,0.424,1w
2021-11-11,chop,neutral,up,0,3.9099,0.4867,1w
2021-11-22,trending_bull,neutral,down,0,-6.2881,0.5013,1w
2021-12-02,trending_bull,up,down,0,-9.7317,0.6467,1w
2021-12-13,chop,up,up,1,1.7954,0.668,1w
2021-12-22,chop,up,up,1,12.523,0.6773,1w
2022-01-03,chop,neutral,up,0,19.0904,0.5387,1w
2022-01-12,chop,up,down,0,-1.5288,0.756,1w
2022-01-24,chop,up,down,0,-1.594,0.7413,1w
2022-02-02,chop,up,down,0,-10.9955,0.7253,1w
2022-02-11,chop,up,down,0,-16.7675,0.5813,1w
2022-02-23,chop,neutral,down,0,-12.8792,0.5013,1w
2022-03-04,chop,down,up,0,3.5125,0.392,1w
2022-03-15,chop,down,up,0,12.5813,0.2347,1w
2022-03-24,trending_bear,down,up,0,3.8006,0.4013,1w
2022-04-04,chop,neutral,down,0,-11.6906,0.548,1w
2022-04-13,chop,down,down,1,-14.1227,0.36,1w
2022-04-25,chop,down,down,1,-2.9931,0.2973,1w
2022-05-04,chop,down,down,1,-5.0134,0.2013,1w
2022-05-13,trending_bear,down,up,0,5.4807,0.2387,1w
2022-05-24,chop,down,down,1,-1.216,0.296,1w
2022-06-03,chop,down,down,1,-4.6978,0.3893,1w
2022-06-14,chop,neutral,up,0,5.1656,0.4667,1w
2022-06-24,chop,down,up,0,14.7826,0.3893,1w
2022-07-06,chop,down,up,0,10.6099,0.3027,1w
2022-07-15,chop,down,down,1,-7.8589,0.396,1w
2022-07-26,trending_bull,up,down,0,-18.2955,0.5693,1w
2022-08-04,trending_bull,up,down,0,-10.0884,0.5653,1w
2022-08-15,chop,neutral,down,0,-6.9726,0.5213,1w
2022-08-24,trending_bear,down,down,1,-6.486,0.392,1w
2022-09-02,trending_bear,down,down,1,-10.2428,0.32,1w
2022-09-14,trending_bear,down,down,1,-8.5451,0.32,1w
2022-09-23,trending_bear,down,down,1,-9.3604,0.3213,1w
2022-10-04,trending_bear,down,down,1,-1.4742,0.216,1w
2022-10-13,trending_bear,down,down,1,-15.2,0.168,1w
2022-10-24,trending_bear,down,down,1,-2.5243,0.0987,1w
2022-11-02,trending_bear,down,up,0,5.8663,0.1613,1w
2022-11-11,trending_bear,down,up,0,7.5588,0.1293,1w
2022-11-22,trending_bear,down,up,0,16.1217,0.2253,1w
2022-12-02,chop,down,up,0,8.6593,0.2747,1w
2022-12-13,chop,down,down,1,-11.7241,0.3227,1w
2022-12-22,trending_bull,neutral,down,0,-16.4899,0.512,1w
2023-01-04,trending_bull,neutral,down,0,-10.9735,0.4827,1w
2023-01-13,trending_bear,down,up,0,5.413,0.3173,1w
2023-01-25,trending_bear,down,up,0,3.0004,0.412,1w
2023-02-03,trending_bear,down,up,0,5.6655,0.4267,1w
2023-02-14,chop,neutral,down,0,-3.6446,0.488,1w
2023-02-24,chop,neutral,down,0,-3.6658,0.4933,1w
2023-03-07,chop,neutral,up,0,5.5659,0.4907,1w
2023-03-16,chop,down,up,0,5.3104,0.3467,1w
2023-03-27,chop,down,down,1,-5.9891,0.2733,1w
2023-04-05,chop,neutral,down,0,-17.0775,0.488,1w
2023-04-17,chop,up,down,0,-5.4617,0.5733,1w
2023-04-26,chop,neutral,down,0,-10.8453,0.4573,1w
2023-05-05,chop,down,neutral,0,-0.0265,0.3973,1w
2023-05-16,trending_bear,down,down,1,-7.6954,0.3973,1w
2023-05-25,trending_bear,down,neutral,0,-0.2637,0.312,1w
2023-06-06,trending_bear,down,down,1,-9.5499,0.3587,1w
2023-06-15,chop,down,up,0,15.0454,0.3733,1w
2023-06-27,chop,down,up,0,21.8391,0.2907,1w
2023-07-07,chop,down,up,0,36.1722,0.2253,1w
2023-07-18,chop,neutral,up,0,9.8246,0.472,1w
2023-07-27,trending_bull,neutral,up,0,10.6287,0.536,1w
2023-08-07,crisis,up,neutral,0,0.0356,0.6787,1w
2023-08-16,high_volatility,up,down,0,-6.077,0.6613,1w
2023-08-25,chop,up,down,0,-2.4749,0.7693,1w
2023-09-06,chop,up,up,1,18.5624,0.656,1w
2023-09-15,chop,up,up,1,5.0753,0.6933,1w
2023-09-26,chop,up,down,0,-3.8233,0.752,1w
2023-10-05,trending_bull,up,down,0,-5.0972,0.904,1w
2023-10-16,chop,up,neutral,0,0.1541,0.6373,1w
2023-10-25,chop,up,up,1,10.1868,0.58,1w
2023-11-03,chop,up,up,1,9.0637,0.584,1w
2023-11-14,trending_bull,neutral,up,0,3.9637,0.5053,1w
2023-11-24,chop,up,down,0,-12.0594,0.5573,1w
2023-12-05,trending_bull,up,down,0,-11.7146,0.7253,1w
2023-12-14,chop,up,up,1,1.3132,0.5907,1w
2023-12-26,chop,down,up,0,11.6059,0.3733,1w
2024-01-05,chop,down,up,0,10.2658,0.2933,1w
2024-01-17,chop,neutral,down,0,-3.6732,0.4947,1w
2024-01-26,chop,up,down,0,-13.1785,0.5907,1w
2024-02-06,chop,neutral,down,0,-14.7316,0.5013,1w
2024-02-15,chop,neutral,down,0,-21.4869,0.4973,1w
2024-02-27,chop,down,down,1,-18.6667,0.2613,1w
2024-03-07,trending_bear,down,down,1,-23.5895,0.2,1w
2024-03-18,trending_bear,down,down,1,-14.4144,0.1933,1w
2024-03-27,trending_bear,down,down,1,-5.298,0.2107,1w
2024-04-08,trending_bear,down,up,0,10.2321,0.136,1w
2024-04-17,trending_bear,down,up,0,22.6277,0.1053,1w
2024-04-26,trending_bear,down,up,0,12.8842,0.1453,1w
2024-05-07,trending_bull,down,up,0,6.3715,0.2573,1w
2024-05-16,trending_bull,down,down,1,-3.0637,0.2827,1w
2024-05-28,trending_bull,down,up,0,1.0208,0.344,1w
2024-06-06,trending_bull,neutral,down,0,-4.3089,0.476,1w
2024-06-17,chop,neutral,down,0,-6.1059,0.4987,1w
2024-06-27,chop,neutral,down,0,-17.6613,0.528,1w
2024-07-09,chop,up,down,0,-21.617,0.6173,1w
2024-07-18,chop,up,down,0,-7.6868,0.5987,1w
2024-07-29,trending_bear,down,up,0,5.696,0.408,1w
2024-08-07,trending_bear,down,up,0,13.7341,0.1787,1w
2024-08-16,trending_bear,down,up,0,5.4,0.2413,1w
2024-08-27,trending_bear,down,down,1,-9.7856,0.3413,1w
2024-09-06,chop,down,neutral,0,-0.2907,0.2613,1w
2024-09-17,chop,down,down,1,-3.8217,0.3507,1w
2024-09-26,chop,down,up,0,1.4964,0.2093,1w
2024-10-07,chop,down,down,1,-12.1491,0.3347,1w
2024-10-16,chop,down,down,1,-24.621,0.3213,1w
2024-10-25,chop,down,down,1,-21.3438,0.4467,1w
2024-11-05,chop,neutral,up,0,0.7275,0.4693,1w
2024-11-14,trending_bear,down,up,0,14.3357,0.2067,1w
2024-11-25,trending_bear,down,up,0,11.6309,0.1867,1w
