date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,15.5405,0.4067,1w
2021-01-13,trending_bull,up,up,1,22.378,0.6107,1w
2021-01-25,trending_bull,up,up,1,20.4236,0.696,1w
2021-02-03,trending_bull,up,up,1,18.8011,0.652,1w
2021-02-12,trending_bull,up,up,1,7.2947,0.736,1w
2021-02-24,trending_bull,up,up,1,18.1165,0.8053,1w
2021-03-05,high_volatility,up,up,1,3.6468,0.9347,1w
2021-03-16,crisis,up,up,1,2.3132,0.916,1w
2021-03-25,crisis,up,up,1,2.3289,0.9333,1w
2021-04-06,high_volatility,up,neutral,0,0.2513,0.8787,1w
2021-04-15,trending_bull,up,down,0,-9.3563,0.7693,1w
2021-04-26,crisis,up,down,0,-5.2479,0.772,1w
2021-05-05,crisis,up,down,0,-3.5813,0.7347,1w
2021-05-14,crisis,neutral,down,0,-6.2961,0.548,1w
2021-05-25,crisis,up,down,0,-17.6089,0.5773,1w
2021-06-04,crisis,neutral,down,0,-20.9217,0.5467,1w
2021-06-15,crisis,down,down,1,-4.4397,0.3867,1w
2021-06-24,high_volatility,down,up,0,2.0285,0.2493,1w
2021-07-06,high_volatility,down,up,0,20.9447,0.2573,1w
2021-07-15,trending_bear,down,up,0,37.5219,0.2747,1w
2021-07-26,chop,down,up,0,34.399,0.3347,1w
2021-08-04,chop,down,up,0,8.7226,0.3507,1w
2021-08-13,trending_bull,up,down,0,-3.3073,0.656,1w
2021-08-24,trending_bull,up,down,0,-10.4533,0.6547,1w
2021-09-02,high_volatility,up,down,0,-4.7763,0.5587,1w
2021-09-14,chop,up,down,0,-10.0594,0.7373,1w
2021-09-23,chop,up,up,1,5.0251,0.7253,1w
2021-10-04,high_volatility,up,up,1,5.6046,0.768,1w
2021-10-13,chop,up,up,1,8.0,0.6627,1w
2021-10-22,chop,up,down,0,-1.9158,0.704,1w
2021-11-02,chop,up,up,1,14.0144,0.6133,1w
2021-11-11,high_volatility,down,up,0,2.7768,0.4093,1w
2021-11-22,chop,down,up,0,5.1613,0.3653,1w
2021-12-02,chop,neutral,down,0,-5.0129,0.484,1w
2021-12-13,chop,neutral,up,0,12.7037,0.4653,1w
