date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,crisis,up,up,1,35.733,0.8213,1w
2021-01-08,crisis,up,down,0,-12.0766,0.9307,1w
2021-01-15,crisis,up,down,0,-22.5419,0.924,1w
2021-01-22,high_volatility,up,down,0,-9.2653,0.868,1w
2021-01-29,chop,up,up,1,6.4604,0.8267,1w
2021-02-05,chop,up,up,1,40.963,0.768,1w
2021-02-12,chop,up,up,1,34.5366,0.6187,1w
2021-02-19,chop,up,up,1,54.7768,0.58,1w
2021-02-26,chop,up,up,1,64.9283,0.68,1w
2021-03-05,chop,up,up,1,27.3138,0.724,1w
2021-03-12,crisis,up,down,0,-23.7109,0.64,1w
2021-03-19,crisis,up,down,0,-5.2275,0.7427,1w
2021-03-26,crisis,up,up,1,12.0884,0.6987,1w
2021-04-02,crisis,up,up,1,26.2431,0.628,1w
2021-04-09,high_volatility,up,down,0,-14.2423,0.704,1w
2021-04-16,high_volatility,up,down,0,-22.2381,0.7213,1w
2021-04-23,chop,up,down,0,-27.6397,0.6613,1w
2021-04-30,chop,up,down,0,-25.4368,0.584,1w
2021-05-07,chop,neutral,down,0,-24.61,0.5013,1w
2021-05-14,chop,down,up,0,38.2474,0.332,1w
2021-05-21,trending_bear,down,up,0,31.2786,0.28,1w
2021-05-28,trending_bear,down,down,1,-1.0188,0.2827,1w
2021-06-04,trending_bull,neutral,down,0,-3.885,0.5387,1w
2021-06-11,chop,down,down,1,-11.7286,0.3707,1w
2021-06-18,chop,down,down,1,-1.601,0.2867,1w
2021-06-25,chop,down,up,0,15.731,0.3293,1w
2021-07-02,chop,down,up,0,36.0624,0.4013,1w
2021-07-09,chop,down,up,0,2.5155,0.412,1w
2021-07-16,chop,up,down,0,-8.18,0.6173,1w
2021-07-23,trending_bull,up,down,0,-22.3516,0.6693,1w
2021-07-30,chop,up,down,0,-19.637,0.5547,1w
2021-08-06,chop,down,down,1,-23.645,0.4387,1w
2021-08-13,chop,down,down,1,-59.0444,0.4067,1w
2021-08-20,trending_bear,down,down,1,-52.0965,0.356,1w
2021-08-27,trending_bear,down,down,1,-58.709,0.324,1w
2021-09-03,trending_bear,down,down,1,-23.2109,0.1707,1w
2021-09-10,trending_bear,down,down,1,-15.6906,0.1453,1w
2021-09-17,trending_bear,down,down,1,-29.825,0.108,1w
2021-09-24,trending_bear,down,down,1,-20.4969,0.0907,1w
2021-10-01,trending_bear,down,down,1,-23.3135,0.1253,1w
2021-10-08,trending_bear,down,up,0,26.3869,0.0747,1w
2021-10-15,trending_bear,down,down,1,-3.9855,0.12,1w
2021-10-22,trending_bear,down,up,0,55.6885,0.1413,1w
2021-10-29,chop,down,up,0,22.4225,0.1787,1w
2021-11-05,chop,down,up,0,20.5797,0.292,1w
2021-11-12,chop,down,up,0,20.4053,0.4147,1w
2021-11-19,chop,neutral,down,0,-1.0793,0.512,1w
2021-11-26,chop,neutral,down,0,-7.7325,0.4907,1w
2021-12-03,trending_bull,up,down,0,-34.2051,0.5893,1w
2021-12-10,trending_bull,up,down,0,-14.961,0.6773,1w
2021-12-17,chop,neutral,down,0,-11.7096,0.5453,1w
2021-12-24,trending_bear,up,down,0,-6.2023,0.58,1w
2021-12-31,trending_bear,neutral,down,0,-14.9609,0.4587,1w
2022-01-07,chop,down,down,1,-5.6423,0.436,1w
2022-01-14,chop,down,down,1,-12.7399,0.296,1w
2022-01-21,chop,down,down,1,-11.682,0.24,1w
2022-01-28,chop,down,neutral,0,0.0553,0.224,1w
2022-02-04,chop,down,up,0,15.0823,0.104,1w
2022-02-11,chop,down,down,1,-1.9361,0.1907,1w
2022-02-18,chop,down,down,1,-29.7212,0.3067,1w
2022-02-25,chop,down,down,1,-33.2801,0.428,1w
2022-03-04,chop,down,down,1,-8.5688,0.32,1w
2022-03-11,trending_bear,down,up,0,3.2125,0.2947,1w
2022-03-18,trending_bear,down,up,0,2.67,0.2947,1w
2022-03-25,trending_bear,down,down,1,-12.8288,0.3133,1w
2022-04-01,trending_bear,down,down,1,-18.281,0.3507,1w
2022-04-08,chop,down,down,1,-0.9,0.3787,1w
2022-04-15,trending_bear,down,up,0,31.1977,0.3293,1w
2022-04-22,trending_bear,down,up,0,48.9971,0.2173,1w
2022-04-29,trending_bear,down,up,0,53.7027,0.2187,1w
2022-05-06,trending_bull,neutral,up,0,32.6887,0.544,1w
2022-05-13,trending_bull,up,up,1,2.0157,0.6173,1w
2022-05-20,trending_bull,up,down,0,-12.4177,0.6973,1w
2022-05-27,trending_bull,up,down,0,-7.7816,0.7253,1w
2022-06-03,trending_bull,up,down,0,-1.9749,0.6307,1w
2022-06-10,trending_bull,up,down,0,-26.0478,0.724,1w
2022-06-17,trending_bull,up,down,0,-13.5673,0.7427,1w
2022-06-24,trending_bear,up,up,1,5.4553,0.7253,1w
2022-07-01,trending_bear,up,up,1,16.2892,0.5853,1w
2022-07-08,chop,neutral,up,0,2.0146,0.4707,1w
2022-07-15,chop,neutral,up,0,10.9945,0.48,1w
2022-07-22,chop,down,up,0,3.4723,0.3467,1w
2022-07-29,chop,down,up,0,0.5676,0.368,1w
2022-08-05,chop,neutral,down,0,-12.109,0.5173,1w
2022-08-12,chop,down,down,1,-11.6809,0.4253,1w
2022-08-19,chop,down,down,1,-16.3019,0.4467,1w
2022-08-26,chop,neutral,down,0,-18.9287,0.4907,1w
2022-09-02,chop,neutral,down,0,-7.1472,0.4853,1w
2022-09-09,trending_bear,down,down,1,-5.0945,0.3027,1w
2022-09-16,trending_bear,down,down,1,-20.5239,0.292,1w
2022-09-23,trending_bear,down,down,1,-12.5758,0.2507,1w
2022-09-30,trending_bear,down,down,1,-7.9178,0.2573,1w
2022-10-07,trending_bear,down,up,0,7.5302,0.1427,1w
2022-10-14,trending_bear,down,up,0,6.1057,0.232,1w
2022-10-21,trending_bear,down,up,0,6.4779,0.224,1w
2022-10-28,chop,down,up,0,3.1501,0.2173,1w
2022-11-04,chop,down,down,1,-15.012,0.4093,1w
2022-11-11,chop,down,down,1,-10.7476,0.424,1w
2022-11-18,chop,down,down,1,-20.0015,0.4013,1w
2022-11-25,chop,down,down,1,-18.4285,0.352,1w
2022-12-02,chop,down,down,1,-19.7281,0.388,1w
2022-12-09,trending_bear,down,down,1,-6.7464,0.3813,1w
2022-12-16,trending_bear,down,down,1,-6.5392,0.2093,1w
2022-12-23,trending_bear,down,down,1,-11.0609,0.2093,1w
2022-12-30,trending_bear,down,down,1,-6.6436,0.2253,1w
2023-01-06,trending_bear,down,up,0,7.4509,0.052,1w
2023-01-13,trending_bear,down,up,0,2.8688,0.0453,1w
2023-01-20,trending_bear,down,down,1,-1.1943,0.0853,1w
2023-01-27,trending_bull,down,up,0,3.715,0.2347,1w
2023-02-03,trending_bear,down,up,0,29.8389,0.172,1w
2023-02-10,chop,down,up,0,40.6727,0.2693,1w
2023-02-17,trending_bull,up,up,1,105.3145,0.58,1w
2023-02-24,trending_bull,up,up,1,70.6891,0.656,1w
2023-03-03,trending_bull,up,up,1,45.0099,0.7253,1w
2023-03-10,crisis,up,up,1,19.8848,0.876,1w
2023-03-17,crisis,up,up,1,88.1938,0.8627,1w
2023-03-24,trending_bull,up,up,1,110.2413,0.8627,1w
2023-03-31,high_volatility,up,up,1,30.2579,0.8787,1w
2023-04-07,crisis,up,down,0,-2.6984,0.9587,1w
2023-04-14,crisis,up,down,0,-13.198,0.9747,1w
2023-04-21,crisis,up,down,0,-16.6196,0.9453,1w
2023-04-28,crisis,up,down,0,-16.3421,0.9107,1w
2023-05-05,crisis,up,down,0,-5.6957,0.8547,1w
2023-05-12,high_volatility,up,up,1,8.531,0.696,1w
2023-05-19,trending_bear,up,up,1,28.8607,0.676,1w
2023-05-26,chop,up,neutral,0,0.1166,0.7013,1w
2023-06-02,chop,up,up,1,7.6936,0.5653,1w
