date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.2222,0.724,1w
2021-01-13,chop,up,down,0,-3.478,0.6613,1w
2021-01-25,chop,up,down,0,-1.7222,0.5587,1w
2021-02-03,crisis,up,down,0,-3.3899,0.5533,1w
2021-02-12,crisis,neutral,down,0,-0.5609,0.4773,1w
2021-02-24,high_volatility,down,up,0,3.0122,0.448,1w
2021-03-05,crisis,neutral,up,0,3.5078,0.508,1w
2021-03-16,high_volatility,down,up,0,3.2416,0.3893,1w
2021-03-25,chop,down,up,0,3.7845,0.4093,1w
2021-04-06,high_volatility,neutral,down,0,-11.382,0.4867,1w
2021-04-15,high_volatility,down,down,1,-17.5794,0.4267,1w
2021-04-26,high_volatility,up,down,0,-17.8045,0.5533,1w
2021-05-05,crisis,down,down,1,-6.0725,0.268,1w
2021-05-14,crisis,down,down,1,-9.8692,0.2187,1w
2021-05-25,trending_bear,down,down,1,-4.1559,0.256,1w
2021-06-04,trending_bear,down,down,1,-4.5021,0.2107,1w
2021-06-15,trending_bear,down,up,0,2.9637,0.144,1w
2021-06-24,trending_bear,down,up,0,2.0481,0.1787,1w
2021-07-06,trending_bear,down,up,0,4.1388,0.1373,1w
2021-07-15,chop,down,up,0,13.1594,0.1187,1w
2021-07-26,chop,down,up,0,4.6218,0.1507,1w
2021-08-04,chop,down,neutral,0,0.0785,0.312,1w
2021-08-13,trending_bull,up,down,0,-4.8219,0.5733,1w
2021-08-24,trending_bull,neutral,down,0,-10.2348,0.4907,1w
2021-09-02,chop,neutral,down,0,-7.0537,0.4653,1w
2021-09-14,chop,up,down,0,-15.5711,0.6947,1w
2021-09-23,chop,down,down,1,-6.5806,0.4067,1w
2021-10-04,trending_bear,down,down,1,-6.8399,0.4013,1w
2021-10-13,trending_bear,down,down,1,-2.3028,0.288,1w
2021-10-22,trending_bear,down,down,1,-2.6039,0.2947,1w
2021-11-02,trending_bear,down,up,0,1.7526,0.2413,1w
2021-11-11,trending_bear,down,up,0,2.6569,0.18,1w
2021-11-22,chop,down,down,1,-3.8662,0.2093,1w
2021-12-02,chop,down,down,1,-5.4818,0.2747,1w
2021-12-13,chop,down,down,1,-0.8261,0.2347,1w
2021-12-22,chop,down,up,0,8.0108,0.2693,1w
2022-01-03,chop,down,up,0,12.2809,0.2627,1w
2022-01-12,chop,down,up,0,7.9475,0.4253,1w
2022-01-24,chop,neutral,up,0,2.5785,0.4787,1w
2022-02-02,trending_bull,up,down,0,-3.0791,0.5893,1w
2022-02-11,trending_bull,up,down,0,-5.6364,0.6213,1w
2022-02-23,trending_bull,up,down,0,-9.8686,0.58,1w
2022-03-04,trending_bull,neutral,down,0,-1.6111,0.5013,1w
2022-03-15,chop,down,up,0,3.7143,0.436,1w
2022-03-24,trending_bear,down,up,0,9.2954,0.4253,1w
2022-04-04,trending_bear,neutral,up,0,7.185,0.5013,1w
2022-04-13,chop,neutral,up,0,2.6664,0.5013,1w
2022-04-25,chop,neutral,up,0,0.5788,0.4587,1w
2022-05-04,chop,neutral,up,0,0.9791,0.456,1w
2022-05-13,chop,neutral,up,0,8.4893,0.4653,1w
2022-05-24,chop,down,up,0,9.1218,0.4427,1w
2022-06-03,chop,up,up,1,6.0387,0.5933,1w
2022-06-14,trending_bull,up,up,1,2.7659,0.7533,1w
2022-06-24,chop,up,up,1,2.9531,0.792,1w
2022-07-06,chop,up,down,0,-3.2554,0.7867,1w
2022-07-15,chop,up,down,0,-6.5268,0.728,1w
2022-07-26,chop,up,down,0,-2.9617,0.7307,1w
2022-08-04,chop,neutral,down,0,-4.3011,0.5453,1w
2022-08-15,chop,neutral,up,0,1.9562,0.5453,1w
2022-08-24,chop,up,down,0,-2.1273,0.616,1w
2022-09-02,chop,down,down,1,-5.2651,0.4213,1w
2022-09-14,chop,down,down,1,-3.1353,0.376,1w
2022-09-23,chop,down,down,1,-2.3058,0.312,1w
2022-10-04,chop,down,down,1,-1.3744,0.1707,1w
2022-10-13,chop,down,down,1,-7.2863,0.236,1w
2022-10-24,chop,down,up,0,4.4437,0.2267,1w
2022-11-02,chop,down,up,0,3.7474,0.2253,1w
2022-11-11,chop,down,up,0,7.046,0.2853,1w
2022-11-22,chop,down,up,0,8.0291,0.3733,1w
2022-12-02,chop,neutral,up,0,5.3725,0.456,1w
2022-12-13,chop,neutral,down,0,-5.0708,0.4773,1w
2022-12-22,high_volatility,up,down,0,-5.6117,0.5933,1w
2023-01-04,trending_bull,up,down,0,-6.9415,0.608,1w
2023-01-13,chop,neutral,down,0,-2.8983,0.4947,1w
2023-01-25,chop,up,down,0,-2.1859,0.5907,1w
2023-02-03,chop,neutral,up,0,6.6512,0.4587,1w
2023-02-14,chop,neutral,up,0,3.3858,0.492,1w
2023-02-24,chop,neutral,up,0,3.613,0.4773,1w
2023-03-07,chop,up,down,0,-1.2052,0.5787,1w
2023-03-16,chop,down,down,1,-1.0243,0.3747,1w
2023-03-27,chop,down,up,0,4.1537,0.3733,1w
2023-04-05,chop,down,up,0,4.834,0.448,1w
2023-04-17,chop,neutral,up,0,9.6767,0.484,1w
2023-04-26,chop,up,up,1,2.0319,0.64,1w
2023-05-05,chop,up,up,1,1.3222,0.7427,1w
2023-05-16,trending_bull,up,up,1,1.9389,0.7293,1w
2023-05-25,trending_bull,up,up,1,6.0494,0.7347,1w
2023-06-06,chop,up,up,1,3.2974,0.6533,1w
2023-06-15,chop,up,up,1,4.0369,0.7253,1w
2023-06-27,trending_bull,up,up,1,0.9188,0.7253,1w
2023-07-07,trending_bull,up,up,1,2.62,0.7133,1w
2023-07-18,trending_bull,up,up,1,2.89,0.844,1w
2023-07-27,trending_bull,up,up,1,5.5684,0.6933,1w
2023-08-07,crisis,up,up,1,8.9562,0.6307,1w
2023-08-16,trending_bull,up,up,1,8.2013,0.668,1w
2023-08-25,trending_bull,up,up,1,3.7216,0.772,1w
2023-09-06,trending_bull,up,neutral,0,-0.4021,0.7827,1w
2023-09-15,trending_bull,up,down,0,-2.3611,0.7947,1w
2023-09-26,trending_bull,up,up,1,2.2017,0.7307,1w
2023-10-05,trending_bull,up,neutral,0,0.2294,0.6747,1w
2023-10-16,chop,up,up,1,3.2877,0.6413,1w
2023-10-25,chop,up,up,1,2.4696,0.72,1w
2023-11-03,chop,up,up,1,0.6273,0.6067,1w
2023-11-14,chop,up,down,0,-0.6625,0.668,1w
2023-11-24,chop,up,down,0,-4.1305,0.5853,1w
2023-12-05,chop,neutral,down,0,-5.2833,0.5147,1w
2023-12-14,chop,down,down,1,-3.4732,0.4133,1w
2023-12-26,chop,down,down,1,-1.0076,0.4267,1w
2024-01-05,chop,down,up,0,4.9946,0.412,1w
2024-01-17,chop,down,neutral,0,-0.0596,0.3893,1w
2024-01-26,chop,down,up,0,3.7544,0.4013,1w
2024-02-06,high_volatility,down,down,1,-1.7215,0.416,1w
2024-02-15,chop,down,down,1,-3.0933,0.3613,1w
2024-02-27,chop,down,down,1,-5.5708,0.3653,1w
2024-03-07,high_volatility,down,down,1,-11.3474,0.3667,1w
2024-03-18,chop,down,down,1,-3.0448,0.296,1w
2024-03-27,chop,down,down,1,-3.4666,0.3653,1w
2024-04-08,crisis,down,up,0,2.026,0.26,1w
2024-04-17,high_volatility,down,up,0,3.3847,0.3733,1w
2024-04-26,chop,down,down,1,-1.8859,0.412,1w
2024-05-07,chop,down,up,0,0.6763,0.3653,1w
2024-05-16,chop,down,down,1,-0.9924,0.4093,1w
2024-05-28,chop,down,down,1,-0.7315,0.3427,1w
2024-06-06,chop,down,down,1,-1.6923,0.4253,1w
2024-06-17,chop,down,down,1,-2.167,0.4333,1w
2024-06-27,chop,down,down,1,-3.4288,0.3893,1w
2024-07-09,chop,neutral,down,0,-7.4705,0.5013,1w
2024-07-18,chop,neutral,down,0,-6.386,0.456,1w
2024-07-29,chop,down,up,0,4.4718,0.3067,1w
2024-08-07,trending_bear,down,up,0,5.4895,0.2747,1w
2024-08-16,chop,down,up,0,1.5791,0.2947,1w
2024-08-27,chop,down,down,1,-1.1693,0.3373,1w
2024-09-06,chop,down,down,1,-2.3459,0.3387,1w
2024-09-17,chop,down,down,1,-2.1941,0.3347,1w
