date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.6434,0.916,1w
2021-01-13,high_volatility,up,down,0,-4.9261,0.7973,1w
2021-01-25,crisis,neutral,up,0,6.625,0.524,1w
2021-02-03,crisis,up,down,0,-4.1148,0.5987,1w
2021-02-12,high_volatility,up,down,0,-0.9801,0.5573,1w
2021-02-24,high_volatility,neutral,up,0,6.7664,0.528,1w
2021-03-05,high_volatility,neutral,up,0,5.9111,0.5333,1w
2021-03-16,crisis,down,down,1,-0.6299,0.368,1w
2021-03-25,high_volatility,down,down,1,-6.3024,0.3707,1w
2021-04-06,chop,down,down,1,-8.4555,0.4067,1w
2021-04-15,chop,down,down,1,-3.539,0.4013,1w
2021-04-26,chop,up,down,0,-10.4647,0.5813,1w
2021-05-05,high_volatility,down,down,1,-4.4595,0.424,1w
2021-05-14,high_volatility,neutral,down,0,-12.0053,0.4707,1w
2021-05-25,crisis,down,down,1,-4.4836,0.392,1w
2021-06-04,high_volatility,down,down,1,-14.7467,0.436,1w
2021-06-15,high_volatility,down,down,1,-6.058,0.324,1w
2021-06-24,chop,down,up,0,0.7896,0.2267,1w
2021-07-06,chop,down,up,0,13.2882,0.1867,1w
2021-07-15,chop,down,up,0,12.8969,0.2613,1w
2021-07-26,chop,down,up,0,3.6569,0.3293,1w
2021-08-04,chop,down,down,1,-10.9967,0.3653,1w
2021-08-13,chop,down,down,1,-9.8952,0.4093,1w
2021-08-24,chop,neutral,down,0,-9.2731,0.4933,1w
2021-09-02,chop,down,down,1,-7.9185,0.2947,1w
2021-09-14,chop,down,down,1,-14.9916,0.4253,1w
2021-09-23,chop,down,down,1,-4.0433,0.3787,1w
2021-10-04,chop,down,down,1,-2.4924,0.3947,1w
2021-10-13,chop,down,up,0,15.6632,0.296,1w
2021-10-22,trending_bear,down,up,0,13.3444,0.3147,1w
2021-11-02,chop,down,up,0,20.7706,0.2733,1w
2021-11-11,chop,down,up,0,7.4389,0.3707,1w
2021-11-22,trending_bull,down,up,0,6.7659,0.4467,1w
2021-12-02,trending_bull,up,up,1,3.1986,0.5893,1w
2021-12-13,trending_bull,up,up,1,2.7591,0.584,1w
2021-12-22,trending_bull,up,up,1,5.7748,0.6907,1w
2022-01-03,trending_bull,up,up,1,8.1269,0.656,1w
2022-01-12,trending_bull,up,up,1,3.8204,0.7933,1w
2022-01-24,trending_bull,up,neutral,0,-0.321,0.768,1w
2022-02-02,trending_bull,up,up,1,5.9068,0.804,1w
2022-02-11,trending_bull,up,up,1,3.9398,0.7067,1w
2022-02-23,trending_bull,up,up,1,10.9042,0.6267,1w
2022-03-04,trending_bull,up,up,1,2.2117,0.7253,1w
2022-03-15,trending_bull,up,down,0,-1.964,0.6267,1w
2022-03-24,trending_bull,up,down,0,-0.7689,0.712,1w
2022-04-04,trending_bull,up,down,0,-2.9968,0.692,1w
2022-04-13,chop,up,up,1,1.9829,0.6027,1w
2022-04-25,chop,up,up,1,10.2793,0.5893,1w
2022-05-04,chop,neutral,up,0,27.325,0.5133,1w
2022-05-13,chop,up,up,1,38.1548,0.588,1w
2022-05-24,chop,up,up,1,13.338,0.7573,1w
2022-06-03,crisis,up,up,1,7.9137,0.7693,1w
2022-06-14,crisis,up,up,1,3.5962,0.8373,1w
2022-06-24,trending_bull,up,up,1,5.2676,0.7707,1w
2022-07-06,trending_bull,up,up,1,4.1216,0.7933,1w
2022-07-15,trending_bull,up,down,0,-6.7421,0.86,1w
2022-07-26,trending_bull,up,down,0,-4.3725,0.8587,1w
2022-08-04,trending_bull,up,down,0,-2.7746,0.828,1w
2022-08-15,trending_bear,up,up,1,4.6399,0.764,1w
2022-08-24,high_volatility,up,down,0,-1.5717,0.6667,1w
2022-09-02,crisis,up,down,0,-5.0413,0.608,1w
2022-09-14,chop,down,up,0,4.2634,0.448,1w
2022-09-23,chop,down,up,0,7.954,0.444,1w
2022-10-04,chop,down,up,0,5.7583,0.424,1w
2022-10-13,high_volatility,down,up,0,4.9148,0.4293,1w
2022-10-24,high_volatility,down,up,0,14.4028,0.4493,1w
2022-11-02,high_volatility,down,up,0,4.6778,0.424,1w
2022-11-11,chop,up,up,1,11.9974,0.656,1w
2022-11-22,trending_bull,up,up,1,15.147,0.6653,1w
2022-12-02,trending_bull,up,up,1,15.4102,0.5693,1w
2022-12-13,crisis,up,up,1,1.2288,0.768,1w
2022-12-22,high_volatility,up,up,1,8.6678,0.848,1w
2023-01-04,trending_bull,up,up,1,18.4717,0.7653,1w
2023-01-13,trending_bull,up,up,1,14.3657,0.7453,1w
2023-01-25,crisis,up,up,1,8.6523,0.8973,1w
2023-02-03,high_volatility,up,up,1,10.4159,0.864,1w
2023-02-14,crisis,up,down,0,-2.3374,0.788,1w
2023-02-24,crisis,up,up,1,3.1577,0.8013,1w
2023-03-07,crisis,up,down,0,-4.3977,0.872,1w
2023-03-16,crisis,up,up,1,7.8788,0.6067,1w
2023-03-27,crisis,up,down,0,-1.8434,0.6653,1w
2023-04-05,crisis,up,down,0,-1.9302,0.7413,1w
2023-04-17,high_volatility,up,up,1,11.9707,0.6773,1w
2023-04-26,high_volatility,up,up,1,4.7445,0.5587,1w
2023-05-05,high_volatility,up,up,1,8.4398,0.5547,1w
2023-05-16,high_volatility,up,up,1,22.8669,0.6067,1w
2023-05-25,trending_bull,up,up,1,13.0698,0.5733,1w
2023-06-06,chop,neutral,up,0,24.9869,0.48,1w
2023-06-15,crisis,up,down,0,-14.4415,0.7867,1w
2023-06-27,crisis,up,down,0,-4.4345,0.6627,1w
2023-07-07,high_volatility,up,down,0,-16.9681,0.728,1w
2023-07-18,crisis,up,up,1,3.4949,0.6653,1w
2023-07-27,crisis,up,up,1,6.2575,0.588,1w
2023-08-07,crisis,up,up,1,12.145,0.56,1w
2023-08-16,high_volatility,up,down,0,-1.0258,0.5987,1w
2023-08-25,high_volatility,up,up,1,9.1129,0.5773,1w
2023-09-06,high_volatility,neutral,up,0,29.3584,0.5467,1w
2023-09-15,high_volatility,down,up,0,8.6716,0.3907,1w
2023-09-26,chop,up,down,0,-3.7846,0.5573,1w
2023-10-05,chop,neutral,down,0,-3.7297,0.4933,1w
2023-10-16,chop,up,down,0,-1.8324,0.5507,1w
2023-10-25,chop,up,down,0,-5.0694,0.584,1w
2023-11-03,chop,up,down,0,-1.9206,0.6733,1w
2023-11-14,chop,neutral,up,0,31.9404,0.524,1w
2023-11-24,chop,neutral,up,0,45.8088,0.4947,1w
2023-12-05,chop,up,up,1,39.0529,0.7307,1w
2023-12-14,crisis,up,down,0,-7.9901,0.7267,1w
2023-12-26,crisis,up,down,0,-15.4874,0.688,1w
2024-01-05,high_volatility,up,up,1,1.1896,0.6933,1w
2024-01-17,high_volatility,up,down,0,-3.7525,0.6667,1w
2024-01-26,crisis,up,down,0,-4.1434,0.588,1w
2024-02-06,crisis,up,down,0,-17.9748,0.656,1w
2024-02-15,high_volatility,up,down,0,-14.4974,0.6587,1w
2024-02-27,high_volatility,up,down,0,-14.9417,0.5867,1w
2024-03-07,crisis,neutral,down,0,-17.6694,0.524,1w
2024-03-18,high_volatility,down,down,1,-10.2603,0.2973,1w
2024-03-27,trending_bear,down,up,0,14.1791,0.22,1w
2024-04-08,crisis,down,up,0,12.2171,0.2253,1w
2024-04-17,high_volatility,down,up,0,38.7582,0.2867,1w
2024-04-26,chop,down,up,0,25.7183,0.4213,1w
2024-05-07,chop,down,up,0,17.3295,0.42,1w
2024-05-16,trending_bull,neutral,up,0,8.4513,0.488,1w
2024-05-28,trending_bull,up,up,1,14.1401,0.6107,1w
2024-06-06,trending_bull,up,up,1,12.8432,0.6667,1w
2024-06-17,trending_bull,up,up,1,15.2886,0.68,1w
2024-06-27,trending_bull,up,up,1,14.3084,0.8147,1w
2024-07-09,trending_bull,up,up,1,11.1488,0.8587,1w
2024-07-18,trending_bull,up,up,1,5.8581,0.9627,1w
2024-07-29,trending_bull,up,up,1,5.0902,0.9453,1w
2024-08-07,trending_bull,up,up,1,10.7832,0.908,1w
2024-08-16,trending_bull,up,up,1,18.6077,0.78,1w
2024-08-27,chop,up,up,1,10.4482,0.7827,1w
2024-09-06,crisis,up,down,0,-6.3528,0.8307,1w
2024-09-17,high_volatility,up,up,1,1.4462,0.7933,1w
2024-09-26,chop,up,up,1,13.052,0.724,1w
2024-10-07,chop,up,up,1,3.0636,0.7307,1w
2024-10-16,crisis,up,down,0,-1.8869,0.7,1w
2024-10-25,high_volatility,up,up,1,3.0027,0.712,1w
2024-11-05,high_volatility,up,up,1,14.787,0.6267,1w
2024-11-14,crisis,up,down,0,-4.2526,0.632,1w
2024-11-25,crisis,up,down,0,-13.1282,0.7253,1w
