date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-10.4229,0.7107,1w
2021-01-13,chop,up,down,0,-5.0534,0.6693,1w
2021-01-25,chop,down,up,0,1.0025,0.3893,1w
2021-02-03,trending_bear,down,up,0,2.3697,0.34,1w
2021-02-12,trending_bear,down,down,1,-7.567,0.2947,1w
2021-02-24,chop,down,down,1,-2.339,0.292,1w
2021-03-05,chop,down,down,1,-2.5726,0.3413,1w
2021-03-16,chop,down,down,1,-5.0617,0.3507,1w
2021-03-25,chop,down,up,0,3.9081,0.3653,1w
2021-04-06,chop,down,up,0,2.8866,0.2947,1w
2021-04-15,chop,down,down,1,-2.063,0.2613,1w
2021-04-26,high_volatility,neutral,down,0,-7.8083,0.4693,1w
2021-05-05,high_volatility,neutral,down,0,-1.3873,0.4653,1w
2021-05-14,crisis,down,down,1,-4.2829,0.344,1w
2021-05-25,high_volatility,down,down,1,-13.1946,0.4013,1w
2021-06-04,chop,neutral,down,0,-23.9796,0.4973,1w
2021-06-15,chop,down,down,1,-11.5406,0.384,1w
2021-06-24,trending_bear,down,up,0,1.5822,0.2773,1w
2021-07-06,trending_bear,down,up,0,12.2321,0.26,1w
2021-07-15,trending_bear,down,up,0,21.5243,0.296,1w
2021-07-26,chop,down,up,0,11.1405,0.2947,1w
2021-08-04,chop,down,neutral,0,0.3246,0.2747,1w
2021-08-13,chop,neutral,down,0,-17.5335,0.52,1w
2021-08-24,chop,neutral,down,0,-22.6243,0.464,1w
2021-09-02,chop,down,down,1,-23.7901,0.3107,1w
2021-09-14,chop,down,down,1,-21.3623,0.3853,1w
2021-09-23,trending_bear,down,down,1,-2.7067,0.2747,1w
2021-10-04,trending_bear,down,up,0,3.2153,0.3187,1w
2021-10-13,trending_bear,down,up,0,4.5794,0.2253,1w
2021-10-22,trending_bear,down,down,1,-3.6981,0.2747,1w
2021-11-02,chop,down,up,0,23.8464,0.2867,1w
2021-11-11,chop,down,up,0,3.5821,0.212,1w
2021-11-22,chop,down,up,0,3.8048,0.2333,1w
2021-12-02,chop,down,down,1,-3.9998,0.3467,1w
2021-12-13,chop,down,up,0,8.9178,0.392,1w
2021-12-22,chop,neutral,up,0,18.9796,0.4907,1w
2022-01-03,chop,neutral,up,0,19.4951,0.4853,1w
2022-01-12,chop,up,up,1,0.7774,0.6387,1w
2022-01-24,trending_bull,up,up,1,7.6254,0.6107,1w
2022-02-02,trending_bull,up,up,1,3.624,0.864,1w
2022-02-11,trending_bull,up,down,0,-1.3225,0.6613,1w
2022-02-23,trending_bull,up,down,0,-8.9507,0.728,1w
2022-03-04,trending_bull,up,down,0,-4.0524,0.692,1w
2022-03-15,chop,up,up,1,4.1333,0.5707,1w
2022-03-24,chop,up,down,0,-3.1194,0.6573,1w
2022-04-04,chop,up,down,0,-6.707,0.6093,1w
2022-04-13,chop,neutral,down,0,-3.0743,0.5293,1w
2022-04-25,chop,down,up,0,3.7446,0.4227,1w
2022-05-04,chop,down,up,0,0.9872,0.3387,1w
2022-05-13,chop,neutral,up,0,3.15,0.5013,1w
2022-05-24,chop,down,up,0,4.7584,0.312,1w
2022-06-03,chop,down,down,1,-2.7906,0.3733,1w
2022-06-14,chop,neutral,neutral,0,0.0,0.512,1w
2022-06-24,chop,neutral,up,0,6.1898,0.4947,1w
2022-07-06,chop,down,down,1,-2.6093,0.4253,1w
2022-07-15,chop,neutral,down,0,-8.0295,0.4587,1w
2022-07-26,chop,up,down,0,-7.6,0.6573,1w
2022-08-04,chop,neutral,down,0,-1.482,0.5013,1w
2022-08-15,chop,down,up,0,4.6365,0.412,1w
2022-08-24,trending_bear,down,down,1,-4.6874,0.436,1w
2022-09-02,chop,down,down,1,-10.921,0.4253,1w
2022-09-14,chop,down,down,1,-14.0955,0.376,1w
2022-09-23,trending_bear,down,down,1,-7.7056,0.3067,1w
2022-10-04,trending_bear,down,down,1,-5.4271,0.22,1w
2022-10-13,trending_bear,down,down,1,-2.4796,0.1667,1w
2022-10-24,trending_bear,down,up,0,9.3291,0.1493,1w
2022-11-02,trending_bear,down,up,0,4.1507,0.1507,1w
2022-11-11,trending_bear,down,up,0,12.0496,0.2907,1w
2022-11-22,trending_bull,down,up,0,20.4296,0.3387,1w
2022-12-02,chop,down,up,0,10.8647,0.332,1w
2022-12-13,chop,down,down,1,-5.8435,0.448,1w
2022-12-22,trending_bull,up,down,0,-12.4079,0.708,1w
2023-01-04,trending_bull,up,down,0,-6.1845,0.6627,1w
2023-01-13,trending_bull,up,up,1,5.8263,0.628,1w
2023-01-25,chop,up,up,1,8.1228,0.6987,1w
2023-02-03,chop,up,up,1,11.7516,0.5573,1w
2023-02-14,chop,up,up,1,3.6465,0.668,1w
2023-02-24,chop,up,up,1,4.8233,0.676,1w
2023-03-07,chop,up,up,1,3.8798,0.668,1w
2023-03-16,trending_bull,neutral,up,0,3.8012,0.524,1w
2023-03-27,chop,neutral,neutral,0,-0.3957,0.4653,1w
2023-04-05,trending_bull,up,up,1,4.1227,0.656,1w
