date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-5.8023,0.4067,1w
2021-01-13,chop,down,down,1,-4.5355,0.2947,1w
2021-01-25,chop,down,down,1,-6.5123,0.1733,1w
2021-02-03,trending_bear,down,down,1,-1.407,0.252,1w
2021-02-12,chop,down,down,1,-13.819,0.3133,1w
2021-02-24,chop,down,up,0,10.1111,0.1653,1w
2021-03-05,chop,down,up,0,0.8543,0.3467,1w
2021-03-16,chop,down,up,0,3.6722,0.3453,1w
2021-03-25,chop,down,down,1,-14.5711,0.3173,1w
2021-04-06,chop,down,down,1,-17.9643,0.3813,1w
2021-04-15,chop,down,down,1,-30.5181,0.3027,1w
2021-04-26,chop,down,down,1,-21.5664,0.3507,1w
2021-05-05,chop,down,down,1,-9.0272,0.2827,1w
2021-05-14,trending_bear,down,down,1,-8.5624,0.1693,1w
2021-05-25,trending_bear,down,down,1,-1.653,0.2973,1w
2021-06-04,chop,down,down,1,-7.217,0.292,1w
2021-06-15,chop,down,up,0,4.2852,0.2693,1w
2021-06-24,trending_bear,down,up,0,5.4492,0.2133,1w
2021-07-06,chop,down,up,0,24.0774,0.2253,1w
2021-07-15,chop,down,up,0,36.8093,0.2613,1w
2021-07-26,chop,down,up,0,23.2902,0.3547,1w
2021-08-04,chop,neutral,down,0,-1.3722,0.4853,1w
2021-08-13,trending_bull,up,down,0,-10.0061,0.7,1w
2021-08-24,trending_bull,up,down,0,-9.2641,0.7,1w
2021-09-02,trending_bull,up,neutral,0,0.1641,0.5747,1w
2021-09-14,chop,up,neutral,0,0.475,0.7293,1w
2021-09-23,chop,up,up,1,15.1067,0.6173,1w
2021-10-04,chop,up,up,1,22.0256,0.6733,1w
2021-10-13,chop,up,up,1,51.133,0.7013,1w
2021-10-22,chop,up,up,1,35.5988,0.7307,1w
2021-11-02,trending_bull,up,up,1,27.7717,0.7,1w
2021-11-11,trending_bull,up,down,0,-7.8441,0.76,1w
2021-11-22,high_volatility,up,down,0,-6.7215,0.824,1w
2021-12-02,trending_bull,up,down,0,-10.904,0.872,1w
2021-12-13,trending_bull,up,up,1,7.7689,0.768,1w
2021-12-22,chop,up,up,1,12.5968,0.8427,1w
2022-01-03,chop,up,up,1,17.6464,0.768,1w
2022-01-12,chop,up,up,1,1.1641,0.836,1w
2022-01-24,trending_bull,up,up,1,1.4882,0.7693,1w
2022-02-02,trending_bull,up,up,1,11.7009,0.7693,1w
2022-02-11,crisis,neutral,up,0,8.9273,0.524,1w
2022-02-23,chop,neutral,up,0,11.8987,0.524,1w
2022-03-04,crisis,up,neutral,0,0.342,0.6613,1w
2022-03-15,high_volatility,up,up,1,3.1938,0.736,1w
2022-03-24,chop,up,up,1,1.0339,0.7747,1w
2022-04-04,chop,up,up,1,0.833,0.7933,1w
2022-04-13,chop,up,down,0,-9.7974,0.7,1w
2022-04-25,chop,up,down,0,-10.7898,0.6613,1w
2022-05-04,chop,up,down,0,-12.7552,0.6027,1w
2022-05-13,crisis,neutral,down,0,-1.6898,0.52,1w
2022-05-24,high_volatility,neutral,down,0,-2.2324,0.4693,1w
2022-06-03,trending_bear,down,down,1,-3.1096,0.312,1w
2022-06-14,trending_bear,down,down,1,-2.9343,0.3733,1w
2022-06-24,chop,down,down,1,-7.8514,0.3173,1w
2022-07-06,chop,down,down,1,-3.849,0.3187,1w
2022-07-15,chop,down,up,0,5.6177,0.3213,1w
2022-07-26,chop,down,up,0,7.6446,0.2827,1w
2022-08-04,chop,down,up,0,18.1332,0.2747,1w
2022-08-15,trending_bull,neutral,up,0,5.8422,0.48,1w
2022-08-24,chop,neutral,down,0,-2.6155,0.4827,1w
2022-09-02,chop,up,down,0,-8.8478,0.5773,1w
2022-09-14,chop,neutral,up,0,4.4712,0.5293,1w
2022-09-23,chop,neutral,up,0,12.5099,0.456,1w
2022-10-04,chop,neutral,up,0,7.2204,0.508,1w
2022-10-13,chop,up,down,0,-0.6317,0.5987,1w
2022-10-24,chop,up,up,1,9.1403,0.6547,1w
2022-11-02,chop,up,up,1,8.7595,0.6533,1w
2022-11-11,chop,up,up,1,11.9505,0.5853,1w
2022-11-22,trending_bull,up,up,1,13.4008,0.6573,1w
2022-12-02,trending_bull,up,up,1,5.7008,0.6107,1w
2022-12-13,trending_bull,up,down,0,-1.442,0.7253,1w
2022-12-22,trending_bull,up,down,0,-2.096,0.868,1w
2023-01-04,trending_bull,up,up,1,5.4298,0.768,1w
2023-01-13,trending_bull,up,up,1,8.1154,0.668,1w
2023-01-25,trending_bull,up,up,1,8.0482,0.768,1w
2023-02-03,chop,up,up,1,21.3944,0.7453,1w
2023-02-14,chop,up,up,1,12.7791,0.8587,1w
2023-02-24,chop,up,up,1,17.4086,0.792,1w
2023-03-07,crisis,up,down,0,-1.6596,0.836,1w
2023-03-16,trending_bull,up,down,0,-2.639,0.7267,1w
2023-03-27,trending_bull,up,down,0,-2.9781,0.744,1w
2023-04-05,trending_bull,up,up,1,5.2794,0.7693,1w
2023-04-17,high_volatility,up,down,0,-1.9578,0.708,1w
2023-04-26,chop,up,down,0,-7.3322,0.7253,1w
2023-05-05,chop,up,down,0,-9.7848,0.7573,1w
2023-05-16,chop,up,up,1,0.6507,0.5733,1w
2023-05-25,trending_bear,neutral,up,0,1.6239,0.5373,1w
2023-06-06,trending_bear,down,up,0,8.3575,0.236,1w
2023-06-15,trending_bear,down,up,0,6.9354,0.3507,1w
2023-06-27,chop,down,up,0,4.1026,0.308,1w
2023-07-07,chop,down,down,1,-1.1758,0.4013,1w
2023-07-18,chop,up,up,1,22.2528,0.5707,1w
2023-07-27,chop,neutral,up,0,16.6634,0.4707,1w
2023-08-07,high_volatility,down,up,0,1.6092,0.3587,1w
2023-08-16,high_volatility,up,up,1,3.2326,0.7253,1w
2023-08-25,trending_bull,up,up,1,8.7582,0.6987,1w
2023-09-06,trending_bull,up,up,1,18.9442,0.7187,1w
2023-09-15,chop,up,up,1,13.4747,0.7253,1w
2023-09-26,trending_bull,up,up,1,12.6815,0.736,1w
2023-10-05,trending_bull,up,up,1,2.5521,0.7827,1w
2023-10-16,trending_bull,up,up,1,38.6004,0.7947,1w
2023-10-25,trending_bull,up,up,1,43.2894,0.8093,1w
2023-11-03,trending_bull,up,up,1,55.8389,0.8013,1w
2023-11-14,crisis,up,up,1,6.6743,0.8053,1w
2023-11-24,crisis,up,up,1,1.979,0.8627,1w
2023-12-05,crisis,up,down,0,-17.262,0.9107,1w
2023-12-14,crisis,up,down,0,-9.7736,0.8293,1w
2023-12-26,crisis,up,up,1,2.201,0.7933,1w
2024-01-05,crisis,up,up,1,20.5274,0.6987,1w
2024-01-17,high_volatility,up,up,1,19.5524,0.6973,1w
2024-01-26,high_volatility,up,down,0,-17.8961,0.728,1w
2024-02-06,high_volatility,up,down,0,-24.1137,0.7653,1w
2024-02-15,high_volatility,up,down,0,-4.2651,0.6773,1w
2024-02-27,crisis,down,up,0,1.23,0.3573,1w
2024-03-07,high_volatility,down,down,1,-4.2933,0.2747,1w
2024-03-18,high_volatility,down,neutral,0,0.2006,0.3787,1w
2024-03-27,chop,down,up,0,16.1955,0.3733,1w
2024-04-08,high_volatility,down,up,0,22.6833,0.4013,1w
2024-04-17,chop,down,up,0,36.9771,0.428,1w
2024-04-26,chop,down,up,0,19.0755,0.4453,1w
2024-05-07,chop,neutral,up,0,14.4919,0.488,1w
2024-05-16,chop,up,up,1,3.7752,0.6227,1w
2024-05-28,trending_bull,up,up,1,10.339,0.7307,1w
2024-06-06,trending_bull,up,down,0,-3.8903,0.784,1w
2024-06-17,chop,up,down,0,-3.3152,0.7533,1w
2024-06-27,chop,up,down,0,-3.4538,0.8547,1w
2024-07-09,chop,up,up,1,15.4711,0.7307,1w
2024-07-18,trending_bear,up,up,1,5.2099,0.7747,1w
2024-07-29,trending_bear,up,up,1,3.4957,0.6733,1w
2024-08-07,high_volatility,up,down,0,-10.5913,0.6693,1w
2024-08-16,high_volatility,neutral,up,0,0.7333,0.4933,1w
2024-08-27,chop,neutral,down,0,-4.1844,0.5107,1w
2024-09-06,chop,down,down,1,-2.6941,0.4253,1w
2024-09-17,chop,neutral,down,0,-13.4081,0.4587,1w
2024-09-26,chop,down,up,0,5.206,0.4013,1w
2024-10-07,chop,neutral,down,0,-20.0125,0.4693,1w
2024-10-16,chop,down,down,1,-20.4793,0.4067,1w
2024-10-25,chop,neutral,down,0,-29.7943,0.4707,1w
2024-11-05,high_volatility,down,down,1,-8.1974,0.1907,1w
2024-11-14,trending_bear,down,up,0,3.0406,0.1773,1w
2024-11-25,trending_bear,down,up,0,7.4814,0.1733,1w
