date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,9.3875,0.3893,1w
2021-01-13,chop,neutral,up,0,12.0594,0.524,1w
2021-01-25,chop,down,up,0,21.0847,0.2387,1w
2021-02-03,crisis,neutral,down,0,-2.3186,0.5467,1w
2021-02-12,high_volatility,up,down,0,-9.9161,0.5707,1w
2021-02-24,trending_bull,up,down,0,-1.5507,0.616,1w
2021-03-05,crisis,up,up,1,8.222,0.6413,1w
2021-03-16,crisis,neutral,neutral,0,-0.001,0.5427,1w
2021-03-25,high_volatility,up,down,0,-4.1493,0.6173,1w
2021-04-06,chop,up,down,0,-8.0259,0.588,1w
2021-04-15,chop,neutral,down,0,-14.6556,0.48,1w
2021-04-26,chop,up,down,0,-13.6122,0.6107,1w
2021-05-05,chop,down,down,1,-4.8813,0.388,1w
2021-05-14,chop,down,down,1,-7.8488,0.2307,1w
2021-05-25,trending_bear,down,down,1,-8.9828,0.2933,1w
2021-06-04,chop,down,down,1,-15.9788,0.4453,1w
2021-06-15,chop,down,down,1,-5.2623,0.2493,1w
2021-06-24,trending_bear,down,up,0,5.6213,0.1707,1w
2021-07-06,trending_bear,down,up,0,12.5081,0.172,1w
2021-07-15,trending_bear,down,up,0,16.3953,0.18,1w
2021-07-26,chop,down,up,0,5.0057,0.2747,1w
2021-08-04,chop,down,down,1,-3.6718,0.312,1w
2021-08-13,trending_bull,neutral,down,0,-6.0762,0.5293,1w
2021-08-24,trending_bull,neutral,down,0,-10.1175,0.4907,1w
2021-09-02,chop,down,down,1,-6.5224,0.3333,1w
2021-09-14,chop,up,down,0,-12.5144,0.58,1w
2021-09-23,chop,down,neutral,0,0.2243,0.4253,1w
2021-10-04,trending_bear,neutral,up,0,1.4997,0.488,1w
2021-10-13,trending_bear,down,up,0,9.3253,0.396,1w
2021-10-22,trending_bear,down,up,0,7.8938,0.3733,1w
2021-11-02,chop,down,up,0,9.7561,0.3787,1w
2021-11-11,chop,down,up,0,1.5624,0.3867,1w
2021-11-22,chop,down,down,1,-4.8389,0.4133,1w
2021-12-02,chop,neutral,down,0,-6.1435,0.5427,1w
2021-12-13,chop,neutral,down,0,-1.3097,0.4827,1w
2021-12-22,chop,neutral,up,0,7.2661,0.544,1w
