date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-11.3311,0.7107,1w
2021-01-13,chop,up,down,0,-10.6079,0.5733,1w
2021-01-25,chop,down,down,1,-5.6629,0.312,1w
2021-02-03,crisis,down,down,1,-12.2532,0.296,1w
2021-02-12,high_volatility,down,down,1,-16.0638,0.2933,1w
2021-02-24,trending_bear,down,down,1,-11.3883,0.22,1w
2021-03-05,high_volatility,down,up,0,1.7066,0.216,1w
2021-03-16,high_volatility,down,up,0,5.6421,0.144,1w
2021-03-25,trending_bear,down,up,0,1.4274,0.1787,1w
2021-04-06,trending_bear,down,up,0,7.5321,0.1747,1w
2021-04-15,chop,down,down,1,-1.7255,0.1707,1w
2021-04-26,chop,down,up,0,3.2245,0.236,1w
2021-05-05,chop,down,neutral,0,0.036,0.3653,1w
2021-05-14,chop,down,down,1,-4.8107,0.3267,1w
2021-05-25,chop,down,down,1,-8.5241,0.3893,1w
2021-06-04,chop,up,down,0,-16.5809,0.6107,1w
2021-06-15,high_volatility,neutral,down,0,-5.124,0.4907,1w
2021-06-24,chop,down,up,0,6.2986,0.4013,1w
2021-07-06,high_volatility,down,up,0,11.7026,0.3653,1w
2021-07-15,chop,down,up,0,14.9119,0.3507,1w
2021-07-26,chop,neutral,down,0,-2.2984,0.5053,1w
2021-08-04,chop,down,neutral,0,0.3158,0.3733,1w
2021-08-13,chop,neutral,down,0,-5.2632,0.5293,1w
2021-08-24,chop,neutral,down,0,-9.5732,0.456,1w
2021-09-02,chop,down,down,1,-11.1469,0.3813,1w
2021-09-14,chop,neutral,down,0,-14.6752,0.528,1w
2021-09-23,chop,down,up,0,5.6502,0.3707,1w
2021-10-04,trending_bear,down,up,0,1.2842,0.424,1w
2021-10-13,trending_bear,down,up,0,15.3915,0.368,1w
2021-10-22,chop,down,up,0,9.5582,0.3733,1w
2021-11-02,chop,down,up,0,17.5593,0.3867,1w
2021-11-11,chop,down,down,1,-3.0666,0.424,1w
2021-11-22,chop,neutral,down,0,-1.9355,0.5013,1w
2021-12-02,chop,up,down,0,-5.0389,0.5573,1w
2021-12-13,chop,neutral,up,0,3.3695,0.5147,1w
2021-12-22,chop,up,up,1,7.6231,0.6333,1w
2022-01-03,chop,up,up,1,15.21,0.5853,1w
2022-01-12,chop,up,up,1,7.3341,0.7293,1w
2022-01-24,chop,up,up,1,4.9581,0.668,1w
2022-02-02,chop,up,up,1,3.1862,0.7933,1w
2022-02-11,trending_bull,up,down,0,-5.4706,0.5907,1w
2022-02-23,chop,up,down,0,-3.37,0.5907,1w
2022-03-04,trending_bull,up,down,0,-2.3052,0.6747,1w
2022-03-15,chop,neutral,up,0,9.5389,0.524,1w
2022-03-24,chop,up,up,1,8.5181,0.596,1w
2022-04-04,chop,up,down,0,-2.5871,0.64,1w
2022-04-13,chop,up,down,0,-3.0716,0.6573,1w
2022-04-25,trending_bull,up,down,0,-3.5901,0.6453,1w
2022-05-04,chop,down,up,0,2.4382,0.4147,1w
2022-05-13,chop,neutral,up,0,8.1531,0.5253,1w
2022-05-24,chop,neutral,up,0,6.8489,0.4907,1w
2022-06-03,chop,neutral,up,0,1.9069,0.48,1w
