date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,neutral,0,0.2309,0.34,1w
2021-01-13,chop,down,up,0,0.5978,0.428,1w
2021-01-25,chop,down,down,1,-2.6738,0.424,1w
2021-02-03,chop,down,down,1,-8.9967,0.4467,1w
2021-02-12,chop,neutral,down,0,-17.3245,0.4667,1w
2021-02-24,chop,down,down,1,-5.2846,0.408,1w
2021-03-05,chop,down,up,0,5.4855,0.3867,1w
2021-03-16,trending_bear,down,down,1,-2.0068,0.344,1w
2021-03-25,chop,down,down,1,-6.4163,0.3787,1w
2021-04-06,chop,down,down,1,-19.6673,0.376,1w
2021-04-15,chop,down,down,1,-32.6625,0.248,1w
2021-04-26,chop,down,down,1,-29.4696,0.312,1w
2021-05-05,chop,down,down,1,-10.4925,0.184,1w
2021-05-14,high_volatility,down,down,1,-8.9151,0.0827,1w
2021-05-25,trending_bear,down,up,0,12.2027,0.1453,1w
2021-06-04,trending_bear,down,down,1,-1.1131,0.2693,1w
2021-06-15,trending_bear,down,up,0,20.4568,0.1653,1w
2021-06-24,trending_bear,down,up,0,10.6762,0.2253,1w
2021-07-06,chop,down,up,0,22.2508,0.2333,1w
2021-07-15,chop,down,up,0,15.0602,0.312,1w
2021-07-26,chop,down,up,0,2.6616,0.3867,1w
2021-08-04,trending_bull,neutral,down,0,-7.7117,0.5213,1w
2021-08-13,trending_bull,up,down,0,-13.586,0.7213,1w
2021-08-24,trending_bull,up,down,0,-15.2139,0.7293,1w
2021-09-02,trending_bear,up,down,0,-16.9741,0.5733,1w
2021-09-14,chop,up,down,0,-12.6223,0.668,1w
2021-09-23,chop,down,up,0,7.6642,0.4427,1w
2021-10-04,trending_bear,down,up,0,7.3927,0.388,1w
2021-10-13,chop,down,up,0,34.1239,0.3387,1w
2021-10-22,chop,down,up,0,21.7459,0.3653,1w
2021-11-02,chop,down,up,0,19.2456,0.3173,1w
2021-11-11,chop,neutral,up,0,4.9468,0.5107,1w
2021-11-22,trending_bull,neutral,up,0,13.6232,0.5267,1w
2021-12-02,trending_bull,up,up,1,6.8464,0.6133,1w
2021-12-13,trending_bull,up,up,1,14.53,0.692,1w
2021-12-22,trending_bull,up,up,1,12.6056,0.8347,1w
2022-01-03,trending_bull,up,up,1,2.7991,0.8587,1w
2022-01-12,trending_bull,up,up,1,0.7098,0.916,1w
2022-01-24,trending_bull,up,down,0,-2.1394,0.86,1w
2022-02-02,trending_bull,up,up,1,2.8688,0.8693,1w
2022-02-11,trending_bull,up,down,0,-9.2653,0.7413,1w
2022-02-23,trending_bull,up,neutral,0,-0.3129,0.7293,1w
2022-03-04,chop,up,up,1,2.8761,0.6787,1w
2022-03-15,chop,up,down,0,-0.7284,0.5533,1w
2022-03-24,chop,neutral,up,0,0.8077,0.544,1w
2022-04-04,chop,neutral,down,0,-6.1667,0.5453,1w
2022-04-13,chop,down,down,1,-1.1023,0.3733,1w
2022-04-25,chop,down,down,1,-1.8519,0.3813,1w
2022-05-04,chop,down,up,0,5.2637,0.3893,1w
2022-05-13,chop,down,up,0,7.9803,0.3467,1w
2022-05-24,chop,neutral,up,0,2.3448,0.4707,1w
2022-06-03,chop,neutral,up,0,2.5713,0.468,1w
2022-06-14,chop,up,down,0,-3.4365,0.5827,1w
2022-06-24,chop,neutral,up,0,11.1589,0.504,1w
2022-07-06,chop,neutral,up,0,9.0806,0.484,1w
2022-07-15,chop,neutral,up,0,9.7793,0.524,1w
2022-07-26,chop,up,down,0,-7.0332,0.6787,1w
2022-08-04,chop,up,down,0,-6.5813,0.704,1w
2022-08-15,trending_bull,up,down,0,-9.0889,0.6933,1w
2022-08-24,chop,up,down,0,-11.0246,0.5853,1w
2022-09-02,chop,up,down,0,-14.3244,0.58,1w
2022-09-14,trending_bear,down,down,1,-11.1479,0.3853,1w
2022-09-23,trending_bear,down,down,1,-6.788,0.376,1w
2022-10-04,trending_bear,down,up,0,3.0705,0.2693,1w
2022-10-13,trending_bear,down,up,0,10.604,0.268,1w
2022-10-24,trending_bear,down,up,0,23.7326,0.0907,1w
2022-11-02,trending_bear,down,up,0,20.4153,0.132,1w
2022-11-11,trending_bull,down,up,0,20.938,0.256,1w
2022-11-22,trending_bull,down,up,0,18.3818,0.4227,1w
2022-12-02,trending_bull,up,up,1,4.6037,0.5933,1w
2022-12-13,trending_bull,up,down,0,-21.7452,0.7693,1w
2022-12-22,trending_bull,up,down,0,-23.1782,0.9027,1w
2023-01-04,trending_bull,up,down,0,-17.0161,0.868,1w
2023-01-13,crisis,up,neutral,0,0.1576,0.58,1w
2023-01-25,crisis,up,down,0,-2.3994,0.6173,1w
2023-02-03,high_volatility,neutral,down,0,-3.6341,0.5427,1w
2023-02-14,trending_bear,down,down,1,-11.1041,0.4427,1w
2023-02-24,trending_bear,down,down,1,-6.9017,0.3547,1w
2023-03-07,trending_bear,down,down,1,-9.7966,0.2827,1w
2023-03-16,trending_bear,down,down,1,-5.1657,0.1387,1w
2023-03-27,trending_bear,down,down,1,-13.0972,0.1413,1w
2023-04-05,trending_bear,down,down,1,-1.768,0.152,1w
2023-04-17,trending_bear,down,up,0,3.9833,0.2173,1w
2023-04-26,trending_bear,down,up,0,4.3655,0.152,1w
2023-05-05,trending_bear,down,up,0,7.4359,0.2173,1w
2023-05-16,trending_bear,down,down,1,-3.11,0.2253,1w
2023-05-25,trending_bear,down,up,0,1.9534,0.2693,1w
2023-06-06,chop,down,down,1,-2.9151,0.376,1w
2023-06-15,chop,down,up,0,3.6157,0.4427,1w
2023-06-27,chop,down,up,0,2.3999,0.364,1w
2023-07-07,chop,neutral,down,0,-9.9323,0.5013,1w
2023-07-18,chop,up,down,0,-2.1195,0.5853,1w
2023-07-27,chop,up,down,0,-6.4445,0.6133,1w
2023-08-07,chop,down,down,1,-0.6677,0.376,1w
2023-08-16,chop,down,down,1,-13.5785,0.416,1w
2023-08-25,chop,neutral,down,0,-12.037,0.456,1w
2023-09-06,chop,down,down,1,-1.6622,0.2667,1w
2023-09-15,trending_bear,down,down,1,-2.5833,0.2973,1w
2023-09-26,trending_bear,down,neutral,0,0.4011,0.2547,1w
2023-10-05,trending_bear,down,down,1,-0.5388,0.2733,1w
2023-10-16,trending_bear,down,down,1,-9.6385,0.2747,1w
2023-10-25,chop,down,down,1,-3.6901,0.256,1w
2023-11-03,chop,down,up,0,4.8212,0.3947,1w
2023-11-14,trending_bear,down,up,0,22.8102,0.1707,1w
2023-11-24,trending_bear,down,up,0,17.1391,0.2747,1w
2023-12-05,chop,neutral,up,0,9.0062,0.4707,1w
2023-12-14,chop,up,down,0,-2.4485,0.584,1w
2023-12-26,trending_bull,up,down,0,-1.4414,0.6747,1w
2024-01-05,trending_bull,up,up,1,7.1242,0.5933,1w
2024-01-17,chop,up,up,1,8.1127,0.5907,1w
2024-01-26,chop,up,neutral,0,0.0979,0.6693,1w
2024-02-06,trending_bull,up,down,0,-18.3702,0.756,1w
2024-02-15,trending_bull,up,down,0,-7.2683,0.8813,1w
2024-02-27,chop,up,down,0,-0.7559,0.6747,1w
2024-03-07,high_volatility,down,down,1,-9.5223,0.3813,1w
2024-03-18,high_volatility,neutral,down,0,-6.3241,0.4653,1w
2024-03-27,high_volatility,down,up,0,6.7136,0.4093,1w
2024-04-08,crisis,down,up,0,19.2016,0.268,1w
2024-04-17,high_volatility,down,up,0,28.8126,0.4227,1w
2024-04-26,chop,neutral,up,0,13.6106,0.5133,1w
