date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,1.6457,0.5173,1w
2021-01-13,trending_bull,up,neutral,0,0.3889,0.692,1w
2021-01-25,crisis,down,up,0,2.2671,0.372,1w
2021-02-03,crisis,down,down,1,-8.9406,0.4253,1w
2021-02-12,high_volatility,neutral,down,0,-13.603,0.524,1w
2021-02-24,high_volatility,down,down,1,-3.3035,0.4413,1w
2021-03-05,crisis,down,neutral,0,-0.1221,0.3787,1w
2021-03-16,crisis,down,down,1,-5.6145,0.392,1w
2021-03-25,high_volatility,down,down,1,-12.7931,0.4267,1w
2021-04-06,chop,down,down,1,-9.062,0.312,1w
2021-04-15,chop,down,down,1,-9.66,0.1947,1w
2021-04-26,chop,down,down,1,-3.808,0.256,1w
2021-05-05,trending_bear,down,down,1,-4.4242,0.2013,1w
2021-05-14,trending_bear,down,down,1,-8.4321,0.1453,1w
2021-05-25,trending_bear,down,down,1,-9.4957,0.2253,1w
2021-06-04,chop,down,down,1,-13.6778,0.3387,1w
2021-06-15,chop,down,down,1,-4.2276,0.1667,1w
2021-06-24,trending_bear,down,up,0,4.3949,0.1427,1w
2021-07-06,trending_bear,down,up,0,8.5862,0.152,1w
2021-07-15,trending_bear,down,up,0,12.5581,0.168,1w
2021-07-26,chop,down,up,0,4.115,0.3453,1w
2021-08-04,chop,down,up,0,0.8699,0.284,1w
2021-08-13,chop,neutral,down,0,-5.5889,0.5187,1w
2021-08-24,trending_bull,down,down,1,-5.2314,0.412,1w
2021-09-02,chop,down,down,1,-6.9997,0.356,1w
2021-09-14,chop,up,down,0,-11.8394,0.5907,1w
2021-09-23,chop,neutral,up,0,10.1481,0.4853,1w
2021-10-04,chop,neutral,up,0,11.7974,0.48,1w
2021-10-13,chop,down,up,0,20.3219,0.3507,1w
2021-10-22,chop,up,up,1,6.3872,0.5533,1w
2021-11-02,trending_bull,up,up,1,1.8667,0.5853,1w
2021-11-11,trending_bull,neutral,down,0,-14.2896,0.5467,1w
2021-11-22,trending_bull,up,down,0,-12.3205,0.584,1w
2021-12-02,trending_bull,up,down,0,-7.1231,0.5907,1w
2021-12-13,trending_bear,down,up,0,5.2519,0.424,1w
2021-12-22,trending_bear,neutral,up,0,6.7305,0.516,1w
