date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-13.0839,0.548,1w
2021-01-13,chop,up,down,0,-12.203,0.5907,1w
2021-01-25,chop,neutral,down,0,-17.1893,0.5187,1w
2021-02-03,high_volatility,down,up,0,6.0251,0.256,1w
2021-02-12,trending_bear,down,up,0,11.8269,0.2253,1w
2021-02-24,trending_bear,down,up,0,21.8927,0.168,1w
2021-03-05,high_volatility,down,up,0,3.4519,0.4093,1w
2021-03-16,high_volatility,neutral,up,0,3.0842,0.456,1w
2021-03-25,trending_bull,neutral,up,0,1.0098,0.5293,1w
2021-04-06,trending_bull,neutral,down,0,-5.6878,0.492,1w
2021-04-15,trending_bull,neutral,down,0,-9.5947,0.5013,1w
2021-04-26,trending_bull,neutral,down,0,-7.1993,0.4947,1w
2021-05-05,chop,up,up,1,0.923,0.5733,1w
2021-05-14,chop,up,up,1,3.4397,0.564,1w
2021-05-25,crisis,up,up,1,0.661,0.6573,1w
2021-06-04,high_volatility,neutral,up,0,3.873,0.4867,1w
2021-06-15,chop,down,up,0,9.9976,0.424,1w
2021-06-24,chop,down,up,0,6.1648,0.4253,1w
2021-07-06,high_volatility,neutral,up,0,4.6785,0.5013,1w
2021-07-15,chop,neutral,up,0,6.6189,0.5053,1w
2021-07-26,trending_bull,up,up,1,3.2958,0.5907,1w
2021-08-04,trending_bull,up,up,1,1.7455,0.628,1w
2021-08-13,trending_bull,up,down,0,-3.2383,0.74,1w
2021-08-24,trending_bull,up,down,0,-3.8989,0.7307,1w
2021-09-02,trending_bull,up,up,1,0.883,0.668,1w
2021-09-14,chop,up,down,0,-0.8728,0.736,1w
2021-09-23,chop,up,up,1,8.2967,0.588,1w
2021-10-04,chop,up,up,1,11.2769,0.5707,1w
2021-10-13,chop,up,up,1,15.7479,0.568,1w
2021-10-22,high_volatility,up,up,1,7.0869,0.5867,1w
2021-11-02,crisis,up,down,0,-1.1011,0.7,1w
2021-11-11,high_volatility,up,up,1,1.743,0.692,1w
2021-11-22,high_volatility,up,down,0,-2.3087,0.6,1w
2021-12-02,chop,up,down,0,-3.5596,0.6547,1w
2021-12-13,chop,up,down,0,-8.5911,0.62,1w
2021-12-22,chop,up,down,0,-7.4733,0.6613,1w
2022-01-03,chop,up,down,0,-8.0959,0.5907,1w
2022-01-12,chop,neutral,up,0,1.3893,0.4587,1w
2022-01-24,trending_bear,down,down,1,-0.7924,0.3893,1w
2022-02-02,trending_bear,down,neutral,0,-0.091,0.256,1w
2022-02-11,trending_bear,down,down,1,-4.8804,0.312,1w
2022-02-23,chop,down,down,1,-5.0261,0.232,1w
2022-03-04,chop,down,down,1,-0.649,0.22,1w
2022-03-15,trending_bear,down,up,0,7.1003,0.1907,1w
2022-03-24,trending_bear,down,up,0,4.831,0.2187,1w
2022-04-04,trending_bull,down,down,1,-3.0941,0.2947,1w
2022-04-13,trending_bull,neutral,down,0,-4.2402,0.5133,1w
2022-04-25,trending_bull,down,down,1,-2.5826,0.428,1w
2022-05-04,chop,down,up,0,10.8509,0.3493,1w
2022-05-13,chop,down,up,0,15.834,0.4013,1w
2022-05-24,chop,down,up,0,21.6286,0.3653,1w
2022-06-03,trending_bull,up,up,1,8.4564,0.5907,1w
2022-06-14,trending_bull,up,up,1,6.4817,0.7293,1w
2022-06-24,trending_bull,up,up,1,6.8397,0.7533,1w
2022-07-06,trending_bull,up,up,1,9.5055,0.7427,1w
2022-07-15,trending_bull,up,up,1,5.8115,0.752,1w
2022-07-26,trending_bull,up,up,1,1.0958,0.8227,1w
2022-08-04,trending_bull,up,down,0,-6.6013,0.8973,1w
2022-08-15,trending_bull,up,down,0,-5.5616,0.9107,1w
2022-08-24,trending_bull,up,down,0,-5.6312,0.8493,1w
2022-09-02,trending_bear,up,up,1,1.25,0.6987,1w
2022-09-14,trending_bear,up,up,1,14.7806,0.5827,1w
2022-09-23,trending_bear,down,up,0,10.5234,0.4387,1w
2022-10-04,trending_bull,neutral,up,0,5.1666,0.536,1w
2022-10-13,trending_bull,up,down,0,-1.0567,0.6613,1w
2022-10-24,trending_bull,up,up,1,7.1033,0.5627,1w
2022-11-02,high_volatility,neutral,up,0,7.0694,0.456,1w
2022-11-11,chop,up,neutral,0,-0.2629,0.5827,1w
2022-11-22,trending_bull,up,down,0,-0.8974,0.6787,1w
2022-12-02,trending_bull,up,down,0,-2.0851,0.7253,1w
2022-12-13,chop,up,up,1,1.1579,0.732,1w
2022-12-22,chop,up,up,1,1.1537,0.752,1w
2023-01-04,chop,up,up,1,14.6239,0.6107,1w
2023-01-13,chop,down,up,0,15.0969,0.4213,1w
2023-01-25,chop,up,up,1,1.2794,0.6267,1w
2023-02-03,high_volatility,up,up,1,3.7327,0.6693,1w
2023-02-14,high_volatility,up,neutral,0,-0.399,0.632,1w
2023-02-24,trending_bull,up,neutral,0,0.4436,0.6693,1w
2023-03-07,trending_bull,up,down,0,-1.0513,0.6933,1w
2023-03-16,trending_bull,up,down,0,-1.6126,0.692,1w
2023-03-27,chop,up,down,0,-1.9903,0.6853,1w
2023-04-05,chop,up,up,1,3.7741,0.7253,1w
2023-04-17,chop,up,up,1,7.6216,0.6467,1w
2023-04-26,chop,down,up,0,9.2193,0.424,1w
2023-05-05,chop,up,up,1,1.3342,0.6173,1w
2023-05-16,high_volatility,neutral,down,0,-1.0641,0.5467,1w
2023-05-25,crisis,up,up,1,1.3947,0.632,1w
2023-06-06,high_volatility,neutral,up,0,1.2725,0.5293,1w
2023-06-15,chop,up,up,1,2.1975,0.5573,1w
2023-06-27,chop,up,down,0,-10.5024,0.5827,1w
2023-07-07,chop,up,down,0,-5.3048,0.5573,1w
2023-07-18,chop,up,down,0,-5.2535,0.6987,1w
2023-07-27,crisis,down,up,0,6.9339,0.4067,1w
2023-08-07,crisis,down,up,0,7.6051,0.4093,1w
2023-08-16,trending_bear,down,up,0,7.3001,0.4213,1w
2023-08-25,chop,neutral,up,0,2.6709,0.4653,1w
2023-09-06,chop,neutral,up,0,5.713,0.512,1w
2023-09-15,chop,neutral,up,0,4.4256,0.5267,1w
2023-09-26,chop,neutral,up,0,4.335,0.5053,1w
2023-10-05,chop,neutral,up,0,13.2457,0.5387,1w
2023-10-16,chop,neutral,up,0,4.795,0.5267,1w
2023-10-25,chop,up,down,0,-17.7079,0.7693,1w
2023-11-03,trending_bull,up,down,0,-21.768,0.848,1w
2023-11-14,crisis,up,down,0,-12.7223,0.7,1w
2023-11-24,crisis,down,down,1,-12.044,0.4173,1w
2023-12-05,trending_bear,down,down,1,-8.3812,0.4093,1w
2023-12-14,trending_bear,down,up,0,0.5459,0.312,1w
2023-12-26,trending_bear,down,down,1,-1.1426,0.256,1w
2024-01-05,trending_bear,down,neutral,0,-0.0619,0.256,1w
2024-01-17,trending_bear,down,down,1,-11.9883,0.2773,1w
2024-01-26,chop,down,down,1,-12.1986,0.1533,1w
