date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-15.4726,0.3467,1w
2021-01-13,chop,down,down,1,-4.7547,0.3027,1w
2021-01-25,chop,down,down,1,-16.7405,0.184,1w
2021-02-03,chop,down,down,1,-50.9927,0.2347,1w
2021-02-12,chop,down,down,1,-60.0066,0.2747,1w
2021-02-24,chop,down,down,1,-34.0577,0.296,1w
2021-03-05,trending_bear,down,up,0,21.1187,0.1467,1w
2021-03-16,trending_bear,down,up,0,25.7097,0.0853,1w
2021-03-25,trending_bear,down,down,1,-16.9909,0.152,1w
2021-04-06,trending_bear,down,down,1,-33.314,0.176,1w
2021-04-15,chop,down,down,1,-40.5897,0.1787,1w
2021-04-26,trending_bear,down,down,1,-22.1064,0.152,1w
2021-05-05,trending_bear,down,down,1,-14.176,0.1373,1w
2021-05-14,trending_bear,down,down,1,-25.7346,0.1173,1w
2021-05-25,trending_bear,down,up,0,8.0489,0.2093,1w
2021-06-04,chop,down,neutral,0,-0.4785,0.376,1w
2021-06-15,chop,down,up,0,4.4357,0.2747,1w
2021-06-24,chop,down,down,1,-20.0471,0.3173,1w
2021-07-06,chop,down,neutral,0,-0.1524,0.2693,1w
2021-07-15,chop,down,up,0,15.4589,0.2173,1w
2021-07-26,chop,down,up,0,2.0,0.2933,1w
2021-08-04,chop,down,down,1,-15.98,0.3653,1w
2021-08-13,chop,down,down,1,-16.5879,0.4253,1w
2021-08-24,chop,down,down,1,-25.0907,0.376,1w
2021-09-02,chop,down,down,1,-15.5184,0.3213,1w
2021-09-14,chop,neutral,down,0,-34.4127,0.4987,1w
2021-09-23,chop,down,down,1,-5.5184,0.2187,1w
2021-10-04,trending_bear,down,down,1,-3.9813,0.2333,1w
2021-10-13,trending_bear,down,up,0,90.0488,0.2347,1w
2021-10-22,trending_bear,down,up,0,77.2187,0.32,1w
2021-11-02,trending_bear,down,up,0,30.4248,0.2893,1w
2021-11-11,trending_bull,neutral,up,0,14.9151,0.4907,1w
2021-11-22,trending_bull,neutral,up,0,30.2728,0.5453,1w
2021-12-02,trending_bull,up,down,0,-5.5674,0.6533,1w
2021-12-13,trending_bull,up,down,0,-8.6651,0.648,1w
2021-12-22,trending_bull,up,down,0,-1.5774,0.732,1w
2022-01-03,trending_bull,up,up,1,12.9074,0.6787,1w
2022-01-12,trending_bull,up,up,1,5.4707,0.764,1w
2022-01-24,chop,up,down,0,-23.0429,0.752,1w
2022-02-02,chop,up,down,0,-41.3091,0.668,1w
2022-02-11,trending_bull,up,down,0,-38.2022,0.5573,1w
2022-02-23,trending_bear,down,down,1,-6.3233,0.428,1w
2022-03-04,trending_bear,down,down,1,-5.9048,0.3027,1w
2022-03-15,trending_bear,down,down,1,-10.7742,0.2413,1w
2022-03-24,trending_bear,down,down,1,-16.3735,0.236,1w
2022-04-04,chop,down,down,1,-22.9917,0.2733,1w
2022-04-13,chop,down,down,1,-20.1561,0.2267,1w
2022-04-25,trending_bear,down,down,1,-10.5949,0.1853,1w
2022-05-04,trending_bear,down,up,0,4.344,0.0867,1w
2022-05-13,trending_bear,down,up,0,27.4436,0.124,1w
2022-05-24,trending_bear,down,up,0,16.7563,0.1533,1w
2022-06-03,trending_bear,down,up,0,4.3616,0.2013,1w
2022-06-14,trending_bull,down,down,1,-3.0467,0.3253,1w
2022-06-24,trending_bull,down,up,0,8.414,0.3507,1w
2022-07-06,trending_bull,down,up,0,9.3284,0.3787,1w
2022-07-15,trending_bull,neutral,down,0,-8.1604,0.4907,1w
2022-07-26,trending_bull,up,down,0,-4.793,0.6173,1w
2022-08-04,trending_bull,up,down,0,-2.1597,0.6493,1w
2022-08-15,chop,up,down,0,-0.7669,0.6267,1w
2022-08-24,chop,up,down,0,-16.8122,0.588,1w
2022-09-02,chop,up,down,0,-25.9134,0.5907,1w
2022-09-14,chop,down,down,1,-16.07,0.376,1w
2022-09-23,chop,down,down,1,-9.4858,0.3507,1w
2022-10-04,trending_bear,down,neutral,0,-0.3697,0.3187,1w
2022-10-13,trending_bear,down,up,0,5.6415,0.2253,1w
2022-10-24,trending_bear,down,up,0,15.081,0.248,1w
2022-11-02,trending_bear,down,down,1,-5.473,0.176,1w
2022-11-11,trending_bull,down,down,1,-1.2295,0.3813,1w
2022-11-22,trending_bull,down,up,0,19.493,0.3347,1w
2022-12-02,chop,down,up,0,16.3145,0.3347,1w
2022-12-13,chop,down,up,0,6.2205,0.4453,1w
2022-12-22,trending_bull,up,up,1,3.6958,0.6027,1w
2023-01-04,trending_bull,up,down,0,-4.0278,0.6293,1w
2023-01-13,chop,up,up,1,7.6804,0.6093,1w
2023-01-25,chop,up,down,0,-17.9135,0.728,1w
2023-02-03,chop,neutral,up,0,39.2985,0.544,1w
2023-02-14,chop,up,up,1,27.1716,0.58,1w
2023-02-24,chop,neutral,up,0,47.0782,0.508,1w
2023-03-07,trending_bull,up,down,0,-13.9833,0.6933,1w
2023-03-16,high_volatility,up,down,0,-9.322,0.6347,1w
2023-03-27,trending_bull,up,down,0,-1.4958,0.5867,1w
2023-04-05,chop,up,up,1,15.8757,0.5733,1w
2023-04-17,chop,up,up,1,30.4779,0.6053,1w
2023-04-26,chop,up,up,1,15.8537,0.5773,1w
2023-05-05,chop,up,down,0,-7.0985,0.6547,1w
2023-05-16,trending_bull,up,down,0,-29.568,0.6747,1w
2023-05-25,trending_bull,up,down,0,-25.2995,0.724,1w
2023-06-06,trending_bull,neutral,down,0,-19.4471,0.5013,1w
2023-06-15,chop,down,up,0,36.2003,0.32,1w
2023-06-27,trending_bear,down,up,0,33.7894,0.352,1w
2023-07-07,chop,down,down,1,-8.8812,0.428,1w
2023-07-18,chop,up,down,0,-21.0758,0.6293,1w
2023-07-27,trending_bull,up,down,0,-21.9111,0.6333,1w
2023-08-07,crisis,down,up,0,10.8231,0.2987,1w
2023-08-16,trending_bear,down,up,0,7.9141,0.3213,1w
2023-08-25,chop,down,down,1,-0.8691,0.3893,1w
2023-09-06,chop,down,up,0,11.6908,0.3787,1w
2023-09-15,chop,neutral,neutral,0,-0.4619,0.5453,1w
2023-09-26,chop,neutral,up,0,3.2089,0.4907,1w
2023-10-05,chop,neutral,up,0,5.7452,0.492,1w
2023-10-16,chop,down,up,0,8.3708,0.3813,1w
2023-10-25,chop,down,up,0,15.604,0.3507,1w
2023-11-03,trending_bull,up,up,1,6.1861,0.6627,1w
2023-11-14,trending_bull,up,down,0,-0.6373,0.6467,1w
2023-11-24,trending_bull,up,down,0,-18.1777,0.6573,1w
2023-12-05,trending_bull,up,down,0,-11.6785,0.7307,1w
2023-12-14,chop,up,down,0,-19.7442,0.5533,1w
2023-12-26,chop,neutral,up,0,2.5945,0.5133,1w
2024-01-05,chop,neutral,up,0,9.6892,0.4653,1w
2024-01-17,chop,down,up,0,19.5153,0.3547,1w
2024-01-26,chop,neutral,down,0,-10.1111,0.4907,1w
2024-02-06,chop,down,down,1,-18.3305,0.3893,1w
2024-02-15,chop,neutral,down,0,-17.4056,0.468,1w
2024-02-27,chop,down,down,1,-16.2805,0.1907,1w
2024-03-07,trending_bear,down,down,1,-21.1629,0.18,1w
2024-03-18,trending_bear,down,down,1,-21.3049,0.216,1w
2024-03-27,trending_bear,down,down,1,-1.6031,0.1973,1w
2024-04-08,trending_bear,down,up,0,6.6154,0.1653,1w
2024-04-17,trending_bear,down,up,0,23.9301,0.2267,1w
2024-04-26,trending_bear,down,up,0,16.0225,0.184,1w
2024-05-07,trending_bull,down,up,0,7.1784,0.2693,1w
2024-05-16,trending_bull,down,neutral,0,-0.211,0.256,1w
2024-05-28,trending_bull,down,up,0,13.4094,0.3787,1w
2024-06-06,chop,neutral,up,0,6.3325,0.492,1w
2024-06-17,chop,down,up,0,10.8244,0.4173,1w
2024-06-27,chop,up,down,0,-13.1034,0.6387,1w
2024-07-09,chop,up,down,0,-15.0032,0.6933,1w
2024-07-18,chop,up,down,0,-8.5678,0.768,1w
2024-07-29,chop,up,up,1,8.1237,0.56,1w
2024-08-07,chop,down,up,0,19.0076,0.4253,1w
2024-08-16,chop,neutral,up,0,28.6833,0.48,1w
2024-08-27,chop,neutral,up,0,16.3333,0.5293,1w
2024-09-06,chop,neutral,up,0,6.5217,0.4987,1w
2024-09-17,trending_bull,up,down,0,-13.1129,0.6653,1w
2024-09-26,trending_bull,neutral,up,0,1.6797,0.5453,1w
2024-10-07,chop,neutral,down,0,-10.8193,0.4973,1w
2024-10-16,chop,neutral,down,0,-12.1023,0.456,1w
2024-10-25,chop,up,down,0,-14.9672,0.668,1w
2024-11-05,chop,up,up,1,5.5283,0.556,1w
2024-11-14,trending_bear,neutral,up,0,4.1814,0.4707,1w
2024-11-25,trending_bear,down,up,0,8.4972,0.4173,1w
