date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,chop,up,down,0,-20.164,0.6613,1w
2021-01-08,chop,up,down,0,-1.3538,0.724,1w
2021-01-15,trending_bear,up,up,1,16.3571,0.5907,1w
2021-01-22,trending_bear,down,up,0,14.8053,0.412,1w
2021-01-29,trending_bear,neutral,down,0,-2.7366,0.5387,1w
2021-02-05,chop,down,down,1,-4.4987,0.412,1w
2021-02-12,chop,down,up,0,8.5634,0.4067,1w
2021-02-19,chop,down,down,1,-6.5227,0.412,1w
2021-02-26,chop,down,up,0,2.3079,0.3653,1w
2021-03-05,chop,neutral,down,0,-15.986,0.5267,1w
2021-03-12,chop,down,down,1,-21.9118,0.4013,1w
2021-03-19,chop,up,down,0,-21.0934,0.5987,1w
2021-03-26,chop,neutral,down,0,-14.4553,0.5013,1w
2021-04-02,trending_bear,down,down,1,-1.7624,0.2933,1w
2021-04-09,trending_bear,down,down,1,-5.9152,0.256,1w
2021-04-16,trending_bear,down,down,1,-16.4072,0.2747,1w
2021-04-23,trending_bear,down,down,1,-16.8427,0.268,1w
2021-04-30,trending_bear,down,down,1,-25.0087,0.2253,1w
2021-05-07,trending_bear,down,down,1,-27.4998,0.1387,1w
2021-05-14,trending_bear,down,up,0,8.4463,0.1533,1w
2021-05-21,trending_bear,down,up,0,5.3977,0.0787,1w
2021-05-28,trending_bear,down,down,1,-1.6905,0.0853,1w
2021-06-04,trending_bear,down,down,1,-1.6928,0.2747,1w
2021-06-11,chop,down,down,1,-6.7881,0.2307,1w
2021-06-18,chop,down,down,1,-3.8904,0.184,1w
2021-06-25,chop,down,up,0,26.2795,0.2493,1w
2021-07-02,chop,down,up,0,33.2574,0.2773,1w
2021-07-09,chop,down,up,0,10.106,0.2947,1w
2021-07-16,chop,up,down,0,-7.4517,0.5827,1w
2021-07-23,trending_bull,up,down,0,-16.1873,0.6587,1w
2021-07-30,trending_bull,neutral,down,0,-5.1365,0.5467,1w
2021-08-06,trending_bull,neutral,down,0,-18.5899,0.5107,1w
2021-08-13,chop,neutral,down,0,-39.504,0.4907,1w
2021-08-20,trending_bear,neutral,down,0,-33.321,0.4707,1w
2021-08-27,trending_bear,down,down,1,-34.1736,0.4427,1w
2021-09-03,trending_bear,down,down,1,-6.5669,0.2573,1w
2021-09-10,trending_bear,down,down,1,-8.0105,0.2427,1w
2021-09-17,trending_bear,down,down,1,-37.1688,0.1453,1w
2021-09-24,trending_bear,down,down,1,-36.6105,0.1533,1w
2021-10-01,trending_bear,down,down,1,-38.8156,0.176,1w
2021-10-08,trending_bear,down,down,1,-7.6851,0.0627,1w
2021-10-15,trending_bear,down,down,1,-10.0706,0.0853,1w
2021-10-22,trending_bear,down,up,0,21.2626,0.076,1w
2021-10-29,trending_bear,down,up,0,41.9574,0.116,1w
2021-11-05,trending_bear,down,up,0,26.9232,0.1467,1w
2021-11-12,trending_bear,down,up,0,15.7602,0.2253,1w
2021-11-19,trending_bull,down,down,1,-15.1271,0.412,1w
2021-11-26,trending_bull,down,down,1,-7.4683,0.3147,1w
2021-12-03,trending_bull,down,down,1,-18.4422,0.3893,1w
2021-12-10,chop,neutral,up,0,10.9505,0.52,1w
2021-12-17,chop,up,up,1,1.3303,0.5587,1w
2021-12-24,chop,up,neutral,0,0.1478,0.5613,1w
2021-12-31,chop,up,down,0,-12.0771,0.5693,1w
2022-01-07,chop,neutral,down,0,-0.9344,0.5413,1w
2022-01-14,chop,down,down,1,-9.2317,0.444,1w
2022-01-21,chop,down,down,1,-11.3713,0.296,1w
2022-01-28,chop,down,down,1,-3.6332,0.356,1w
2022-02-04,chop,down,up,0,7.6325,0.2907,1w
2022-02-11,chop,down,down,1,-3.9044,0.412,1w
2022-02-18,chop,down,down,1,-10.2256,0.4427,1w
2022-02-25,chop,neutral,down,0,-6.5044,0.4693,1w
2022-03-04,chop,down,up,0,7.3751,0.2973,1w
2022-03-11,trending_bear,down,up,0,6.8056,0.376,1w
2022-03-18,chop,down,down,1,-5.7726,0.4467,1w
2022-03-25,chop,down,down,1,-9.4473,0.4093,1w
2022-04-01,chop,down,down,1,-10.3395,0.436,1w
2022-04-08,chop,neutral,up,0,0.8883,0.4707,1w
2022-04-15,chop,down,up,0,17.4217,0.4253,1w
2022-04-22,trending_bear,down,up,0,25.8899,0.3573,1w
2022-04-29,trending_bear,down,up,0,31.8743,0.3187,1w
2022-05-06,chop,up,up,1,9.9199,0.6547,1w
2022-05-13,trending_bull,up,down,0,-1.1575,0.6413,1w
2022-05-20,trending_bull,up,down,0,-5.115,0.6613,1w
2022-05-27,trending_bull,up,up,1,0.7333,0.696,1w
2022-06-03,trending_bull,up,up,1,5.6429,0.62,1w
2022-06-10,trending_bull,up,down,0,-17.4699,0.728,1w
2022-06-17,trending_bull,up,down,0,-5.0234,0.768,1w
2022-06-24,chop,up,up,1,2.1321,0.7653,1w
2022-07-01,chop,up,up,1,8.4403,0.5547,1w
2022-07-08,chop,neutral,down,0,-7.0266,0.4907,1w
2022-07-15,chop,neutral,up,0,5.9266,0.48,1w
2022-07-22,chop,down,down,1,-0.7243,0.376,1w
2022-07-29,chop,down,down,1,-6.0044,0.3893,1w
2022-08-05,chop,neutral,down,0,-11.384,0.52,1w
2022-08-12,chop,down,down,1,-5.2104,0.3893,1w
2022-08-19,chop,down,down,1,-2.2852,0.3467,1w
2022-08-26,chop,down,down,1,-6.8631,0.392,1w
2022-09-02,chop,neutral,down,0,-1.3969,0.4907,1w
2022-09-09,chop,down,down,1,-3.2409,0.2947,1w
2022-09-16,chop,down,down,1,-7.5502,0.3453,1w
2022-09-23,chop,down,up,0,16.6646,0.3507,1w
2022-09-30,chop,down,up,0,128.7898,0.344,1w
2022-10-07,chop,down,up,0,156.6108,0.2253,1w
2022-10-14,high_volatility,up,up,1,50.9041,0.5693,1w
2022-10-21,crisis,up,down,0,-19.9809,0.788,1w
2022-10-28,crisis,up,down,0,-12.1263,0.792,1w
2022-11-04,high_volatility,up,down,0,-14.745,0.8053,1w
2022-11-11,trending_bull,up,down,0,-5.7765,0.768,1w
2022-11-18,trending_bull,up,down,0,-23.7092,0.7693,1w
2022-11-25,chop,up,down,0,-14.4038,0.744,1w
2022-12-02,chop,up,down,0,-9.3897,0.7653,1w
2022-12-09,chop,up,up,1,3.2351,0.6973,1w
2022-12-16,trending_bear,neutral,up,0,8.2552,0.5173,1w
2022-12-23,chop,down,up,0,4.5259,0.216,1w
2022-12-30,chop,down,up,0,23.8633,0.22,1w
2023-01-06,chop,down,up,0,6.4697,0.296,1w
2023-01-13,chop,down,up,0,2.9634,0.3547,1w
2023-01-20,chop,neutral,down,0,-3.3275,0.4667,1w
2023-01-27,trending_bull,neutral,up,0,7.1276,0.4907,1w
2023-02-03,chop,down,up,0,8.4086,0.4213,1w
2023-02-10,chop,up,neutral,0,-0.3489,0.628,1w
2023-02-17,trending_bull,up,down,0,-2.2133,0.668,1w
2023-02-24,trending_bull,up,down,0,-5.2303,0.6307,1w
2023-03-03,trending_bull,up,down,0,-7.6464,0.6787,1w
2023-03-10,chop,up,up,1,7.7297,0.5573,1w
2023-03-17,chop,up,up,1,4.7749,0.56,1w
2023-03-24,chop,down,up,0,3.5385,0.3893,1w
2023-03-31,trending_bull,neutral,up,0,3.5036,0.548,1w
2023-04-07,chop,up,up,1,5.5618,0.5733,1w
2023-04-14,chop,down,up,0,15.8344,0.4253,1w
2023-04-21,chop,up,down,0,-6.7135,0.5693,1w
2023-04-28,chop,neutral,down,0,-1.1673,0.4827,1w
2023-05-05,high_volatility,up,down,0,-8.8031,0.5853,1w
2023-05-12,chop,neutral,up,0,3.4078,0.5013,1w
2023-05-19,chop,neutral,up,0,11.8403,0.5067,1w
2023-05-26,chop,neutral,up,0,10.1444,0.5133,1w
2023-06-02,chop,down,up,0,19.2801,0.4453,1w
2023-06-09,trending_bull,up,up,1,57.3396,0.6053,1w
2023-06-16,trending_bull,neutral,up,0,66.7875,0.5453,1w
2023-06-23,trending_bull,up,up,1,31.0965,0.6053,1w
2023-06-30,crisis,up,up,1,30.0133,0.72,1w
2023-07-07,crisis,up,up,1,60.5797,0.6987,1w
2023-07-14,crisis,up,up,1,42.3559,0.6987,1w
2023-07-21,crisis,up,down,0,-22.2702,0.7693,1w
2023-07-28,crisis,up,down,0,-27.2248,0.8053,1w
2023-08-04,high_volatility,up,down,0,-19.5966,0.768,1w
2023-08-11,crisis,up,down,0,-4.6429,0.6707,1w
2023-08-18,trending_bear,up,down,0,-7.7913,0.6773,1w
2023-08-25,trending_bear,up,up,1,8.2848,0.5867,1w
2023-09-01,chop,neutral,up,0,9.022,0.5013,1w
2023-09-08,chop,neutral,up,0,6.3396,0.5133,1w
2023-09-15,chop,up,down,0,-12.799,0.5507,1w
2023-09-22,chop,down,down,1,-14.2975,0.2987,1w
2023-09-29,chop,down,down,1,-18.6774,0.2827,1w
2023-10-06,chop,down,down,1,-21.6161,0.304,1w
2023-10-13,trending_bear,down,down,1,-9.249,0.296,1w
2023-10-20,trending_bear,down,down,1,-0.6627,0.2827,1w
2023-10-27,trending_bear,down,up,0,10.964,0.2253,1w
2023-11-03,trending_bear,down,up,0,12.0527,0.3093,1w
2023-11-10,trending_bear,down,down,1,-9.5718,0.3147,1w
2023-11-17,chop,down,down,1,-11.3551,0.2307,1w
2023-11-24,chop,down,down,1,-9.1717,0.3973,1w
2023-12-01,chop,down,down,1,-7.3314,0.2867,1w
2023-12-08,chop,down,down,1,-9.1618,0.332,1w
2023-12-15,chop,down,down,1,-8.8101,0.4093,1w
2023-12-22,chop,down,up,0,4.6333,0.3653,1w
2023-12-29,chop,down,up,0,19.3764,0.4267,1w
2024-01-05,chop,down,down,1,-4.6511,0.3973,1w
2024-01-12,chop,down,down,1,-3.8976,0.3733,1w
2024-01-19,chop,down,up,0,2.8751,0.416,1w
2024-01-26,chop,down,up,0,13.1437,0.336,1w
2024-02-02,chop,down,up,0,9.613,0.3893,1w
2024-02-09,chop,up,up,1,2.8733,0.5573,1w
2024-02-16,trending_bull,neutral,up,0,19.1107,0.4787,1w
2024-02-23,trending_bull,up,up,1,39.035,0.5653,1w
2024-03-01,chop,up,up,1,35.6349,0.676,1w
2024-03-08,trending_bull,up,up,1,36.2103,0.624,1w
2024-03-15,trending_bull,up,up,1,10.1016,0.724,1w
2024-03-22,trending_bull,up,down,0,-15.1001,0.704,1w
2024-03-29,trending_bull,up,down,0,-29.4376,0.8213,1w
2024-04-05,trending_bull,up,down,0,-14.9039,0.7533,1w
2024-04-12,trending_bear,up,down,0,-6.0721,0.5867,1w
2024-04-19,trending_bear,up,up,1,4.909,0.6133,1w
2024-04-26,trending_bear,up,down,0,-7.527,0.6467,1w
2024-05-03,trending_bear,neutral,down,0,-3.3527,0.5467,1w
2024-05-10,chop,neutral,down,0,-35.4767,0.52,1w
2024-05-17,chop,down,down,1,-22.3234,0.392,1w
2024-05-24,chop,down,down,1,-23.1552,0.356,1w
2024-05-31,trending_bear,down,down,1,-6.836,0.124,1w
2024-06-07,trending_bear,down,up,0,15.7508,0.1707,1w
2024-06-14,trending_bear,down,up,0,3.9791,0.2333,1w
2024-06-21,trending_bear,down,up,0,5.6122,0.2107,1w
2024-06-28,trending_bull,down,down,1,-16.4406,0.3733,1w
2024-07-05,trending_bear,down,down,1,-9.0416,0.292,1w
2024-07-12,chop,down,down,1,-10.0298,0.256,1w
2024-07-19,chop,down,up,0,8.3809,0.2973,1w
2024-07-26,chop,down,up,0,18.3258,0.2693,1w
2024-08-02,chop,down,up,0,15.4358,0.412,1w
2024-08-09,chop,neutral,up,0,25.7309,0.4653,1w
2024-08-16,trending_bull,up,up,1,5.99,0.5573,1w
2024-08-23,trending_bull,up,up,1,15.9443,0.56,1w
2024-08-30,trending_bull,neutral,down,0,-0.7668,0.536,1w
2024-09-06,trending_bull,up,down,0,-2.6014,0.6027,1w
2024-09-13,trending_bull,up,neutral,0,0.0103,0.696,1w
2024-09-20,trending_bull,up,up,1,24.9118,0.6733,1w
2024-09-27,chop,up,up,1,23.605,0.6507,1w
2024-10-04,chop,up,up,1,10.7022,0.724,1w
2024-10-11,chop,up,up,1,9.3834,0.768,1w
2024-10-18,chop,up,down,0,-1.0133,0.692,1w
2024-10-25,trending_bull,up,up,1,5.7596,0.692,1w
2024-11-01,trending_bull,up,up,1,5.7511,0.68,1w
2024-11-08,trending_bull,up,up,1,13.1895,0.6933,1w
2024-11-15,trending_bull,up,up,1,6.637,0.6573,1w
2024-11-22,trending_bull,up,up,1,3.4369,0.7533,1w
2024-11-29,trending_bull,up,down,0,-4.919,0.768,1w
2024-12-06,trending_bull,up,down,0,-0.9779,0.704,1w
2024-12-13,trending_bull,up,neutral,0,-0.4903,0.616,1w
2024-12-20,chop,up,up,1,17.5617,0.5667,1w
2024-12-27,chop,up,down,0,-11.6447,0.6307,1w
2025-01-03,chop,up,down,0,-0.5998,0.5773,1w
2025-01-10,chop,up,down,0,-3.4431,0.6333,1w
2025-01-17,chop,down,down,1,-7.9648,0.428,1w
2025-01-24,chop,up,down,0,-21.0613,0.58,1w
2025-01-31,chop,neutral,up,0,5.4825,0.464,1w
2025-02-07,crisis,down,up,0,0.5169,0.336,1w
2025-02-14,high_volatility,down,up,0,1.399,0.2813,1w
2025-02-21,high_volatility,neutral,down,0,-10.4496,0.492,1w
2025-02-28,crisis,down,up,0,4.1717,0.2667,1w
2025-03-07,high_volatility,down,up,0,19.7785,0.3467,1w
2025-03-14,crisis,down,up,0,7.8855,0.3027,1w
2025-03-21,high_volatility,neutral,up,0,2.9303,0.456,1w
2025-03-28,high_volatility,down,up,0,5.1481,0.428,1w
