date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,neutral,0,0.0079,0.5707,1w
2021-01-13,chop,up,up,1,3.8295,0.6627,1w
2021-01-25,chop,up,up,1,1.6156,0.6173,1w
2021-02-03,high_volatility,up,up,1,6.3,0.5627,1w
2021-02-12,crisis,up,down,0,-4.5687,0.6693,1w
2021-02-24,high_volatility,up,down,0,-2.1691,0.6107,1w
2021-03-05,chop,up,down,0,-1.9867,0.704,1w
2021-03-16,crisis,neutral,up,0,6.6564,0.4947,1w
2021-03-25,high_volatility,up,down,0,-0.6363,0.5813,1w
2021-04-06,chop,up,down,0,-3.67,0.5867,1w
2021-04-15,high_volatility,up,down,0,-7.832,0.5733,1w
2021-04-26,crisis,neutral,down,0,-0.5649,0.4733,1w
2021-05-05,crisis,neutral,neutral,0,0.0552,0.456,1w
2021-05-14,crisis,down,down,1,-2.3231,0.368,1w
2021-05-25,high_volatility,down,down,1,-5.4726,0.4227,1w
2021-06-04,crisis,down,down,1,-1.4151,0.3653,1w
2021-06-15,high_volatility,down,down,1,-0.914,0.3813,1w
2021-06-24,high_volatility,down,down,1,-3.3038,0.3653,1w
2021-07-06,high_volatility,down,down,1,-0.5481,0.3893,1w
2021-07-15,chop,down,up,0,10.2199,0.2253,1w
2021-07-26,chop,down,up,0,5.427,0.3467,1w
2021-08-04,chop,down,up,0,1.0851,0.3893,1w
2021-08-13,trending_bull,up,down,0,-3.4348,0.584,1w
2021-08-24,trending_bull,neutral,down,0,-7.881,0.4653,1w
2021-09-02,chop,neutral,down,0,-8.4172,0.4907,1w
2021-09-14,chop,up,down,0,-14.7364,0.6347,1w
2021-09-23,chop,down,down,1,-4.4118,0.3453,1w
2021-10-04,trending_bear,down,down,1,-1.3039,0.3267,1w
2021-10-13,trending_bear,down,up,0,1.214,0.3027,1w
2021-10-22,trending_bear,down,up,0,4.2094,0.296,1w
2021-11-02,trending_bear,down,up,0,10.0131,0.32,1w
2021-11-11,trending_bear,down,up,0,12.0049,0.2253,1w
2021-11-22,chop,down,up,0,7.9321,0.3133,1w
2021-12-02,trending_bull,neutral,up,0,1.8818,0.456,1w
