date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-6.0498,0.2747,1w
2021-01-13,trending_bear,down,down,1,-2.352,0.2667,1w
2021-01-25,chop,down,down,1,-6.6225,0.26,1w
2021-02-03,chop,down,down,1,-6.1033,0.2693,1w
2021-02-12,chop,down,down,1,-9.7022,0.248,1w
2021-02-24,chop,down,neutral,0,0.2583,0.256,1w
2021-03-05,trending_bear,down,up,0,0.5729,0.3733,1w
2021-03-16,chop,down,up,0,5.4216,0.2413,1w
2021-03-25,chop,down,down,1,-1.4178,0.336,1w
2021-04-06,chop,down,down,1,-2.8067,0.2493,1w
2021-04-15,chop,down,down,1,-9.1878,0.324,1w
2021-04-26,chop,down,down,1,-7.057,0.3467,1w
2021-05-05,chop,down,down,1,-5.5164,0.312,1w
2021-05-14,chop,down,down,1,-3.4905,0.3147,1w
2021-05-25,chop,down,up,0,4.3646,0.3947,1w
2021-06-04,chop,down,up,0,5.9615,0.3867,1w
2021-06-15,chop,down,up,0,10.3461,0.424,1w
2021-06-24,chop,neutral,down,0,-2.0573,0.456,1w
2021-07-06,chop,neutral,down,0,-1.1019,0.4707,1w
2021-07-15,chop,neutral,up,0,1.834,0.4693,1w
2021-07-26,chop,down,down,1,-3.8131,0.4213,1w
2021-08-04,chop,neutral,down,0,-8.058,0.4907,1w
2021-08-13,chop,up,down,0,-8.3056,0.6053,1w
2021-08-24,chop,neutral,down,0,-0.5749,0.4667,1w
2021-09-02,chop,neutral,up,0,34.8263,0.46,1w
2021-09-14,chop,neutral,up,0,24.281,0.5373,1w
2021-09-23,chop,down,up,0,35.312,0.3813,1w
2021-10-04,crisis,up,up,1,4.7074,0.5987,1w
2021-10-13,trending_bull,up,up,1,7.6906,0.58,1w
2021-10-22,trending_bull,up,up,1,9.8354,0.6173,1w
2021-11-02,trending_bull,up,up,1,8.4348,0.628,1w
2021-11-11,trending_bull,up,neutral,0,0.3938,0.636,1w
