date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,9.8243,0.4027,1w
2021-01-13,chop,neutral,up,0,3.362,0.508,1w
2021-01-25,chop,up,up,1,6.3784,0.6013,1w
2021-02-03,crisis,neutral,up,0,16.9504,0.5467,1w
2021-02-12,high_volatility,up,up,1,26.9046,0.6307,1w
2021-02-24,crisis,up,up,1,29.3976,0.76,1w
2021-03-05,crisis,up,up,1,9.6327,0.772,1w
2021-03-16,crisis,up,up,1,4.1583,0.8627,1w
2021-03-25,high_volatility,up,down,0,-15.9049,0.872,1w
2021-04-06,high_volatility,up,down,0,-13.5328,0.8093,1w
2021-04-15,trending_bull,up,down,0,-14.2665,0.76,1w
2021-04-26,high_volatility,up,up,1,16.1679,0.6413,1w
2021-05-05,high_volatility,up,up,1,12.9414,0.6227,1w
2021-05-14,high_volatility,up,down,0,-1.8987,0.5587,1w
2021-05-25,high_volatility,up,down,0,-20.6182,0.656,1w
2021-06-04,high_volatility,up,down,0,-25.4363,0.58,1w
2021-06-15,chop,down,down,1,-20.0121,0.424,1w
2021-06-24,high_volatility,down,down,1,-14.2957,0.2173,1w
2021-07-06,trending_bear,down,down,1,-8.2545,0.2347,1w
2021-07-15,trending_bear,down,down,1,-1.7764,0.176,1w
2021-07-26,trending_bear,down,up,0,8.217,0.2667,1w
2021-08-04,trending_bear,down,up,0,4.5357,0.2347,1w
2021-08-13,trending_bear,down,down,1,-3.0039,0.2253,1w
2021-08-24,chop,down,down,1,-13.2225,0.184,1w
2021-09-02,chop,down,down,1,-11.8671,0.1267,1w
2021-09-14,chop,down,down,1,-10.831,0.2093,1w
2021-09-23,chop,down,up,0,22.7335,0.268,1w
2021-10-04,trending_bear,down,up,0,22.8978,0.2827,1w
2021-10-13,chop,down,up,0,28.9228,0.324,1w
2021-10-22,chop,up,up,1,10.6551,0.5747,1w
2021-11-02,trending_bull,up,up,1,6.77,0.6627,1w
2021-11-11,trending_bull,up,down,0,-9.2521,0.6587,1w
2021-11-22,trending_bull,up,neutral,0,-0.4747,0.5587,1w
2021-12-02,chop,up,down,0,-2.5754,0.6173,1w
2021-12-13,chop,up,up,1,7.6555,0.584,1w
2021-12-22,chop,up,up,1,6.3117,0.764,1w
2022-01-03,chop,up,up,1,12.5493,0.712,1w
2022-01-12,chop,up,up,1,4.2669,0.764,1w
2022-01-24,chop,up,down,0,-1.1111,0.656,1w
2022-02-02,chop,up,up,1,2.869,0.6333,1w
2022-02-11,chop,up,down,0,-17.2828,0.5573,1w
2022-02-23,chop,neutral,down,0,-11.0599,0.52,1w
2022-03-04,chop,up,down,0,-7.874,0.5933,1w
2022-03-15,chop,down,up,0,6.7766,0.3653,1w
2022-03-24,trending_bear,down,up,0,7.4468,0.4093,1w
2022-04-04,chop,neutral,down,0,-6.2672,0.544,1w
2022-04-13,chop,down,down,1,-4.3225,0.3653,1w
2022-04-25,chop,down,neutral,0,-0.1391,0.3893,1w
2022-05-04,chop,down,up,0,5.8565,0.2773,1w
2022-05-13,chop,down,up,0,9.8562,0.2693,1w
2022-05-24,chop,down,up,0,9.7807,0.3853,1w
2022-06-03,chop,down,up,0,3.3017,0.3813,1w
2022-06-14,chop,up,up,1,14.5834,0.6107,1w
2022-06-24,chop,up,up,1,14.7239,0.6467,1w
2022-07-06,chop,up,up,1,7.2788,0.608,1w
2022-07-15,trending_bull,up,up,1,0.7672,0.728,1w
2022-07-26,trending_bull,up,up,1,2.2201,0.7787,1w
2022-08-04,trending_bull,up,up,1,4.1585,0.8347,1w
2022-08-15,trending_bull,up,up,1,4.8899,0.8653,1w
2022-08-24,chop,up,up,1,1.4411,0.8587,1w
2022-09-02,chop,up,down,0,-10.9618,0.8427,1w
2022-09-14,chop,up,down,0,-3.6228,0.8373,1w
2022-09-23,chop,up,down,0,-3.4444,0.7707,1w
2022-10-04,chop,neutral,up,0,6.4768,0.4693,1w
2022-10-13,chop,neutral,down,0,-1.4352,0.456,1w
2022-10-24,chop,neutral,down,0,-0.7343,0.4547,1w
2022-11-02,chop,down,down,1,-4.0921,0.4467,1w
2022-11-11,chop,down,down,1,-6.0519,0.428,1w
2022-11-22,chop,down,up,0,0.6787,0.3707,1w
2022-12-02,chop,down,up,0,1.372,0.28,1w
2022-12-13,trending_bear,down,down,1,-8.557,0.2747,1w
2022-12-22,chop,down,down,1,-12.881,0.3787,1w
2023-01-04,chop,neutral,down,0,-13.8241,0.4653,1w
2023-01-13,chop,down,down,1,-5.6187,0.22,1w
2023-01-25,chop,down,down,1,-1.3871,0.2627,1w
2023-02-03,trending_bear,down,up,0,4.7378,0.152,1w
2023-02-14,trending_bear,down,up,0,10.6849,0.1733,1w
2023-02-24,chop,down,up,0,10.4644,0.236,1w
2023-03-07,chop,down,up,0,11.2877,0.3413,1w
2023-03-16,trending_bull,down,down,1,-0.8953,0.392,1w
2023-03-27,trending_bull,down,up,0,0.6346,0.3653,1w
2023-04-05,trending_bull,neutral,down,0,-5.9508,0.524,1w
2023-04-17,trending_bull,up,up,1,3.5228,0.5587,1w
2023-04-26,trending_bull,up,down,0,-0.7786,0.668,1w
2023-05-05,chop,up,down,0,-1.2134,0.6787,1w
2023-05-16,chop,up,down,0,-5.8449,0.7347,1w
2023-05-25,chop,up,up,1,6.3561,0.6613,1w
2023-06-06,chop,neutral,up,0,7.622,0.5347,1w
2023-06-15,chop,down,up,0,12.8941,0.3813,1w
2023-06-27,chop,neutral,up,0,9.3841,0.548,1w
2023-07-07,trending_bull,neutral,up,0,2.9598,0.4667,1w
2023-07-18,trending_bull,up,down,0,-1.6584,0.68,1w
2023-07-27,crisis,up,down,0,-7.3384,0.6933,1w
2023-08-07,crisis,up,neutral,0,-0.3797,0.5733,1w
2023-08-16,chop,up,down,0,-2.7476,0.5693,1w
2023-08-25,chop,up,up,1,1.8361,0.6027,1w
2023-09-06,chop,up,up,1,11.756,0.5853,1w
2023-09-15,chop,up,up,1,4.5782,0.5733,1w
2023-09-26,chop,neutral,up,0,5.7809,0.5467,1w
2023-10-05,high_volatility,up,up,1,1.1142,0.6627,1w
2023-10-16,chop,neutral,up,0,17.8832,0.492,1w
2023-10-25,chop,down,up,0,18.5951,0.392,1w
2023-11-03,chop,up,up,1,10.3162,0.668,1w
2023-11-14,crisis,up,down,0,-2.3854,0.752,1w
2023-11-24,high_volatility,up,down,0,-6.3375,0.7627,1w
2023-12-05,high_volatility,up,up,1,0.7528,0.7653,1w
2023-12-14,high_volatility,up,up,1,10.8373,0.7293,1w
2023-12-26,high_volatility,up,up,1,5.8708,0.7,1w
2024-01-05,chop,up,up,1,8.2488,0.656,1w
2024-01-17,high_volatility,up,up,1,1.4375,0.7813,1w
2024-01-26,crisis,up,up,1,1.6774,0.6747,1w
2024-02-06,crisis,up,down,0,-10.4748,0.7253,1w
2024-02-15,high_volatility,up,down,0,-4.8838,0.608,1w
2024-02-27,chop,neutral,down,0,-3.3864,0.4707,1w
2024-03-07,crisis,down,down,1,-16.368,0.4133,1w
2024-03-18,high_volatility,up,down,0,-12.9335,0.5773,1w
2024-03-27,chop,up,down,0,-18.2708,0.5573,1w
2024-04-08,crisis,down,down,1,-5.8624,0.2693,1w
2024-04-17,high_volatility,down,up,0,0.9226,0.3173,1w
2024-04-26,trending_bear,down,up,0,6.2014,0.3187,1w
2024-05-07,chop,down,up,0,5.0425,0.2733,1w
2024-05-16,chop,down,up,0,4.3921,0.2933,1w
2024-05-28,chop,down,up,0,3.4818,0.3187,1w
2024-06-06,chop,down,up,0,1.6121,0.392,1w
2024-06-17,chop,down,up,0,2.1795,0.3507,1w
2024-06-27,chop,down,up,0,17.679,0.3507,1w
2024-07-09,chop,neutral,up,0,6.9258,0.512,1w
2024-07-18,chop,up,up,1,7.8885,0.5693,1w
2024-07-29,trending_bull,up,up,1,1.6889,0.7933,1w
2024-08-07,trending_bull,up,up,1,6.4403,0.7107,1w
2024-08-16,chop,up,up,1,10.3384,0.6707,1w
2024-08-27,chop,up,up,1,11.3436,0.752,1w
2024-09-06,chop,up,up,1,1.9821,0.688,1w
2024-09-17,trending_bull,up,down,0,-4.5627,0.7293,1w
2024-09-26,trending_bull,up,down,0,-1.7652,0.8013,1w
2024-10-07,trending_bull,up,down,0,-0.7837,0.6987,1w
2024-10-16,trending_bear,up,up,1,3.9488,0.6333,1w
2024-10-25,trending_bull,up,up,1,2.9911,0.58,1w
2024-11-05,chop,up,down,0,-1.0027,0.628,1w
2024-11-14,chop,up,down,0,-5.7636,0.6347,1w
2024-11-25,chop,up,down,0,-9.6016,0.6053,1w
