date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.4085,0.6773,1w
2021-01-13,chop,neutral,down,0,-12.0799,0.516,1w
2021-01-25,crisis,down,down,1,-5.254,0.2173,1w
2021-02-03,high_volatility,down,down,1,-10.3099,0.216,1w
2021-02-12,high_volatility,down,down,1,-9.1024,0.144,1w
2021-02-24,trending_bear,down,up,0,1.2115,0.152,1w
2021-03-05,high_volatility,down,up,0,10.504,0.1467,1w
2021-03-16,high_volatility,down,up,0,1.2944,0.1347,1w
2021-03-25,trending_bear,down,down,1,-10.2048,0.184,1w
2021-04-06,chop,down,down,1,-19.3255,0.2347,1w
2021-04-15,chop,down,down,1,-16.1148,0.1947,1w
2021-04-26,chop,down,down,1,-8.495,0.24,1w
2021-05-05,trending_bear,down,up,0,3.1959,0.1613,1w
2021-05-14,trending_bear,down,down,1,-2.0027,0.1867,1w
2021-05-25,trending_bear,down,up,0,1.7519,0.2573,1w
2021-06-04,trending_bull,down,down,1,-7.5952,0.4467,1w
2021-06-15,chop,down,neutral,0,-0.4397,0.2747,1w
2021-06-24,chop,down,down,1,-1.7953,0.2813,1w
2021-07-06,chop,down,up,0,12.3304,0.224,1w
2021-07-15,chop,down,up,0,25.2278,0.256,1w
2021-07-26,chop,down,up,0,11.884,0.412,1w
2021-08-04,chop,neutral,down,0,-4.4769,0.524,1w
2021-08-13,trending_bull,up,down,0,-14.0367,0.7253,1w
2021-08-24,trending_bull,up,down,0,-13.6252,0.624,1w
2021-09-02,chop,neutral,down,0,-12.3182,0.452,1w
2021-09-14,chop,up,down,0,-17.4772,0.588,1w
2021-09-23,chop,down,up,0,0.9926,0.3733,1w
2021-10-04,trending_bear,down,up,0,10.2655,0.3787,1w
2021-10-13,trending_bear,down,up,0,34.235,0.32,1w
2021-10-22,trending_bear,down,up,0,18.3599,0.4213,1w
2021-11-02,trending_bull,down,up,0,13.0508,0.3973,1w
2021-11-11,crisis,neutral,down,0,-7.8258,0.488,1w
2021-11-22,trending_bull,neutral,down,0,-2.1263,0.5107,1w
2021-12-02,trending_bull,up,up,1,0.5566,0.5787,1w
2021-12-13,chop,up,up,1,4.1166,0.584,1w
2021-12-22,chop,up,up,1,6.9299,0.6707,1w
2022-01-03,chop,up,up,1,6.7641,0.6773,1w
2022-01-12,chop,up,down,0,-2.2653,0.7693,1w
2022-01-24,chop,up,down,0,-7.9082,0.724,1w
2022-02-02,chop,up,down,0,-8.424,0.708,1w
2022-02-11,chop,down,down,1,-12.7318,0.376,1w
2022-02-23,chop,down,down,1,-4.9571,0.3547,1w
2022-03-04,chop,down,down,1,-2.3049,0.4093,1w
2022-03-15,trending_bear,down,up,0,8.5325,0.2307,1w
2022-03-24,trending_bear,down,up,0,1.7569,0.3067,1w
2022-04-04,chop,down,down,1,-3.7162,0.2973,1w
2022-04-13,chop,down,down,1,-7.6765,0.2947,1w
2022-04-25,chop,down,up,0,0.6655,0.224,1w
2022-05-04,chop,down,up,0,4.9668,0.156,1w
2022-05-13,chop,down,up,0,10.0519,0.2307,1w
2022-05-24,chop,down,up,0,3.7322,0.384,1w
2022-06-03,chop,neutral,neutral,0,0.1044,0.4653,1w
2022-06-14,chop,up,up,1,2.3454,0.6413,1w
2022-06-24,chop,up,up,1,8.5476,0.58,1w
2022-07-06,chop,up,up,1,3.827,0.5533,1w
2022-07-15,chop,up,down,0,-8.9467,0.56,1w
2022-07-26,trending_bull,up,down,0,-7.6687,0.74,1w
2022-08-04,chop,up,down,0,-2.3325,0.68,1w
2022-08-15,trending_bear,up,up,1,5.9053,0.596,1w
2022-08-24,trending_bear,neutral,down,0,-2.0178,0.5147,1w
2022-09-02,chop,neutral,down,0,-7.6395,0.5053,1w
2022-09-14,chop,down,down,1,-10.0013,0.448,1w
2022-09-23,chop,down,down,1,-5.3083,0.368,1w
2022-10-04,trending_bear,down,up,0,0.6544,0.296,1w
2022-10-13,trending_bear,down,up,0,4.0916,0.128,1w
2022-10-24,trending_bear,down,up,0,19.4618,0.12,1w
2022-11-02,trending_bear,down,up,0,14.9643,0.2493,1w
2022-11-11,trending_bull,down,up,0,11.65,0.424,1w
2022-11-22,trending_bull,up,up,1,10.6389,0.6173,1w
2022-12-02,trending_bull,up,up,1,4.8912,0.648,1w
2022-12-13,trending_bull,up,down,0,-1.9514,0.676,1w
2022-12-22,trending_bull,up,down,0,-2.0022,0.8293,1w
2023-01-04,trending_bull,up,neutral,0,0.0434,0.8187,1w
2023-01-13,trending_bull,up,neutral,0,-0.2578,0.8453,1w
2023-01-25,trending_bull,up,up,1,2.379,0.9107,1w
2023-02-03,chop,up,up,1,6.0373,0.8053,1w
2023-02-14,chop,up,up,1,1.1842,0.744,1w
2023-02-24,chop,up,up,1,3.0916,0.704,1w
2023-03-07,chop,up,down,0,-4.1048,0.7053,1w
2023-03-16,chop,down,down,1,-6.3205,0.4467,1w
2023-03-27,chop,neutral,down,0,-9.2765,0.5053,1w
2023-04-05,crisis,neutral,down,0,-3.5702,0.512,1w
2023-04-17,crisis,down,up,0,8.2132,0.352,1w
2023-04-26,trending_bear,down,up,0,2.4932,0.376,1w
2023-05-05,chop,down,up,0,1.0193,0.4213,1w
2023-05-16,chop,neutral,down,0,-4.1236,0.52,1w
2023-05-25,chop,down,up,0,2.7524,0.408,1w
2023-06-06,chop,down,up,0,2.167,0.3293,1w
2023-06-15,chop,down,up,0,7.683,0.3747,1w
2023-06-27,chop,down,up,0,9.6104,0.312,1w
2023-07-07,chop,down,up,0,4.8213,0.412,1w
