date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,neutral,0,0.0895,0.6613,1w
2021-01-13,high_volatility,up,up,1,3.9841,0.644,1w
2021-01-25,high_volatility,up,down,0,-0.9858,0.628,1w
2021-02-03,crisis,up,down,0,-14.7105,0.5707,1w
2021-02-12,high_volatility,up,down,0,-16.3898,0.616,1w
2021-02-24,high_volatility,down,down,1,-2.0116,0.3813,1w
2021-03-05,high_volatility,down,up,0,3.8653,0.3187,1w
2021-03-16,trending_bear,down,up,0,5.5194,0.3467,1w
2021-03-25,trending_bear,down,neutral,0,-0.4698,0.3347,1w
2021-04-06,trending_bear,down,up,0,4.0359,0.3187,1w
2021-04-15,chop,down,down,1,-9.0714,0.3827,1w
2021-04-26,chop,down,down,1,-1.8564,0.376,1w
2021-05-05,chop,down,down,1,-10.573,0.3893,1w
2021-05-14,chop,down,down,1,-7.4875,0.2747,1w
2021-05-25,chop,down,up,0,7.3242,0.4267,1w
2021-06-04,chop,neutral,up,0,11.4466,0.4587,1w
2021-06-15,chop,down,up,0,21.3067,0.3733,1w
2021-06-24,high_volatility,neutral,down,0,-1.7271,0.52,1w
2021-07-06,chop,up,up,1,2.303,0.552,1w
2021-07-15,trending_bull,neutral,up,0,9.1755,0.5053,1w
2021-07-26,chop,neutral,up,0,7.4243,0.5173,1w
2021-08-04,chop,neutral,down,0,-2.2693,0.52,1w
2021-08-13,trending_bull,up,down,0,-10.7283,0.724,1w
2021-08-24,trending_bull,up,down,0,-8.5899,0.6613,1w
2021-09-02,chop,up,down,0,-3.2798,0.6933,1w
2021-09-14,chop,up,up,1,2.4062,0.728,1w
2021-09-23,chop,down,up,0,6.0938,0.412,1w
2021-10-04,chop,neutral,down,0,-1.4902,0.4653,1w
2021-10-13,chop,neutral,down,0,-6.8009,0.5,1w
2021-10-22,chop,up,down,0,-1.5133,0.5573,1w
2021-11-02,chop,down,up,0,22.3952,0.3507,1w
2021-11-11,chop,down,up,0,29.333,0.24,1w
2021-11-22,chop,down,up,0,14.7401,0.388,1w
2021-12-02,trending_bull,up,down,0,-4.6893,0.648,1w
2021-12-13,trending_bull,up,up,1,6.0609,0.7253,1w
2021-12-22,trending_bull,up,up,1,7.7229,0.7293,1w
2022-01-03,trending_bull,up,up,1,5.5368,0.6467,1w
2022-01-12,trending_bull,up,down,0,-3.2913,0.752,1w
2022-01-24,trending_bull,up,down,0,-11.0747,0.7467,1w
2022-02-02,trending_bull,up,down,0,-15.9536,0.82,1w
2022-02-11,trending_bull,up,down,0,-19.3121,0.8187,1w
2022-02-23,trending_bear,up,down,0,-11.1002,0.6387,1w
2022-03-04,trending_bear,down,up,0,2.1516,0.296,1w
2022-03-15,trending_bear,down,up,0,5.9951,0.1907,1w
2022-03-24,trending_bear,down,up,0,4.4481,0.2613,1w
2022-04-04,trending_bear,down,down,1,-1.1598,0.296,1w
2022-04-13,trending_bear,down,down,1,-5.1047,0.2733,1w
2022-04-25,chop,down,down,1,-2.6452,0.1933,1w
2022-05-04,chop,down,down,1,-5.0709,0.2347,1w
2022-05-13,chop,down,up,0,2.5973,0.2747,1w
2022-05-24,chop,down,up,0,4.0122,0.2947,1w
2022-06-03,chop,down,down,1,-6.9666,0.4253,1w
2022-06-14,chop,neutral,down,0,-9.568,0.48,1w
2022-06-24,chop,neutral,down,0,-4.8621,0.472,1w
2022-07-06,chop,down,up,0,4.079,0.268,1w
2022-07-15,chop,down,up,0,5.0881,0.2253,1w
2022-07-26,chop,down,up,0,7.6017,0.3467,1w
2022-08-04,chop,down,up,0,3.3132,0.2827,1w
2022-08-15,chop,down,down,1,-2.5778,0.424,1w
2022-08-24,chop,up,down,0,-7.0483,0.5573,1w
2022-09-02,chop,down,down,1,-5.6044,0.4213,1w
2022-09-14,chop,down,down,1,-2.0644,0.2787,1w
2022-09-23,chop,down,down,1,-5.3486,0.3507,1w
2022-10-04,chop,neutral,down,0,-8.7295,0.4707,1w
2022-10-13,chop,neutral,down,0,-1.6511,0.456,1w
2022-10-24,chop,down,up,0,8.1326,0.3813,1w
2022-11-02,chop,down,up,0,18.6079,0.296,1w
2022-11-11,chop,down,up,0,16.0853,0.3733,1w
2022-11-22,chop,down,up,0,9.094,0.3893,1w
2022-12-02,chop,neutral,up,0,4.4012,0.516,1w
2022-12-13,trending_bull,up,down,0,-4.2614,0.6093,1w
2022-12-22,trending_bull,up,down,0,-5.4012,0.5827,1w
2023-01-04,trending_bull,up,down,0,-9.0702,0.6093,1w
2023-01-13,trending_bull,up,down,0,-7.9418,0.588,1w
2023-01-25,chop,up,down,0,-0.8474,0.6053,1w
