date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,6.2723,0.58,1w
2021-01-13,chop,up,up,1,2.6072,0.736,1w
2021-01-25,trending_bull,up,up,1,7.7304,0.6747,1w
2021-02-03,chop,up,up,1,6.6512,0.6973,1w
2021-02-12,high_volatility,up,up,1,3.5287,0.7067,1w
2021-02-24,chop,up,up,1,5.0788,0.7853,1w
2021-03-05,chop,up,up,1,7.2156,0.9027,1w
2021-03-16,chop,up,up,1,10.559,0.836,1w
2021-03-25,chop,up,up,1,5.3846,0.8093,1w
2021-04-06,trending_bull,up,up,1,1.7076,0.9027,1w
2021-04-15,trending_bull,up,down,0,-0.7415,0.872,1w
2021-04-26,high_volatility,up,up,1,0.8547,0.9147,1w
2021-05-05,crisis,up,down,0,-1.625,0.824,1w
2021-05-14,crisis,up,down,0,-2.9288,0.8053,1w
2021-05-25,high_volatility,up,up,1,0.7261,0.7693,1w
2021-06-04,crisis,up,up,1,1.7529,0.688,1w
2021-06-15,high_volatility,up,up,1,2.2699,0.6107,1w
2021-06-24,high_volatility,up,down,0,-7.11,0.64,1w
2021-07-06,crisis,neutral,down,0,-4.2377,0.544,1w
2021-07-15,chop,down,neutral,0,-0.1058,0.3733,1w
2021-07-26,chop,down,down,1,-1.168,0.3653,1w
2021-08-04,chop,down,down,1,-4.2013,0.3507,1w
2021-08-13,chop,neutral,down,0,-4.6827,0.4587,1w
2021-08-24,high_volatility,down,down,1,-1.5603,0.3293,1w
2021-09-02,crisis,down,up,0,2.7984,0.3027,1w
2021-09-14,crisis,down,down,1,-0.94,0.4147,1w
2021-09-23,high_volatility,down,up,0,2.899,0.2747,1w
2021-10-04,high_volatility,down,up,0,9.9448,0.3027,1w
2021-10-13,chop,down,up,0,12.1662,0.2973,1w
2021-10-22,chop,down,up,0,8.1792,0.4253,1w
2021-11-02,high_volatility,up,up,1,4.4287,0.6067,1w
2021-11-11,high_volatility,up,up,1,3.8573,0.5893,1w
