date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.441,0.2893,1w
2021-01-13,chop,down,down,1,-2.7451,0.208,1w
2021-01-25,high_volatility,down,down,1,-1.9761,0.2253,1w
2021-02-03,high_volatility,down,down,1,-1.5086,0.1573,1w
2021-02-12,crisis,down,down,1,-2.4158,0.0787,1w
2021-02-24,high_volatility,down,down,1,-1.7572,0.1333,1w
2021-03-05,crisis,down,down,1,-3.0447,0.1427,1w
2021-03-16,crisis,down,down,1,-2.591,0.0707,1w
2021-03-25,crisis,down,down,1,-3.6887,0.076,1w
2021-04-06,crisis,down,down,1,-4.1011,0.1133,1w
2021-04-15,crisis,down,down,1,-1.5835,0.076,1w
2021-04-26,crisis,down,down,1,-0.7671,0.06,1w
2021-05-05,crisis,down,neutral,0,0.1015,0.064,1w
2021-05-14,crisis,down,down,1,-2.762,0.1173,1w
2021-05-25,high_volatility,down,down,1,-2.0282,0.14,1w
2021-06-04,high_volatility,down,neutral,0,-0.2095,0.1027,1w
2021-06-15,crisis,down,up,0,2.9733,0.0933,1w
2021-06-24,crisis,down,up,0,2.0328,0.1693,1w
2021-07-06,high_volatility,down,up,0,1.9274,0.224,1w
2021-07-15,high_volatility,down,up,0,1.1271,0.2747,1w
2021-07-26,high_volatility,down,down,1,-1.2467,0.3893,1w
2021-08-04,high_volatility,neutral,down,0,-3.4797,0.4653,1w
2021-08-13,high_volatility,neutral,down,0,-3.7395,0.4653,1w
2021-08-24,chop,down,down,1,-3.4415,0.3267,1w
2021-09-02,chop,down,down,1,-3.1021,0.292,1w
2021-09-14,chop,down,down,1,-3.5325,0.4333,1w
2021-09-23,trending_bear,down,down,1,-3.2607,0.2253,1w
2021-10-04,crisis,down,down,1,-2.1221,0.2013,1w
2021-10-13,high_volatility,down,up,0,1.6975,0.1453,1w
2021-10-22,crisis,down,up,0,3.6262,0.0733,1w
2021-11-02,high_volatility,down,up,0,4.585,0.076,1w
2021-11-11,crisis,down,up,0,2.5686,0.156,1w
2021-11-22,trending_bull,down,up,0,1.3669,0.2333,1w
2021-12-02,trending_bull,down,down,1,-1.5092,0.376,1w
2021-12-13,trending_bull,down,up,0,0.9985,0.4213,1w
2021-12-22,trending_bull,neutral,up,0,2.0094,0.5107,1w
2022-01-03,trending_bull,neutral,up,0,2.9151,0.4653,1w
2022-01-12,chop,up,down,0,-0.9819,0.7147,1w
2022-01-24,trending_bull,up,down,0,-2.4331,0.768,1w
2022-02-02,trending_bull,up,down,0,-2.7554,0.752,1w
2022-02-11,chop,up,up,1,1.2191,0.5773,1w
2022-02-23,chop,neutral,up,0,3.3494,0.4587,1w
2022-03-04,chop,down,up,0,3.9293,0.2947,1w
2022-03-15,high_volatility,down,up,0,0.9197,0.424,1w
2022-03-24,high_volatility,neutral,up,0,1.4094,0.544,1w
2022-04-04,chop,up,neutral,0,-0.2815,0.5747,1w
2022-04-13,trending_bull,down,up,0,0.5171,0.412,1w
2022-04-25,chop,down,down,1,-1.7751,0.4253,1w
2022-05-04,chop,neutral,down,0,-1.3056,0.456,1w
2022-05-13,chop,neutral,down,0,-0.9196,0.4947,1w
2022-05-24,chop,neutral,up,0,1.1866,0.4907,1w
2022-06-03,chop,neutral,down,0,-1.4137,0.528,1w
2022-06-14,chop,down,neutral,0,-0.0763,0.3733,1w
2022-06-24,chop,down,neutral,0,0.116,0.38,1w
2022-07-06,chop,down,up,0,0.5477,0.1867,1w
2022-07-15,chop,down,down,1,-2.145,0.376,1w
2022-07-26,chop,down,down,1,-1.0551,0.3067,1w
2022-08-04,chop,down,down,1,-0.8046,0.2373,1w
2022-08-15,chop,down,neutral,0,0.4722,0.2227,1w
2022-08-24,chop,down,down,1,-1.334,0.3253,1w
2022-09-02,chop,down,down,1,-2.1906,0.2573,1w
2022-09-14,chop,down,down,1,-1.6223,0.2413,1w
2022-09-23,chop,down,down,1,-1.3025,0.1867,1w
2022-10-04,chop,down,up,0,0.7909,0.216,1w
2022-10-13,trending_bear,down,up,0,1.1246,0.172,1w
2022-10-24,trending_bear,down,up,0,4.1762,0.1747,1w
2022-11-02,trending_bear,down,up,0,2.7533,0.256,1w
2022-11-11,chop,down,up,0,3.7667,0.3467,1w
2022-11-22,chop,down,up,0,4.5614,0.4253,1w
2022-12-02,trending_bull,neutral,up,0,1.6668,0.516,1w
2022-12-13,trending_bull,up,neutral,0,-0.4902,0.616,1w
2022-12-22,trending_bull,up,down,0,-0.8443,0.7253,1w
2023-01-04,trending_bull,up,neutral,0,-0.1654,0.7453,1w
2023-01-13,trending_bull,up,down,0,-0.7303,0.752,1w
