date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-16.4589,0.5213,1w
2021-01-13,high_volatility,down,down,1,-12.2719,0.3453,1w
2021-01-25,high_volatility,down,down,1,-2.901,0.1453,1w
2021-02-03,crisis,down,down,1,-3.8918,0.1413,1w
2021-02-12,high_volatility,down,down,1,-9.7097,0.152,1w
2021-02-24,high_volatility,down,up,0,3.8281,0.144,1w
2021-03-05,crisis,down,up,0,3.6312,0.2,1w
2021-03-16,crisis,down,down,1,-2.3738,0.144,1w
2021-03-25,high_volatility,down,down,1,-15.7089,0.2173,1w
2021-04-06,chop,down,down,1,-17.9435,0.2253,1w
2021-04-15,chop,down,down,1,-19.872,0.184,1w
2021-04-26,trending_bear,down,down,1,-8.3066,0.2747,1w
2021-05-05,trending_bear,down,down,1,-2.2035,0.22,1w
2021-05-14,trending_bear,down,down,1,-6.3669,0.1667,1w
2021-05-25,trending_bear,down,down,1,-6.9042,0.26,1w
2021-06-04,trending_bear,down,down,1,-12.5675,0.3067,1w
2021-06-15,chop,down,down,1,-3.7078,0.224,1w
2021-06-24,trending_bear,down,neutral,0,0.4565,0.1413,1w
2021-07-06,trending_bear,down,up,0,11.3581,0.1387,1w
2021-07-15,trending_bear,down,up,0,15.7895,0.172,1w
2021-07-26,chop,down,up,0,2.176,0.2973,1w
2021-08-04,chop,down,down,1,-13.3018,0.3733,1w
2021-08-13,chop,neutral,down,0,-15.6723,0.5467,1w
2021-08-24,chop,down,down,1,-14.3317,0.412,1w
2021-09-02,chop,down,down,1,-6.6199,0.252,1w
2021-09-14,trending_bear,down,down,1,-10.1745,0.4093,1w
2021-09-23,trending_bear,down,up,0,2.238,0.2627,1w
2021-10-04,trending_bear,down,up,0,1.3825,0.3173,1w
2021-10-13,trending_bear,down,up,0,14.4651,0.2933,1w
2021-10-22,trending_bear,down,up,0,10.2345,0.2973,1w
2021-11-02,chop,down,up,0,14.723,0.256,1w
2021-11-11,chop,down,down,1,-1.2408,0.312,1w
2021-11-22,chop,down,neutral,0,0.3338,0.4013,1w
2021-12-02,chop,up,down,0,-4.9263,0.58,1w
2021-12-13,chop,up,up,1,2.2323,0.56,1w
2021-12-22,chop,up,up,1,13.1579,0.6413,1w
2022-01-03,chop,neutral,up,0,19.0363,0.5453,1w
