date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-11-17,trending_bear,down,up,0,9.3986,0.184,1w
2021-11-29,chop,down,up,0,2.463,0.2133,1w
2021-12-08,chop,down,up,0,1.9977,0.1947,1w
2021-12-17,chop,down,up,0,12.3283,0.312,1w
2021-12-29,chop,down,up,0,16.4097,0.2667,1w
2022-01-07,chop,down,up,0,20.3765,0.3467,1w
2022-01-19,chop,neutral,down,0,-1.1118,0.5013,1w
2022-01-28,trending_bull,neutral,down,0,-4.375,0.52,1w
2022-02-08,trending_bull,up,down,0,-2.7261,0.668,1w
2022-02-17,chop,up,up,1,6.908,0.6493,1w
2022-03-01,chop,up,neutral,0,-0.4097,0.66,1w
2022-03-10,chop,up,up,1,6.8564,0.5853,1w
2022-03-21,chop,up,up,1,7.252,0.6133,1w
2022-03-30,chop,up,down,0,-14.8973,0.5907,1w
2022-04-08,chop,up,down,0,-11.2205,0.6333,1w
2022-04-20,chop,neutral,down,0,-1.9691,0.516,1w
2022-04-29,chop,down,up,0,23.2688,0.396,1w
2022-05-10,chop,down,up,0,31.2146,0.4253,1w
2022-05-19,chop,neutral,up,0,19.2079,0.544,1w
2022-05-31,chop,neutral,up,0,36.1206,0.5107,1w
2022-06-09,chop,up,up,1,5.9665,0.6653,1w
2022-06-21,trending_bull,up,up,1,6.5722,0.68,1w
2022-06-30,trending_bull,up,up,1,1.8361,0.6667,1w
2022-07-12,trending_bull,up,down,0,-7.31,0.692,1w
2022-07-21,trending_bull,up,down,0,-4.3609,0.6933,1w
2022-08-01,trending_bull,up,up,1,5.4678,0.8533,1w
2022-08-10,chop,up,up,1,19.4364,0.7427,1w
2022-08-19,chop,up,up,1,7.1225,0.6613,1w
2022-08-30,chop,up,up,1,1.016,0.752,1w
2022-09-09,chop,up,neutral,0,-0.2116,0.6747,1w
2022-09-20,chop,up,neutral,0,0.2667,0.5853,1w
2022-09-29,chop,up,down,0,-9.1917,0.5587,1w
2022-10-10,chop,neutral,down,0,-1.5066,0.5293,1w
2022-10-19,chop,neutral,up,0,14.2955,0.52,1w
2022-10-28,chop,neutral,up,0,28.0883,0.4707,1w
2022-11-08,chop,up,up,1,19.1935,0.6133,1w
2022-11-17,chop,up,up,1,4.7172,0.6667,1w
2022-11-29,trending_bull,up,down,0,-3.2945,0.668,1w
2022-12-08,crisis,up,down,0,-7.5433,0.632,1w
2022-12-19,high_volatility,up,up,1,5.6956,0.6773,1w
2022-12-29,chop,up,up,1,7.3912,0.6173,1w
2023-01-10,chop,neutral,up,0,19.4389,0.5147,1w
2023-01-20,crisis,up,down,0,-0.7152,0.724,1w
2023-01-31,high_volatility,up,up,1,3.8727,0.728,1w
2023-02-09,high_volatility,up,down,0,-10.8688,0.7773,1w
2023-02-21,crisis,up,down,0,-6.1821,0.58,1w
2023-03-02,chop,neutral,down,0,-23.3741,0.5173,1w
2023-03-13,chop,down,down,1,-18.2609,0.4467,1w
2023-03-22,chop,neutral,down,0,-24.3181,0.504,1w
2023-03-31,crisis,down,down,1,-3.3461,0.324,1w
2023-04-12,trending_bear,down,down,1,-1.505,0.3347,1w
2023-04-21,trending_bear,down,up,0,5.1973,0.168,1w
2023-05-02,trending_bear,down,down,1,-9.3863,0.1907,1w
2023-05-11,trending_bear,down,down,1,-13.1592,0.1573,1w
2023-05-22,chop,down,down,1,-16.1747,0.1973,1w
2023-06-01,chop,down,up,0,6.5893,0.148,1w
2023-06-12,trending_bear,down,up,0,4.9787,0.152,1w
2023-06-22,chop,down,up,0,15.9026,0.148,1w
2023-07-03,chop,down,up,0,5.9181,0.392,1w
2023-07-13,chop,down,neutral,0,-0.4218,0.3893,1w
2023-07-24,chop,neutral,up,0,14.9987,0.4587,1w
2023-08-02,chop,neutral,up,0,14.1182,0.48,1w
2023-08-11,chop,down,down,1,-16.4939,0.4253,1w
2023-08-22,chop,neutral,down,0,-16.2871,0.5147,1w
2023-08-31,chop,up,down,0,-25.5196,0.6667,1w
2023-09-12,high_volatility,down,down,1,-13.3719,0.412,1w
2023-09-21,trending_bear,neutral,down,0,-10.6715,0.5053,1w
2023-10-02,trending_bear,down,neutral,0,0.2506,0.3307,1w
2023-10-11,trending_bear,down,up,0,12.6343,0.2693,1w
2023-10-20,trending_bear,down,up,0,16.0256,0.3173,1w
2023-10-31,trending_bear,down,up,0,26.2556,0.3173,1w
2023-11-09,trending_bull,down,up,0,14.6096,0.3333,1w
2023-11-20,trending_bull,down,up,0,22.1544,0.3347,1w
2023-11-30,trending_bull,down,up,0,6.4295,0.4067,1w
2023-12-11,trending_bull,up,down,0,-1.8405,0.6653,1w
2023-12-20,trending_bull,up,up,1,2.8436,0.7253,1w
2024-01-02,trending_bull,up,down,0,-4.3097,0.7573,1w
2024-01-11,trending_bull,up,down,0,-2.0067,0.7747,1w
2024-01-23,trending_bull,up,down,0,-15.7146,0.8453,1w
2024-02-01,trending_bear,up,down,0,-14.3662,0.736,1w
2024-02-12,chop,up,down,0,-15.5577,0.6107,1w
2024-02-22,trending_bear,neutral,up,0,5.641,0.5453,1w
2024-03-04,trending_bear,down,down,1,-5.3757,0.3893,1w
2024-03-13,trending_bear,down,down,1,-21.6754,0.3013,1w
2024-03-22,trending_bear,down,down,1,-18.7517,0.3573,1w
2024-04-03,crisis,down,up,0,2.3564,0.2413,1w
2024-04-12,crisis,down,up,0,26.6115,0.2093,1w
2024-04-23,chop,down,up,0,11.2428,0.2013,1w
2024-05-02,chop,down,up,0,16.4811,0.256,1w
2024-05-13,chop,down,down,1,-24.9313,0.376,1w
2024-05-22,chop,down,down,1,-26.1633,0.4213,1w
2024-06-03,chop,neutral,down,0,-21.2742,0.52,1w
2024-06-12,trending_bear,down,down,1,-0.802,0.288,1w
2024-06-24,trending_bear,down,up,0,9.1623,0.2453,1w
2024-07-03,trending_bear,down,down,1,-6.4169,0.4093,1w
