date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,0.8813,0.4653,1w
2021-01-13,chop,neutral,down,0,-1.4862,0.528,1w
2021-01-25,high_volatility,down,up,0,0.7501,0.3787,1w
2021-02-03,crisis,neutral,up,0,6.0811,0.4707,1w
2021-02-12,high_volatility,neutral,down,0,-2.8068,0.536,1w
2021-02-24,high_volatility,up,down,0,-3.2258,0.552,1w
2021-03-05,crisis,up,up,1,2.343,0.6333,1w
2021-03-16,high_volatility,neutral,up,0,2.5785,0.4827,1w
2021-03-25,chop,neutral,up,0,2.4026,0.4667,1w
2021-04-06,chop,neutral,down,0,-5.4121,0.536,1w
2021-04-15,chop,down,down,1,-12.6941,0.4267,1w
2021-04-26,high_volatility,neutral,down,0,-10.5405,0.5053,1w
2021-05-05,crisis,neutral,down,0,-4.8655,0.4747,1w
2021-05-14,crisis,down,down,1,-8.1947,0.32,1w
2021-05-25,high_volatility,down,down,1,-7.995,0.3467,1w
2021-06-04,high_volatility,down,down,1,-5.3871,0.3653,1w
2021-06-15,trending_bear,down,up,0,4.1714,0.256,1w
2021-06-24,trending_bear,down,neutral,0,-0.0526,0.2693,1w
2021-07-06,chop,down,up,0,10.5151,0.2587,1w
2021-07-15,chop,down,up,0,12.7297,0.224,1w
2021-07-26,chop,down,up,0,7.6396,0.2293,1w
2021-08-04,chop,down,down,1,-0.5821,0.42,1w
2021-08-13,trending_bull,up,neutral,0,0.0712,0.58,1w
2021-08-24,trending_bull,neutral,down,0,-4.4958,0.492,1w
2021-09-02,chop,neutral,down,0,-1.5065,0.5053,1w
2021-09-14,chop,up,down,0,-5.8712,0.764,1w
2021-09-23,chop,neutral,up,0,4.2931,0.524,1w
2021-10-04,chop,up,up,1,4.2164,0.5707,1w
2021-10-13,chop,up,up,1,8.4511,0.5587,1w
2021-10-22,chop,up,up,1,4.7828,0.5827,1w
2021-11-02,chop,neutral,up,0,9.9928,0.5293,1w
2021-11-11,chop,neutral,up,0,10.842,0.5293,1w
2021-11-22,chop,neutral,up,0,5.8337,0.5413,1w
2021-12-02,chop,up,down,0,-1.2661,0.6933,1w
2021-12-13,chop,up,down,0,-1.0381,0.668,1w
2021-12-22,chop,up,down,0,-0.6717,0.7573,1w
2022-01-03,chop,up,up,1,3.3763,0.6947,1w
2022-01-12,chop,up,up,1,2.493,0.744,1w
2022-01-24,chop,up,up,1,2.2984,0.6933,1w
2022-02-02,chop,up,down,0,-1.567,0.7427,1w
2022-02-11,chop,up,up,1,1.4594,0.7253,1w
2022-02-23,chop,up,up,1,2.5739,0.656,1w
2022-03-04,chop,neutral,up,0,6.4866,0.512,1w
2022-03-15,chop,neutral,up,0,7.1843,0.492,1w
2022-03-24,chop,up,up,1,5.7521,0.5707,1w
2022-04-04,chop,up,up,1,2.365,0.6413,1w
2022-04-13,trending_bull,up,up,1,3.7495,0.7293,1w
2022-04-25,trending_bull,up,up,1,1.6243,0.7133,1w
2022-05-04,chop,up,neutral,0,-0.2716,0.628,1w
2022-05-13,chop,up,down,0,-0.8555,0.764,1w
2022-05-24,chop,up,up,1,3.8029,0.6933,1w
2022-06-03,chop,up,up,1,4.3616,0.6667,1w
