date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,trending_bull,up,down,0,-2.4352,0.728,1w
2021-01-08,chop,up,up,1,13.8329,0.7827,1w
2021-01-15,trending_bear,up,up,1,33.8045,0.6973,1w
2021-01-22,trending_bear,neutral,up,0,29.2895,0.5013,1w
2021-01-29,trending_bull,up,up,1,12.3301,0.6453,1w
2021-02-05,trending_bull,up,neutral,0,-0.2301,0.616,1w
2021-02-12,trending_bull,up,up,1,7.0152,0.656,1w
2021-02-19,trending_bull,up,down,0,-8.4943,0.632,1w
2021-02-26,trending_bull,up,down,0,-6.3001,0.6267,1w
2021-03-05,trending_bull,up,down,0,-11.9679,0.752,1w
2021-03-12,trending_bear,up,down,0,-17.9758,0.6173,1w
2021-03-19,chop,up,down,0,-11.0218,0.7253,1w
2021-03-26,chop,up,down,0,-5.2496,0.6173,1w
2021-04-02,trending_bear,down,neutral,0,-0.138,0.3653,1w
2021-04-09,trending_bear,down,down,1,-6.5824,0.2547,1w
2021-04-16,trending_bear,down,down,1,-16.1949,0.312,1w
2021-04-23,trending_bear,down,down,1,-12.1496,0.2293,1w
2021-04-30,trending_bear,down,down,1,-10.635,0.1867,1w
2021-05-07,trending_bear,down,down,1,-13.7938,0.1533,1w
2021-05-14,trending_bear,down,up,0,19.4962,0.1693,1w
2021-05-21,trending_bear,down,up,0,7.2879,0.1747,1w
2021-05-28,trending_bear,down,down,1,-7.6342,0.1707,1w
2021-06-04,trending_bull,down,neutral,0,0.1034,0.3947,1w
2021-06-11,chop,down,down,1,-1.4826,0.352,1w
2021-06-18,chop,down,up,0,4.4299,0.2267,1w
2021-06-25,chop,down,up,0,12.324,0.4013,1w
2021-07-02,chop,down,up,0,17.3829,0.4267,1w
2021-07-09,chop,down,up,0,4.0733,0.428,1w
2021-07-16,chop,up,down,0,-9.9512,0.6173,1w
2021-07-23,chop,up,down,0,-12.4332,0.6173,1w
2021-07-30,chop,neutral,down,0,-5.9446,0.5147,1w
2021-08-06,chop,down,down,1,-9.8101,0.4213,1w
2021-08-13,chop,neutral,down,0,-26.9061,0.488,1w
2021-08-20,trending_bear,neutral,down,0,-21.4854,0.4907,1w
2021-08-27,trending_bear,down,down,1,-18.7945,0.404,1w
2021-09-03,trending_bear,down,up,0,4.0446,0.2253,1w
