date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-8.7987,0.2253,1w
2021-01-13,chop,down,down,1,-9.0569,0.2413,1w
2021-01-25,chop,down,down,1,-10.9492,0.1933,1w
2021-02-03,trending_bear,down,up,0,19.8288,0.1667,1w
2021-02-12,trending_bear,down,up,0,18.174,0.1773,1w
2021-02-24,trending_bear,down,up,0,21.7615,0.1627,1w
2021-03-05,trending_bull,up,up,1,2.0885,0.5987,1w
2021-03-16,high_volatility,up,up,1,3.3994,0.584,1w
2021-03-25,trending_bull,up,neutral,0,-0.2373,0.668,1w
2021-04-06,trending_bull,up,down,0,-6.0359,0.6133,1w
2021-04-15,trending_bull,up,down,0,-13.8126,0.636,1w
2021-04-26,trending_bull,up,down,0,-6.6344,0.6347,1w
2021-05-05,trending_bear,up,down,0,-2.6407,0.6547,1w
2021-05-14,high_volatility,up,up,1,7.5295,0.5667,1w
2021-05-25,chop,up,up,1,0.5768,0.5987,1w
2021-06-04,chop,down,up,0,6.7109,0.396,1w
2021-06-15,chop,down,up,0,4.3445,0.4427,1w
2021-06-24,chop,down,up,0,3.2913,0.3467,1w
2021-07-06,chop,neutral,up,0,0.8431,0.4907,1w
2021-07-15,chop,down,up,0,1.2004,0.4453,1w
2021-07-26,chop,neutral,down,0,-2.6153,0.5133,1w
2021-08-04,chop,up,down,0,-7.5947,0.58,1w
2021-08-13,chop,up,down,0,-2.9743,0.668,1w
2021-08-24,chop,up,down,0,-3.6954,0.5707,1w
2021-09-02,chop,neutral,up,0,0.5445,0.4867,1w
2021-09-14,chop,neutral,down,0,-4.5321,0.508,1w
2021-09-23,chop,down,up,0,9.5417,0.408,1w
2021-10-04,chop,down,up,0,7.5989,0.3147,1w
2021-10-13,chop,down,up,0,17.7685,0.3813,1w
2021-10-22,chop,neutral,up,0,6.3192,0.4907,1w
2021-11-02,chop,neutral,up,0,7.8587,0.512,1w
2021-11-11,chop,up,neutral,0,0.4244,0.6653,1w
2021-11-22,trending_bull,up,down,0,-0.5424,0.6133,1w
2021-12-02,trending_bull,up,down,0,-7.4401,0.7253,1w
2021-12-13,trending_bull,up,down,0,-1.9886,0.6387,1w
2021-12-22,chop,up,up,1,1.1542,0.7013,1w
2022-01-03,chop,up,up,1,6.049,0.5893,1w
2022-01-12,chop,up,up,1,4.1384,0.6507,1w
2022-01-24,chop,up,down,0,-1.9174,0.5653,1w
2022-02-02,chop,up,up,1,2.5211,0.5867,1w
2022-02-11,chop,down,up,0,3.4343,0.4427,1w
2022-02-23,chop,neutral,up,0,0.9447,0.4653,1w
2022-03-04,chop,down,up,0,1.9283,0.4293,1w
2022-03-15,chop,neutral,up,0,1.8118,0.5333,1w
2022-03-24,chop,up,up,1,3.0594,0.58,1w
2022-04-04,chop,up,up,1,2.6581,0.6347,1w
2022-04-13,chop,up,up,1,4.6994,0.6933,1w
2022-04-25,chop,up,up,1,2.0708,0.576,1w
2022-05-04,chop,up,down,0,-0.7012,0.6067,1w
2022-05-13,chop,up,up,1,1.1399,0.724,1w
2022-05-24,chop,up,up,1,10.2113,0.6053,1w
2022-06-03,chop,up,up,1,10.643,0.576,1w
2022-06-14,chop,up,up,1,4.0603,0.6173,1w
2022-06-24,trending_bull,up,neutral,0,0.1289,0.7253,1w
2022-07-06,trending_bull,up,up,1,4.1021,0.744,1w
2022-07-15,trending_bull,up,up,1,4.8592,0.6787,1w
2022-07-26,chop,up,up,1,6.7849,0.6893,1w
2022-08-04,high_volatility,up,down,0,-4.0188,0.6947,1w
2022-08-15,chop,up,up,1,2.85,0.6267,1w
2022-08-24,chop,up,up,1,2.9731,0.7293,1w
2022-09-02,chop,up,up,1,1.0937,0.696,1w
2022-09-14,chop,up,up,1,3.3948,0.64,1w
2022-09-23,chop,up,up,1,1.469,0.5987,1w
2022-10-04,chop,neutral,up,0,5.6899,0.52,1w
2022-10-13,chop,up,down,0,-1.4365,0.6507,1w
2022-10-24,chop,up,up,1,4.0563,0.6387,1w
2022-11-02,high_volatility,neutral,up,0,7.3072,0.496,1w
