date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-9.6642,0.4653,1w
2021-01-13,chop,down,down,1,-7.5704,0.4427,1w
2021-01-25,chop,down,down,1,-8.2333,0.3507,1w
2021-02-03,high_volatility,down,up,0,13.6793,0.2173,1w
2021-02-12,high_volatility,down,up,0,15.6284,0.2907,1w
2021-02-24,high_volatility,down,up,0,22.0115,0.3027,1w
2021-03-05,crisis,up,neutral,0,0.0592,0.6053,1w
2021-03-16,crisis,up,up,1,0.5773,0.6067,1w
2021-03-25,trending_bull,up,down,0,-6.3924,0.64,1w
2021-04-06,trending_bull,up,down,0,-11.8653,0.6133,1w
2021-04-15,trending_bull,up,down,0,-13.9675,0.5893,1w
2021-04-26,chop,neutral,down,0,-5.8376,0.5373,1w
2021-05-05,trending_bear,neutral,up,0,5.0009,0.512,1w
2021-05-14,trending_bear,neutral,up,0,5.0571,0.4653,1w
2021-05-25,trending_bear,up,down,0,-3.4607,0.5907,1w
2021-06-04,chop,down,down,1,-2.4937,0.3547,1w
2021-06-15,chop,down,up,0,4.6718,0.2747,1w
2021-06-24,chop,down,up,0,5.0727,0.2213,1w
2021-07-06,chop,down,up,0,1.8828,0.34,1w
2021-07-15,chop,down,down,1,-0.9725,0.3653,1w
2021-07-26,chop,neutral,down,0,-3.834,0.4987,1w
2021-08-04,chop,up,down,0,-4.0248,0.58,1w
2021-08-13,chop,up,down,0,-4.0999,0.6173,1w
2021-08-24,chop,neutral,down,0,-1.974,0.5133,1w
2021-09-02,chop,down,down,1,-2.0249,0.3893,1w
2021-09-14,chop,neutral,down,0,-9.4978,0.5147,1w
2021-09-23,chop,down,up,0,0.6375,0.4427,1w
2021-10-04,chop,down,up,0,11.1711,0.3267,1w
2021-10-13,chop,down,up,0,17.2349,0.2173,1w
2021-10-22,chop,down,up,0,13.161,0.3347,1w
2021-11-02,high_volatility,neutral,up,0,3.5244,0.5467,1w
2021-11-11,trending_bull,neutral,up,0,3.2893,0.5453,1w
2021-11-22,chop,up,down,0,-1.2167,0.5907,1w
2021-12-02,trending_bull,up,down,0,-2.402,0.6693,1w
2021-12-13,trending_bull,up,down,0,-1.8847,0.5853,1w
