date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-1.3075,0.5653,1w
2021-01-13,trending_bull,up,up,1,2.1865,0.6533,1w
2021-01-25,chop,neutral,up,0,6.1208,0.512,1w
2021-02-03,chop,up,up,1,4.2829,0.5693,1w
2021-02-12,chop,up,neutral,0,0.1142,0.5827,1w
2021-02-24,chop,up,up,1,6.1927,0.6733,1w
2021-03-05,chop,up,up,1,7.5833,0.7253,1w
2021-03-16,chop,up,up,1,18.383,0.6173,1w
2021-03-25,chop,up,up,1,8.4321,0.668,1w
2021-04-06,chop,up,up,1,3.6861,0.6333,1w
2021-04-15,trending_bull,up,down,0,-12.7717,0.78,1w
2021-04-26,trending_bull,up,down,0,-6.9889,0.7667,1w
2021-05-05,high_volatility,up,down,0,-9.9025,0.692,1w
2021-05-14,crisis,neutral,down,0,-7.4087,0.548,1w
2021-05-25,high_volatility,up,down,0,-7.1616,0.58,1w
2021-06-04,high_volatility,neutral,down,0,-2.0119,0.492,1w
2021-06-15,trending_bear,down,up,0,6.7384,0.4013,1w
2021-06-24,trending_bear,down,up,0,6.1783,0.3467,1w
2021-07-06,chop,down,up,0,14.3047,0.3467,1w
2021-07-15,chop,down,up,0,25.5569,0.2187,1w
2021-07-26,trending_bull,down,up,0,17.6125,0.3507,1w
2021-08-04,trending_bull,neutral,up,0,18.3931,0.4653,1w
2021-08-13,high_volatility,up,down,0,-4.4876,0.8227,1w
2021-08-24,trending_bull,up,down,0,-2.1527,0.764,1w
2021-09-02,trending_bull,up,down,0,-3.5484,0.904,1w
2021-09-14,high_volatility,up,up,1,2.4276,0.8907,1w
2021-09-23,trending_bull,up,up,1,11.3827,0.8213,1w
2021-10-04,high_volatility,up,up,1,7.9777,0.86,1w
2021-10-13,high_volatility,up,up,1,13.1552,0.7773,1w
2021-10-22,crisis,up,up,1,5.3117,0.7947,1w
2021-11-02,high_volatility,up,up,1,5.6096,0.784,1w
2021-11-11,crisis,up,up,1,5.6463,0.6507,1w
2021-11-22,high_volatility,up,up,1,1.407,0.668,1w
2021-12-02,chop,up,down,0,-4.5217,0.656,1w
2021-12-13,chop,up,down,0,-1.5954,0.7333,1w
2021-12-22,chop,up,down,0,-6.4911,0.7547,1w
2022-01-03,chop,up,down,0,-0.9351,0.632,1w
2022-01-12,chop,up,up,1,3.3693,0.6613,1w
2022-01-24,chop,neutral,up,0,2.6013,0.5013,1w
2022-02-02,chop,neutral,down,0,-5.0973,0.5013,1w
2022-02-11,chop,up,down,0,-11.3397,0.584,1w
2022-02-23,chop,down,down,1,-9.2819,0.4267,1w
2022-03-04,chop,down,up,0,5.753,0.296,1w
2022-03-15,trending_bear,down,up,0,15.1103,0.224,1w
2022-03-24,trending_bear,down,up,0,14.284,0.216,1w
2022-04-04,trending_bull,neutral,up,0,1.7754,0.4653,1w
2022-04-13,trending_bull,up,up,1,6.5701,0.5693,1w
2022-04-25,trending_bull,up,up,1,5.6848,0.5907,1w
2022-05-04,trending_bull,neutral,up,0,1.875,0.528,1w
2022-05-13,trending_bull,up,up,1,1.3636,0.6387,1w
2022-05-24,chop,up,up,1,8.961,0.6627,1w
2022-06-03,chop,up,up,1,12.3494,0.764,1w
2022-06-14,chop,up,up,1,5.3962,0.8587,1w
2022-06-24,trending_bull,up,neutral,0,-0.3385,0.936,1w
2022-07-06,trending_bull,up,down,0,-2.8945,0.852,1w
2022-07-15,chop,up,down,0,-2.8115,0.824,1w
2022-07-26,chop,up,down,0,-6.7727,0.78,1w
2022-08-04,chop,up,down,0,-5.758,0.6987,1w
2022-08-15,chop,up,down,0,-2.9867,0.5947,1w
2022-08-24,chop,neutral,up,0,1.803,0.5013,1w
2022-09-02,chop,neutral,up,0,2.494,0.5373,1w
2022-09-14,chop,down,up,0,6.8502,0.4173,1w
2022-09-23,chop,down,up,0,5.9684,0.3573,1w
2022-10-04,chop,down,up,0,4.4088,0.3333,1w
2022-10-13,chop,neutral,up,0,13.2528,0.4653,1w
2022-10-24,trending_bull,neutral,up,0,13.2043,0.492,1w
2022-11-02,chop,neutral,up,0,7.2348,0.5053,1w
2022-11-11,trending_bull,up,up,1,5.0049,0.7467,1w
2022-11-22,high_volatility,up,down,0,-4.6485,0.8253,1w
2022-12-02,trending_bull,up,down,0,-0.98,0.868,1w
2022-12-13,trending_bull,up,up,1,4.1135,0.872,1w
2022-12-22,high_volatility,up,up,1,5.0433,0.724,1w
2023-01-04,trending_bull,up,down,0,-1.9769,0.7533,1w
2023-01-13,high_volatility,up,down,0,-1.8111,0.7253,1w
2023-01-25,chop,up,up,1,4.3236,0.6987,1w
2023-02-03,crisis,neutral,up,0,6.2939,0.544,1w
2023-02-14,crisis,neutral,up,0,5.4031,0.48,1w
2023-02-24,chop,neutral,up,0,1.8155,0.5467,1w
2023-03-07,high_volatility,neutral,down,0,-2.8666,0.536,1w
2023-03-16,high_volatility,up,down,0,-2.2792,0.6173,1w
2023-03-27,high_volatility,up,down,0,-7.3448,0.668,1w
2023-04-05,chop,up,down,0,-9.9388,0.5507,1w
2023-04-17,chop,neutral,down,0,-8.834,0.5013,1w
2023-04-26,chop,down,down,1,-6.6079,0.424,1w
2023-05-05,high_volatility,down,down,1,-1.765,0.3653,1w
2023-05-16,trending_bear,down,up,0,1.5198,0.3053,1w
2023-05-25,trending_bear,down,up,0,6.7018,0.2253,1w
2023-06-06,chop,down,down,1,-1.4361,0.1867,1w
2023-06-15,chop,down,down,1,-4.4414,0.2627,1w
2023-06-27,chop,down,down,1,-0.7641,0.2413,1w
2023-07-07,chop,down,up,0,3.6559,0.2253,1w
2023-07-18,trending_bear,down,up,0,13.2319,0.256,1w
2023-07-27,chop,down,up,0,11.6419,0.3507,1w
2023-08-07,high_volatility,neutral,up,0,12.0951,0.4587,1w
2023-08-16,crisis,up,up,1,3.1224,0.6613,1w
2023-08-25,trending_bull,up,down,0,-1.1446,0.764,1w
2023-09-06,trending_bull,up,up,1,0.6487,0.7293,1w
2023-09-15,trending_bull,up,up,1,1.0556,0.7213,1w
2023-09-26,trending_bull,up,up,1,3.1547,0.668,1w
2023-10-05,chop,up,neutral,0,0.1253,0.7893,1w
2023-10-16,chop,up,up,1,11.355,0.8,1w
2023-10-25,chop,up,up,1,9.8746,0.76,1w
2023-11-03,high_volatility,up,up,1,10.6556,0.6947,1w
2023-11-14,crisis,up,down,0,-2.6301,0.7253,1w
2023-11-24,high_volatility,up,down,0,-2.4144,0.6573,1w
2023-12-05,trending_bull,up,down,0,-2.1947,0.6773,1w
2023-12-14,trending_bull,up,up,1,9.4602,0.5827,1w
2023-12-26,chop,up,up,1,7.6165,0.6173,1w
2024-01-05,chop,up,up,1,4.654,0.5907,1w
2024-01-17,chop,up,neutral,0,-0.0158,0.684,1w
2024-01-26,trending_bull,up,neutral,0,-0.227,0.7133,1w
2024-02-06,high_volatility,up,down,0,-2.7008,0.7013,1w
2024-02-15,trending_bull,up,up,1,4.2367,0.5613,1w
2024-02-27,trending_bull,up,up,1,5.3753,0.584,1w
2024-03-07,high_volatility,neutral,up,0,1.0395,0.4853,1w
2024-03-18,chop,up,up,1,1.598,0.76,1w
2024-03-27,trending_bull,up,up,1,1.8767,0.768,1w
2024-04-08,crisis,neutral,up,0,12.8939,0.524,1w
2024-04-17,high_volatility,up,up,1,17.2982,0.588,1w
2024-04-26,high_volatility,up,up,1,8.9886,0.632,1w
2024-05-07,crisis,up,up,1,3.6432,0.7227,1w
2024-05-16,high_volatility,up,up,1,6.8683,0.7693,1w
2024-05-28,chop,up,up,1,8.7801,0.7507,1w
2024-06-06,trending_bull,up,up,1,6.2613,0.7973,1w
2024-06-17,trending_bull,up,down,0,-2.6537,0.7947,1w
2024-06-27,trending_bull,up,down,0,-3.9538,0.772,1w
2024-07-09,trending_bull,up,down,0,-2.2116,0.848,1w
2024-07-18,chop,up,down,0,-5.1432,0.824,1w
2024-07-29,chop,up,down,0,-3.6786,0.704,1w
2024-08-07,chop,up,down,0,-4.2623,0.6053,1w
2024-08-16,high_volatility,down,down,1,-1.9026,0.3867,1w
2024-08-27,trending_bear,down,up,0,3.8917,0.4013,1w
2024-09-06,trending_bear,down,up,0,6.0254,0.428,1w
2024-09-17,trending_bear,down,up,0,4.8936,0.296,1w
2024-09-26,chop,down,up,0,4.0531,0.356,1w
2024-10-07,high_volatility,down,up,0,25.9398,0.424,1w
2024-10-16,chop,neutral,up,0,31.0994,0.4587,1w
2024-10-25,chop,neutral,up,0,29.592,0.548,1w
2024-11-05,crisis,up,down,0,-2.3518,0.7253,1w
2024-11-14,high_volatility,up,down,0,-4.1214,0.7973,1w
2024-11-25,trending_bull,up,down,0,-2.2991,0.8667,1w
