date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-13.0789,0.8253,1w
2021-01-13,crisis,up,down,0,-8.6422,0.6467,1w
2021-01-25,high_volatility,neutral,down,0,-11.1432,0.504,1w
2021-02-03,crisis,neutral,down,0,-4.4348,0.456,1w
2021-02-12,high_volatility,down,up,0,3.1769,0.4067,1w
2021-02-24,trending_bear,down,up,0,9.3608,0.304,1w
2021-03-05,trending_bear,down,up,0,6.4512,0.3893,1w
2021-03-16,trending_bear,down,up,0,12.3466,0.2747,1w
2021-03-25,chop,down,up,0,10.741,0.268,1w
2021-04-06,chop,down,down,1,-2.8452,0.3347,1w
2021-04-15,trending_bull,neutral,down,0,-11.0669,0.52,1w
2021-04-26,trending_bull,up,down,0,-3.9716,0.58,1w
2021-05-05,chop,neutral,up,0,1.5018,0.4707,1w
2021-05-14,high_volatility,neutral,down,0,-5.921,0.508,1w
2021-05-25,trending_bull,up,down,0,-9.6536,0.728,1w
2021-06-04,crisis,up,down,0,-5.4512,0.5587,1w
2021-06-15,crisis,down,up,0,8.2953,0.392,1w
2021-06-24,crisis,down,down,1,-1.9944,0.4453,1w
2021-07-06,high_volatility,down,up,0,3.918,0.344,1w
2021-07-15,chop,down,up,0,4.7751,0.296,1w
2021-07-26,chop,down,down,1,-0.8647,0.304,1w
2021-08-04,chop,down,down,1,-3.5604,0.424,1w
2021-08-13,chop,neutral,down,0,-8.1514,0.524,1w
2021-08-24,chop,down,down,1,-9.3644,0.3147,1w
2021-09-02,chop,down,down,1,-11.1796,0.376,1w
2021-09-14,chop,up,down,0,-22.5045,0.5827,1w
2021-09-23,trending_bear,down,down,1,-19.5692,0.2747,1w
2021-10-04,trending_bear,down,down,1,-12.0378,0.2213,1w
2021-10-13,trending_bear,down,up,0,5.7505,0.1133,1w
2021-10-22,trending_bear,down,up,0,13.6056,0.0827,1w
2021-11-02,trending_bear,down,up,0,9.9891,0.132,1w
2021-11-11,trending_bear,down,neutral,0,0.1851,0.1653,1w
2021-11-22,chop,down,down,1,-2.2588,0.22,1w
