date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.2419,0.2813,1w
2021-01-13,chop,down,up,0,3.6307,0.4093,1w
2021-01-25,chop,down,up,0,8.9666,0.3853,1w
2021-02-03,chop,down,down,1,-12.3741,0.4027,1w
2021-02-12,chop,neutral,down,0,-22.323,0.4787,1w
2021-02-24,chop,neutral,down,0,-9.4508,0.5173,1w
2021-03-05,chop,neutral,up,0,16.3668,0.492,1w
2021-03-16,trending_bear,down,up,0,2.6053,0.4173,1w
2021-03-25,chop,down,up,0,1.8929,0.3653,1w
2021-04-06,chop,down,down,1,-11.3982,0.4213,1w
2021-04-15,chop,down,down,1,-32.0349,0.3387,1w
2021-04-26,chop,down,down,1,-30.5614,0.4333,1w
2021-05-05,chop,down,down,1,-20.6994,0.3467,1w
2021-05-14,chop,down,down,1,-30.6022,0.1653,1w
2021-05-25,trending_bear,down,down,1,-17.9422,0.2013,1w
2021-06-04,trending_bear,down,down,1,-30.5699,0.3467,1w
2021-06-15,trending_bear,down,down,1,-8.5084,0.152,1w
2021-06-24,trending_bear,down,down,1,-15.3917,0.152,1w
2021-07-06,trending_bear,down,up,0,12.0137,0.1467,1w
2021-07-15,trending_bear,down,up,0,16.7756,0.1413,1w
2021-07-26,trending_bear,down,up,0,12.2353,0.172,1w
2021-08-04,chop,down,down,1,-4.1026,0.22,1w
2021-08-13,chop,down,down,1,-4.3884,0.3413,1w
2021-08-24,chop,down,down,1,-4.0796,0.3747,1w
2021-09-02,chop,down,down,1,-26.8943,0.2947,1w
2021-09-14,chop,neutral,down,0,-30.842,0.52,1w
2021-09-23,chop,down,down,1,-8.3799,0.404,1w
2021-10-04,chop,down,up,0,16.6237,0.3547,1w
2021-10-13,chop,down,up,0,37.7465,0.3707,1w
2021-10-22,chop,neutral,up,0,13.382,0.4613,1w
2021-11-02,chop,down,up,0,14.7296,0.432,1w
2021-11-11,chop,down,down,1,-12.9469,0.4253,1w
2021-11-22,chop,down,down,1,-10.4541,0.436,1w
2021-12-02,chop,neutral,down,0,-20.3,0.508,1w
2021-12-13,chop,down,up,0,15.376,0.3973,1w
2021-12-22,chop,down,up,0,35.533,0.4493,1w
2022-01-03,chop,neutral,up,0,37.7574,0.4947,1w
2022-01-12,chop,up,up,1,10.7517,0.724,1w
2022-01-24,trending_bull,up,neutral,0,0.0919,0.6587,1w
2022-02-02,trending_bull,up,down,0,-6.1864,0.6973,1w
2022-02-11,trending_bull,up,down,0,-26.5152,0.5733,1w
2022-02-23,trending_bull,up,down,0,-12.8423,0.5907,1w
2022-03-04,trending_bull,up,down,0,-9.3836,0.5733,1w
2022-03-15,trending_bear,neutral,up,0,6.3123,0.456,1w
2022-03-24,trending_bear,up,up,1,1.934,0.6133,1w
2022-04-04,chop,up,down,0,-2.795,0.584,1w
2022-04-13,chop,down,up,0,5.7436,0.3867,1w
2022-04-25,chop,down,up,0,21.8037,0.2947,1w
2022-05-04,chop,down,up,0,22.8771,0.252,1w
2022-05-13,chop,down,up,0,50.5792,0.344,1w
2022-05-24,chop,neutral,up,0,32.7273,0.48,1w
2022-06-03,chop,up,up,1,47.6899,0.5853,1w
2022-06-14,trending_bull,up,up,1,9.8635,0.868,1w
2022-06-24,trending_bull,up,up,1,11.0761,0.8507,1w
2022-07-06,crisis,up,down,0,-9.8739,0.9107,1w
2022-07-15,high_volatility,up,down,0,-8.9863,0.868,1w
2022-07-26,trending_bull,up,down,0,-13.7761,0.924,1w
2022-08-04,chop,up,down,0,-14.8004,0.8467,1w
2022-08-15,chop,up,down,0,-3.3993,0.8013,1w
2022-08-24,chop,up,down,0,-12.5786,0.7467,1w
2022-09-02,trending_bear,up,down,0,-15.1653,0.6267,1w
2022-09-14,trending_bear,down,down,1,-19.289,0.436,1w
2022-09-23,trending_bear,down,down,1,-16.7878,0.3267,1w
2022-10-04,trending_bear,down,down,1,-10.5263,0.12,1w
2022-10-13,chop,down,up,0,3.3981,0.0907,1w
2022-10-24,trending_bear,down,up,0,28.394,0.0733,1w
2022-11-02,trending_bear,down,up,0,30.2789,0.0893,1w
2022-11-11,chop,down,up,0,31.5335,0.2253,1w
2022-11-22,trending_bull,down,up,0,31.3671,0.376,1w
2022-12-02,trending_bull,neutral,up,0,2.1212,0.5293,1w
2022-12-13,trending_bull,up,down,0,-9.3184,0.6533,1w
2022-12-22,trending_bull,up,down,0,-11.4992,0.752,1w
2023-01-04,trending_bull,up,down,0,-8.6555,0.692,1w
2023-01-13,chop,up,down,0,-9.4306,0.752,1w
2023-01-25,chop,up,down,0,-6.633,0.7947,1w
2023-02-03,chop,up,neutral,0,0.2505,0.6973,1w
