date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,2.1134,0.3347,1w
2021-01-13,chop,down,up,0,2.0091,0.296,1w
2021-01-25,chop,down,down,1,-10.4346,0.2747,1w
2021-02-03,chop,down,down,1,-16.0981,0.388,1w
2021-02-12,chop,down,down,1,-37.0649,0.3453,1w
2021-02-24,chop,down,up,0,8.8596,0.3547,1w
2021-03-05,chop,down,up,0,2.9876,0.3893,1w
2021-03-16,trending_bear,down,up,0,6.7179,0.2347,1w
2021-03-25,chop,down,down,1,-37.6609,0.424,1w
2021-04-06,chop,down,down,1,-35.0156,0.3733,1w
2021-04-15,chop,down,down,1,-38.8602,0.2907,1w
2021-04-26,chop,down,down,1,-25.1482,0.2373,1w
2021-05-05,trending_bear,down,down,1,-24.1235,0.216,1w
2021-05-14,trending_bear,down,down,1,-28.6427,0.148,1w
2021-05-25,trending_bear,down,up,0,4.1144,0.2067,1w
2021-06-04,trending_bear,down,down,1,-17.2293,0.208,1w
2021-06-15,trending_bear,down,down,1,-40.1571,0.184,1w
2021-06-24,trending_bear,down,down,1,-53.4918,0.1373,1w
2021-07-06,chop,down,down,1,-31.0034,0.12,1w
2021-07-15,trending_bear,down,up,0,23.1448,0.068,1w
2021-07-26,trending_bear,down,up,0,22.3301,0.076,1w
2021-08-04,trending_bear,down,down,1,-14.7218,0.1453,1w
2021-08-13,trending_bear,down,down,1,-24.7017,0.2013,1w
2021-08-24,chop,down,down,1,-33.7407,0.228,1w
2021-09-02,chop,down,down,1,-19.4608,0.14,1w
2021-09-14,chop,down,down,1,-33.8211,0.216,1w
2021-09-23,chop,down,down,1,-12.2513,0.0867,1w
2021-10-04,chop,down,down,1,-3.7773,0.124,1w
2021-10-13,chop,down,down,1,-41.0843,0.2107,1w
2021-10-22,trending_bear,down,down,1,-49.2701,0.2773,1w
2021-11-02,chop,down,down,1,-1.5521,0.256,1w
2021-11-11,trending_bear,down,down,1,-11.6279,0.2173,1w
2021-11-22,trending_bear,down,up,0,30.5344,0.22,1w
2021-12-02,trending_bear,down,up,0,14.9254,0.2693,1w
2021-12-13,chop,down,down,1,-6.7138,0.296,1w
2021-12-22,chop,down,up,0,21.6017,0.3467,1w
2022-01-03,chop,down,up,0,73.025,0.3507,1w
2022-01-12,chop,down,up,0,26.8924,0.3813,1w
2022-01-24,chop,down,up,0,8.4545,0.4013,1w
2022-02-02,trending_bull,up,down,0,-40.625,0.6933,1w
2022-02-11,trending_bull,neutral,down,0,-48.3232,0.5013,1w
2022-02-23,trending_bull,up,down,0,-53.0756,0.656,1w
2022-03-04,chop,neutral,up,0,31.6456,0.5013,1w
2022-03-15,trending_bear,down,up,0,89.6142,0.2573,1w
2022-03-24,trending_bear,down,up,0,119.3182,0.2493,1w
2022-04-04,trending_bull,neutral,up,0,71.281,0.5387,1w
2022-04-13,trending_bull,neutral,down,0,-14.3713,0.5467,1w
2022-04-25,trending_bull,neutral,down,0,-7.225,0.4973,1w
2022-05-04,trending_bull,neutral,down,0,-8.6235,0.484,1w
2022-05-13,trending_bull,down,up,0,7.9395,0.4467,1w
2022-05-24,chop,neutral,up,0,10.1504,0.4827,1w
2022-06-03,chop,neutral,up,0,6.1261,0.52,1w
2022-06-14,chop,up,up,1,43.6508,0.6093,1w
2022-06-24,chop,up,up,1,51.5,0.676,1w
2022-07-06,chop,up,up,1,133.3333,0.5573,1w
2022-07-15,trending_bull,up,up,1,36.3269,0.5893,1w
2022-07-26,trending_bull,up,up,1,40.9138,0.62,1w
2022-08-04,trending_bull,up,up,1,17.5832,0.7973,1w
2022-08-15,trending_bull,up,up,1,49.7656,0.8307,1w
2022-08-24,high_volatility,up,up,1,7.3825,0.8373,1w
2022-09-02,crisis,up,down,0,-24.4496,0.9053,1w
2022-09-14,crisis,up,down,0,-42.3499,0.9107,1w
2022-09-23,high_volatility,up,down,0,-10.8961,0.82,1w
2022-10-04,crisis,up,up,1,5.5068,0.764,1w
2022-10-13,high_volatility,neutral,down,0,-40.4512,0.528,1w
2022-10-24,trending_bear,up,down,0,-34.1176,0.5907,1w
2022-11-02,chop,down,down,1,-36.1211,0.4213,1w
2022-11-11,crisis,down,down,1,-1.7401,0.3507,1w
2022-11-22,high_volatility,down,up,0,11.622,0.3547,1w
2022-12-02,chop,down,down,1,-9.7188,0.3213,1w
2022-12-13,chop,down,down,1,-26.3453,0.2933,1w
2022-12-22,chop,down,down,1,-35.7296,0.3733,1w
2023-01-04,chop,down,down,1,-1.4225,0.3507,1w
2023-01-13,chop,down,up,0,1.3975,0.3213,1w
2023-01-25,chop,down,up,0,23.0503,0.3067,1w
2023-02-03,chop,down,up,0,5.1515,0.312,1w
2023-02-14,chop,down,up,0,114.1802,0.344,1w
2023-02-24,chop,down,up,0,66.2592,0.4213,1w
2023-03-07,chop,down,up,0,84.2318,0.392,1w
2023-03-16,chop,up,down,0,-4.977,0.6267,1w
2023-03-27,crisis,up,down,0,-20.8675,0.5827,1w
2023-04-05,high_volatility,up,up,1,8.4939,0.656,1w
2023-04-17,trending_bull,up,down,0,-22.9885,0.6547,1w
2023-04-26,chop,up,down,0,-23.6393,0.6613,1w
2023-05-05,chop,up,down,0,-36.7943,0.6987,1w
2023-05-16,trending_bear,up,down,0,-9.2233,0.5653,1w
2023-05-25,trending_bear,neutral,down,0,-17.551,0.5173,1w
2023-06-06,chop,neutral,down,0,-11.1472,0.548,1w
2023-06-15,chop,down,up,0,8.0097,0.3493,1w
2023-06-27,chop,down,up,0,7.8144,0.248,1w
2023-07-07,chop,down,down,1,-9.1811,0.2693,1w
2023-07-18,chop,down,down,1,-55.4632,0.3507,1w
