date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.8077,0.5907,1w
2021-01-13,trending_bull,neutral,up,0,7.0381,0.548,1w
2021-01-25,trending_bull,neutral,up,0,26.8675,0.4907,1w
2021-02-03,chop,up,up,1,82.0218,0.6173,1w
2021-02-12,chop,up,up,1,22.103,0.6147,1w
2021-02-24,trending_bull,up,up,1,36.3551,0.7787,1w
2021-03-05,crisis,up,down,0,-8.9861,0.9373,1w
2021-03-16,crisis,up,up,1,9.606,0.7867,1w
2021-03-25,crisis,up,down,0,-28.1749,0.7947,1w
2021-04-06,high_volatility,up,down,0,-42.562,0.764,1w
2021-04-15,high_volatility,up,down,0,-54.6672,0.7107,1w
2021-04-26,crisis,up,down,0,-38.0149,0.6053,1w
2021-05-05,high_volatility,neutral,down,0,-18.8875,0.4653,1w
2021-05-14,trending_bear,down,down,1,-18.4519,0.2387,1w
2021-05-25,trending_bear,down,down,1,-40.1011,0.2267,1w
2021-06-04,trending_bear,down,down,1,-44.7049,0.128,1w
2021-06-15,trending_bear,down,down,1,-37.4884,0.144,1w
2021-06-24,trending_bear,down,down,1,-10.8479,0.0333,1w
2021-07-06,trending_bear,down,up,0,14.5138,0.0453,1w
2021-07-15,trending_bear,down,up,0,34.9582,0.0453,1w
2021-07-26,trending_bear,down,up,0,21.733,0.0893,1w
2021-08-04,trending_bear,down,down,1,-3.0263,0.1787,1w
2021-08-13,trending_bull,down,down,1,-6.8616,0.3467,1w
2021-08-24,chop,down,down,1,-28.5231,0.3067,1w
2021-09-02,chop,down,down,1,-15.0407,0.2253,1w
2021-09-14,chop,down,down,1,-15.6124,0.3467,1w
2021-09-23,chop,down,up,0,13.9496,0.3467,1w
2021-10-04,chop,down,up,0,9.6096,0.4253,1w
2021-10-13,chop,down,up,0,22.2734,0.4093,1w
2021-10-22,chop,neutral,up,0,25.6839,0.4653,1w
2021-11-02,chop,neutral,up,0,34.5038,0.4653,1w
2021-11-11,chop,down,down,1,-14.9789,0.4253,1w
2021-11-22,chop,down,down,1,-6.6049,0.448,1w
2021-12-02,chop,up,down,0,-13.9388,0.5573,1w
2021-12-13,chop,neutral,up,0,20.9302,0.5133,1w
2021-12-22,chop,up,up,1,42.0849,0.5987,1w
2022-01-03,chop,up,up,1,42.963,0.5773,1w
2022-01-12,trending_bull,up,up,1,2.0979,0.6667,1w
2022-01-24,trending_bull,up,down,0,-6.1594,0.724,1w
2022-02-02,trending_bull,up,up,1,12.7971,0.7413,1w
2022-02-11,trending_bull,neutral,down,0,-14.0417,0.524,1w
2022-02-23,chop,up,down,0,-15.6955,0.5893,1w
2022-03-04,chop,up,down,0,-20.4829,0.6413,1w
2022-03-15,chop,neutral,up,0,3.1659,0.5453,1w
2022-03-24,trending_bear,up,down,0,-11.6178,0.5773,1w
2022-04-04,chop,up,down,0,-14.1775,0.5867,1w
2022-04-13,chop,down,down,1,-20.829,0.4253,1w
2022-04-25,chop,down,down,1,-2.3227,0.2733,1w
2022-05-04,trending_bear,down,up,0,2.6538,0.256,1w
2022-05-13,trending_bear,down,up,0,27.8796,0.256,1w
2022-05-24,chop,down,up,0,9.3082,0.2747,1w
2022-06-03,chop,down,down,1,-2.9954,0.2333,1w
2022-06-14,chop,neutral,down,0,-7.943,0.5293,1w
2022-06-24,chop,down,up,0,1.7778,0.4173,1w
2022-07-06,chop,down,up,0,2.3729,0.3893,1w
2022-07-15,chop,down,down,1,-12.1622,0.416,1w
2022-07-26,chop,up,down,0,-17.6339,0.576,1w
2022-08-04,chop,neutral,down,0,-18.5792,0.548,1w
2022-08-15,chop,neutral,down,0,-2.3166,0.492,1w
2022-08-24,chop,down,down,1,-10.0275,0.4093,1w
2022-09-02,chop,down,down,1,-13.8889,0.3467,1w
2022-09-14,trending_bear,down,down,1,-13.4308,0.26,1w
2022-09-23,trending_bear,down,down,1,-7.2086,0.224,1w
2022-10-04,trending_bear,down,up,0,8.5851,0.2267,1w
2022-10-13,chop,down,up,0,2.2796,0.2173,1w
2022-10-24,chop,down,up,0,35.3448,0.172,1w
2022-11-02,chop,down,up,0,19.9418,0.248,1w
2022-11-11,chop,down,up,0,13.9442,0.3547,1w
2022-11-22,trending_bull,neutral,up,0,59.1195,0.5387,1w
2022-12-02,trending_bull,neutral,up,0,42.2425,0.5453,1w
2022-12-13,trending_bull,up,up,1,11.1932,0.58,1w
2022-12-22,trending_bull,up,down,0,-11.1111,0.852,1w
2023-01-04,trending_bull,up,down,0,-5.5708,0.7907,1w
2023-01-13,high_volatility,up,neutral,0,-0.4762,0.752,1w
2023-01-25,trending_bull,up,down,0,-13.4715,0.8307,1w
2023-02-03,trending_bull,up,up,1,2.4505,0.728,1w
2023-02-14,chop,up,up,1,12.9213,0.684,1w
2023-02-24,chop,up,up,1,36.0194,0.6187,1w
2023-03-07,chop,up,up,1,46.7487,0.6987,1w
2023-03-16,chop,up,up,1,42.6243,0.6467,1w
2023-03-27,high_volatility,up,up,1,19.1475,0.568,1w
2023-04-05,crisis,up,up,1,1.8139,0.768,1w
2023-04-17,crisis,up,neutral,0,0.3427,0.8347,1w
2023-04-26,crisis,up,neutral,0,-0.1113,0.7933,1w
2023-05-05,crisis,up,down,0,-3.8177,0.8427,1w
2023-05-16,high_volatility,up,down,0,-11.4983,0.864,1w
2023-05-25,high_volatility,up,down,0,-12.54,0.8827,1w
2023-06-06,crisis,up,up,1,19.0647,0.7693,1w
2023-06-15,high_volatility,up,up,1,23.868,0.656,1w
2023-06-27,chop,up,down,0,-3.0798,0.5733,1w
2023-07-07,crisis,up,down,0,-31.4209,0.5907,1w
2023-07-18,crisis,neutral,down,0,-21.6638,0.5467,1w
2023-07-27,high_volatility,down,up,0,4.2838,0.3707,1w
2023-08-07,high_volatility,down,up,0,5.533,0.2747,1w
2023-08-16,trending_bear,down,up,0,3.9531,0.3267,1w
2023-08-25,chop,down,down,1,-2.5374,0.3653,1w
2023-09-06,chop,down,up,0,31.9835,0.32,1w
2023-09-15,chop,down,up,0,19.5189,0.4213,1w
2023-09-26,chop,down,up,0,9.0965,0.436,1w
2023-10-05,chop,down,up,0,10.3839,0.376,1w
2023-10-16,chop,neutral,up,0,16.8267,0.48,1w
2023-10-25,chop,up,up,1,23.1654,0.5893,1w
2023-11-03,chop,up,up,1,12.8741,0.7307,1w
2023-11-14,high_volatility,up,down,0,-1.1837,0.7413,1w
2023-11-24,high_volatility,up,down,0,-18.2014,0.728,1w
2023-12-05,crisis,up,down,0,-21.9064,0.904,1w
2023-12-14,high_volatility,up,up,1,1.4209,0.7307,1w
2023-12-26,trending_bear,up,down,0,-9.584,0.5907,1w
2024-01-05,trending_bear,up,neutral,0,-0.266,0.5907,1w
2024-01-17,chop,up,up,1,5.3063,0.5907,1w
2024-01-26,high_volatility,down,up,0,6.5457,0.4253,1w
2024-02-06,chop,down,down,1,-11.1825,0.376,1w
2024-02-15,crisis,neutral,down,0,-5.3263,0.5013,1w
2024-02-27,crisis,down,down,1,-2.0581,0.3653,1w
2024-03-07,crisis,down,down,1,-24.3512,0.2667,1w
2024-03-18,high_volatility,neutral,down,0,-22.4764,0.4587,1w
2024-03-27,chop,neutral,down,0,-9.375,0.4653,1w
