date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-19.7099,0.536,1w
2021-01-13,chop,down,down,1,-10.4041,0.4413,1w
2021-01-25,chop,down,up,0,5.0282,0.3027,1w
2021-02-03,chop,down,up,0,5.5615,0.2667,1w
2021-02-12,chop,down,neutral,0,0.0823,0.2493,1w
2021-02-24,chop,down,up,0,2.3079,0.328,1w
2021-03-05,chop,down,up,0,5.3793,0.376,1w
2021-03-16,chop,down,down,1,-5.4177,0.3387,1w
2021-03-25,chop,down,down,1,-12.0425,0.3733,1w
2021-04-06,chop,down,down,1,-9.2556,0.3893,1w
2021-04-15,chop,down,down,1,-9.2439,0.3467,1w
2021-04-26,chop,down,down,1,-6.646,0.4253,1w
2021-05-05,chop,neutral,neutral,0,0.0262,0.4653,1w
2021-05-14,chop,down,down,1,-5.2982,0.376,1w
2021-05-25,chop,down,up,0,2.5228,0.3387,1w
2021-06-04,chop,down,down,1,-8.2991,0.436,1w
2021-06-15,chop,down,up,0,3.9454,0.3467,1w
2021-06-24,chop,down,up,0,2.4383,0.2987,1w
2021-07-06,chop,down,up,0,11.9828,0.2933,1w
2021-07-15,chop,down,neutral,0,0.3801,0.4093,1w
2021-07-26,chop,neutral,down,0,-11.391,0.4653,1w
2021-08-04,chop,neutral,down,0,-28.8348,0.4933,1w
2021-08-13,chop,neutral,down,0,-20.2266,0.468,1w
2021-08-24,chop,down,down,1,-12.4596,0.4147,1w
2021-09-02,trending_bear,down,down,1,-2.313,0.2413,1w
2021-09-14,trending_bear,down,down,1,-12.1449,0.3347,1w
2021-09-23,trending_bear,down,down,1,-1.7709,0.2573,1w
2021-10-04,trending_bear,down,down,1,-2.1201,0.2453,1w
2021-10-13,trending_bear,down,up,0,9.4757,0.2173,1w
2021-10-22,trending_bear,down,up,0,3.7568,0.2333,1w
2021-11-02,chop,down,up,0,1.6758,0.208,1w
2021-11-11,chop,down,down,1,-1.6955,0.2747,1w
2021-11-22,chop,down,down,1,-0.6972,0.3467,1w
