date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,up,1,5.4824,0.6667,1w
2021-01-13,high_volatility,up,up,1,8.6303,0.6387,1w
2021-01-25,crisis,up,up,1,8.4256,0.5907,1w
2021-02-03,crisis,up,up,1,17.2771,0.7427,1w
2021-02-12,crisis,up,up,1,24.1889,0.6213,1w
2021-02-24,crisis,up,up,1,39.0843,0.5987,1w
2021-03-05,crisis,up,up,1,9.3589,0.8133,1w
2021-03-16,crisis,up,up,1,15.7706,0.8453,1w
2021-03-25,crisis,up,down,0,-8.891,0.7693,1w
2021-04-06,crisis,up,down,0,-1.0615,0.752,1w
2021-04-15,high_volatility,up,down,0,-9.5221,0.8427,1w
2021-04-26,high_volatility,up,up,1,7.466,0.7533,1w
2021-05-05,high_volatility,up,down,0,-4.0409,0.7373,1w
2021-05-14,crisis,up,down,0,-16.8207,0.6933,1w
2021-05-25,crisis,up,down,0,-19.4966,0.7253,1w
2021-06-04,high_volatility,neutral,down,0,-12.8416,0.5387,1w
2021-06-15,chop,down,down,1,-13.5121,0.3893,1w
2021-06-24,high_volatility,down,up,0,8.3533,0.248,1w
2021-07-06,chop,down,up,0,15.9469,0.3013,1w
2021-07-15,chop,down,up,0,24.1041,0.2267,1w
2021-07-26,chop,down,up,0,21.1037,0.428,1w
2021-08-04,chop,down,up,0,3.808,0.4253,1w
2021-08-13,trending_bull,neutral,down,0,-2.4164,0.4853,1w
2021-08-24,trending_bull,up,down,0,-9.7511,0.568,1w
2021-09-02,trending_bull,neutral,down,0,-6.1389,0.5453,1w
2021-09-14,chop,neutral,down,0,-0.5238,0.5467,1w
2021-09-23,chop,up,up,1,14.4791,0.684,1w
2021-10-04,chop,up,up,1,2.608,0.6493,1w
2021-10-13,chop,up,up,1,1.3641,0.6613,1w
2021-10-22,chop,up,down,0,-0.9206,0.628,1w
2021-11-02,chop,up,up,1,0.8479,0.5573,1w
2021-11-11,chop,neutral,down,0,-3.6223,0.524,1w
2021-11-22,high_volatility,down,down,1,-14.7246,0.396,1w
2021-12-02,chop,down,down,1,-21.4963,0.4467,1w
2021-12-13,chop,down,down,1,-11.7575,0.428,1w
2021-12-22,chop,neutral,down,0,-5.5173,0.4707,1w
2022-01-03,trending_bear,down,up,0,3.1792,0.2347,1w
2022-01-12,trending_bear,down,neutral,0,-0.0691,0.2613,1w
2022-01-24,trending_bear,down,up,0,3.4852,0.248,1w
2022-02-02,chop,down,up,0,0.5562,0.2547,1w
2022-02-11,chop,down,down,1,-15.2578,0.2733,1w
2022-02-23,chop,down,down,1,-19.0326,0.1787,1w
2022-03-04,chop,down,down,1,-12.4053,0.2067,1w
2022-03-15,chop,down,up,0,5.5023,0.1413,1w
2022-03-24,trending_bear,down,up,0,3.5357,0.1653,1w
2022-04-04,trending_bear,down,down,1,-4.2236,0.2973,1w
2022-04-13,chop,down,down,1,-13.2252,0.304,1w
2022-04-25,chop,down,down,1,-7.5029,0.2813,1w
2022-05-04,chop,down,down,1,-7.7506,0.2253,1w
2022-05-13,chop,down,up,0,4.4201,0.184,1w
2022-05-24,trending_bear,down,up,0,9.6461,0.168,1w
2022-06-03,trending_bear,down,up,0,3.7476,0.1733,1w
2022-06-14,chop,down,up,0,5.4937,0.376,1w
2022-06-24,chop,neutral,up,0,16.5263,0.4773,1w
2022-07-06,chop,down,up,0,13.0689,0.3947,1w
2022-07-15,chop,down,up,0,1.5563,0.3973,1w
2022-07-26,trending_bull,up,down,0,-9.2659,0.656,1w
2022-08-04,trending_bull,up,up,1,3.0879,0.6987,1w
2022-08-15,trending_bull,up,up,1,9.4084,0.7173,1w
2022-08-24,chop,up,up,1,16.7981,0.6733,1w
2022-09-02,chop,up,up,1,1.2218,0.764,1w
2022-09-14,chop,up,up,1,2.9842,0.728,1w
2022-09-23,trending_bull,up,down,0,-5.6032,0.752,1w
2022-10-04,trending_bull,up,down,0,-0.9007,0.668,1w
2022-10-13,chop,up,down,0,-5.3012,0.6173,1w
2022-10-24,chop,down,down,1,-5.051,0.4493,1w
2022-11-02,chop,neutral,down,0,-8.9738,0.4693,1w
2022-11-11,chop,neutral,down,0,-4.772,0.524,1w
2022-11-22,chop,neutral,up,0,2.6672,0.5293,1w
2022-12-02,chop,down,up,0,10.8167,0.332,1w
2022-12-13,chop,down,down,1,-0.9235,0.36,1w
2022-12-22,chop,down,down,1,-4.5877,0.3813,1w
2023-01-04,chop,neutral,down,0,-6.2115,0.4707,1w
2023-01-13,chop,down,up,0,3.8114,0.296,1w
2023-01-25,chop,down,up,0,4.4852,0.376,1w
2023-02-03,chop,down,up,0,7.8448,0.344,1w
2023-02-14,chop,down,up,0,8.6198,0.4093,1w
2023-02-24,chop,neutral,up,0,2.5445,0.5213,1w
2023-03-07,chop,up,up,1,1.4664,0.6747,1w
2023-03-16,trending_bull,up,down,0,-9.572,0.6387,1w
2023-03-27,trending_bull,neutral,down,0,-3.1957,0.5013,1w
2023-04-05,trending_bull,up,down,0,-6.6174,0.5747,1w
2023-04-17,chop,neutral,down,0,-3.1784,0.536,1w
2023-04-26,chop,neutral,down,0,-2.4557,0.528,1w
2023-05-05,chop,down,up,0,3.1616,0.428,1w
2023-05-16,chop,down,down,1,-5.2509,0.424,1w
2023-05-25,chop,down,down,1,-3.1635,0.4227,1w
2023-06-06,chop,down,down,1,-10.2458,0.344,1w
2023-06-15,chop,down,down,1,-1.5536,0.2413,1w
2023-06-27,chop,down,neutral,0,0.3745,0.356,1w
2023-07-07,chop,down,up,0,5.0523,0.256,1w
