date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-7.8276,0.26,1w
2021-01-13,chop,down,down,1,-1.215,0.256,1w
2021-01-25,trending_bear,down,up,0,3.183,0.1413,1w
2021-02-03,trending_bear,down,down,1,-6.4008,0.2627,1w
2021-02-12,chop,down,down,1,-6.3814,0.26,1w
2021-02-24,chop,down,down,1,-1.8594,0.2853,1w
2021-03-05,chop,down,up,0,2.1366,0.216,1w
2021-03-16,high_volatility,down,down,1,-3.521,0.3507,1w
2021-03-25,trending_bear,down,down,1,-8.5729,0.2413,1w
2021-04-06,trending_bear,down,down,1,-24.2669,0.2413,1w
2021-04-15,trending_bear,down,down,1,-17.2724,0.2827,1w
2021-04-26,high_volatility,down,down,1,-6.5684,0.292,1w
2021-05-05,crisis,down,up,0,11.1255,0.1093,1w
2021-05-14,crisis,down,down,1,-3.5894,0.184,1w
2021-05-25,high_volatility,down,down,1,-4.9873,0.248,1w
2021-06-04,chop,down,down,1,-2.0058,0.3467,1w
2021-06-15,chop,down,up,0,3.7126,0.2187,1w
2021-06-24,trending_bear,down,up,0,3.4246,0.256,1w
2021-07-06,chop,down,down,1,-4.126,0.2973,1w
2021-07-15,chop,down,neutral,0,0.3189,0.2747,1w
2021-07-26,chop,down,down,1,-9.8015,0.4013,1w
2021-08-04,chop,neutral,down,0,-8.5145,0.48,1w
2021-08-13,chop,neutral,down,0,-19.5521,0.4907,1w
2021-08-24,chop,down,down,1,-22.1865,0.3467,1w
2021-09-02,chop,down,down,1,-21.3366,0.288,1w
2021-09-14,trending_bear,down,down,1,-20.4617,0.2947,1w
2021-09-23,trending_bear,down,up,0,2.7172,0.1387,1w
2021-10-04,trending_bear,down,up,0,8.6626,0.128,1w
2021-10-13,trending_bear,down,up,0,14.4873,0.0907,1w
2021-10-22,trending_bear,down,up,0,9.4728,0.1467,1w
2021-11-02,trending_bear,down,up,0,12.0691,0.216,1w
2021-11-11,chop,down,down,1,-2.5355,0.22,1w
2021-11-22,chop,down,down,1,-16.6541,0.312,1w
2021-12-02,chop,down,down,1,-13.0154,0.416,1w
2021-12-13,chop,neutral,down,0,-1.8361,0.4693,1w
2021-12-22,chop,neutral,up,0,21.0417,0.4707,1w
2022-01-03,chop,neutral,up,0,16.4548,0.5053,1w
2022-01-12,chop,up,up,1,3.0015,0.6173,1w
2022-01-24,trending_bull,up,down,0,-5.0847,0.6067,1w
2022-02-02,trending_bull,up,down,0,-9.1533,0.62,1w
2022-02-11,trending_bull,neutral,down,0,-14.5428,0.4907,1w
2022-02-23,chop,neutral,down,0,-8.2335,0.4653,1w
2022-03-04,chop,down,down,1,-2.719,0.4093,1w
2022-03-15,trending_bear,down,down,1,-1.4288,0.3467,1w
2022-03-24,trending_bear,up,down,0,-7.01,0.5587,1w
2022-04-04,trending_bear,down,down,1,-1.229,0.4267,1w
2022-04-13,trending_bear,down,down,1,-0.8521,0.2747,1w
2022-04-25,trending_bear,down,up,0,3.3091,0.1653,1w
2022-05-04,trending_bear,down,down,1,-4.5433,0.2667,1w
2022-05-13,chop,down,neutral,0,-0.0268,0.268,1w
2022-05-24,chop,down,up,0,5.387,0.296,1w
2022-06-03,chop,down,up,0,13.0,0.376,1w
2022-06-14,trending_bear,down,up,0,9.3219,0.412,1w
2022-06-24,trending_bear,down,up,0,11.5109,0.412,1w
2022-07-06,trending_bull,neutral,up,0,12.6149,0.54,1w
2022-07-15,trending_bull,up,up,1,10.5978,0.58,1w
2022-07-26,trending_bull,up,up,1,2.7432,0.7333,1w
2022-08-04,trending_bull,up,down,0,-2.4891,0.7427,1w
2022-08-15,trending_bull,up,up,1,5.2956,0.8467,1w
2022-08-24,trending_bull,up,up,1,5.5761,0.872,1w
2022-09-02,trending_bull,up,up,1,3.062,0.784,1w
2022-09-14,chop,up,neutral,0,0.2947,0.8533,1w
2022-09-23,chop,up,up,1,0.5738,0.812,1w
2022-10-04,chop,up,down,0,-4.4374,0.724,1w
2022-10-13,chop,up,down,0,-10.571,0.7253,1w
2022-10-24,chop,up,down,0,-4.3542,0.588,1w
2022-11-02,trending_bear,down,down,1,-4.9915,0.4427,1w
2022-11-11,trending_bear,down,down,1,-8.5551,0.4013,1w
2022-11-22,trending_bear,down,down,1,-5.8706,0.424,1w
2022-12-02,trending_bear,down,up,0,3.1147,0.3893,1w
2022-12-13,trending_bear,down,down,1,-4.0556,0.2693,1w
2022-12-22,trending_bear,down,down,1,-5.2452,0.324,1w
2023-01-04,chop,down,down,1,-18.4175,0.296,1w
2023-01-13,trending_bear,down,down,1,-20.0312,0.2253,1w
2023-01-25,trending_bear,down,down,1,-22.3911,0.2973,1w
2023-02-03,crisis,down,down,1,-4.8057,0.1867,1w
2023-02-14,trending_bear,down,down,1,-1.1865,0.1707,1w
2023-02-24,trending_bear,down,down,1,-0.7276,0.2013,1w
2023-03-07,trending_bear,down,down,1,-5.1454,0.224,1w
2023-03-16,trending_bear,down,down,1,-13.036,0.2253,1w
2023-03-27,chop,down,down,1,-11.7236,0.212,1w
2023-04-05,trending_bear,down,down,1,-0.5786,0.1867,1w
2023-04-17,trending_bear,down,up,0,5.325,0.1867,1w
2023-04-26,trending_bear,down,up,0,6.618,0.1653,1w
2023-05-05,trending_bear,down,up,0,3.7687,0.3613,1w
2023-05-16,chop,down,neutral,0,-0.4612,0.3467,1w
2023-05-25,chop,down,up,0,7.4313,0.3627,1w
2023-06-06,chop,down,up,0,4.0092,0.4293,1w
2023-06-15,chop,down,up,0,15.5097,0.3347,1w
2023-06-27,trending_bull,down,up,0,24.9941,0.448,1w
2023-07-07,trending_bull,up,up,1,21.3909,0.5693,1w
2023-07-18,trending_bull,up,up,1,9.4456,0.8013,1w
2023-07-27,crisis,up,down,0,-5.8273,0.8093,1w
2023-08-07,high_volatility,up,down,0,-6.5435,0.752,1w
2023-08-16,trending_bull,up,down,0,-2.8134,0.724,1w
2023-08-25,chop,up,down,0,-12.8281,0.7373,1w
2023-09-06,chop,up,neutral,0,-0.339,0.6493,1w
2023-09-15,chop,up,down,0,-2.1836,0.6627,1w
2023-09-26,chop,neutral,up,0,4.7349,0.5453,1w
2023-10-05,chop,up,up,1,15.7932,0.584,1w
2023-10-16,chop,neutral,up,0,23.015,0.504,1w
2023-10-25,chop,down,up,0,15.5565,0.256,1w
