date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-3.5397,0.728,1w
2021-01-13,trending_bull,up,down,0,-3.5639,0.7653,1w
2021-01-25,trending_bull,up,down,0,-3.6757,0.6267,1w
2021-02-03,high_volatility,up,up,1,3.3866,0.5613,1w
2021-02-12,crisis,up,neutral,0,-0.101,0.5653,1w
2021-02-24,chop,up,up,1,6.4589,0.588,1w
2021-03-05,chop,up,up,1,2.3942,0.76,1w
2021-03-16,chop,up,up,1,9.3273,0.5587,1w
2021-03-25,chop,up,up,1,5.3531,0.5853,1w
2021-04-06,chop,up,up,1,2.0763,0.5573,1w
2021-04-15,chop,up,neutral,0,0.4016,0.5827,1w
2021-04-26,trending_bull,up,up,1,3.5422,0.588,1w
2021-05-05,chop,up,up,1,3.0352,0.588,1w
2021-05-14,crisis,up,down,0,-6.1365,0.68,1w
2021-05-25,crisis,up,down,0,-1.566,0.7,1w
2021-06-04,high_volatility,up,up,1,4.7341,0.6027,1w
2021-06-15,high_volatility,neutral,up,0,7.8141,0.5293,1w
2021-06-24,crisis,up,up,1,2.8288,0.58,1w
2021-07-06,crisis,up,neutral,0,0.2398,0.6013,1w
2021-07-15,crisis,neutral,up,0,6.1326,0.5027,1w
2021-07-26,high_volatility,up,up,1,4.1844,0.58,1w
2021-08-04,chop,up,up,1,2.8347,0.5693,1w
2021-08-13,chop,up,down,0,-1.007,0.656,1w
2021-08-24,chop,up,down,0,-1.6465,0.6027,1w
2021-09-02,chop,up,neutral,0,0.2233,0.6933,1w
2021-09-14,chop,up,up,1,1.5066,0.752,1w
2021-09-23,chop,up,up,1,8.4854,0.5933,1w
2021-10-04,chop,up,up,1,10.9549,0.584,1w
2021-10-13,chop,up,up,1,8.6346,0.58,1w
2021-10-22,high_volatility,up,up,1,2.717,0.6667,1w
2021-11-02,trending_bull,up,up,1,0.8072,0.764,1w
2021-11-11,crisis,up,up,1,12.0616,0.692,1w
2021-11-22,high_volatility,up,up,1,4.6827,0.62,1w
2021-12-02,chop,up,down,0,-1.4107,0.6747,1w
2021-12-13,trending_bull,up,down,0,-6.0651,0.764,1w
2021-12-22,chop,up,down,0,-7.2882,0.7653,1w
2022-01-03,chop,up,down,0,-2.8263,0.6333,1w
2022-01-12,trending_bear,neutral,down,0,-4.9807,0.5453,1w
2022-01-24,trending_bear,neutral,down,0,-6.0397,0.4773,1w
2022-02-02,chop,down,down,1,-1.4081,0.3507,1w
2022-02-11,trending_bear,down,down,1,-9.3006,0.4213,1w
2022-02-23,chop,down,down,1,-11.0325,0.296,1w
2022-03-04,chop,down,down,1,-8.9379,0.216,1w
2022-03-15,trending_bear,down,down,1,-5.5861,0.1227,1w
2022-03-24,trending_bear,down,down,1,-3.0827,0.1027,1w
2022-04-04,trending_bear,down,down,1,-8.3459,0.1533,1w
2022-04-13,trending_bear,down,neutral,0,-0.259,0.1653,1w
2022-04-25,trending_bear,down,up,0,0.6407,0.1467,1w
2022-05-04,trending_bear,down,up,0,0.7671,0.164,1w
2022-05-13,chop,down,up,0,3.7305,0.2307,1w
2022-05-24,chop,down,up,0,12.4014,0.2253,1w
2022-06-03,chop,down,up,0,6.003,0.3547,1w
2022-06-14,chop,down,up,0,4.3304,0.4067,1w
2022-06-24,chop,up,up,1,5.3988,0.5667,1w
2022-07-06,trending_bull,up,up,1,3.4137,0.5587,1w
2022-07-15,trending_bull,up,up,1,1.5694,0.6053,1w
2022-07-26,trending_bull,up,down,0,-3.5423,0.7253,1w
2022-08-04,trending_bull,up,down,0,-4.0522,0.6373,1w
2022-08-15,chop,up,down,0,-1.5175,0.6947,1w
2022-08-24,chop,up,up,1,5.882,0.6933,1w
2022-09-02,chop,up,up,1,3.4285,0.5747,1w
2022-09-14,chop,up,up,1,7.7219,0.56,1w
2022-09-23,chop,up,up,1,5.6055,0.5853,1w
2022-10-04,chop,neutral,up,0,11.754,0.52,1w
2022-10-13,chop,up,down,0,-5.77,0.5987,1w
2022-10-24,trending_bull,neutral,down,0,-5.1268,0.5467,1w
2022-11-02,trending_bull,up,down,0,-15.3678,0.6467,1w
2022-11-11,chop,neutral,up,0,2.9292,0.5013,1w
2022-11-22,trending_bear,neutral,up,0,4.0442,0.5387,1w
2022-12-02,crisis,down,up,0,18.7912,0.3787,1w
2022-12-13,high_volatility,neutral,up,0,2.7793,0.5293,1w
2022-12-22,trending_bull,neutral,down,0,-0.5164,0.512,1w
2023-01-04,trending_bull,up,up,1,2.4491,0.5573,1w
2023-01-13,trending_bull,neutral,up,0,9.7672,0.456,1w
2023-01-25,trending_bull,neutral,up,0,14.9385,0.456,1w
2023-02-03,chop,neutral,up,0,4.1695,0.512,1w
2023-02-14,trending_bull,up,up,1,4.2215,0.6413,1w
2023-02-24,trending_bull,up,up,1,5.4244,0.6667,1w
2023-03-07,trending_bull,up,up,1,5.7507,0.772,1w
2023-03-16,trending_bull,up,down,0,-1.6391,0.7893,1w
2023-03-27,trending_bull,up,down,0,-2.4302,0.8213,1w
2023-04-05,trending_bull,up,down,0,-4.3494,0.7933,1w
2023-04-17,trending_bull,up,down,0,-0.809,0.7453,1w
2023-04-26,chop,up,down,0,-6.167,0.872,1w
2023-05-05,chop,up,down,0,-3.2144,0.5987,1w
2023-05-16,chop,neutral,down,0,-1.3553,0.492,1w
2023-05-25,trending_bear,down,up,0,1.7285,0.376,1w
2023-06-06,trending_bear,down,down,1,-4.1816,0.3787,1w
2023-06-15,trending_bear,down,up,0,3.2525,0.2947,1w
2023-06-27,chop,down,up,0,2.8401,0.2453,1w
2023-07-07,trending_bear,down,neutral,0,0.2802,0.208,1w
2023-07-18,chop,down,down,1,-1.1218,0.4467,1w
2023-07-27,chop,down,up,0,2.1354,0.3787,1w
2023-08-07,crisis,down,up,0,8.351,0.3507,1w
2023-08-16,chop,down,up,0,7.5779,0.4467,1w
2023-08-25,chop,up,down,0,-1.0423,0.588,1w
2023-09-06,trending_bull,up,down,0,-3.3353,0.576,1w
2023-09-15,chop,up,down,0,-2.0745,0.6613,1w
2023-09-26,chop,up,down,0,-7.7538,0.5573,1w
