date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-2.6303,0.788,1w
2021-01-13,trending_bull,up,down,0,-3.2785,0.7107,1w
2021-01-25,trending_bull,up,down,0,-5.7607,0.736,1w
2021-02-03,crisis,up,down,0,-6.5217,0.6573,1w
2021-02-12,high_volatility,neutral,down,0,-7.0036,0.52,1w
2021-02-24,trending_bear,neutral,down,0,-6.3708,0.5053,1w
2021-03-05,crisis,neutral,down,0,-1.2151,0.524,1w
2021-03-16,crisis,down,up,0,7.299,0.2413,1w
2021-03-25,crisis,down,up,0,10.7612,0.2253,1w
2021-04-06,trending_bear,down,down,1,-2.1715,0.2493,1w
2021-04-15,trending_bull,down,down,1,-3.6859,0.412,1w
2021-04-26,trending_bull,down,down,1,-6.4662,0.3973,1w
2021-05-05,crisis,down,up,0,2.9481,0.2747,1w
2021-05-14,high_volatility,down,down,1,-2.8189,0.4173,1w
2021-05-25,crisis,down,up,0,0.9728,0.4173,1w
2021-06-04,high_volatility,neutral,up,0,2.6226,0.516,1w
2021-06-15,chop,neutral,up,0,5.48,0.4907,1w
2021-06-24,high_volatility,up,down,0,-2.5568,0.6,1w
2021-07-06,high_volatility,up,up,1,1.1191,0.58,1w
2021-07-15,chop,down,up,0,3.365,0.4013,1w
2021-07-26,chop,down,up,0,3.0944,0.376,1w
2021-08-04,chop,up,down,0,-1.3475,0.588,1w
2021-08-13,chop,neutral,down,0,-7.1517,0.52,1w
2021-08-24,chop,up,down,0,-6.963,0.5573,1w
2021-09-02,chop,neutral,down,0,-9.0316,0.4933,1w
2021-09-14,chop,neutral,down,0,-9.1375,0.5013,1w
2021-09-23,trending_bear,down,down,1,-4.7514,0.2987,1w
2021-10-04,trending_bear,down,up,0,3.3216,0.1867,1w
2021-10-13,trending_bear,down,up,0,6.2728,0.2093,1w
2021-10-22,trending_bear,down,up,0,6.8037,0.2667,1w
2021-11-02,chop,down,up,0,6.8435,0.2613,1w
2021-11-11,chop,down,up,0,5.4178,0.292,1w
2021-11-22,chop,down,up,0,3.4307,0.3507,1w
2021-12-02,chop,neutral,up,0,1.2281,0.4533,1w
2021-12-13,chop,up,down,0,-2.4254,0.5507,1w
2021-12-22,chop,up,down,0,-3.6105,0.58,1w
2022-01-03,trending_bull,up,down,0,-6.8386,0.724,1w
2022-01-12,chop,up,down,0,-4.6449,0.68,1w
2022-01-24,chop,up,down,0,-2.7847,0.6107,1w
2022-02-02,trending_bear,neutral,down,0,-1.3461,0.4987,1w
2022-02-11,trending_bear,down,neutral,0,-0.3416,0.4333,1w
2022-02-23,trending_bear,down,neutral,0,0.3965,0.3787,1w
2022-03-04,chop,down,up,0,4.5175,0.3147,1w
2022-03-15,chop,down,up,0,3.6189,0.2947,1w
2022-03-24,chop,down,up,0,5.4572,0.296,1w
2022-04-04,chop,down,up,0,7.8905,0.3213,1w
2022-04-13,chop,down,up,0,7.7915,0.392,1w
2022-04-25,chop,neutral,neutral,0,-0.2608,0.528,1w
2022-05-04,trending_bull,up,down,0,-5.3853,0.7013,1w
2022-05-13,trending_bull,up,down,0,-6.6238,0.7467,1w
2022-05-24,trending_bear,up,up,1,0.5115,0.5907,1w
2022-06-03,trending_bear,up,up,1,1.7732,0.6573,1w
2022-06-14,trending_bear,up,down,0,-1.5886,0.5693,1w
2022-06-24,chop,up,up,1,3.5953,0.5733,1w
2022-07-06,chop,neutral,up,0,1.524,0.5253,1w
2022-07-15,chop,neutral,down,0,-0.9602,0.456,1w
2022-07-26,chop,neutral,down,0,-4.9151,0.5133,1w
2022-08-04,chop,down,down,1,-5.3576,0.2813,1w
2022-08-15,chop,down,down,1,-1.29,0.2253,1w
2022-08-24,chop,down,down,1,-2.1807,0.3267,1w
2022-09-02,chop,down,down,1,-2.4336,0.32,1w
2022-09-14,chop,down,down,1,-3.034,0.3027,1w
2022-09-23,chop,down,up,0,1.8345,0.296,1w
2022-10-04,chop,down,up,0,8.6961,0.2253,1w
2022-10-13,trending_bear,down,up,0,5.9617,0.248,1w
2022-10-24,chop,down,up,0,5.2717,0.288,1w
2022-11-02,chop,down,up,0,5.56,0.3787,1w
2022-11-11,chop,neutral,up,0,3.5612,0.524,1w
2022-11-22,chop,up,up,1,1.5393,0.5907,1w
2022-12-02,trending_bull,up,up,1,3.4243,0.7133,1w
2022-12-13,trending_bull,up,up,1,5.4543,0.7,1w
2022-12-22,chop,up,up,1,3.372,0.692,1w
2023-01-04,chop,up,up,1,5.7669,0.8107,1w
2023-01-13,trending_bull,up,up,1,4.0144,0.7507,1w
2023-01-25,trending_bull,up,up,1,4.0082,0.7307,1w
2023-02-03,trending_bull,up,up,1,4.1079,0.764,1w
2023-02-14,trending_bull,up,up,1,5.8394,0.704,1w
2023-02-24,trending_bull,up,up,1,2.8816,0.752,1w
2023-03-07,trending_bull,up,neutral,0,-0.295,0.7693,1w
2023-03-16,trending_bull,up,down,0,-2.379,0.9107,1w
2023-03-27,trending_bull,up,neutral,0,-0.158,0.848,1w
2023-04-05,trending_bull,up,up,1,6.8404,0.7693,1w
2023-04-17,trending_bear,up,up,1,9.6003,0.6773,1w
2023-04-26,chop,up,up,1,2.5162,0.736,1w
2023-05-05,crisis,up,neutral,0,-0.4464,0.848,1w
2023-05-16,trending_bull,up,neutral,0,0.0952,0.8867,1w
2023-05-25,trending_bull,up,up,1,6.8414,0.7507,1w
2023-06-06,trending_bull,up,up,1,3.8306,0.6733,1w
2023-06-15,chop,up,up,1,3.5852,0.6987,1w
2023-06-27,trending_bull,up,up,1,1.7592,0.7413,1w
2023-07-07,trending_bull,up,up,1,6.3311,0.7747,1w
2023-07-18,chop,up,up,1,3.4996,0.848,1w
2023-07-27,crisis,up,up,1,4.1733,0.724,1w
2023-08-07,crisis,up,up,1,5.9553,0.6987,1w
2023-08-16,crisis,up,up,1,3.3729,0.656,1w
2023-08-25,trending_bull,up,down,0,-2.0487,0.792,1w
2023-09-06,trending_bull,up,down,0,-8.1773,0.8267,1w
2023-09-15,trending_bull,up,down,0,-2.8787,0.728,1w
2023-09-26,chop,up,down,0,-2.7377,0.6173,1w
2023-10-05,trending_bear,neutral,down,0,-4.5573,0.52,1w
2023-10-16,trending_bear,neutral,down,0,-9.5511,0.5467,1w
2023-10-25,trending_bear,down,down,1,-0.7217,0.4133,1w
2023-11-03,trending_bear,down,up,0,0.5835,0.216,1w
2023-11-14,trending_bear,down,up,0,2.1761,0.2013,1w
2023-11-24,trending_bear,down,down,1,-3.0942,0.216,1w
2023-12-05,chop,down,down,1,-7.9495,0.1867,1w
2023-12-14,chop,down,down,1,-4.6922,0.22,1w
2023-12-26,chop,down,down,1,-2.1658,0.224,1w
2024-01-05,chop,down,down,1,-1.4009,0.2133,1w
2024-01-17,trending_bear,down,down,1,-2.0411,0.1787,1w
2024-01-26,trending_bear,down,up,0,0.7034,0.3093,1w
2024-02-06,chop,down,up,0,12.379,0.268,1w
2024-02-15,chop,down,up,0,3.4546,0.3347,1w
2024-02-27,high_volatility,down,up,0,1.8098,0.3467,1w
2024-03-07,crisis,neutral,down,0,-5.8448,0.52,1w
2024-03-18,high_volatility,down,up,0,6.3737,0.412,1w
2024-03-27,chop,neutral,down,0,-0.911,0.48,1w
2024-04-08,crisis,neutral,up,0,1.228,0.4947,1w
2024-04-17,crisis,up,down,0,-3.1257,0.596,1w
2024-04-26,crisis,neutral,neutral,0,0.1193,0.52,1w
2024-05-07,chop,up,up,1,1.1803,0.5507,1w
2024-05-16,chop,up,down,0,-4.1309,0.5573,1w
2024-05-28,chop,neutral,down,0,-2.195,0.4933,1w
2024-06-06,chop,down,down,1,-1.4357,0.396,1w
2024-06-17,chop,down,down,1,-0.7069,0.4147,1w
2024-06-27,chop,down,down,1,-6.2207,0.4067,1w
2024-07-09,chop,neutral,down,0,-4.8919,0.4707,1w
2024-07-18,chop,down,down,1,-3.2131,0.2453,1w
2024-07-29,chop,down,down,1,-0.5128,0.2747,1w
2024-08-07,chop,down,neutral,0,-0.2013,0.304,1w
2024-08-16,chop,down,down,1,-5.2528,0.2853,1w
2024-08-27,chop,down,down,1,-4.3654,0.2093,1w
2024-09-06,chop,down,down,1,-6.25,0.2413,1w
2024-09-17,chop,down,down,1,-1.872,0.2693,1w
2024-09-26,chop,down,down,1,-2.8557,0.1533,1w
2024-10-07,chop,down,neutral,0,-0.0282,0.1533,1w
2024-10-16,chop,down,neutral,0,0.0762,0.2,1w
2024-10-25,chop,down,up,0,5.6913,0.256,1w
2024-11-05,chop,down,down,1,-3.3646,0.26,1w
2024-11-14,chop,down,up,0,0.5042,0.2573,1w
2024-11-25,chop,down,down,1,-0.8707,0.3507,1w
