date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-15.1864,0.564,1w
2021-01-13,chop,neutral,down,0,-9.1894,0.5013,1w
2021-01-25,chop,down,up,0,12.1566,0.1973,1w
2021-02-03,trending_bear,down,up,0,34.6582,0.2947,1w
2021-02-12,chop,down,up,0,32.7167,0.4067,1w
2021-02-24,chop,down,up,0,55.603,0.3467,1w
2021-03-05,chop,up,up,1,24.7013,0.6467,1w
2021-03-16,high_volatility,up,up,1,21.547,0.6227,1w
2021-03-25,high_volatility,up,down,0,-11.3866,0.7253,1w
2021-04-06,crisis,up,down,0,-19.3529,0.728,1w
2021-04-15,high_volatility,up,down,0,-33.6665,0.668,1w
2021-04-26,crisis,up,down,0,-17.0512,0.8053,1w
2021-05-05,high_volatility,up,down,0,-12.9211,0.704,1w
2021-05-14,high_volatility,up,down,0,-16.5209,0.5613,1w
2021-05-25,trending_bear,up,down,0,-30.6808,0.6173,1w
2021-06-04,chop,down,down,1,-33.9426,0.3973,1w
2021-06-15,chop,down,down,1,-17.6871,0.2347,1w
2021-06-24,trending_bear,down,neutral,0,0.4854,0.0573,1w
2021-07-06,trending_bear,down,up,0,12.7057,0.0533,1w
2021-07-15,trending_bear,down,up,0,31.2208,0.0507,1w
2021-07-26,trending_bear,down,up,0,9.4247,0.16,1w
2021-08-04,chop,down,down,1,-7.4136,0.1787,1w
2021-08-13,chop,down,down,1,-12.7405,0.3947,1w
2021-08-24,chop,down,down,1,-22.6974,0.296,1w
2021-09-02,chop,down,down,1,-13.028,0.2347,1w
2021-09-14,chop,down,down,1,-0.9772,0.4253,1w
2021-09-23,chop,down,up,0,23.1349,0.3507,1w
2021-10-04,chop,down,down,1,-13.7039,0.4453,1w
2021-10-13,chop,neutral,down,0,-8.9367,0.4907,1w
2021-10-22,chop,neutral,down,0,-2.962,0.4707,1w
2021-11-02,chop,down,up,0,29.5752,0.2613,1w
2021-11-11,chop,down,up,0,3.64,0.2693,1w
2021-11-22,chop,down,down,1,-2.9506,0.3507,1w
2021-12-02,chop,down,up,0,2.2534,0.428,1w
2021-12-13,chop,neutral,up,0,31.2814,0.4907,1w
2021-12-22,chop,up,up,1,19.3262,0.5747,1w
2022-01-03,chop,neutral,up,0,25.7558,0.536,1w
2022-01-12,chop,up,down,0,-3.8719,0.6733,1w
2022-01-24,trending_bull,up,down,0,-3.128,0.656,1w
2022-02-02,trending_bull,up,up,1,1.0648,0.852,1w
2022-02-11,trending_bull,up,down,0,-13.4738,0.724,1w
2022-02-23,chop,up,down,0,-11.6126,0.7,1w
2022-03-04,chop,up,down,0,-16.3158,0.724,1w
2022-03-15,chop,up,down,0,-1.4196,0.5653,1w
2022-03-24,trending_bear,neutral,down,0,-12.7927,0.5013,1w
2022-04-04,chop,neutral,down,0,-15.721,0.4907,1w
2022-04-13,chop,down,down,1,-13.3835,0.2747,1w
2022-04-25,trending_bear,down,down,1,-4.3801,0.184,1w
2022-05-04,trending_bear,down,up,0,2.2103,0.1373,1w
2022-05-13,trending_bear,down,up,0,14.2076,0.1867,1w
2022-05-24,trending_bear,down,up,0,13.0161,0.18,1w
2022-06-03,trending_bear,down,down,1,-0.6353,0.184,1w
2022-06-14,trending_bull,down,neutral,0,0.2384,0.4093,1w
2022-06-24,chop,down,up,0,4.5949,0.376,1w
2022-07-06,chop,down,down,1,-0.8594,0.376,1w
2022-07-15,chop,down,down,1,-7.929,0.428,1w
2022-07-26,chop,up,down,0,-13.7266,0.656,1w
2022-08-04,chop,up,down,0,-6.8224,0.5693,1w
2022-08-15,chop,neutral,down,0,-3.2429,0.54,1w
2022-08-24,chop,neutral,up,0,1.4325,0.5053,1w
2022-09-02,chop,down,up,0,1.6053,0.4213,1w
2022-09-14,chop,down,up,0,6.0882,0.3147,1w
2022-09-23,chop,down,up,0,6.4626,0.3573,1w
2022-10-04,chop,down,up,0,13.2411,0.3893,1w
2022-10-13,chop,down,up,0,7.487,0.3507,1w
2022-10-24,chop,down,up,0,6.4435,0.3787,1w
2022-11-02,chop,neutral,up,0,7.0678,0.5293,1w
2022-11-11,chop,up,up,1,7.4272,0.58,1w
2022-11-22,trending_bull,up,up,1,23.5995,0.632,1w
2022-12-02,trending_bull,up,up,1,7.727,0.704,1w
2022-12-13,trending_bull,up,down,0,-4.1865,0.732,1w
2022-12-22,trending_bull,up,down,0,-11.745,0.7973,1w
2023-01-04,trending_bull,up,up,1,3.808,0.7213,1w
2023-01-13,trending_bear,up,up,1,8.8022,0.6467,1w
2023-01-25,chop,up,up,1,9.9349,0.6653,1w
2023-02-03,trending_bull,up,up,1,1.7215,0.6573,1w
2023-02-14,chop,up,down,0,-1.1011,0.656,1w
2023-02-24,chop,up,up,1,4.1526,0.6947,1w
2023-03-07,chop,up,up,1,6.3067,0.6187,1w
2023-03-16,chop,neutral,up,0,4.8331,0.528,1w
2023-03-27,chop,neutral,down,0,-17.6231,0.5147,1w
2023-04-05,trending_bull,up,down,0,-23.2828,0.6773,1w
2023-04-17,chop,up,down,0,-15.7001,0.696,1w
2023-04-26,crisis,neutral,down,0,-5.4251,0.456,1w
2023-05-05,high_volatility,down,down,1,-6.8746,0.3067,1w
2023-05-16,trending_bear,down,down,1,-15.6197,0.3387,1w
2023-05-25,trending_bear,down,down,1,-11.8654,0.2347,1w
2023-06-06,trending_bear,down,down,1,-3.6137,0.184,1w
2023-06-15,trending_bear,down,up,0,4.4474,0.156,1w
2023-06-27,trending_bear,down,up,0,3.1333,0.0853,1w
2023-07-07,trending_bear,down,down,1,-11.9895,0.1053,1w
2023-07-18,chop,down,down,1,-18.8303,0.1467,1w
2023-07-27,chop,down,down,1,-9.6986,0.272,1w
2023-08-07,chop,down,down,1,-13.3533,0.1613,1w
2023-08-16,trending_bear,down,down,1,-6.5978,0.12,1w
2023-08-25,trending_bear,down,down,1,-12.8114,0.2253,1w
2023-09-06,chop,down,up,0,14.0351,0.1533,1w
2023-09-15,trending_bear,down,up,0,9.0601,0.2267,1w
2023-09-26,trending_bear,down,up,0,4.642,0.268,1w
2023-10-05,chop,down,up,0,1.0015,0.304,1w
2023-10-16,chop,down,down,1,-8.659,0.2747,1w
2023-10-25,chop,down,down,1,-4.6672,0.3213,1w
2023-11-03,chop,down,up,0,7.149,0.448,1w
2023-11-14,chop,down,down,1,-10.9075,0.4253,1w
2023-11-24,chop,down,down,1,-24.2594,0.384,1w
2023-12-05,chop,neutral,down,0,-17.9105,0.5453,1w
2023-12-14,chop,down,up,0,4.7236,0.3733,1w
2023-12-26,chop,down,up,0,8.3422,0.2667,1w
2024-01-05,trending_bear,down,up,0,6.0696,0.2813,1w
2024-01-17,chop,down,up,0,17.0399,0.312,1w
2024-01-26,chop,down,up,0,4.6829,0.2947,1w
2024-02-06,chop,down,down,1,-12.8486,0.4067,1w
2024-02-15,chop,neutral,down,0,-19.3249,0.5107,1w
2024-02-27,high_volatility,down,down,1,-21.4022,0.3667,1w
2024-03-07,crisis,down,down,1,-23.9468,0.2693,1w
2024-03-18,high_volatility,down,down,1,-23.3998,0.4467,1w
2024-03-27,chop,down,up,0,2.3114,0.412,1w
2024-04-08,crisis,down,down,1,-10.0629,0.2747,1w
2024-04-17,chop,down,up,0,5.2933,0.2987,1w
2024-04-26,chop,down,down,1,-28.3981,0.376,1w
2024-05-07,chop,down,up,0,11.1429,0.3147,1w
2024-05-16,chop,down,down,1,-1.2129,0.236,1w
2024-05-28,chop,down,up,0,30.3602,0.1947,1w
2024-06-06,chop,down,up,0,21.8204,0.4067,1w
2024-06-17,chop,down,up,0,52.7221,0.3547,1w
2024-06-27,chop,down,up,0,29.1872,0.436,1w
2024-07-09,chop,up,down,0,-3.1408,0.588,1w
2024-07-18,trending_bull,up,down,0,-7.8622,0.6987,1w
2024-07-29,trending_bull,up,up,1,3.422,0.6027,1w
2024-08-07,chop,up,up,1,11.214,0.6573,1w
2024-08-16,chop,up,up,1,11.8395,0.6693,1w
2024-08-27,chop,up,up,1,19.4419,0.8013,1w
2024-09-06,chop,up,up,1,22.2515,0.6933,1w
2024-09-17,trending_bull,up,up,1,14.7287,0.8053,1w
2024-09-26,trending_bull,up,up,1,15.4918,0.7947,1w
2024-10-07,trending_bull,up,down,0,-28.9437,0.744,1w
2024-10-16,trending_bull,up,down,0,-32.2002,0.6173,1w
2024-10-25,high_volatility,up,down,0,-10.291,0.6587,1w
2024-11-05,high_volatility,neutral,up,0,18.6002,0.5013,1w
2024-11-14,chop,neutral,up,0,15.5496,0.5187,1w
2024-11-25,chop,up,up,1,3.4509,0.5733,1w
