date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-10.8967,0.3613,1w
2021-01-13,trending_bear,down,down,1,-6.6209,0.2133,1w
2021-01-25,trending_bear,down,down,1,-10.4432,0.0827,1w
2021-02-03,high_volatility,down,down,1,-10.2263,0.152,1w
2021-02-12,high_volatility,down,down,1,-16.9355,0.168,1w
2021-02-24,high_volatility,down,up,0,9.7462,0.1413,1w
2021-03-05,high_volatility,down,up,0,10.396,0.1853,1w
2021-03-16,high_volatility,down,up,0,12.0972,0.144,1w
2021-03-25,trending_bear,down,down,1,-9.3522,0.2413,1w
2021-04-06,trending_bull,down,down,1,-14.0097,0.2947,1w
2021-04-15,chop,down,down,1,-22.3654,0.2973,1w
2021-04-26,chop,down,down,1,-15.0962,0.3213,1w
2021-05-05,chop,down,down,1,-6.9173,0.2947,1w
2021-05-14,high_volatility,down,down,1,-10.4167,0.1947,1w
2021-05-25,high_volatility,down,up,0,4.9637,0.3293,1w
2021-06-04,high_volatility,down,down,1,-2.6652,0.3813,1w
2021-06-15,chop,down,down,1,-0.7552,0.296,1w
2021-06-24,chop,down,down,1,-5.8434,0.248,1w
2021-07-06,chop,down,up,0,7.2088,0.2333,1w
2021-07-15,chop,down,up,0,20.4082,0.2013,1w
2021-07-26,chop,down,up,0,7.1691,0.3147,1w
2021-08-04,chop,down,down,1,-10.7411,0.4067,1w
2021-08-13,chop,up,down,0,-12.0082,0.564,1w
2021-08-24,chop,neutral,down,0,-9.4244,0.528,1w
2021-09-02,chop,down,down,1,-0.5481,0.388,1w
2021-09-14,chop,up,down,0,-13.2606,0.5573,1w
2021-09-23,chop,down,up,0,2.6633,0.3347,1w
2021-10-04,chop,down,down,1,-3.6342,0.396,1w
2021-10-13,chop,down,up,0,6.3155,0.3893,1w
2021-10-22,chop,neutral,down,0,-3.0454,0.4587,1w
2021-11-02,chop,down,up,0,10.0064,0.3187,1w
2021-11-11,chop,down,down,1,-0.5329,0.2813,1w
2021-11-22,chop,down,up,0,3.2609,0.3467,1w
2021-12-02,chop,neutral,down,0,-4.8235,0.516,1w
2021-12-13,chop,down,down,1,-1.4126,0.4253,1w
2021-12-22,chop,neutral,up,0,10.7527,0.4973,1w
2022-01-03,chop,down,up,0,17.9487,0.4093,1w
2022-01-12,chop,up,up,1,7.9272,0.5773,1w
2022-01-24,chop,up,up,1,0.6278,0.5707,1w
2022-02-02,trending_bull,up,down,0,-6.0042,0.7067,1w
2022-02-11,trending_bull,up,down,0,-8.5405,0.584,1w
2022-02-23,chop,up,neutral,0,0.1164,0.628,1w
2022-03-04,chop,neutral,up,0,3.2037,0.524,1w
2022-03-15,chop,neutral,up,0,1.9197,0.456,1w
2022-03-24,chop,up,down,0,-4.4084,0.5907,1w
2022-04-04,chop,up,down,0,-7.7187,0.6107,1w
2022-04-13,chop,neutral,down,0,-3.3879,0.5053,1w
2022-04-25,chop,down,up,0,6.8361,0.3707,1w
2022-05-04,chop,down,up,0,15.4079,0.22,1w
2022-05-13,chop,down,up,0,19.1627,0.3227,1w
2022-05-24,chop,neutral,up,0,8.8118,0.508,1w
2022-06-03,trending_bull,up,neutral,0,-0.2568,0.6133,1w
2022-06-14,trending_bull,up,up,1,2.4939,0.7347,1w
2022-06-24,trending_bull,up,up,1,6.2307,0.6547,1w
2022-07-06,trending_bull,up,up,1,3.4254,0.6653,1w
2022-07-15,trending_bull,up,down,0,-6.8053,0.7573,1w
2022-07-26,trending_bull,up,down,0,-4.57,0.836,1w
2022-08-04,trending_bull,up,up,1,0.5392,0.7933,1w
2022-08-15,chop,up,up,1,1.6906,0.7293,1w
2022-08-24,chop,up,down,0,-4.4207,0.6467,1w
2022-09-02,chop,up,down,0,-9.9367,0.5667,1w
2022-09-14,chop,down,down,1,-5.6836,0.3893,1w
2022-09-23,chop,down,neutral,0,-0.38,0.3853,1w
2022-10-04,trending_bear,down,down,1,-1.9084,0.3453,1w
2022-10-13,chop,down,neutral,0,0.3186,0.1947,1w
2022-10-24,chop,down,up,0,14.1728,0.248,1w
2022-11-02,trending_bear,down,up,0,14.2627,0.2187,1w
2022-11-11,chop,down,up,0,10.385,0.3893,1w
2022-11-22,trending_bull,neutral,up,0,12.4322,0.5067,1w
2022-12-02,trending_bull,neutral,neutral,0,0.4715,0.528,1w
2022-12-13,trending_bull,up,down,0,-0.8536,0.6573,1w
2022-12-22,trending_bull,up,down,0,-1.5231,0.7947,1w
2023-01-04,trending_bull,up,up,1,4.925,0.7213,1w
2023-01-13,trending_bull,up,up,1,5.174,0.7293,1w
2023-01-25,chop,up,down,0,-4.8124,0.8653,1w
2023-02-03,chop,up,down,0,-4.1852,0.78,1w
2023-02-14,high_volatility,up,down,0,-5.536,0.7507,1w
2023-02-24,high_volatility,up,neutral,0,-0.4579,0.5827,1w
2023-03-07,chop,neutral,down,0,-2.0642,0.4907,1w
2023-03-16,chop,down,down,1,-6.5378,0.3867,1w
2023-03-27,chop,down,down,1,-6.5596,0.3467,1w
2023-04-05,chop,neutral,down,0,-4.573,0.4573,1w
2023-04-17,chop,down,up,0,1.8308,0.296,1w
2023-04-26,chop,down,down,1,-3.2524,0.236,1w
2023-05-05,chop,down,down,1,-3.9706,0.2587,1w
2023-05-16,chop,down,down,1,-6.472,0.2267,1w
2023-05-25,chop,down,down,1,-3.4343,0.2307,1w
2023-06-06,chop,down,neutral,0,0.2031,0.1867,1w
2023-06-15,chop,down,up,0,5.4744,0.168,1w
2023-06-27,chop,down,up,0,2.5077,0.156,1w
2023-07-07,chop,down,down,1,-5.6041,0.2453,1w
2023-07-18,chop,down,down,1,-1.6641,0.4467,1w
2023-07-27,chop,down,up,0,1.0532,0.3787,1w
2023-08-07,high_volatility,down,up,0,5.1115,0.2293,1w
2023-08-16,chop,down,up,0,2.045,0.344,1w
2023-08-25,chop,neutral,up,0,1.1952,0.4947,1w
2023-09-06,chop,down,up,0,7.939,0.412,1w
2023-09-15,chop,neutral,up,0,4.55,0.544,1w
2023-09-26,chop,neutral,neutral,0,0.3411,0.544,1w
2023-10-05,chop,up,up,1,4.3457,0.5733,1w
2023-10-16,chop,up,up,1,13.0685,0.5733,1w
2023-10-25,chop,neutral,up,0,18.932,0.5253,1w
2023-11-03,chop,up,up,1,17.5139,0.7693,1w
2023-11-14,trending_bull,up,up,1,8.093,0.8533,1w
2023-11-24,trending_bull,up,down,0,-0.965,0.8347,1w
2023-12-05,trending_bull,up,down,0,-2.7348,0.9467,1w
2023-12-14,trending_bull,up,down,0,-4.2553,0.8773,1w
2023-12-26,high_volatility,up,up,1,6.5534,0.7827,1w
2024-01-05,high_volatility,up,up,1,8.035,0.7973,1w
2024-01-17,high_volatility,up,up,1,7.1223,0.736,1w
2024-01-26,crisis,up,down,0,-9.8689,0.8573,1w
