date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.1454,0.6627,1w
2021-01-13,high_volatility,up,down,0,-4.4483,0.5987,1w
2021-01-25,crisis,up,up,1,2.0993,0.5653,1w
2021-02-03,high_volatility,up,up,1,12.5422,0.5853,1w
2021-02-12,chop,neutral,up,0,15.1711,0.492,1w
2021-02-24,chop,neutral,up,0,15.7265,0.4653,1w
2021-03-05,crisis,up,up,1,4.7701,0.7293,1w
2021-03-16,crisis,up,up,1,4.2382,0.7307,1w
2021-03-25,high_volatility,up,down,0,-2.4729,0.6733,1w
2021-04-06,crisis,up,down,0,-1.8282,0.628,1w
2021-04-15,chop,up,down,0,-18.0467,0.6547,1w
2021-04-26,crisis,up,down,0,-8.7975,0.692,1w
2021-05-05,crisis,up,down,0,-4.2493,0.6347,1w
2021-05-14,crisis,neutral,up,0,1.1832,0.48,1w
2021-05-25,crisis,up,down,0,-8.9706,0.5733,1w
2021-06-04,high_volatility,neutral,down,0,-17.7558,0.4987,1w
2021-06-15,high_volatility,down,down,1,-9.2601,0.3653,1w
2021-06-24,crisis,down,neutral,0,0.0883,0.252,1w
2021-07-06,crisis,down,up,0,19.0419,0.26,1w
2021-07-15,high_volatility,down,up,0,27.4339,0.2373,1w
2021-07-26,chop,down,up,0,14.951,0.3493,1w
2021-08-04,chop,down,down,1,-1.9845,0.3973,1w
2021-08-13,trending_bull,up,down,0,-7.1595,0.6627,1w
2021-08-24,trending_bull,up,down,0,-12.797,0.588,1w
2021-09-02,chop,down,down,1,-3.9867,0.4467,1w
2021-09-14,chop,up,up,1,4.5107,0.5587,1w
2021-09-23,chop,neutral,up,0,22.2811,0.4907,1w
2021-10-04,chop,up,up,1,17.1547,0.6173,1w
2021-10-13,chop,up,up,1,14.298,0.6347,1w
2021-10-22,chop,up,up,1,7.6711,0.6733,1w
2021-11-02,trending_bull,up,up,1,13.2241,0.6387,1w
2021-11-11,high_volatility,up,up,1,5.4494,0.5907,1w
2021-11-22,high_volatility,up,up,1,2.5319,0.5907,1w
2021-12-02,trending_bull,up,down,0,-3.5491,0.7253,1w
2021-12-13,trending_bull,up,up,1,14.5082,0.752,1w
2021-12-22,chop,up,up,1,5.6363,0.824,1w
2022-01-03,chop,up,up,1,14.699,0.7293,1w
2022-01-12,chop,up,up,1,1.2739,0.7947,1w
2022-01-24,chop,up,down,0,-1.4471,0.6733,1w
2022-02-02,chop,up,down,0,-7.7957,0.7693,1w
2022-02-11,high_volatility,up,down,0,-23.8196,0.752,1w
2022-02-23,high_volatility,up,down,0,-10.7232,0.58,1w
2022-03-04,high_volatility,neutral,down,0,-10.3246,0.544,1w
2022-03-15,crisis,down,up,0,7.5513,0.3347,1w
2022-03-24,crisis,down,down,1,-0.6757,0.4093,1w
2022-04-04,chop,down,down,1,-8.203,0.4067,1w
2022-04-13,chop,down,down,1,-7.1279,0.2747,1w
2022-04-25,chop,down,down,1,-1.635,0.2973,1w
2022-05-04,chop,down,neutral,0,0.2693,0.1707,1w
2022-05-13,trending_bear,down,up,0,9.0847,0.2,1w
2022-05-24,chop,down,up,0,14.5393,0.2747,1w
2022-06-03,chop,down,up,0,13.5941,0.2947,1w
2022-06-14,chop,up,up,1,14.6656,0.58,1w
2022-06-24,trending_bull,up,up,1,11.1461,0.5867,1w
2022-07-06,trending_bull,up,up,1,4.8753,0.6307,1w
2022-07-15,trending_bull,up,down,0,-2.4282,0.668,1w
2022-07-26,trending_bull,up,down,0,-3.0841,0.764,1w
2022-08-04,trending_bull,up,down,0,-0.723,0.7787,1w
2022-08-15,trending_bull,up,down,0,-4.4134,0.78,1w
2022-08-24,trending_bear,up,down,0,-7.7889,0.7467,1w
2022-09-02,trending_bull,up,down,0,-13.3853,0.768,1w
2022-09-14,chop,up,down,0,-16.4861,0.6227,1w
2022-09-23,trending_bear,down,down,1,-18.6591,0.4467,1w
2022-10-04,trending_bear,down,down,1,-4.3861,0.26,1w
2022-10-13,trending_bear,down,up,0,4.6661,0.144,1w
2022-10-24,trending_bear,down,up,0,6.475,0.096,1w
2022-11-02,trending_bear,down,up,0,1.2283,0.188,1w
2022-11-11,trending_bear,down,up,0,2.382,0.1867,1w
2022-11-22,chop,down,up,0,15.2327,0.1973,1w
2022-12-02,chop,down,up,0,6.5299,0.2293,1w
2022-12-13,chop,down,up,0,4.9346,0.3467,1w
2022-12-22,trending_bull,neutral,up,0,1.7356,0.5053,1w
2023-01-04,trending_bull,neutral,up,0,4.546,0.492,1w
2023-01-13,trending_bull,up,up,1,6.4831,0.696,1w
2023-01-25,trending_bull,up,up,1,5.8937,0.788,1w
2023-02-03,trending_bull,up,up,1,3.317,0.6267,1w
2023-02-14,trending_bull,up,down,0,-2.1767,0.6973,1w
2023-02-24,chop,up,up,1,5.0028,0.7747,1w
2023-03-07,chop,up,up,1,8.2187,0.7013,1w
2023-03-16,chop,up,up,1,2.976,0.668,1w
2023-03-27,chop,up,down,0,-7.5559,0.6333,1w
2023-04-05,chop,up,down,0,-3.5109,0.7307,1w
2023-04-17,chop,up,up,1,4.4926,0.6387,1w
2023-04-26,chop,neutral,up,0,4.4129,0.5373,1w
2023-05-05,high_volatility,up,down,0,-5.2426,0.6173,1w
2023-05-16,chop,up,down,0,-12.9428,0.58,1w
2023-05-25,chop,neutral,down,0,-2.9237,0.5067,1w
2023-06-06,chop,neutral,down,0,-1.6234,0.4533,1w
2023-06-15,trending_bear,down,up,0,15.1203,0.3467,1w
2023-06-27,high_volatility,down,up,0,13.1953,0.3027,1w
2023-07-07,chop,down,up,0,2.9361,0.2827,1w
2023-07-18,high_volatility,neutral,down,0,-6.8514,0.5467,1w
2023-07-27,crisis,up,down,0,-9.6984,0.6667,1w
2023-08-07,crisis,down,down,1,-4.4491,0.38,1w
2023-08-16,high_volatility,down,down,1,-5.4248,0.3707,1w
2023-08-25,chop,down,neutral,0,-0.3535,0.4253,1w
2023-09-06,chop,down,up,0,7.107,0.3733,1w
2023-09-15,trending_bear,neutral,up,0,3.128,0.4893,1w
2023-09-26,chop,neutral,down,0,-5.5029,0.4707,1w
2023-10-05,chop,neutral,up,0,1.6316,0.5053,1w
2023-10-16,chop,down,up,0,13.3433,0.324,1w
2023-10-25,chop,down,up,0,18.1899,0.2613,1w
2023-11-03,chop,neutral,up,0,12.5837,0.516,1w
2023-11-14,high_volatility,up,down,0,-3.7355,0.5907,1w
2023-11-24,trending_bull,up,down,0,-18.9536,0.6173,1w
2023-12-05,trending_bull,up,down,0,-18.3115,0.7253,1w
2023-12-14,chop,up,down,0,-9.2785,0.5907,1w
2023-12-26,high_volatility,down,down,1,-1.0844,0.3787,1w
2024-01-05,trending_bear,down,up,0,2.9157,0.4093,1w
2024-01-17,high_volatility,down,up,0,4.8419,0.4147,1w
2024-01-26,chop,down,down,1,-1.7632,0.436,1w
2024-02-06,chop,down,down,1,-12.9156,0.3707,1w
2024-02-15,chop,down,down,1,-9.2915,0.304,1w
2024-02-27,chop,down,down,1,-4.6656,0.1733,1w
2024-03-07,crisis,down,down,1,-12.2946,0.1227,1w
2024-03-18,chop,down,down,1,-10.271,0.256,1w
2024-03-27,chop,down,down,1,-2.7603,0.3467,1w
2024-04-08,crisis,down,up,0,5.3653,0.256,1w
2024-04-17,trending_bear,down,up,0,14.7801,0.3013,1w
2024-04-26,chop,down,up,0,5.815,0.3733,1w
2024-05-07,chop,down,up,0,9.8937,0.404,1w
2024-05-16,chop,down,up,0,3.2856,0.3973,1w
2024-05-28,chop,down,up,0,5.3588,0.448,1w
2024-06-06,trending_bull,up,up,1,4.5404,0.5907,1w
2024-06-17,chop,neutral,up,0,9.3912,0.508,1w
2024-06-27,chop,neutral,up,0,2.9186,0.5427,1w
2024-07-09,chop,up,up,1,3.6653,0.7253,1w
2024-07-18,chop,up,up,1,7.1495,0.7867,1w
2024-07-29,chop,up,up,1,11.666,0.6947,1w
2024-08-07,chop,up,up,1,10.1471,0.6933,1w
2024-08-16,chop,up,up,1,5.7604,0.724,1w
2024-08-27,trending_bull,up,down,0,-0.6416,0.752,1w
2024-09-06,trending_bull,up,up,1,1.6975,0.6707,1w
2024-09-17,trending_bull,up,down,0,-1.3581,0.752,1w
2024-09-26,chop,up,up,1,5.6041,0.6453,1w
2024-10-07,chop,up,down,0,-2.3561,0.6587,1w
2024-10-16,chop,up,up,1,0.6551,0.5573,1w
2024-10-25,chop,up,up,1,4.9795,0.6573,1w
2024-11-05,chop,up,up,1,13.5954,0.58,1w
2024-11-14,chop,neutral,up,0,20.9817,0.5267,1w
2024-11-25,chop,up,up,1,10.6146,0.5987,1w
