date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-1.0893,0.2747,1w
2021-01-13,chop,down,down,1,-3.9843,0.4093,1w
2021-01-25,chop,down,down,1,-6.2513,0.2973,1w
2021-02-03,crisis,down,down,1,-5.7411,0.3733,1w
2021-02-12,trending_bear,down,down,1,-5.5649,0.296,1w
2021-02-24,trending_bear,down,up,0,3.08,0.2973,1w
2021-03-05,trending_bear,down,up,0,1.0379,0.2973,1w
2021-03-16,trending_bear,down,up,0,4.3405,0.34,1w
2021-03-25,trending_bear,down,down,1,-2.4869,0.3507,1w
2021-04-06,chop,down,down,1,-15.6146,0.336,1w
2021-04-15,chop,down,down,1,-13.6089,0.3027,1w
2021-04-26,chop,down,down,1,-6.1912,0.2747,1w
2021-05-05,trending_bear,down,up,0,5.2379,0.1573,1w
2021-05-14,trending_bear,down,down,1,-3.0858,0.256,1w
2021-05-25,trending_bear,down,down,1,-9.1943,0.3853,1w
2021-06-04,chop,down,down,1,-6.5951,0.3467,1w
2021-06-15,chop,down,neutral,0,0.0176,0.2747,1w
2021-06-24,trending_bear,down,up,0,8.0529,0.224,1w
2021-07-06,trending_bear,down,down,1,-3.3894,0.224,1w
2021-07-15,chop,down,down,1,-2.2005,0.2173,1w
2021-07-26,chop,down,down,1,-12.8277,0.368,1w
2021-08-04,trending_bear,down,down,1,-5.2145,0.3707,1w
2021-08-13,chop,down,down,1,-17.5253,0.4173,1w
2021-08-24,chop,down,down,1,-12.5034,0.2747,1w
2021-09-02,chop,down,down,1,-14.3456,0.2747,1w
2021-09-14,trending_bear,down,down,1,-16.028,0.2667,1w
2021-09-23,trending_bear,down,down,1,-3.42,0.2333,1w
2021-10-04,trending_bear,down,up,0,1.8393,0.1867,1w
2021-10-13,trending_bear,down,up,0,8.4022,0.1387,1w
2021-10-22,trending_bear,down,up,0,10.5212,0.152,1w
2021-11-02,trending_bear,down,up,0,17.373,0.2187,1w
2021-11-11,chop,down,up,0,7.3486,0.22,1w
2021-11-22,trending_bull,down,neutral,0,-0.057,0.376,1w
2021-12-02,trending_bull,neutral,neutral,0,-0.0369,0.5013,1w
2021-12-13,trending_bull,up,up,1,6.2137,0.5693,1w
2021-12-22,chop,up,up,1,15.0468,0.616,1w
2022-01-03,chop,up,up,1,12.3531,0.6987,1w
2022-01-12,trending_bull,up,neutral,0,0.411,0.8533,1w
2022-01-24,trending_bull,up,down,0,-6.01,0.8453,1w
2022-02-02,trending_bull,up,down,0,-7.2304,0.8827,1w
2022-02-11,trending_bull,up,down,0,-8.1157,0.7213,1w
2022-02-23,chop,up,down,0,-2.9189,0.5907,1w
2022-03-04,chop,neutral,up,0,5.1682,0.5387,1w
2022-03-15,chop,down,up,0,5.5514,0.4253,1w
2022-03-24,chop,neutral,up,0,2.153,0.5373,1w
2022-04-04,chop,neutral,up,0,6.0654,0.5413,1w
2022-04-13,chop,down,up,0,5.5395,0.4133,1w
2022-04-25,chop,down,up,0,9.4743,0.2933,1w
2022-05-04,chop,neutral,down,0,-1.583,0.488,1w
2022-05-13,chop,neutral,up,0,2.768,0.524,1w
2022-05-24,chop,up,up,1,3.7606,0.6027,1w
2022-06-03,chop,up,up,1,5.1689,0.6293,1w
2022-06-14,chop,up,up,1,2.2084,0.6693,1w
2022-06-24,chop,up,up,1,4.1745,0.6573,1w
2022-07-06,chop,up,up,1,8.2308,0.6107,1w
2022-07-15,chop,up,up,1,10.8153,0.64,1w
2022-07-26,trending_bull,up,neutral,0,-0.2426,0.7333,1w
2022-08-04,trending_bull,up,down,0,-1.9582,0.7,1w
2022-08-15,trending_bull,up,down,0,-0.7985,0.8147,1w
2022-08-24,trending_bull,up,down,0,-1.3196,0.7933,1w
2022-09-02,trending_bull,up,down,0,-2.6147,0.74,1w
2022-09-14,chop,up,down,0,-2.7405,0.7147,1w
2022-09-23,chop,up,down,0,-1.1186,0.6653,1w
2022-10-04,chop,up,down,0,-1.2087,0.5853,1w
2022-10-13,chop,neutral,down,0,-6.2373,0.5467,1w
2022-10-24,chop,down,down,1,-0.6316,0.3387,1w
2022-11-02,high_volatility,down,neutral,0,-0.2316,0.3493,1w
2022-11-11,trending_bear,down,up,0,4.299,0.2747,1w
2022-11-22,chop,down,up,0,3.3349,0.3507,1w
2022-12-02,chop,down,up,0,3.1334,0.3893,1w
2022-12-13,chop,down,down,1,-2.8296,0.404,1w
2022-12-22,chop,neutral,up,0,3.7363,0.4653,1w
2023-01-04,chop,neutral,up,0,4.2519,0.456,1w
2023-01-13,chop,down,down,1,-0.7792,0.4213,1w
2023-01-25,chop,up,down,0,-8.7981,0.5773,1w
2023-02-03,chop,up,down,0,-5.1103,0.5573,1w
2023-02-14,high_volatility,neutral,up,0,2.3206,0.4773,1w
2023-02-24,trending_bear,down,neutral,0,0.4968,0.448,1w
2023-03-07,chop,neutral,down,0,-1.2887,0.4987,1w
