date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-2.1326,0.632,1w
2021-01-13,trending_bull,up,down,0,-1.8613,0.5987,1w
2021-01-25,chop,up,up,1,0.8595,0.584,1w
2021-02-03,high_volatility,up,up,1,2.7772,0.5867,1w
2021-02-12,high_volatility,up,up,1,4.8653,0.5733,1w
2021-02-24,high_volatility,neutral,up,0,9.0792,0.508,1w
2021-03-05,high_volatility,up,up,1,6.1194,0.7,1w
2021-03-16,crisis,up,up,1,8.2974,0.5693,1w
2021-03-25,high_volatility,up,up,1,5.4519,0.6187,1w
2021-04-06,trending_bull,up,down,0,-4.3916,0.7067,1w
2021-04-15,crisis,up,down,0,-3.9759,0.7547,1w
2021-04-26,trending_bull,up,down,0,-0.6964,0.768,1w
2021-05-05,crisis,up,up,1,4.241,0.5907,1w
2021-05-14,crisis,up,down,0,-6.8395,0.66,1w
2021-05-25,high_volatility,up,down,0,-10.5843,0.7253,1w
2021-06-04,chop,up,down,0,-7.0706,0.616,1w
2021-06-15,crisis,down,up,0,5.2303,0.3867,1w
2021-06-24,crisis,down,up,0,1.0431,0.3547,1w
2021-07-06,crisis,down,up,0,2.9241,0.3547,1w
2021-07-15,high_volatility,down,up,0,5.9445,0.304,1w
2021-07-26,chop,down,up,0,4.6988,0.3467,1w
2021-08-04,chop,neutral,down,0,-0.7433,0.488,1w
2021-08-13,chop,neutral,down,0,-2.9525,0.4773,1w
2021-08-24,chop,down,down,1,-5.1341,0.4027,1w
2021-09-02,chop,down,down,1,-10.8579,0.384,1w
2021-09-14,chop,up,down,0,-22.3177,0.6467,1w
2021-09-23,chop,neutral,down,0,-16.5952,0.4907,1w
2021-10-04,crisis,down,down,1,-5.3978,0.2413,1w
2021-10-13,crisis,down,up,0,9.4668,0.1533,1w
2021-10-22,crisis,down,up,0,10.946,0.1733,1w
2021-11-02,high_volatility,down,up,0,8.5366,0.1947,1w
2021-11-11,high_volatility,down,up,0,9.3803,0.2253,1w
2021-11-22,trending_bull,down,up,0,4.0518,0.2693,1w
2021-12-02,chop,down,up,0,5.304,0.3453,1w
2021-12-13,chop,down,neutral,0,0.2805,0.368,1w
2021-12-22,chop,down,down,1,-1.2466,0.4093,1w
2022-01-03,chop,up,down,0,-1.408,0.5693,1w
2022-01-12,chop,up,down,0,-2.8143,0.768,1w
2022-01-24,chop,up,down,0,-2.285,0.7213,1w
2022-02-02,chop,up,down,0,-3.7977,0.7,1w
2022-02-11,chop,up,up,1,0.8175,0.5893,1w
2022-02-23,chop,neutral,neutral,0,0.0165,0.4707,1w
2022-03-04,chop,down,up,0,3.2242,0.4453,1w
2022-03-15,chop,down,down,1,-1.8249,0.3813,1w
2022-03-24,high_volatility,down,up,0,4.3138,0.4027,1w
2022-04-04,chop,down,down,1,-0.5429,0.3507,1w
2022-04-13,chop,down,neutral,0,-0.1821,0.3733,1w
2022-04-25,chop,neutral,down,0,-5.1738,0.4907,1w
2022-05-04,chop,down,down,1,-4.8241,0.432,1w
2022-05-13,chop,neutral,up,0,1.7857,0.456,1w
2022-05-24,chop,down,up,0,4.2512,0.3813,1w
2022-06-03,chop,neutral,up,0,1.2481,0.4707,1w
2022-06-14,chop,down,down,1,-1.6716,0.4093,1w
2022-06-24,chop,down,up,0,6.338,0.4453,1w
2022-07-06,chop,down,down,1,-1.853,0.3733,1w
2022-07-15,chop,down,down,1,-5.0273,0.4067,1w
2022-07-26,chop,neutral,down,0,-7.1378,0.544,1w
2022-08-04,chop,down,down,1,-4.6924,0.2973,1w
2022-08-15,chop,down,up,0,1.1842,0.3213,1w
2022-08-24,trending_bear,down,down,1,-2.0487,0.448,1w
2022-09-02,trending_bear,down,down,1,-4.8243,0.2747,1w
2022-09-14,chop,down,down,1,-5.576,0.3027,1w
2022-09-23,chop,down,down,1,-0.6667,0.296,1w
2022-10-04,trending_bear,down,up,0,8.1054,0.22,1w
2022-10-13,trending_bear,down,up,0,2.7954,0.2747,1w
2022-10-24,trending_bear,down,up,0,5.7547,0.1827,1w
2022-11-02,chop,down,up,0,4.6466,0.388,1w
2022-11-11,chop,down,up,0,4.6463,0.4133,1w
2022-11-22,chop,neutral,down,0,-0.6251,0.4707,1w
2022-12-02,chop,up,up,1,3.5758,0.5987,1w
2022-12-13,chop,up,down,0,-1.5095,0.5747,1w
2022-12-22,chop,up,down,0,-1.8087,0.5907,1w
2023-01-04,chop,up,down,0,-4.6512,0.768,1w
2023-01-13,chop,up,neutral,0,-0.4177,0.6293,1w
2023-01-25,chop,up,up,1,1.2995,0.5613,1w
2023-02-03,chop,neutral,up,0,7.7687,0.4907,1w
