date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-6.8966,0.8147,1w
2021-01-13,high_volatility,up,up,1,4.7684,0.7787,1w
2021-01-25,high_volatility,up,up,1,4.9013,0.6173,1w
2021-02-03,high_volatility,up,up,1,7.5615,0.6173,1w
2021-02-12,crisis,up,up,1,1.2122,0.624,1w
2021-02-24,chop,up,up,1,1.3645,0.6027,1w
2021-03-05,chop,up,down,0,-0.6275,0.724,1w
2021-03-16,high_volatility,up,neutral,0,0.2336,0.584,1w
2021-03-25,high_volatility,down,neutral,0,-0.3541,0.424,1w
2021-04-06,chop,neutral,down,0,-4.5617,0.516,1w
2021-04-15,chop,up,down,0,-5.7766,0.5707,1w
2021-04-26,high_volatility,up,up,1,1.3905,0.588,1w
2021-05-05,crisis,neutral,neutral,0,-0.4222,0.4947,1w
2021-05-14,crisis,down,down,1,-8.0418,0.4227,1w
2021-05-25,high_volatility,neutral,down,0,-4.0936,0.5467,1w
2021-06-04,high_volatility,down,up,0,3.3915,0.4093,1w
2021-06-15,chop,down,up,0,12.5016,0.304,1w
2021-06-24,high_volatility,down,up,0,10.8258,0.448,1w
2021-07-06,high_volatility,neutral,up,0,7.8944,0.4733,1w
2021-07-15,chop,neutral,up,0,7.785,0.4627,1w
2021-07-26,chop,up,up,1,2.1041,0.58,1w
2021-08-04,trending_bull,up,down,0,-1.8608,0.6173,1w
2021-08-13,trending_bull,up,down,0,-7.3956,0.6987,1w
2021-08-24,trending_bull,up,down,0,-17.444,0.5933,1w
2021-09-02,trending_bull,up,down,0,-11.1605,0.624,1w
2021-09-14,trending_bear,up,down,0,-11.4395,0.7253,1w
2021-09-23,high_volatility,down,down,1,-6.1746,0.388,1w
2021-10-04,trending_bear,down,up,0,6.257,0.3573,1w
2021-10-13,trending_bear,down,up,0,12.1844,0.22,1w
2021-10-22,trending_bear,down,up,0,8.3234,0.1733,1w
2021-11-02,trending_bull,down,up,0,0.8817,0.376,1w
